表10—16 1989年全国分年龄按月分布的死亡人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表10——16 1989年全国分年龄按月分布的死亡人口数(续06),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    四月,,,    五月,,,    六月,,,    七月,,,    八月,,,,,,,,,,,,,,,,,
,    合计,,,    一月,,,    二月,,,    三月,,,,,    年龄别,,,,,,,,,,,,,,,,,,,    九月,,,    十月,,,    十一月,,,    十二月,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女,,,    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    552 574,    304 421,    248 153,    524 611,    291 111,    233 500,    537 039,  299 549, 237 490,  545 735,  303 163,  242 572,    551 923,  305 158, 246 765,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  16,    20 729,    11 617,    9 112,    1 208,    684,    524,    1 448,    826,    622,    1 506,    809,    697,,,  17,    2 009,    1 105,    904,    2 199,    1 242,    957,    2 613,    1 511,    1 102,    2 836,    1 672,    1 164,    2 645,    1 527,    1 118,,,  16,    1 620,    868,    752,    1 543,    862,    681,    1 390,    766,    624,    1 252,    735,    517
  17,    24 037,    13 581,    10 456,    1 350,    783,    567,    1 606,    914,    692,    1 797,    971,    826,,,  18,    2 448,    1 388,    1 060,    2 692,    1 521,    1 171,    2 997,    1 684,    1 313,    3 329,    1 825,    1 504,    3 167,    1 848,    1 319,,,  17,    1 993,    1 091,    902,    1 922,    1 046,    876,    1 534,    860,    674,    1 533,    859,    674
  18,    28 806,    16 283,    12 523,    1 734,    1 023,    711,    1 917,    1 077,    840,    2 179,    1 245,    934,,,  19,    2 681,    1 545,    1 136,    2 809,    1 603,    1 206,    3 394,    1 943,    1 451,    3 545,    2 051,    1 494,    3 363,    1 838,    1 525,,,  18,    2 346,    1 310,    1 036,    2 264,    1 233,    1 031,    1 900,    1 038,    862,    1 833,    1 091,    742
  19,    31 442,    17 824,    13 618,    1 764,    1 026,    738,    1 968,    1 080,    888,    2 251,    1 286,    965,,,20——24岁,    13 654,    7 693,    5 961,    14 447,    8 079,    6 368,    16 597,    9 275,    7 322,    17 562,    9 709,    7 853,    16 713,    9 215,    7 498,,,  19,    2 633,    1 487,    1 146,    2 720,    1 504,    1 216,    2 127,    1 207,    920,    2 187,    1 254,    933
20——24岁,    161 052,    90 153,    70 899,    9 283,    5 337,    3 946,    10 627,    5 787,    4 840,    11 592,    6 492,    5 100,,,  20,    3 014,    1 689,    1 325,    3 142,    1 782,    1 360,    3 626,    2 100,    1 526,    3 918,    2 236,    1 682,    3 669,    1 971,    1 698,,,20——24岁,    13 560,    7 661,    5 899,    13 889,    7 635,    6 254,    11 610,    6 596,    5 014,    11 518,    6 674,    4 844
  20,    34 373,    19 366,    15 007,    1 987,    1 173,    814,    2 315,    1 202,    1 113,    2 538,    1 432,    1 106,,,  21,    2 556,    1 420,    1 136,    2 806,    1 534,    1 272,    3 220,    1 785,    1 435,    3 582,    1 972,    1 610,    3 415,    1 886,    1 529,,,  20,    2 847,    1 606,    1 241,    2 722,    1 494,    1 228,    2 268,    1 342,    926,    2 327,    1 339,    988
  21,    32 082,    17 901,    14 181,    1 666,    962,    704,    1 933,    1 092,    841,    2 187,    1 210,    977,,,  22,    2 636,    1 495,    1 141,    2 753,    1 551,    1 202,    3 071,    1 697,    1 374,    3 271,    1 774,    1 497,    3 025,    1 711,    1 314,,,  21,    2 790,    1 573,    1 217,    3 037,    1 678,    1 359,    2 551,    1 444,    1 107,    2 339,    1 345,    994
  22,    30 176,    16 914,    13 262,    1 873,    1 066,    807,    2 086,    1 141,    945,    2 237,    1 251,    986,,,  23,    2 791,    1 576,    1 215,    2 810,    1 546,    1 264,    3 334,    1 826,    1 508,    3 475,    1 901,    1 574,    3 295,    1 830,    1 465,,,  22,    2 476,    1 400,    1 076,    2 522,    1 405,    1 117,    2 119,    1 212,    907,    2 107,    1 211,    896
  23,    32 140,    17 795,    14 345,    1 827,    1 007,    820,    2 183,    1 169,    1 014,    2 306,    1 282,    1 024,,,  24,    2 657,    1 513,    1 144,    2 936,    1 666,    1 270,    3 346,    1 867,    1 479,    3 316,    1 826,    1 490,    3 309,    1 817,    1 492,,,  23,    2 698,    1 536,    1 162,    2 779,    1 497,    1 282,    2 322,    1 270,    1 052,    2 320,    1 355,    965
  24,    32 281,    18 177,    14 104,    1 930,    1 129,    801,    2 110,    1 183,    927,    2 324,    1 317,    1 007,,,25——29岁,    10 055,    5 686,    4 369,    10 538,    6 001,    4 537,    11 624,    6 566,    5 058,    12 257,    6 967,    5 290,    11 856,    6 703,    5 153,,,  24,    2 749,    1 546,    1 203,    2 829,    1 561,    1 268,    2 350,    1 328,    1 022,    2 425,    1 424,    1 001
