表10—7 全国县分年龄、性别的死亡人口数,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女
  45,    27 997,    16 939,    11 058,    9 004,    5 363,    3 641,    9 170,    5 631,    3 539,    9 823,    5 945,    3 878
  46,    28 646,    17 451,    11 195,    9 501,    5 820,    3 681,    9 274,    5 735,    3 539,    9 871,    5 896,    3 975
  47,    30 547,    18 400,    12 147,    10 222,    6 203,    4 019,    9 940,    6 022,    3 918,    10 385,    6 175,    4 210
  48,    34 256,    20 818,    13 438,    11 578,    6 988,    4 590,    11 087,    6 786,    4 301,    11 591,    7 044,    4 547
  49,    36 964,    22 402,    14 562,    11 910,    7 184,    4 726,    12 345,    7 540,    4 805,    12 709,    7 678,    5 031
50——54岁,    230 345,    140 978,    89 367,    77 345,    47 153,    30 192,    74 036,    45 680,    28 356,    78 964,    48 145,    30 819
  50,    39 160,    23 871,    15 289,    13 849,    8 361,    5 488,    12 244,    7 570,    4 674,    13 067,    7 940,    5 127
  51,    42 317,    26 077,    16 240,    14 011,    8 688,    5 323,    13 906,    8 529,    5 377,    14 400,    8 860,    5 540
  52,    45 580,    27 910,    17 670,    15 223,    9 215,    6 008,    14 580,    8 981,    5 599,    15 777,    9 714,    6 063
  53,    49 777,    30 432,    19 345,    16 463,    10 020,    6 443,    16 066,    9 992,    6 074,    17 248,    10 420,    6 828
  54,    53 511,    32 688,    20 823,    17 799,    10 869,    6 930,    17 240,    10 608,    6 632,    18 472,    11 211,    7 261
55——59岁,    334 684,    206 950,    127 734,    111 876,    68 970,    42 906,    106 675,    66 415,    40 260,    116 133,    71 565,    44 568
  55,    57 687,    35 900,    21 787,    19 662,    12 253,    7 409,    18 323,    11 417,    6 906,    19 702,    12 230,    7 472
  56,    61 831,    38 298,    23 533,    19 797,    12 022,    7 775,    19 817,    12 498,    7 319,    22 217,    13 778,    8 439
  57,    63 614,    39 220,    24 394,    20 667,    12 813,    7 854,    20 545,    12 701,    7 844,    22 402,    13 706,    8 696
  58,    69 861,    43 240,    26 621,    25 503,    15 798,    9 705,    21 298,    13 351,    7 947,    23 060,    14 091,    8 969
  59,    81 691,    50 292,    31 399,    26 247,    16 084,    10 163,    26 692,    16 448,    10 244,    28 752,    17 760,    10 992
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,    合计,    男,    女,  小计,    男,    女,    小计,    另,    女
60——64岁,    465 539,    283 400,    182 139,    156 811,    95 672,    61 139,    145 281,    88 743,    56 538,    163 447,    98 985,    64 462
  60,    84 726,    51 776,    32 950,    29 324,    17 878,    11 446,    25 920,    15 950,    9 970,    29 482,    17 948,    11 534
  61,    88 554,    54 345,    34 209,    29 355,    17 980,    11 375,    28 136,    17 358,    10 778,    31 063,    19 007,    12 056
  62,    91 017,    55 552,    35 465,    29 593,    18 243,    11 350,    28 314,    17 182,    11 132,    33 110,    20 127,    12 983
  63,    94 788,    57 168,    37 620,    33 157,    19 955,    13 202,    28 908,    17 575,    11 333,    32 723,    19 638,    13 085
  64,    106 454,    64 559,    41 895,    35 382,    21 616,    13 766,    34 003,    20 678,    13 325,    37 069,    22 265,    14 804
65——69岁,    581 323,  340 681,    240 642,    193 841,    113 446,    80 395,    181 521,    107 291,    74 230,    205 961,    119 944,    86 017
  65,    108 561,    65 121,    43 440,    35 866,    21 531,    14 335,    34 111,    20 590,    13 521,    38 584,    23 000,    15 584
  66,    106 739,    63 293,    43 446,    34 393,    20 438,    13 955,    33 271,    19 932,    13 339,    39 075,    22 923,    16 152
  67,    110 972,    65 197,    45 775,    36 741,    21 625,    15 116,    34 539,    20 467,    14 072,    39 692,    23 105,    16 587
  68,    121 789,    70 647,    51 142,    42 769,    24 650,    18 119,    37 634,    22 012,    15 622,    41 386,    23 985,    17 401
  69,    133 262,    76 423,    56 839,    44 072,    25 202,    18 870,    41 966,    24 290,    17 676,    47 224,    26 931,    20 293
70——74岁,    664 318,    365 004,    299 314,    217 841,    119 518,    98 323,    204 861,    113 536,    91 325,    241 616,    131 950,    109 666
  70,    135 277,    75 984,    59 293,    44 765,    25 044,    19 721,    41 231,    23 357,    17 874,    49 281,    27 583,    21 698
  71,    130 623,    72 985,    57 638,    42 367,    23 739,    18 628,    40 721,    22 931,    17 790,    47 535,    26 315,    21 220
  72,    133 972,    73 957,    60 015,    43 575,    23 943,    19 632,    41 594,    23 205,    18 389,    48 803,    26 809,    21 994
  73,    131 800,    71 565,    60 235,    42 783,    23 059,    19 724,    40 856,    22 419,    18 437,    48 161,    26 087,    22 074
  74,    132 646,    70 513,    62 133,    44 351,    23 733,    20 618,    40 459,    21 624,    18 835,    47 836,    25 156,    22 680
75——79岁,    588 595,    299 748,    288 847,    187 319,    95 232,    92 087,    182 765,    93 963,    88 802,    218 511,    110 553,    107 958
  75,    132 127,    69 576,    62 551,    40 882,    21 579,    19 303,    42 059,    22 305,    19 754,    49 186,    25 692,    23 494
  76,121 190,    63 073,    58 117,    38 420,    19 959,    18 461,    37 410,    19 799,    17 611,    45 360,    23 315,    22 045
  77,    112 533,    57 409,    55 124,    35 627,    18 179,    17 448,    34 470,    17 826,    16 644,    42 436,    21 404,    21 032
  78,    111 214,    55 566,    55 648,    36 292,    18 069,    18 223,    34 206,    17 172,    17 034,    40 716,    20 325,    20 391
  79,    111 531,    54 124,    57 407,    36 098,    17 446,    18 652,    34 620,    16 861,    17 759,    40 813,    19 817,    20 996
80——84岁,    446 859,    199 277,    247 582,    139 218,    62 041,    77 177,    137 702,    61 764,    75 938,    169 939,    75 472,    94 467
  80,    110 911,    51 880,    59 031,    34 731,    16 199,    18 532,    34 146,    16 056,    18 090,    42 034,    19 625,    22 409
  81,    95 704,    43 731,    51 973,    29 489,    13 427,    16 062,    29 493,    13 554,    15 939,    36 722,    16 750,    19 972
  82,    88 052,    38 939,    49 113,    28 571,    12 685,    15 886,    26 574,    11 836,    14 738,    32 907,    14 418,    18 489
  83,    81 523,    35 199,    46 324,    24 679,    10 589,    14 090,    25 489,    11 084,    14 405,    31 355,    13 526,    17 829
  84,    70 669,    29 528,    41 141,    21 748,    9 141,    12 607,    22 000,    9 234,    12 766,    26 921,    11 153,    15 768
85——89岁,    207 448,    79 542,    127 906,    61 760,    23 944,    37 816,    64 429,    24 731,    39 698,    81 259,    30 867,    50 392
  85,    59 811,    24 287,    35 524,    18 416,    7 528,    10 888,    18 423,    7 446,    10 977,    22 972,    9 313,    13 659
  86,    50 189,    19 425,    30 764,    14 943,    5 894,    9 049,    15 674,    6 121,    9 553,    19 572,    7 410,    12 162
  87,    40 006,    15 290,    24 716,    12 033,    4 582,    7 451,    12 495,    4 769,    7 726,    15 478,    5 939,    9 539
  88,    32 932,    11 922,    21 010,    10 011,    3 699,    6 312,    10 161,    3 685,    6 476,    12 760,    4 538,    8 222
  89,    24 510,    8 618,    15 892,    6 357,    2 241,    4 116,    7 676,    2 710,    4 966,    10 477,    3 667,    6 810
90岁及以上,    61 000,    19 193,    41 807,    18 262,    5 766,    12 496,    18 564,    5 816,    12 748,    24 174,    7 611,    16 563
