表10—13 全国6岁以上死亡人口的文化程度状况,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,    年龄别,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    145 304,    115 829,    29 475,    717 470,    562 617,    154 853,    2 347 035,    1 819 189,    527 846,  5 815 196,    2 472 173,    3 343 023
总计,    9 104 489,    5 034 072,    4 070 417,    19 122,    16 245,    2 877,    21 456,    18 415,    3 041,    38 906,    29 604,    9 302,,,6——9岁,     ——,     ——,     ——,     ——,     ——,     ——,    38 537,    25 193,    13 344,    41 151,    23 118,    18 033
6——9岁,    79 688,    48 311,    31 377,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  6,     ——,     ——,     ——,     ——,     ——,     ——,    4 821,    3 140,    1 681,    18 101,    10 407,    7 694
  6,    22 922,    13 547,    9 375,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  7,     ——,     ——,     ——,     ——,     ——,     ——,    10 301,    6 710,    3 591,    11 411,    6 505,    4 906
  7,    21 712,    13 215,    8 497,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  8,     ——,     ——,     ——,     ——,     ——,     ——,    11 561,    7 718,    3 843,    6 833,    3 709,    3 124
  8,    18 394,    11 427,    6 967,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  9,     ——,     ——,     ——,     ——,     ——,     ——,    11 854,    7 625,    4 229,    4 806,    2 497,    2 309
  35,    50 097,    29 705,    20 392,    52,    45,    7,    219,    178,    41,    435,    314,    121,,,  35,    2 828,    2 264,    564,    12 388,    9 250,    3 138,    22 048,    13 245,    8 803,    12 127,    4 409,    7 718
  36,    48 831,    29 108,    19 723,    57,    44,    13,    192,    151,    41,    417,    282,    135,,,  36,    2 170,    1 778,    392,    11 268,    8 564,    2 704,    22 417,    13 643,    8 774,    12 310,    4 646,    7 664
  37,    49 007,    29 357,    19 650,    52,    44,    8,    194,    158,    36,    381,    279,    102,,,  37,    1 738,    1 404,    334,    10 862,    8 299,    2 563,    23 031,    14 344,    8 687,    12 749,    4 829,    7 920
  38,    46 750,    27 991,    18 759,    55,    48,    7,    227,    189,    38,    299,    223,    76,,,  38,    1 423,    1 165,    258,    10 180,    7 768,    2 412,    22 013,    13 769,    8 244,    12 553,    4 829,    7 724
  39,    50 092,    30 560,    19 532,    60,    56,    4,    266,    226,    40,    429,    308,    121,,,  39,    1 390,    1 149,    241,    10 252,    7 912,    2 340,    24 012,    15 514,    8 498,    13 683,    5 395,    8 288
40——44岁,    256 136,    156 391,    99 745,    709,    583,    126,    1 258,    1 045,    213,    3 203,    2 307,    896,,,40——44岁,    6 880,    5 407,    1 473,    45 853,    35 576,    10 277,    123 748,    82 648,    41 100,    74 485,    28 825,    45 660
  40,    52 111,    32 060,    20 051,    70,    58,    12,    265,    234,    31,    576,    414,    162,,,  40,    1 469,    1 182,    287,    9 332,    7 263,    2 069,    25 578,    16 921,    8 657,    14 821,    5 988,    8 833
  41,    49 164,    30 274,    18 890,    91,    75,    16,    249,    210,    39,    672,    510,    162,,,  41,    1 382,    1 103,    279,    8 510,    6 635,    1 875,    24 379,    16 308,    8 071,    13 881,    5 433,    8 448
  42,    50 663,    30 909,    19 754,    123,    103,    20,    258,    216,    42,    686,    493,    193,,,  42,    1 337,    1 047,    290,    8 805,    6 784,    2 021,    25 069,    16 764,    8 305,    14 385,    5 502,    8 883
  43,    50 426,    30 559,    19 867,    190,    158,    32,    246,    195,    51,    664,    471,    193,,,  43,    1 326,    1 033,    293,    9 224,    7 126,    2 098,    24 045,    16 029,    8 016,    14 731,    5 547,    9 184
  44,    53 772,    32 589,    21 183,    235,    189,    46,    240,    190,    50,    605,    419,    186,,,  44,    1 366,    1 042,    324,    9 982,    7 768,    2 214,    24 677,    16 626,    8 051,    16 667,    6 355,    10 312
45——49岁,    315 584,    193 815,    121 769,    1 601,    1 287,    314,    1 757,    1 450,    307,    5 258,    3 768,    1 490,,,45——49岁,    8 816,    6 954,    1 862,    48 673,    38 318,    10 355,    134 049,    95 497,    38 552,    115 430,    46 541,    68 889
  45,    55 221,    34 071,    21 150,    229,    184,    45,    266,    224,    42,    784,    547,    237,,,  45,    1 551,    1 192,    359,    10 073,    7 939,    2 134,    24 491,    16 976,    7 515,    17 827,    7 009,    10 818
  46,    56 498,    34 900,    21 598,    254,    205,    49,    296,    245,    51,    900,    634,    266,,,  46,    1 667,    1 288,    379,    9 792,    7 730,    2 062,    24 392,    17 236,    7 156,    19 197,    7 562,    11 635
  47,    61 343,    37 614,    23 729,    286,    232,    54,    341,    283,    58,    1 076,    768,    308,,,  47,    1 872,    1 449,    423,    9 876,    7 757,    2 119,    25 757,    18 257,    7 500,    22 135,    8 868,    13 267
  48,    68 294,    41 829,    26 465,    366,    287,    79,    396,    327,    69,    1 217,    883,    334,,,  48,    1 867,    1 528,    339,    9 505,    7 428,    2 077,    28 958,    20 827,    8 131,    25 985,    10 549,    15 436
  49,    74 228,    45 401,    28 827,    466,    379,    87,    458,    371,    87,    1 281,    936,    345,,,  49,    1 859,    1 497,    362,    9 427,    7 464,    1 963,    30 451,    22 201,    8 250,    30 286,    12 553,    17 733
50——54岁,    474 723,    293 601,    181 122,    2 739,    2 278,    461,    2 923,    2 507,    416,    7 014,    5 532,    1 482,,,50——54岁,    8 847,    7 392,    1 455,    44 642,    37 177,    7 465,    181 962,    140 928,    41 034,    226 596,    97 787,    128 809
  50,    79 379,    49 091,    30 288,    522,    426,    96,    552,    474,    78,    1 309,    1 019,    290,,,  50,    1 846,    1 492,    354,    8 761,    7 073,    1 688,    31 849,    23 913,    7 936,    34 540,    14 694,    19 846
