表10—6全国镇分年龄、性别的死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．)(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,  合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  63,    42 632,    26 660,    15 972,    14 727,    9 235,    5 492,    13 128,    8 272,    4 856,    14 777,    9 153,    5 624
  64,    47 233,    29 279,    17 954,    15 361,    9 626,    5 735,    15 188,    9 440,    5 748,    16 684,    10 213,    6 471
65——69岁,    257 762,    154 753,    103 009,    85 204,    51 325,    33 879,    80 700,    48 842,    31 858,    91 858,    54 586,    37 272
  65,    48 130,    29 469,    18 661,    15 756,    9 653,    6 103,    15 154,    9 375,    5 779,    17 220,    10 441,    6 779
  66,    47 509,    28 957,    18 552,    15 346,    9 463,    5 883,    14 684,    9 015,    5 669,    17 479,    10 479,    7 000
  67,    49 926,    30 236,    19 690,    16 614,    10 145,    6 469,    15 683,    9 543,    6 140,    17 629,    10 548,    7 081
  68,    54 334,    32 480,    21 854,    18 553,    11 051,    7 502,    16 976,    10 297,    6 679,    18 805,    11 132,    7 673
  69,    57 863,    33 611,    24 252,    18 935,    11 013,    7 922,    18 203,    10 612,    7 591,    20 725,    11 986,    8 739
70——74岁,    292 687,    164 260,    128 427,    95 615,    53 586,    42 029,    91 101,    51 559,    39 542,    105 971,    59 115,    46 856
  70,    59 055,    33 925,    25 130,    19 273,    10 971,    8 302,    18 311,    10 618,    7 693,    21 471,    12 336,    9 135
  71,    56 939,    32 519,    24 420,    18 631,    10 618,    8 013,    17 685,    10 267,    7 418,    20 623,    11 634,    8 989
  72,    59 398,    33 463,    25 935,    19 015,    10 746,    8 269,    18 832,    10 595,    8 237,    21 551,    12 122,    9 429
  73,    58 084,    32 148,    25 936,    18 959,    10 439,    8 520,    17 971,    10 072,    7 899,    21 154,    11 637,    9 517
  74,    59 211,    32 205,    27 006,    19 737,    10 812,    8 925,    18 302,    10 007,    8 295,    21 172,    11 386,    9 786
75——79岁,    272 189,  139 664,    132 525,    86 289,    44 114,    42 175,    84 137,    43 457,    40 680,    101 763,    52 093,    49 670
  75,    59 958,    32 328,    27 630,    18 734,    10 070,    8 664,    18 869,    10 281,    8 588,    22 355,    11 977,    10 378
  76,    55 330,    29 209,    26 121,    17 340,    9 218,    8 122,    17 213,    9 172,    8 041,    20 777,    10 819,    9 958
  77,    52 808,    27 051,    25 757,    16 629,    8 527,    8 102,    16 081,    8 305,    7 776,    20 098,    10 219,    9 879
  78,    52 164,    26 180,    25 984,    16 957,    8 452,    8 505,    15 975,    8 009,    7 966,    19 232,    9 719,    9 513
  79,    51 929,    24 896,    27 033,    16 629,    7 847,    8 782,    15 999,    7 690,    8 309,    19 301,    9 359,    9 942
80——84岁,    211 042,    92 425,    118 617,    65 642,    28 869,    36 773,    64 522,    28 575,    35 947,    80 878,    34 981,    45 897
  80,    50 864,    23 751,    27 113,    15 995,    7 461,    8 534,    15 629,    7 446,    8 183,    19 240,    8 844,    10 396
  81,    44 537,    20 076,    24 461,    13 764,    6 205,    7 559,    13 538,    6 213,    7 325,    17 235,    7 658,    9 577
  82,    41 646,    17 955,    23 691,    13 349,    5 769,    7 580,    12 466,    5 385,    7 081,    15 831,    6 801,    9 030
  83,    39 233,    16 596,    22 637,    11 962,    5 048,    6 914,    12 106,    5 145,    6 961,    15 165,    6 403,    8 762
  84,    34 762,    14 047,    20 715,    10 572,    4 386,    6 186,    10 783,    4 386,    6 397,    13 407,    5 275,    8 132
85——89岁,    109 385,    40 149,    69 236,    33 100,    12 392,    20 708,    33 614,    12 320,    21 294,    42 671,    15 437,    27 234
  85,    30 192,    11 804,    18 388,    9 432,    3 681,    5 751,    9 146,    3 637,    5 509,    11 614,    4 486,    7 128
  86,    25 928,    9 709,    16 219,    7 765,    3 010,    4 755,    7 945,    2 983,    4 962,    10 218,    3 716,    6 502
  87,    21 653,    7 905,    13 748,    6 855,    2 578,    4 277,    6 657,    2 379,    4 278,    8 141,    2 948,    5 193
  88,    18 024,    6 252,    11 772,    5 425,    1 909,    3 516,    5 610,    1 926,    3 684,    6 989,    2 417,    4 572
  89,    13 588,    4 479,    9 109,    3 623,    1 214,    2 409,    4 256,    1 395,    2 861,    5 709,    1 870,    3 839
90岁及以上,    36 569,    10 241,    26 328,    11 179,    3 125,    8 054,    10 951,    3 094,    7 857,    14 439,    4 022,    10 417
