表10—4全国分年龄、性别的死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,    合计,    男,    女,  小计,    男,     女,    小计,    男,    女
  77,    231 277,    119 064,    112 213,    73 475,    37 932,    35 543,    70 514,    36 673,    33 841,    87 288,    44 459,    42 829
  78,    228 971,    115 366,    113 605,    74 101,    37 161,    36 940,    70 209,    35 575,    34 634,    84 661,    42 630,    42 031
  79,    227 706,    110 748,    116 958,    73 484,    35 465,    38 019,    70 298,    34 317,    35 981,    83 924,    40 966,    42 958
80——84岁,    921 435,    410 279,    511 156,    287 681,    127 859,    159 822,    283 118,    127 179,    155 939,    350 636,    155 241,    195 395
  80,    224 329,    105 467,    118 862,    70 414,    32 983,    37 431,    69 124,    32 771,    36 353,    84 791,    39 713,    45 078
  81,    195 868,    89 639,    106 229,    60 558,    27 656,    32 902,    60 017,    27 758,    32 259,    75 293,    34 225,    41 068
  82,    181 638,    80 304,    101 334,    58 802,    25 993,    32 809,    54 745,    24 357,    30 388,    68 091,    29 954,    38 137
  83,    170 602,    73 315,    97 287,    51 957,    22 134,    29 823,    52 968,    22 978,    29 990,    65 677,    28 203,    37 474
  84,    148 998,    61 554,    87 444,    45 950,    19 093,    26 857,    46 264,    19 315,    26 949,    56 784,    23 146,    33 638
85——89岁,    457 643,    172 450,    285 193,    138 008,    52 534,    85 474,    141 094,    53 328,    87 766,    178 541,    66 588,    111 953
  85,    128 446,    51 444,    77 002,    39 956,    16 050,    23 906,    39 191,    15 753,    23 438,    49 299,    19 641,    29 658
  86,    109 051,    41 776,    67 275,    32 700,    12 764,    19 936,    33 775,    13 072,    20 703,    42 576,    15 940,    26 636
  87,    89 544,    33 580,    55 964,    27 716,    10 428,    17 288,    27 756,    10 392,    17 364,    34 072,    12 760,    21 312
  88,    74 786,    26 622,    48 164,    22 734,    8 227,    14 507,    22 997,    8 134,    14 863,    29 055,    10 261,    18 794
  89,    55 816,    19 028,    36 788,    14 902,    5 065,    9 837,    17 375,    5 977,    11 398,    23 539,    7 986,    15 553
90岁及以上,    145 504,    43 248,    102 256,    44 150,    13 052,    31 098,    43 981,    13 137,    30 844,    57 373,    17 059,    40 314
