表10—5全国市分年龄、性别的死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．)(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女
  63,    54 480,    33 881,    20 599,    18 487,    11 490,    6 997,    17 006,    10 661,    6 345,    18 987,    11 730,    7 257
  64,    59 576,    37 017,    22 559,    19 412,    12 073,    7 339,    19 132,    11 939,    7 193,    21 032,    13 005,    8 027
65——69岁,  325 149,    196 762,    128 387,  106 441,    64 601,    41 840,    101 898,    62 249,    39 649,    116 810,    69 912,    46 898
  65,    60 551,    37 072,    23 479,    19 635,    12 096,    7 539,    19 187,    11 807,    7 380,    21 729,    13 169,    8 560
  66,    60 890,    37 289,    23 601,    19 718,    12 164,    7 554,    18 769,    11 631,    7 138,    22 403,    13 494,    8 909
  67,    63 878,    38 778,    25 100,    21 190,    12 822,    8 368,    19 999,    12 331,    7 668,    22 689,    13 625,    9 064
  68,    68 017,    41 073,    26 944,    22 458,    13 600,    8 858,    21 437,    13 027,    8 410,    24 122,    14 446,    9 676
  69,    71 813,    42 550,    29 263,    23 440,    13 919,    9 521,    22 506,    13 453,    9 053,    25 867,    15 178,    10 689
70——74岁,  360 398,  205 599,  154 799,  117 240,    66 886,    50 354,    111 597,    64 187,    47 410,    131 561,    74 526,    57 035
  70,    71 988,    42 090,    29 898,    23 629,    13 840,    9 789,    22 190,    13 020,    9 170,    26 169,    15 230,    10 939
  71,    70 406,    40 694,    29 712,    22 811,    13 278,    9 533,    21 880,    12 660,    9 220,    25 715,    14 756,    10 959
  72,    73 091,    42 035,    31 056,    23 321,    13 457,    9 864,    23 002,    13 328,    9 674,    26 768,    15 250,    11 518
  73,    71 930,    40 376,    31 554,    23 107,    12 810,    10 297,    22 174,    12 641,    9 533,    26 649,    14 925,    11 724
  74,    72 983,    40 404,    32 579,    24 372,    13 501,    10 871,    22 351,    12 538,    9 813,    26 260,    14 365,    11 895
75——79岁,    339 947,    178 053,    161 894,    108 042,    56 557,    51 485,    104 610,    55 335,    49 275,    127 295,    66 161,    61 134
  75,    74 290,    40 597,    33 693,    23 337,    12 766,    10 571,    23 468,    12 940,    10 528,    27 485,    14 891,    12 594
  76,    69 882,    37 504,    32 378,    21 877,    11 753,    10 124,    21 472,    11 693,    9 779,    26 533,    14 058,    12 475
  77,    65 936,    34 604,    31 332,    21 219,    11 226,    9 993,    19 963,    10 542,    9 421,    24 754,    12 836,    11 918
  78,    65 593,    33 620,    31 973,    20 852,    10 640,    10 212,    20 028,    10 394,    9 634,    24 713,    12 586,    12 127
  79,    64 246,    31 728,    32 518,    20 757,    10 172,    10 585,    19 679,    9 766,    9 913,    23 810,    11 790,    12 020
80——84岁,  263 534,    118 577,    144 957,    82 821,    36 949,    45 872,    80 894,    36 840,    44 054,    99 819,    44 788,    55 031
  80,    62 554,    29 836,    32 718,    19 688,    9 323,    10 365,    19 349,    9 269,    10 080,    23 517,    11 244,    12 273
  81,    55 627,    25 832,    29 795,    17 305,    8 024,    9 281,    16 986,    7 991,    8 995,    21 336,    9 817,    11 519
  82,    51 940,    23 410,    28 530,    16 882,    7 539,    9 343,    15 705,    7 136,    8 569,    19 353,    8 735,    10 618
  83,    49 846,    21 520,    28 326,    15 316,    6 497,    8 819,    15 373,    6 749,    8 624,    19 157,    8 274,    10 883
  84,    43 567,    17 979,    25 588,    13 630,    5 566,    8 064,    13 481,    5 695,    7 786,    16 456,    6 718,    9 738
85——89岁,    140 810,    52 759,    88 051,    43 148,    16 198,    26 950,    43 051,    16 277,    26 774,    54 611,    20 284,    34 327
  85,    38 443,    15 353,    23 090,    12 108,    4 841,    7 267,    11 622,    4 670,    6 952,    14 713,    5 842,    8 871
  86,    32 934,    12 642,    20 292,    9 992,    3 860,    6 132,    10 156,    3 968,    6 188,    12 786,    4 814,    7 972
  87,    27 885,    10 385,    17 500,    8 828,    3 268,    5 560,    8 604,    3 244,    5 360,    10 453,    3 873,    6 580
  88,    23 830,    8 448,    15 382,    7 298,    2 619,    4 679,    7 226,    2 523,    4 703,    9 306,    3 306,    6 000
  89,    17 718,    5 931,    11 787,    4 922,    1 610,    3 312,    5 443,    1 872,    3 571,    7 353,    2 449,    4 904
90岁及以上,    47 935,    13 814,    34 121,    14 709,    4 161,    10 548,    14 466,    4 227,    10 239,    18 760,    5 426,    13 334
