指标名称,抽样数:占总人口比例:0-4岁,抽样数:占总人口比例:5-9岁,抽样数:占总人口比例:10-14岁,抽样数:占总人口比例:15-19岁,抽样数:占总人口比例:20-24岁,抽样数:占总人口比例:25-29岁,抽样数:占总人口比例:30-34岁,抽样数:占总人口比例:35-39岁,抽样数:占总人口比例:40-44岁,抽样数:占总人口比例:45-49岁,抽样数:占总人口比例:50-54岁,抽样数:占总人口比例:55-59岁,抽样数:占总人口比例:60-64岁,抽样数:占总人口比例:65-69岁,抽样数:占总人口比例:70-74岁,抽样数:占总人口比例:75-79岁,抽样数:占总人口比例:80-84岁,抽样数:占总人口比例:85-89岁,抽样数:占总人口比例:90-94岁,抽样数:占总人口比例:95岁以上,抽样数:占总人口比例:男性:0-4岁,抽样数:占总人口比例:男性:5-9岁,抽样数:占总人口比例:男性:10-14岁,抽样数:占总人口比例:男性:15-19岁,抽样数:占总人口比例:男性:20-24岁,抽样数:占总人口比例:男性:25-29岁,抽样数:占总人口比例:男性:30-34岁,抽样数:占总人口比例:男性:35-39岁,抽样数:占总人口比例:男性:40-44岁,抽样数:占总人口比例:男性:45-49岁,抽样数:占总人口比例:男性:50-54岁,抽样数:占总人口比例:男性:55-59岁,抽样数:占总人口比例:男性:60-64岁,抽样数:占总人口比例:男性:65-69岁,抽样数:占总人口比例:男性:70-74岁,抽样数:占总人口比例:男性:75-79岁,抽样数:占总人口比例:男性:80-84岁,抽样数:占总人口比例:男性:85-89岁,抽样数:占总人口比例:男性:90-94岁,抽样数:占总人口比例:男性:95岁以上,抽样数:占总人口比例:女性:0-4岁,抽样数:占总人口比例:女性:5-9岁,抽样数:占总人口比例:女性:10-14岁,抽样数:占总人口比例:女性:15-19岁,抽样数:占总人口比例:女性:20-24岁,抽样数:占总人口比例:女性:25-29岁,抽样数:占总人口比例:女性:30-34岁,抽样数:占总人口比例:女性:35-39岁,抽样数:占总人口比例:女性:40-44岁,抽样数:占总人口比例:女性:45-49岁,抽样数:占总人口比例:女性:50-54岁,抽样数:占总人口比例:女性:55-59岁,抽样数:占总人口比例:女性:60-64岁,抽样数:占总人口比例:女性:65-69岁,抽样数:占总人口比例:女性:70-74岁,抽样数:占总人口比例:女性:75-79岁,抽样数:占总人口比例:女性:80-84岁,抽样数:占总人口比例:女性:85-89岁,抽样数:占总人口比例:女性:90-94岁,抽样数:占总人口比例:女性:95岁以上,总人口,总人口,
频率,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,
单位,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,万人,万人,
1989-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112704,
1990-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113368,114333,
1991-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115823,
1992-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117171,
1993-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118517,
1994-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119850,
1995-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121121,
1996-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122389,
1997-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123626,
1998-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124761,
1999-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125786,1025.0
2000-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126583,126743,957.0
2001-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127627,884.0
2002-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128453,826.0
2003-12-31 00:00:00,5.05,6.56,8.76,8.37,6.79,7.6,9.71,9.61,7.44,7.49,6.32,4.43,3.62,3.29,2.47,1.47,0.75,0.27,0.08,0.02,2.73,3.55,4.61,4.36,3.41,3.81,4.9,4.86,3.81,3.78,3.19,2.23,1.83,1.65,1.24,0.7,0.34,0.4,0.03,0,2.6,3,4.17,4,3.39,3.81,4.83,4.75,3.9,3.7,3.17,2.21,1.8,1.66,1.22,0.79,0.42,0.17,0.05,0.01,,129227,774.0
2004-12-31 00:00:00,4.95,6.09,8.3,8.72,6.35,7.06,9.41,9.78,8.04,7.15,6.9,4.95,3.8,3.2,2.8,1.53,0.84,0.3,0.09,0.02,2.72,3.31,4.38,4.52,3.13,3.48,4.72,4.91,4.03,3.62,3.8,2.51,1.97,1.6,1.28,0.73,0.38,0.14,0.03,0.01,2.25,2.8,4.1,4.2,3.23,3.59,4.7,4.87,4.01,3.53,3.5,2.43,1.86,1.62,1.31,0.9,0.49,0.19,0.09,0.01,,129988,761.0
2005-12-31 00:00:00,5.34,6.24,7.97,8.5,6.1,6.54,8.51,9.72,8.69,6.76,7.28,5.34,3.93,3.32,2.68,1.71,0.92,0.33,0.09,,2.94,3.4,4.25,4.41,2.94,3.17,4.19,4.79,4.31,3.39,3.67,2.72,2.02,1.68,1.32,0.8,0.39,0.12,0.03,,2.4,2.88,3.72,4.09,3.16,3.36,4.33,4.94,4.37,3.37,3.62,2.62,1.92,1.64,1.36,0.91,0.53,0.21,0.07,0.0148,,130756,768.0
2006-12-31 00:00:00,5.0774,5.9185,7.4737,8.8057,6.3857,6.2138,7.831,9.5544,9.7077,6.4139,7.597,5.7247,4.0989,3.3535,2.7411,1.7299,0.9076,0.3473,,,2.7771,3.2651,4.0294,4.6518,3.125,3.0074,3.8417,4.6981,4.8024,3.2069,3.827,2.8959,2.0917,1.7155,1.3534,0.8259,0.386,0.1309,,,2.3004,2.6534,3.4443,4.1539,3.2607,3.2064,3.9894,4.8563,4.9054,3.2068,3.77,2.8287,2.0072,1.638,1.3876,0.9039,0.5216,0.2164,,,,131448,692.0
2007-12-31 00:00:00,5.05,5.74,7.09,8.32,6.61,6.46,7.3,9.71,9.75,6.4,7.78,6.16,4.29,3.35,2.8,1.77,0.95,0.37,0.09,0.02,2.79,3.14,3.81,4.41,3.24,3.13,3.59,4.81,4.85,3.19,3.92,3.11,2.18,1.71,1.38,0.85,0.42,0.15,0.03,0.01,2.26,2.6,3.28,3.91,3.37,3.32,3.71,4.9,4.9,3.21,3.86,3.05,2.11,1.64,1.42,0.92,0.53,0.23,0.07,0.02,,132129,681.0
2008-12-31 00:00:00,5.13,5.46,6.73,7.87,6.86,6.48,6.96,9.27,9.65,7.19,7.8,6.58,4.47,3.32,2.83,1.87,0.99,0.41,0.1,0.02,2.83,3,3.61,4.19,3.39,3.18,3.45,4.58,4.81,3.57,3.93,3.33,2.27,1.68,1.4,0.89,0.44,0.16,0.03,0.01,2.3,2.47,3.12,3.68,3.47,3.3,3.51,4.69,4.84,3.62,3.87,3.25,2.2,1.64,1.42,0.97,0.55,0.25,0.07,0.02,,132802,673.0
2009-12-31 00:00:00,5.16,5.41,6.3,7.17,7.52,6.48,6.76,9.1,9.64,7.93,7.24,6.79,4.78,3.44,2.79,1.93,1.01,0.41,0.1,0.03,2.84,2.98,3.41,3.79,3.78,3.23,3.33,4.51,4.8,3.92,3.64,3.4,2.43,1.74,1.4,0.94,0.44,0.17,0.03,0.01,2.32,2.43,2.88,3.38,3.75,3.24,3.43,4.59,4.85,4.01,3.6,3.39,2.35,1.7,1.39,0.99,0.57,0.24,0.07,0.02,,133450,648.0
2010-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133972,134091,641.0
2011-12-31 00:00:00,5.66,5.35,5.46,7.02,9.48,7.79,7.17,8.46,9.38,8.81,5.43,6.26,4.6,3.15,2.52,1.85,1.04,0.42,0.13,0.03,3.08,2.9,2.94,3.67,4.82,3.93,3.66,4.33,4.79,4.49,2.78,3.16,2.33,1.58,1.26,0.87,0.46,0.16,0.04,0.01,2.58,2.45,2.51,3.35,4.66,3.87,3.51,4.13,4.59,4.32,2.65,3.1,2.27,1.57,1.26,0.98,0.58,0.26,0.09,0.02,,134735,644.0
2012-12-31 00:00:00,5.69,5.45,5.32,6.57,9.05,8,7.43,7.92,9.56,8.83,5.51,6.35,4.93,3.34,2.51,1.89,1.08,0.42,0.13,0.03,3.08,2.96,2.88,3.46,4.63,4.02,3.78,4.05,4.88,4.5,2.81,3.21,2.48,1.67,1.24,0.9,0.48,0.17,0.04,0.01,2.6,2.49,2.44,3.11,4.42,3.97,3.65,3.87,4.68,4.33,2.7,3.14,2.45,1.68,1.27,0.99,0.6,0.26,0.08,0.02,,135404,669.0
2013-12-31 00:00:00,5.68,5.58,5.15,6.14,8.71,8.33,7.39,7.54,9.28,8.77,6.22,6.32,5.21,3.51,2.49,1.9,1.14,0.47,0.14,0.03,3.06,3.03,2.78,3.23,4.56,4.17,3.75,3.85,4.74,4.46,3.16,3.21,2.61,1.75,1.23,0.9,0.51,0.19,0.05,0.01,2.61,2.55,2.36,2.91,4.15,4.15,3.64,3.69,4.54,4.31,3.06,3.11,2.6,1.76,1.27,1,0.63,0.28,0.09,0.02,,136072,668.0
2014-12-31 00:00:00,5.69,5.61,5.18,5.76,8.07,8.79,7.34,7.27,9.07,8.83,6.93,5.91,5.48,3.71,2.59,1.9,1.18,0.5,0.16,0.03,3.07,3.05,2.81,3.08,4.17,4.43,3.72,3.71,4.63,4.49,3.51,3,2.74,1.83,1.29,0.91,0.53,0.2,0.05,0.01,2.62,2.56,2.37,2.68,3.9,4.36,3.63,3.56,4.44,4.34,3.42,2.9,2.74,1.88,1.3,0.99,0.65,0.3,0.1,0.02,,136782,710.0
2015-12-31 00:00:00,5.83,5.51,5.18,5.47,7.3,9.35,7.38,7.07,8.56,9.01,7.58,5.6,5.68,3.99,2.64,1.93,1.19,0.52,0.16,0.0323,3.14,3,2.81,2.94,3.8,4.73,3.73,3.61,4.37,4.58,3.84,2.85,2.84,1.99,1.3,0.92,0.52,0.21,0.06,0.0091,2.7,2.52,2.37,2.53,3.5,4.62,3.65,3.47,4.19,4.43,3.74,2.75,2.85,2,1.35,1.01,0.66,0.31,0.1,0.0232,,137462,680.0
2016-12-31 00:00:00,5.91,5.51,5.22,5.32,6.83,9.21,7.56,6.95,8.18,9.03,8.43,5.15,5.85,4.18,2.74,1.94,1.24,0.55,0.16,0.04,3.17,2.99,2.83,2.87,3.57,4.68,3.81,3.54,4.17,4.59,4.27,2.61,2.92,2.06,1.34,0.93,0.56,0.23,0.05,0.01,2.74,2.52,2.39,2.45,3.26,4.53,3.76,3.41,4.01,4.44,4.16,2.54,2.93,2.12,1.39,1.01,0.68,0.33,0.11,0.02,,138271,809.0
2017-12-31 00:00:00,5.96,5.53,5.3,5.17,6.39,8.79,7.77,7.21,7.66,9.21,8.45,5.22,5.94,4.5,2.85,1.97,1.28,0.58,0.17,0.04,3.18,3,2.88,2.8,3.36,4.49,3.9,3.66,3.91,4.69,4.28,2.64,2.97,2.21,1.38,0.94,0.58,0.24,0.06,0.01,2.78,2.53,2.43,2.38,3.03,4.3,3.86,3.55,3.75,4.52,4.17,2.58,2.97,2.29,1.47,1.03,0.7,0.34,0.11,0.03,,139008,737.0
2018-12-31 00:00:00,5.89,5.53,5.44,5.09,5.95,8.12,8.14,7.15,7.3,8.94,8.46,6.1,5.94,4.79,3.04,1.99,1.3,0.6,0.18,0.04,3.14,2.99,2.95,2.76,3.15,4.17,4.09,3.63,3.72,4.55,4.28,3.08,2.98,2.36,1.48,0.94,0.56,0.25,0.06,0.01,2.75,2.54,2.49,2.33,2.79,3.95,4.05,3.53,3.58,4.39,4.19,3.03,2.96,2.43,1.56,1.05,0.73,0.35,0.12,0.03,,139538,530.0
2019-12-31 00:00:00,5.74,5.56,5.48,5.11,5.63,7.49,8.61,7.12,7.06,8.76,8.53,6.78,5.56,5.05,3.27,2.07,1.31,0.64,0.19,0.04,3.06,3,2.98,2.77,3.01,3.86,4.33,3.6,3.59,4.46,4.31,3.41,2.79,2.47,1.58,0.97,0.57,0.27,0.07,0.01,2.69,2.56,2.5,2.34,2.63,3.62,4.28,3.52,3.46,4.3,4.22,3.38,2.77,2.58,1.68,1.1,0.74,0.38,0.13,0.03,,140005,467.0
2020-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141178,,1173.0
