,备注：新疆维吾尔自治区人口数为结合六普数据预估人口，其余均为官网发布人口数,,,,,,
,序号,省,市,县,七普人口.人,,
,1937,广西壮族自治区,钦州市,灵山县,1218140,,
,1938,广西壮族自治区,钦州市,浦北县,683964,,
,1939,广西壮族自治区,钦州市,钦北区,720442,,
,1940,广西壮族自治区,钦州市,钦南区,679692,,
,1941,广西壮族自治区,梧州市,苍梧县,276766,,
,1942,广西壮族自治区,梧州市,岑溪市,724364,,
,1943,广西壮族自治区,梧州市,龙圩区,288482,,
,1944,广西壮族自治区,梧州市,蒙山县,164420,,
,1945,广西壮族自治区,梧州市,藤县,795612,,
,1946,广西壮族自治区,梧州市,万秀区,271989,,
,1947,广西壮族自治区,梧州市,长洲区,299344,,
,1948,广西壮族自治区,玉林市,北流市,1211637,,
,1949,广西壮族自治区,玉林市,博白县,1390612,,
,1950,广西壮族自治区,玉林市,福绵区,318709,,
,1951,广西壮族自治区,玉林市,陆川县,804427,,
,1952,广西壮族自治区,玉林市,容县,654916,,
,1953,广西壮族自治区,玉林市,兴业县,508344,,
,1954,广西壮族自治区,玉林市,玉州区,908121,,
,1955,海南省,白沙黎族自治县,白沙县,164699,,
,1956,海南省,保亭黎族苗族自治县,保亭县,156108,,
,1957,海南省,昌江黎族自治县,昌江县,232124,,
,1958,海南省,澄迈县,澄迈县,497953,,
,1959,海南省,儋州市,儋州市,954259,,
,1960,海南省,定安县,定安县,284690,,
,1961,海南省,东方市,东方市,444458,,
,1962,海南省,海口市,龙华区,797684,,
,1963,海南省,海口市,美兰区,853013,,
,1964,海南省,海口市,琼山区,655553,,
,1965,海南省,海口市,秀英区,567108,,
,1966,海南省,乐东黎族自治县,乐东县,464435,,
,1967,海南省,临高县,临高县,420594,,
,1968,海南省,陵水黎族自治县,陵水县,372511,,
,1969,海南省,琼海市,琼海市,528238,,
,1970,海南省,琼中黎族苗族自治县,琼中县,179586,,
,1971,海南省,三沙市,三沙市,2333,,
,1972,海南省,三亚市,海棠区,113481,,
,1973,海南省,三亚市,吉阳区,447322,,
,1974,海南省,三亚市,天涯区,353698,,
,1975,海南省,三亚市,崖州区,116895,,
,1976,海南省,屯昌县,屯昌县,255335,,
,1977,海南省,万宁市,万宁市,545992,,
,1978,海南省,文昌市,文昌市,560894,,
,1979,海南省,五指山市,五指山市,112269,,
,1980,湖南省,郴州市,安仁县,351927,,
,1981,湖南省,郴州市,北湖区,568778,,
,1982,湖南省,郴州市,桂东县,160956,,
,1983,湖南省,郴州市,桂阳县,709372,,
,1984,湖南省,郴州市,嘉禾县,343169,,
,1985,湖南省,郴州市,临武县,322987,,
,1986,湖南省,郴州市,汝城县,344617,,
,1987,湖南省,郴州市,苏仙区,435836,,
,1988,湖南省,郴州市,宜章县,567970,,
,1989,湖南省,郴州市,永兴县,538532,,
,1990,湖南省,郴州市,资兴市,322990,,
,1991,湖南省,衡阳市,常宁市,790676,,
,1992,湖南省,衡阳市,衡东县,565423,,
,1993,湖南省,衡阳市,衡南县,796327,,
,1994,湖南省,衡阳市,衡山县,335704,,
,1995,湖南省,衡阳市,衡阳县,888433,,
,1996,湖南省,衡阳市,耒阳市,1140675,,
,1997,湖南省,衡阳市,南岳区,70370,,
,1998,湖南省,衡阳市,祁东县,766920,,
,1999,湖南省,衡阳市,石鼓区,227515,,
,2000,湖南省,衡阳市,雁峰区,247791,,
,2001,湖南省,衡阳市,蒸湘区,478072,,
,2002,湖南省,衡阳市,珠晖区,337337,,
,2003,湖南省,永州市,宁远县,684121,,
,2004,湖南省,永州市,祁阳市,832813,,
,2005,湖南省,株洲市,茶陵县,491849,,
,2006,湖南省,株洲市,荷塘区,348894,,
,2007,湖南省,株洲市,醴陵市,885987,,
,2008,湖南省,株洲市,芦淞区,307012,,
,2009,湖南省,株洲市,渌口区,260534,,
,2010,湖南省,株洲市,石峰区,223634,,
,2011,湖南省,株洲市,天元区,478309,,
,2012,湖南省,株洲市,炎陵县,160274,,
,2013,湖南省,株洲市,攸县,630427,,
,2014,江西省,抚州市,崇仁县,,,
,2015,江西省,抚州市,东乡区,383846,,
,2016,江西省,抚州市,广昌县,204375,,
,2017,江西省,抚州市,金溪县,253828,,
,2018,江西省,抚州市,乐安县,307909,,
,2019,江西省,抚州市,黎川县,205205,,
,2020,江西省,抚州市,临川区,1102421,,
,2021,江西省,抚州市,南城县,286260,,
,2022,江西省,抚州市,南丰县,271888,,
,2023,江西省,抚州市,宜黄县,201127,,
,2024,江西省,抚州市,资溪县,95826,,
,2025,江西省,赣州市,章贡区,1123276,,
,2026,江西省,赣州市,南康区,888474,,
,2027,江西省,赣州市,赣县区,576310,,
,2028,江西省,赣州市,信丰县,673763,,
,2029,江西省,赣州市,大余县,264995,,
,2030,江西省,赣州市,上犹县,268557,,
,2031,江西省,赣州市,崇义县,177831,,
,2032,江西省,赣州市,安远县,346435,,
,2033,江西省,赣州市,定南县,209914,,
,2034,江西省,赣州市,全南县,169503,,
,2035,江西省,赣州市,宁都县,702394,,
,2036,江西省,赣州市,于都县,905439,,
,2037,江西省,赣州市,兴国县,715149,,
,2038,江西省,赣州市,会昌县,451513,,
,2039,江西省,赣州市,寻乌县,280219,,
,2040,江西省,赣州市,石城县,283182,,
,2041,江西省,赣州市,瑞金市,613894,,
,2042,江西省,赣州市,龙南市,319166,,
,2043,江西省,吉安市,吉州区,402669,,
,2044,江西省,吉安市,青原区,240730,,
,2045,江西省,吉安市,吉安县,469513,,
,2046,江西省,吉安市,吉水县,421849,,
,2047,江西省,吉安市,峡江县,149954,,
,2048,江西省,吉安市,新干县,286077,,
,2049,江西省,吉安市,永丰县,388464,,
,2050,江西省,吉安市,泰和县,467807,,
,2051,江西省,吉安市,遂川县,512109,,
,2052,江西省,吉安市,万安县,250991,,
,2053,江西省,吉安市,安福县,329053,,
,2054,江西省,吉安市,永新县,393984,,
,2055,江西省,吉安市,井冈山市,155976,,
,2056,江西省,景德镇市,昌江区,201363,,
,2057,江西省,景德镇市,浮梁县,280376,,
,2058,江西省,景德镇市,乐平市,753787,,
,2059,江西省,景德镇市,珠山区,383453,,
,2060,江西省,九江市,柴桑区,312807,,
,2061,江西省,九江市,德安县,167090,,
,2062,江西省,九江市,都昌县,577684,,
,2063,江西省,九江市,共青城市,194689,,
,2064,江西省,九江市,湖口县,227462,,
,2065,江西省,九江市,濂溪区,418339,,
,2066,江西省,九江市,庐山市,231525,,
,2067,江西省,九江市,彭泽县,284757,,
,2068,江西省,九江市,瑞昌市,403655,,
,2069,江西省,九江市,武宁县,322161,,
,2070,江西省,九江市,修水县,710620,,
,2071,江西省,九江市,浔阳区,433122,,
,2072,江西省,九江市,永修县,316365,,
,2073,江西省,南昌市,安义县,252591,,
,2074,江西省,南昌市,东湖区,421690,,
,2075,江西省,南昌市,红谷滩区,555755,,
,2076,江西省,南昌市,进贤县,620254,,
,2077,江西省,南昌市,南昌县,1452502,,
,2078,江西省,南昌市,青山湖区,1307366,,
,2079,江西省,南昌市,青云谱区,349074,,
,2080,江西省,南昌市,西湖区,485161,,
,2081,江西省,南昌市,新建区,810614,,
,2082,江西省,萍乡市,安源区,553293,,
,2083,江西省,萍乡市,莲花县,216938,,
,2084,江西省,萍乡市,芦溪县,260194,,
,2085,江西省,萍乡市,上栗县,469957,,
,2086,江西省,萍乡市,湘东区,304423,,
,2087,江西省,上饶市,德兴市,293596,,
,2088,江西省,上饶市,广丰区,775364,,
,2089,江西省,上饶市,广信区,748265,,
,2090,江西省,上饶市,横峰县,187326,,
,2091,江西省,上饶市,鄱阳县,1184097,,
,2092,江西省,上饶市,铅山县,386200,,
,2093,江西省,上饶市,万年县,357449,,
,2094,江西省,上饶市,婺源县,314985,,
,2095,江西省,上饶市,信州区,545134,,
,2096,江西省,上饶市,弋阳县,338817,,
,2097,江西省,上饶市,余干县,840498,,
,2098,江西省,上饶市,玉山县,519357,,
,2099,江西省,新余市,渝水区,927950,,
,2100,江西省,新余市,分宜县,274549,,
,2101,江西省,宜春市,袁州区,1121707,,
,2102,江西省,宜春市,奉新县,268617,,
,2103,江西省,宜春市,万载县,486435,,
,2104,江西省,宜春市,上高县,343767,,
,2105,江西省,宜春市,宜丰县,252974,,
,2106,江西省,宜春市,靖安县,121800,,
,2107,江西省,宜春市,铜鼓县,116418,,
,2108,江西省,宜春市,丰城市,1065641,,
,2109,江西省,宜春市,樟树市,485649,,
,2110,江西省,宜春市,高安市,744694,,
,2111,江西省,鹰潭市,贵溪市,540572,,
,2112,江西省,鹰潭市,余江区,326162,,
,2113,江西省,鹰潭市,月湖区,287489,,
,2114,湖北省,鄂州市,鄂城区,695697,,
,2115,湖北省,鄂州市,华容区,256834,,
,2116,湖北省,鄂州市,梁子湖区,126822,,
,2117,湖北省,恩施土家族苗族自治州,巴东县,395376,,
,2118,湖北省,恩施土家族苗族自治州,恩施市,836781,,
,2119,湖北省,恩施土家族苗族自治州,鹤峰县,174650,,
,2120,湖北省,恩施土家族苗族自治州,建始县,411622,,
,2121,湖北省,恩施土家族苗族自治州,来凤县,283255,,
,2122,湖北省,恩施土家族苗族自治州,宣恩县,284955,,
,2123,湖北省,黄冈市,红安县,510189,,
,2124,湖北省,黄冈市,黄梅县,787783,,
,2125,湖北省,黄冈市,黄州区,456862,,
,2126,湖北省,黄冈市,罗田县,473195,,
,2127,湖北省,黄冈市,麻城市,893654,,
,2128,湖北省,黄冈市,蕲春县,792101,,
,2129,湖北省,黄冈市,团风县,266218,,
,2130,湖北省,黄冈市,武穴市,676264,,
,2131,湖北省,黄冈市,浠水县,716273,,
,2132,湖北省,黄冈市,英山县,310180,,
,2133,湖北省,黄石市,大冶市,871214,,
,2134,湖北省,黄石市,黄石港区,241589,,
,2135,湖北省,黄石市,铁山区,41907,,
,2136,湖北省,黄石市,西塞山区,197217,,
,2137,湖北省,黄石市,下陆区,215181,,
,2138,湖北省,黄石市,阳新县,901971,,
,2139,湖北省,荆门市,东宝区,328088,,
,2140,湖北省,荆门市,掇刀区,379602,,
,2141,湖北省,荆门市,京山市,492843,,
,2142,湖北省,荆门市,沙洋县,395717,,
,2143,湖北省,荆门市,钟祥市,868897,,
,2144,湖北省,荆州市,公安县,747134,,
,2145,湖北省,荆州市,洪湖市,698188,,
,2146,湖北省,荆州市,监利市,1120822,,
,2147,湖北省,荆州市,江陵县,278192,,
,2148,湖北省,荆州市,荆州区,563398,,
,2149,湖北省,荆州市,沙市区,504893,,
,2150,湖北省,荆州市,石首市,473707,,
,2151,湖北省,荆州市,松滋市,654762,,
,2152,湖北省,潜江市,潜江市,886547,,
,2153,湖北省,神农架林区,神农架林区,66571,,
,2154,湖北省,十堰市,茅箭区,498594,,
,2155,湖北省,十堰市,张湾区,431859,,
,2156,湖北省,十堰市,郧阳区,395222,,
,2157,湖北省,十堰市,十堰经济技术开发区,102954,,
,2158,湖北省,十堰市,郧西县,371012,,
,2159,湖北省,十堰市,竹山县,346069,,
,2160,湖北省,十堰市,竹溪县,283578,,
,2161,湖北省,十堰市,房  县,369776,,
,2162,湖北省,随州市,曾都区,699475,,
,2163,湖北省,随州市,广水市,710900,,
,2164,湖北省,随州市,随县,637548,,
,2165,湖北省,天门市,天门市,1158640,,
,2166,湖北省,武汉市,蔡甸区,554383,,
,2167,湖北省,武汉市,东西湖区,845782,,
,2168,湖北省,武汉市,武汉经开区,481338,,
,2169,湖北省,武汉市,汉阳区,837263,,
,2170,湖北省,武汉市,洪山区,1728811,,
,2171,湖北省,武汉市,黄陂区,1151644,,
,2172,湖北省,武汉市,江岸区,965260,,
,2173,湖北省,武汉市,江汉区,647932,,
,2174,湖北省,武汉市,江夏区,974715,,
,2175,湖北省,武汉市,硚口区,666661,,
,2176,湖北省,武汉市,青山区,463295,,
,2177,湖北省,武汉市,武昌区,1092750,,
,2178,湖北省,武汉市,新洲区,860377,,
,2179,湖北省,仙桃市,仙桃市,1134715,,
,2180,湖北省,咸宁市,赤壁市,470355,,
,2181,湖北省,咸宁市,崇阳县,427130,,
,2182,湖北省,咸宁市,嘉鱼县,285642,,
,2183,湖北省,咸宁市,通城县,426288,,
,2184,湖北省,咸宁市,通山县,391311,,
,2185,湖北省,咸宁市,咸安区,657590,,
,2186,湖北省,襄阳市,保康县,223622,,
,2187,湖北省,襄阳市,樊城区,632393,,
,2188,湖北省,襄阳市,谷城县,483293,,
,2189,湖北省,襄阳市,老河口市,420495,,
,2190,湖北省,襄阳市,南漳县,455690,,
,2191,湖北省,襄阳市,襄城区,475611,,
,2192,湖北省,襄阳市,襄州区,766561,,
,2193,湖北省,襄阳市,宜城市,469417,,
,2194,湖北省,襄阳市,枣阳市,888794,,
,2195,湖北省,孝感市,安陆市,498356,,
,2196,湖北省,孝感市,大悟县,486153,,
,2197,湖北省,孝感市,汉川市,903296,,
,2198,湖北省,孝感市,孝昌县,483367,,
,2199,湖北省,孝感市,孝南区,988479,,
,2200,湖北省,孝感市,应城市,476596,,
,2201,湖北省,孝感市,云梦县,434124,,
,2202,湖北省,宜昌市,当阳市,430465,,
,2203,湖北省,宜昌市,点军区,101649,,
,2204,湖北省,宜昌市,五峰土家族自治县,171026,,
,2205,湖北省,宜昌市,伍家岗区,336294,,
,2206,湖北省,宜昌市,西陵区,537686,,
,2207,湖北省,宜昌市,猇亭区,68728,,
,2208,湖北省,宜昌市,兴山县,153886,,
,2209,湖北省,宜昌市,夷陵区,560383,,
,2210,湖北省,宜昌市,宜都市,367374,,
,2211,湖北省,宜昌市,远安县,181174,,
,2212,湖北省,宜昌市,长阳土家族自治县,336922,,
,2213,湖北省,宜昌市,枝江市,447378,,
,2214,湖北省,宜昌市,秭归县,324642,,
,2215,湖南省,常德市,武陵区,730970,,
,2216,湖南省,常德市,鼎城区,738085,,
,2217,湖南省,常德市,安乡县,427412,,
,2218,湖南省,常德市,汉寿县,706249,,
,2219,湖南省,常德市,澧县,721927,,
,2220,湖南省,常德市,临澧县,373043,,
,2221,湖南省,常德市,桃源县,809220,,
,2222,湖南省,常德市,石门县,559457,,
,2223,湖南省,常德市,津市市,212739,,
,2224,湖南省,怀化市,辰溪县,407578,,
,2225,湖南省,怀化市,鹤城区,712584,,
,2226,湖南省,怀化市,洪江市,341706,,
,2227,湖南省,怀化市,会同县,291067,,
,2228,湖南省,怀化市,靖州县,233638,,
,2229,湖南省,怀化市,麻阳县,313305,,
,2230,湖南省,怀化市,通道县,201047,,
,2231,湖南省,怀化市,新晃县,220775,,
,2232,湖南省,怀化市,溆浦县,757797,,
,2233,湖南省,怀化市,沅陵县,510054,,
,2234,湖南省,怀化市,芷江县,307661,,
,2235,湖南省,怀化市,中方县,233378,,
,2236,湖南省,娄底市,冷水江市,329912,,
,2237,湖南省,娄底市,涟源市,862099,,
,2238,湖南省,娄底市,娄星区,752530,,
,2239,湖南省,娄底市,双峰县,685917,,
,2240,湖南省,娄底市,新化县,1196538,,
,2241,湖南省,邵阳市,双清区,317283,,
,2242,湖南省,邵阳市,大祥区,362289,,
,2243,湖南省,邵阳市,北塔区,122658,,
,2244,湖南省,邵阳市,新邵县,612943,,
,2245,湖南省,邵阳市,邵阳县,752125,,
,2246,湖南省,邵阳市,隆回县,1009778,,
,2247,湖南省,邵阳市,洞口县,675495,,
,2248,湖南省,邵阳市,绥宁县,290664,,
,2249,湖南省,邵阳市,新宁县,513777,,
,2250,湖南省,邵阳市,城步苗族自治县,227911,,
,2251,湖南省,邵阳市,武冈市,640181,,
,2252,湖南省,邵阳市,邵东市,1038416,,
,2253,湖南省,湘潭市,韶山市,103357,,
,2254,湖南省,湘潭市,湘潭县,792829,,
,2255,湖南省,湘潭市,湘乡市,730103,,
,2256,湖南省,湘潭市,雨湖区,616130,,
,2257,湖南省,湘潭市,岳塘区,483762,,
,2258,湖南省,湘西自治州,保靖县,238792,,
,2259,湖南省,湘西自治州,凤凰县,351619,,
,2260,湖南省,湘西自治州,古丈县,108798,,
,2261,湖南省,湘西自治州,花垣县,249238,,
,2262,湖南省,湘西自治州,吉首市,408812,,
,2263,湖南省,湘西自治州,龙山县,476439,,
,2264,湖南省,湘西自治州,泸溪县,240937,,
,2265,湖南省,湘西自治州,永顺县,413470,,
,2266,湖南省,益阳市,资阳区,356405,,
,2267,湖南省,益阳市,赫山区,889068,,
,2268,湖南省,益阳市,南  县,572367,,
,2269,湖南省,益阳市,沅江市,567159,,
,2270,湖南省,益阳市,桃江县,685596,,
,2271,湖南省,益阳市,安化县,780969,,
,2272,湖南省,永州市,道县,621275,,
,2273,湖南省,永州市,东安县,490385,,
,2274,湖南省,永州市,江华瑶族自治县,448195,,
,2275,湖南省,永州市,江永县,235699,,
,2276,湖南省,永州市,蓝山县,329909,,
,2277,湖南省,永州市,冷水滩区,583136,,
,2278,湖南省,永州市,零陵区,563556,,
,2279,湖南省,永州市,双牌县,157140,,
,2280,湖南省,永州市,新田县,343595,,
,2281,湖南省,岳阳市,华容县,553800,,
,2282,湖南省,岳阳市,君山区,201634,,
,2283,湖南省,岳阳市,临湘市,433200,,
,2284,湖南省,岳阳市,汨罗市,632246,,
,2285,湖南省,岳阳市,平江县,951112,,
,2286,湖南省,岳阳市,湘阴县,583984,,
,2287,湖南省,岳阳市,岳阳楼区,980401,,
,2288,湖南省,岳阳市,岳阳县,561888,,
,2289,湖南省,岳阳市,云溪区,153657,,
,2290,湖南省,张家界市,慈利县,562493,,
,2291,湖南省,张家界市,桑植县,376082,,
,2292,湖南省,张家界市,武陵源区,60857,,
,2293,湖南省,张家界市,永定区,517595,,
,2294,湖南省,长沙市,芙蓉区,642010,,
,2295,湖南省,长沙市,开福区,820790,,
,2296,湖南省,长沙市,浏阳市,1429384,,
,2297,湖南省,长沙市,宁乡县,1263332,,
,2298,湖南省,长沙市,天心区,836157,,
,2299,湖南省,长沙市,望城区,890214,,
,2300,湖南省,长沙市,雨花区,1264895,,
,2301,湖南省,长沙市,岳麓区,1526641,,
,2302,湖南省,长沙市,长沙县,1374491,,
,2303,安徽省,蚌埠市,蚌山区,171045,,
,2304,安徽省,蚌埠市,固镇县,501449,,
,2305,安徽省,蚌埠市,怀远县,935335,,
,2306,安徽省,蚌埠市,淮上区,283872,,
,2307,安徽省,蚌埠市,龙子湖区,216875,,
,2308,安徽省,蚌埠市,五河县,523531,,
,2309,安徽省,蚌埠市,禹会区,325814,,
,2310,安徽省,亳州市,利辛县,1187254,,
,2311,安徽省,亳州市,蒙城县,1101640,,
,2312,安徽省,亳州市,涡阳县,1170719,,
,2313,安徽省,阜阳市,阜南县,1183602,,
,2314,安徽省,阜阳市,界首市,650870,,
,2315,安徽省,阜阳市,临泉县,1658442,,
,2316,安徽省,阜阳市,太和县,1379982,,
,2317,安徽省,阜阳市,颍东区,538187,,
,2318,安徽省,阜阳市,颍泉区,598004,,
,2319,安徽省,阜阳市,颍上县,1198830,,
,2320,安徽省,阜阳市,颍州区,992347,,
,2321,安徽省,淮北市,杜集区,239692,,
,2322,安徽省,淮北市,烈山区,249237,,
,2323,安徽省,淮北市,濉溪县,932402,,
,2324,安徽省,淮北市,相山区,548934,,
,2325,安徽省,淮南市,大通区,165671,,
,2326,安徽省,淮南市,田家庵区,730078,,
,2327,安徽省,淮南市,谢家集区,221589,,
,2328,安徽省,淮南市,八公山区,118221,,
,2329,安徽省,淮南市,潘集区,326077,,
,2330,安徽省,淮南市,凤台县,633385,,
,2331,安徽省,六安市,霍邱县,944985,,
,2332,安徽省,六安市,霍山县,286197,,
,2333,安徽省,六安市,金安区,829236,,
,2334,安徽省,六安市,金寨县,496501,,
,2335,安徽省,六安市,舒城县,697250,,
,2336,安徽省,六安市,叶集区,216229,,
,2337,安徽省,六安市,裕安区,923301,,
,2338,安徽省,宿州市,砀山县,765564,,
,2339,安徽省,宿州市,灵璧县,974720,,
,2340,安徽省,宿州市,泗县,763310,,
,2341,安徽省,宿州市,萧县,1054597,,
,2342,安徽省,宿州市,埇桥区,1766285,,
,2343,江苏省,淮安市,洪泽区,285097,,
,2344,江苏省,淮安市,淮安区,785272,,
,2345,江苏省,淮安市,淮阴区,748791,,
,2346,江苏省,淮安市,金湖县,289456,,
,2347,江苏省,淮安市,涟水县,829699,,
,2348,江苏省,淮安市,清江浦区,594524,,
,2349,江苏省,淮安市,盱眙县,607211,,
,2350,江苏省,连云港市,东海县,1047357,,
,2351,江苏省,连云港市,赣榆区,1003844,,
,2352,江苏省,连云港市,灌南县,612345,,
,2353,江苏省,连云港市,灌云县,725047,,
,2354,江苏省,连云港市,海州区,918005,,
,2355,江苏省,连云港市,连云区,292762,,
,2356,江苏省,泰州市,海陵区,577016,,
,2357,江苏省,泰州市,高港区,258590,,
,2358,江苏省,泰州市,姜堰区,668408,,
,2359,江苏省,泰州市,医药高新区,222691,,
,2360,江苏省,泰州市,兴化市,1128204,,
,2361,江苏省,泰州市,靖江市,663408,,
,2362,江苏省,宿迁市,泗洪县,858740,,
,2363,江苏省,宿迁市,泗阳县,829562,,
,2364,江苏省,宿迁市,宿城区,845147,,
,2365,江苏省,宿迁市,宿豫区,588520,,
,2366,江苏省,徐州市,鼓楼区,425143,,
,2367,江苏省,徐州市,云龙区,471566,,
,2368,江苏省,徐州市,贾汪区,453555,,
,2369,江苏省,徐州市,泉山区,619784,,
,2370,江苏省,徐州市,铜山区,1237760,,
,2371,江苏省,徐州市,丰  县,935200,,
,2372,江苏省,徐州市,沛  县,1038337,,
,2373,江苏省,徐州市,睢宁县,1088553,,
,2374,江苏省,徐州市,徐州经济技术开发区,381407,,
,2375,江苏省,徐州市,新沂市,969922,,
,2376,江苏省,盐城市,大丰区,645603,,
,2377,江苏省,盐城市,东台市,888410,,
,2378,江苏省,盐城市,阜宁县,794036,,
,2379,江苏省,盐城市,建湖县,609346,,
,2380,江苏省,盐城市,射阳县,759403,,
,2381,江苏省,盐城市,亭湖区,798003,,
,2382,江苏省,盐城市,响水县,459156,,
,2383,江苏省,盐城市,盐都区,832584,,
,2384,江苏省,扬州市,广陵区,542305,,
,2385,江苏省,扬州市,邗江区,726906,,
,2386,江苏省,扬州市,江都区,926577,,
,2387,江苏省,扬州市,经济技术开发区,238785,,
,2388,江苏省,扬州市,生态科技新城,66355,,
,2389,江苏省,扬州市,蜀冈—瘦西湖风景区,134507,,
,2390,安徽省,安庆市,大观区,214112,,
,2391,安徽省,安庆市,怀宁县,496683,,
,2392,安徽省,安庆市,潜山市,441224,,
,2393,安徽省,安庆市,太湖县,430465,,
,2394,安徽省,安庆市,桐城市,593629,,
,2395,安徽省,安庆市,望江县,462367,,
,2396,安徽省,安庆市,宿松县,612586,,
,2397,安徽省,安庆市,宜秀区,196672,,
,2398,安徽省,安庆市,迎江区,253694,,
,2399,安徽省,安庆市,岳西县,323837,,
,2400,安徽省,池州市,东至县,398414,,
,2401,安徽省,池州市,贵池区,615274,,
,2402,安徽省,池州市,青阳县,248464,,
,2403,安徽省,池州市,石台县,80612,,
,2404,安徽省,滁州市,定远县,671361,,
,2405,安徽省,滁州市,凤阳县,631934,,
,2406,安徽省,滁州市,来安县,416048,,
,2407,安徽省,滁州市,琅琊区,268430,,
,2408,安徽省,滁州市,明光市,485627,,
,2409,安徽省,滁州市,南谯区,348762,,
,2410,安徽省,滁州市,全椒县,395633,,
,2411,安徽省,滁州市,天长市,603780,,
,2412,安徽省,合肥市,瑶海区,862043,,
,2413,安徽省,合肥市,庐阳区,697293,,
,2414,安徽省,合肥市,蜀山区,1047150,,
,2415,安徽省,合肥市,包河区,1217469,,
,2416,安徽省,合肥市,高新区,269922,,
,2417,安徽省,合肥市,经开区,557858,,
,2418,安徽省,合肥市,新站区,466464,,
,2419,安徽省,合肥市,长丰县,783982,,
,2420,安徽省,合肥市,肥东县,884792,,
,2421,安徽省,淮南市,寿县,838507,,
,2422,安徽省,黄山市,黄山区,146942,,
,2423,安徽省,黄山市,徽州区,96162,,
,2424,安徽省,黄山市,祁门县,145644,,
,2425,安徽省,黄山市,屯溪区,291188,,
,2426,安徽省,黄山市,歙县,362962,,
,2427,安徽省,黄山市,休宁县,211456,,
,2428,安徽省,黄山市,黟县,76211,,
,2429,安徽省,马鞍山市,博望区,158483,,
,2430,安徽省,马鞍山市,当涂县,446991,,
,2431,安徽省,马鞍山市,含山县,336588,,
,2432,安徽省,马鞍山市,和县,410899,,
,2433,安徽省,马鞍山市,花山区,450983,,
,2434,安徽省,马鞍山市,雨山区,355986,,
,2435,安徽省,铜陵市,枞阳县,469051,,
,2436,安徽省,铜陵市,郊区,164233,,
,2437,安徽省,铜陵市,铜官区,450949,,
,2438,安徽省,铜陵市,义安区,227493,,
,2439,安徽省,芜湖市,繁昌区,243907,,
,2440,安徽省,芜湖市,镜湖区,478658,,
,2441,安徽省,芜湖市,鸠江区,540487,,
,2442,安徽省,芜湖市,南陵县,431148,,
,2443,安徽省,芜湖市,湾沚区,344016,,
,2444,安徽省,芜湖市,无为市,817997,,
,2445,安徽省,芜湖市,弋江区,422620,,
,2446,安徽省,宣城市,广德市,499132,,
,2447,安徽省,宣城市,绩溪县,138784,,
,2448,安徽省,宣城市,泾县,275837,,
,2449,安徽省,宣城市,旌德县,112368,,
,2450,安徽省,宣城市,郎溪县,311513,,
,2451,安徽省,宣城市,宁国市,384644,,
,2452,安徽省,宣城市,宣州区,671209,,
,2453,江苏省,常州市,金坛区,585081,,
,2454,江苏省,常州市,溧阳市,785092,,
,2455,江苏省,常州市,天宁区,668906,,
,2456,江苏省,常州市,武进区,1277487,,
,2457,江苏省,常州市,新北区,883125,,
,2458,江苏省,常州市,钟楼区,658537,,
,2459,江苏省,南京市,玄武区,537825,,
,2460,江苏省,南京市,秦淮区,740809,,
,2461,江苏省,南京市,建邺区,534257,,
,2462,江苏省,南京市,鼓楼区,940387,,
,2463,江苏省,南京市,浦口区,1171603,,
,2464,江苏省,南京市,栖霞区,987835,,
,2465,江苏省,南京市,雨花台区,608780,,
,2466,江苏省,南京市,江宁区,1926117,,
,2467,江苏省,南京市,六合区,946563,,
,2468,江苏省,南京市,溧水区,491336,,
,2469,江苏省,南京市,高淳区,429173,,
,2470,江苏省,南通市,崇川区,1183740,,
,2471,江苏省,南通市,开发区,332273,,
,2472,江苏省,南通市,通州区,1258739,,
,2473,江苏省,南通市,海门区,991782,,
,2474,江苏省,南通市,如东县,880006,,
,2475,江苏省,南通市,启东市,967313,,
,2476,江苏省,南通市,如皋市,1238448,,
,2477,江苏省,苏州市,张家港市,1432044,,
,2478,江苏省,苏州市,常熟市,1677050,,
,2479,江苏省,苏州市,太仓市,831113,,
,2480,江苏省,苏州市,昆山市,2092496,,
,2481,江苏省,苏州市,吴江区,1545023,,
,2482,江苏省,苏州市,吴中区,1388972,,
,2483,江苏省,苏州市,相城区,891055,,
,2484,江苏省,苏州市,姑苏区,924083,,
,2485,江苏省,苏州市,工业园区,1133927,,
,2486,江苏省,无锡市,经开区,322109,,
,2487,江苏省,无锡市,惠山区,893675,,
,2488,江苏省,无锡市,江阴市,1779515,,
,2489,江苏省,无锡市,梁溪区,985465,,
,2490,江苏省,无锡市,锡山区,882387,,
,2491,江苏省,无锡市,新吴区,720215,,
,2492,江苏省,无锡市,宜兴市,1285785,,
,2493,江苏省,镇江市,丹徒区,347264,,
,2494,江苏省,镇江市,丹阳市,988900,,
,2495,江苏省,镇江市,京口区,355757,,
,2496,江苏省,镇江市,句容市,639266,,
,2497,江苏省,镇江市,润州区,239892,,
,2498,江苏省,镇江市,扬中市,315462,,
,2499,甘肃省,嘉峪关市,嘉峪关市,312663,,
,2500,甘肃省,酒泉市,阿克塞哈萨克族自治县,10970,,
,2501,甘肃省,酒泉市,敦煌市,185231,,
,2502,甘肃省,酒泉市,瓜州县,129299,,
,2503,甘肃省,酒泉市,金塔县,121766,,
,2504,甘肃省,酒泉市,肃北蒙古族自治县,15093,,
