表6—23 全国市分年龄、性别、职业大类人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表6—23全国市分年龄、性别、职业大类 人口数(第二口径)(续02),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,    Ⅰ、各类 专业、技术人员,,,    Ⅱ、国家机关党群组织,,,,,,,,,    Ⅳ、商业工作人员,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,,,
,    在业人口总数,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,  Ⅷ、不便分类的其他劳动者,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    8 187 235,    4015 840,    4 171 395,    8 113 055,    3 389 811,  4 723 244,    30482 578,  15 226 347,  15 256 231, 46 511 049,  28 974 284,  17 536 765,    193 443,  107 760,    85 683
  34,    3 816 712,    2026 500,    1 790 212,    509477,    202 548,    306 929,    155 772,    128 661,    27 111,    207 725,    132 935,    74 790,,,35—39岁,  1 304 141,    630 879,    673 262,    1 174 407,    382 821,    791 586,    4008 027,    1 828 062,    2 179 965,    6 899 714,  4240 939,    2 658 775,    13 131,    6 058,    7 073
35—39岁,    17 514 381,    9 326 108,    8 188 273,    2 193 817,    852 919,    1 340 898,    955485,    775 350,    180 135,    965 659,    609080,    356 579,,,  35,    317 104,    153 532,    163 572,    261 612,    86 719,    174 893,    887 127,    411 474,    475 653,    1 635 284,    996 631,    638 653,    3 346,    1 512,    1 834
  35,    4 051 830,    2 154 371,    1 897 459,    533 758,    208 247,    325 511,    188 324,    153 752,    34 572,    225 275,    142 504,    82 771,,,  36,    290458,    140089,    150 369,    248 160,    81 184,    166 976,    845 659,    387 023,    458 636,    1 518 861,    929 474,    589 387,    2 907,    1 316,    1 591
  36,    3 808 923,    2019266,    1 789 657,    490 572,    186 779,    303 793,    196 933,    159 114,    37 819,    215 373,    134287,    81 086,,,  37,    253 837,    122 778,    131 059,    232 741,    75 651,    157090,    801 899,    364 190,    437 709,    1 355 731,    832 988,    522 743,    2 469,    1 158,    1 311
  37,    3 435 958,    1 824 185,    1 611 773,    417059,    160 103,    256 956,    186 141,    150408,    35 733,    186 081,    116 909,    69 172,,,  38,    236 586,    114 731,    121 855,    226 990,    73 391,    153 599,    794 356,    360 181,    434 175,    1 274 401,    789 089,    485 312,    2 371,    1 096,    1 275
  38,    3 302 025,    1 762 655,    1 539 370,    396 863,    154 923,    241 940,    193 117,    156 833,    36 284,    177 341,    112 411,    64 930,,,  39,    206 156,    99 749,    106407,    204 904,    65 876,    139028,    678 986,    305 194,    373 792,    1 115 437,    692 757,    422 680,    2 038,    976,    1 062
  39,    2 915 645,    1 565 631,    1 350 014,    355 565,    142 867,    212 698,    190 970,    155 243,    35 727,    161 589,    102 969,    58 620,,,40—44岁,    766 720,    368 662,    398 058,    875 557,    295 387,    580 170,    2 858 188,    1 304 935,    1 553 253,    4 226 268,    2 687 731,    1 538 537,    7 272,    3 768,    3 504
40-44岁,    12088 728,    6 648 395,    5440 333,    1 700 449,    745 182,    955 267,    984214,    802494,    181 720,    670060,    440 236,    229 824,,,  40,    207 366,    101 431,    105 935,    215 280,    71 026,    144 254,    694 810,    318 113,    376 697,    1 121 648,    704 267,    417 381,    1 975,    969,    1 006
  40,    3 006 665,    1 643 277,    1 363 388,    379 632,    160483,    219 149,    217 537,    177 588,    39 949,    168 417,    109400,    59017,,,  41,    159 353,    76 917,    82436,    176 674,    58 115,    118 559,    586 346,    267081,    319 265,    882 166,    552 038,    330 128,    1 517,    799,    718
  41,    2464 621,    1 340 526,    1 124 095,    336497,    145 219,    191 278,    186 914,    152 647,    34 267,    135 154,    87 710,    47 444,,,  42,    143 936,    69 074,    74 862,      167 730,    56421,    111 309,    555084,    254 269,    300 815,    807 102,    510 961,    296 141,    1 383,    699,    684
