表6—24 全国镇分年龄、性别、职业大类人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  33,    1 408 599,    797 191,    611 408,    252 249,    119231,    133 018,    64 563,    57 883,    6 680,    98 742,    75 280,    23 462,,,  33,    183 796,    85 517,    98 279,    91 910,    38 697,    53 213,    194291,    95 974,    98 317,    521 576,    323 944,    197 632,    1 472,    665,    807
  34,    1 348 161,    765009,    583 152,    237233,    110 797,    126436,    69426,    61 673,    7 753,    97 213,    74080,    23 133,,,  34,    170 836,    79 876,    90 960,    89 261,    37 171,    52 090,    189 568,    93 302,    96 266,    493 303,    307 519,    185 784,    1 321,    591,    730
35—39岁,    6427 249,    3 712 549,    2 714 700,    1 012 080,    465 109,    546 971,    427 747,    378 122,    49 625,    454978,    346434,    108 544,,,35—39岁,    779 692,    366 026,    413 666,    468072,    190443,    277 629,    919482,    456 172,    463 310,  2 359 754,    1 507 650,    852 104,    5 444,    2 593,    2 851
  35,    1 458 426,    832 285,    626 141,    247 378,    113 993,    133 385,    84072,    74 355,    9 717,    104 835,    79 749,    25 086,,,  35,    181 362,    85 559,    95 803,    99 509,    40 875,    58 634,    206 863,    102419,    104444,    533 058,    334 709,    198 349,    1 349,    626,    723
  36,    1 384 513,    790974,    593 539,    224262,    101 469,    122 793,    86 395,    76069,    10 326,    98 981,    74 825,    24 156,,,  36,    170219,    79463,    90 756,    97 872,    39452,    58420,    195 772,    96 935,    98 837,    509 819,    322 223,    187 596,    1 193,    538,    655
  37,    1 276 799,    737 507,    539292,    195 004,    88 703,    106 301,    85 299,    75 334,    9 965,    89 106,    67 521,    21 585,,,  37,    154 677,    72 700,    81 977,    94005,    37 916,    56089,    183417,    90 956,    92461,    474 175,    303 839,    170 336,    1 116,    538,    578
  38,    1 231 090,    716 549,    514 541,    184 738,    84 845,    99 893,    88 028,    77 899,    10 129,    85 592,    65 320,    20 272,,,  38,    146 699,    68 752,    77 947,    93 364,    37 912,    55 452,    178 589,    88 671,    89 918,    453 095,    292 668,    160427,    985,    482,    503
  39,    1 076 421,    635 234,    441 187,    160 698,    76 099,    84 599,    83 953,    74465,    9 488,    76 464,    59019,    17 445,,,  39,    126 735,    59 552,    67 183,    83 322,    34 288,    49034,    154 841,    77 191,    77 650,    389 607,    254 211,    135 396,    801,    409,    392
40-44岁,    4 710 977,    2 913 899,    1 797 078,    768 532,    395 225,    373 307,    469 537,    419 582,    49 955,    364 375,    294 596,    69 779,,,40-44岁,    508 116,    242413,    265 703,    385 655,    167 210,    218445,    649 638,    330 890,    318 748,    1 562 126,    1 062 283,    499 843,    2 998,    1 700,    1 298
  40,    1 155 577,    699 521,    456056,    175 982,    87 183,    88 799,    99 558,    88 698,    10 860,    84 924,    67 360,    17 564,,,  40,    132 697,    62 951,    69 746,    93 491,    39 576,    53 915,    158447,    80 932,    77 515,    409 656,    272 370,    137 286,    822,    451,    371
  41,    963 941,    585 001,    378 940,    153 283,    77 318,    75 965,    89 627,    79 796,    9 831,    70 997,    56 599,    14 398,,,  41,    107 215,    50426,    56 789,    78 954,    33 253,    45 701,    134 259,    68 044,    66 215,    328 948,    219 210,    109 738,    658,    355,    303
  42,    904 373,    557 984,    346 389,    150 155,    77 536,    72 619,    91 871,    81 991,    9 880,    69 392,    56 137,    13 255,,,  42,    96467,    45 716,    50 751,    74 620,    31 960,    42 660,    125 216,    63 916,    61 300,    296 087,    200409,    95 678,    565,    319,    246
  43,    885 143,    559015,    326 128,    149 763,    78 727,    71 036,    95 612,    85 674,    9 938,    72 644,    59 518,    13 126,,,  43,    91 071,    43 962,    47 109,    72 678,    32 568,    40 110,    119 934,    60 983,    58 951,    282 886,    197 264,    85 622,    555,    319,    236
  44,    801 943,    512 378,    289 565,    139 349,    74461,    64 888,    92 869,    83 423,    9 446,    66418,    54 982,    11 436,,,  44,    80 666,    39 358,    41 308,    65 912,    29 853,    36059,    111 782,    57015,    54 767,    244 549,    173 030,    71 519,    398,    256,    142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口总数,,,    Ⅴ、各类 专业、技术人员,,,    Ⅱ、国家机关党群组织,,,    Ⅲ、办事人员和有关人员,,,,,,    Ⅳ、商业工作人员,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,,,
    年龄别,,,,,,,    企事业单位负责人,,,,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,    Ⅷ、不便分类的其他劳动者,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
45—49岁,    3 380 189,    2 219 589,    1 160 600,    664 545,    365 373,    299 172,    423 748,    382 837,    40 911,    291 598,    241 409,    50 189,,,45-49岁,    317 795,    158 706,    159089,    287669,    140 707,    146 962,    457 699,    249 142,    208 557,    935 320,    680 153,    255 167,    1 815,    1 262,    553
  45,    744 674,    481 730,    262944,    131 627,    70 520,    61 107,    88406,    79484,    8 922,    62 211,    51 688,    10 523,,,  45,    74254,    36 764,    37490,    63 306,    29 915,    33 391,    104 619,    55 148,    49471,    219 840,    157 943,    61 897,    411,    268,    143
  46,    689 943,    449 126,    240 817,    130029,    69 706,    60 323,    84 093,    75 580,    8 513,    58 545,    48 444,    10 101,,,  46,    67 338,    33 523,    33 815,    59 266,    28 753,    30 513,    93 225,    50 326,    42 899,    197085,    142 551,    54 534,    362,    243,    119
  47,    657 939,    428 532,    229407,    134436,    72 233,    62 203,    83 579,    75 271,    8 308,    57 508,    47 148,    10 360,,,  47,    60 905,    30 100,    30 805,    55 248,    26 664,    28 584,    87 677,    48 001,    39 676,    178 227,    128 871,    49 356,    359,    244,    115
  48,    647 709,    426030,    221 679,    133 999,    74097,    59 902,    82 900,    75 131,    7 769,    55 983,    45 968,    10015,,,  48,    59 105,    29 533,    29 572,    55 441,    27 280,    28 161,    87492,    48 239,    39 253,    172471,    125 547,    46 924,    318,    235,    83
  49,    639 924,    434 171,    205 753,    134454,    78 817,    55 637,    84 770,    77 371,    7 399,    57 351,    48 161,    9 190,,,  49,    56 193,    28 786,    27407,    54408,    28095,    26 313,    84686,    47428,    37 258,    167 697,    125 241,    42456,    365,    272,    93
50—54岁,    2 523064,    1 883 484,    639 580,    553 563,    376 639,    176 924,    383 948,    353 514,    30434,    241 886,    212 751,    29 135,,,50-54岁,    209 756,    122450,    87 306,    203 345,    132 718,    70 627,    381 853,    232 215,    149 638,    547 029,    451 792,    95 237,    1 684,    1 405,    279
  50,    581 545,    413 385,    168 160,    126475,    78 278,    48 197,    81 630,    74 630,    7 000,    52447,    45 115,    7 332,,,  50,    50080,    27 199,    22 881,    47 905,    28049,19 856,    79 533,    46 276,    33 257,    143 186,    113 613,    29 573,    289,    225,    64
  51,    524 861,    385298,    139 563,    118 354,    77 349,    41 005,    78 286,    71 610,    6 676,    48 598,    42281,    6 317,,,  51,    43 151,    24600,    18 551,    42 301,    26 742,    15 559,    75922,    45 957,    29 965,    117 943,    96 507,    21 436,    306,    252,    54
  52,    511 592,    386207,    125 385,    113 925,    78 980,    34945,    78990,    72 850,    6 140,    48 240,    42 504,    5 736,,,  52,    42066,    24937,    17 129,    40881,    27 373,    13 508,    78 225,    48 219,    30006,    108 958,    91 086,    17 872,    307,    258,    49
  53,    470455,    360 999,    109456,    103 156,    73 958,    29 198,    74 804,    69 208,    5 596,    47203,    42082,    5 121,,,  53,    38 512,    23 312,    15 200,    37403,    25 941,    11 462,    74 589,    46 143,    28 446,    94432,    80057,    14 375,    356,    298,    58
  54,    434 611,    337 595,    97016,    91 653,    68074,    23 579,    70238,    65 216,    5 022,    45 398,    40 769,    4629,,,  54,    35 947,    22402,    13 545,    34 855,    24613,    10 242,    73 584,    45 620,    27 964,    82 510,    70 529,    11 981,    426,    372,    54
55—59岁,    1 518 699,    1 259 560,    259 139,    260 548,    229 589,    30 959,    260 689,    251 630,    9 059,    182 195,    175 188,    7 007,,,55—59岁,    144 341,    97209,    47 132,    131 916,    101 961,    29 955,    304 350,    199036,    105 314,    231 339,  201 740,    29 599,    3 321,    3 207,    114
  55,    376000,    301 800,    74 200,    71 815,    58452,    13 363,    64 404,    61 040,    3 364,    41 470,    38 630,    2 840,,,  55,    32 799,    21 098,    11 701,    30 613,    22 518,    8 095,    69 718,    44028,    25 690,    64 707,    55 596,    9 111,    474,    438,    36
  56,    350477,    290455,    60022,    62021,    54 263,    7 758,    62 662,    60 361,    2 301,    42 111,    40 372,    1 739,,,  56,    32 294,    21 632,    10 662,    29 571,    22 521,    7 050,    65 687,    42 344,    23 343,    55 525,    48 380,    7 145,    606,    582,    24
  57,    310 610,    260 283,    50 327,    51 315,    46 580,    4 735,    54 130,    52 573,    1 557,    38454,    37 282,    1 172,,,  57,    29 813,    20 294,    9 519,    27 159,    21 184,    5 975,    62 946,    41 326,    21 620,    46 105,    40 378,    5 727,    688,    666,    22
  58,    257472,    217219,    40 253,    41 063,    38 108,    2 955,    43 531,    42490,    1 041,    32495,    31 784,    711,,,  58,    25 820,    17 779,    8 041,    23 099,    18 257,    4 842,    55 377,    37 009,    18 368,    35 335,    31 060,    4 275,    752,    732,    20
  59,    224 140,    189 803,    34 337,    34 334,    32 186,    2 148,    35 962,    35 166,    796,    27 665,    27 120,    545,,,  59,    23 615,    16 406,    7 209,    21 474,    17481,    3 993,    50 622,    34 329,    16 293,    29 667,    26 326,    3 341,    801,    789,    12
60-64岁,    557 754,    448 867,    108 887,    63 177,    58 561,    4 616,    47420,    45478,    1 942,    39462,    38 309,    1 153,,,60-64岁,    78 633,    52 203,    26430,    74408,    60 682,    13 726,    188 956,    137 313,    51 643,    64 720,    55 371,    9 349,    978,    950,    28
  60,    169423,    139 313,    30 110,    22 836,    21 275,    1 561,    21 600,    20959,    641,    16 878,    16462,    416,,,  60,    20 558,    13 714,    6 844,    18 979,    15 365,    3 614,    47 309,    33 072,    14 237,    20 798,    18 005,    2 793,    465,    461,    4
  61,    120 329,    95 975,    24 354,    13 853,    12 796,    1 057,    10 851,    10 394,    457,    8 859,    8 573,    286,,,  61,    16478,    10 810,    5 668,    15 368,    12 363,    3 005,    40 771,    29 036,    11 735,    13 919,    11 781,    2 138,    230,    222,    8
  62,    107 643,    85 544,    22099,    11 389,    10 580,    809,    7 219,    6 842,    377,    6 411,    6 210,    201,,,  62,    16 118,    10 580,    5 538,    15 378,    12 545,    2 833,    38 677,    28 228,    10 449,    12 298,    10417,    1 881,    153,    142,    11
  63,    85 989,    68407,    17 582,    8 485,    7 806,    679,    4 576,    4 304,    272,4 209,    4 083,    126,,,  63,    13 513,    9 000,    4 513,    12 855,    10 567,    2 288,    32 663,    24 344,    8 319,    9 615,    8 232,    1 383,    73,    71,    2
  64,    74 370,    59 628,    14 742,    6 614,    6 104,    510,    3 174,    2 979,    195,    3 105,    2 981,    124,,,  64,    11 966,    8 099,    3 867,    11 828,    9 842,    1 986,    29 536,    22 633,    6 903,    8 090,    6 936,    1 154,    57,    54,    3
65岁及以上,    380 664,    308416,    72 248,    28 569,    25 740,    2 829,    8 300,    7 518,    782,    9 305,    8 956,    349,,,65岁及以上,    75444,    52 544,    22 900,    66 080,    56 306,    9 774,    155 314,    125 181,    30 133,    37406,    31 946,    5 460,    246,    225,    21
