表6—34 全国县分年龄、性别、文化程度的不在业人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,    和年龄别,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  30—34岁,    6 897,    4 292,    2 605,    4 453,    2 845,    1 608,    781,    47,    734,-,-,-,,,  30-34岁,    237,    164,    73,    112,    95,    17,    211,    169,    42,    1 103,    972,    131
  35—39岁,    4 729,    3 276,    1 453,    2 334,    1 680,    654,    602,    69,    533,-,-,-,,,  35-39岁,    183,    136,    47,    217,    172,    45,    327,    265,    62,    1 066,    954,    112
  40—44岁,    3 642,    2 381,    1 261,    835,    705,    130,    823,    75,    748,-,-,-,,,  40-44岁,    92,    55,    37,    755,    555,    200,    422,    344,    78,    715,    647,    68
  45—49岁,    10 323,    4 754,    5 569, -,-,-,    3 539,    184,    3 355,-,-,-,,,  45-49岁,    74,    74, -,4 902,    3021,    1 881,   895,    702,    193,    913,    773,    140
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—34全国县分年龄、性别、文化程度的不在业人口数(第二口径)(续02),,,,,,,,,,,,,,,表6—34全国县分年龄、性别、文化程度的不在业人口数(第二口径)(续05),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
      文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,    文化程度,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,      和年龄别,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  50—54岁,    25 379,    16 413,    8 966,-,-,-,    2 973,    437,    2 536,-,-,-,,,  50-54岁,-,-,-,    20 308,    14 175,    6 133,    1 329,    1 107,    222,    769,    694,    75
  55—59岁,    45 575,    37 059,    8 516,-,-,-,    1 487,    616,    871,-,-,-,,,  55—59岁,-,-,-,    42 545,    35 019,    7 526,    1 109,    1 011,    98,    434,    413,    21
