,,,,,,,,,,,,
表6--26全国分性别、文化程度的各职业大、中、小类人口数,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,      中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    翻译,    61 126,    34 514,    26 612,    30 106,    16 945,    13 161,    22 033,    11 924,    10 109,    4 048,    2 494,    1 554
    图书资料业务人员,    241 837,    53 424,    188 413,    18 043,    6 807,    11 236,    46 038,    13 000,    33 038,    41 062,    7 192,    33 870
    档案业务人员,    227 612,    57 715,    169 897,    9 683,    4 343,    5 340,    42 813,    11 579,    31 234,    46 660,    10 859,    35 801
    考古和文物工作人员,    9 341,    6 274,    3 067,    1 363,    1 040,    323,    1 913,    1 279,    634,    909,    626,    283
    展览讲解员,    4 391,    707,    3 684,    153,    70,    83,    608,    124,    484,    326,    64,    262
    其他文化工作人员,    42 717,    30 140,    12 577,    703,    522,    181,    3 472,    2 528,    944,    4 777,    3 242,    1 535
  宗教职业者,    123 847,    103 093,    20 754,    710,    621,    89,    2 189,    2 016,    173,    1 769,    1 533,    236
    宗教职业者,    123 847,    103 093,    20 754,    710,    621,    89,    2 189,    2 016,    173,    1 769,    1 533,    236
国家机关党群组织、企事业单位负责人,  11 328 317,  10 024 495,  1 303 822,    743 142,    656 496,    86 646,  1 481 425,  1 290 305,    191 120,  1 604 959,  1 391 150,  213 809
  国家机关及其工作机构负责人,  1 357 389,  1 250 277,    107 112,    144 541,    129 876,    14 665,    307 092,    276 548,    30 544,    261 104,    237 864,    23 240
    中央级国家机关及其工作机构负责人,    17 546,    14 261,    3 285,    9 737,    7 914,    1 823,    3 927,    3 129,    798,    1 051,    848,    203
    省级国家机关及其工作机构负责人,    66 795,    59 837,    6 958,    21 092,    18 798,    2 294,    19 395,    17 203,    2 192,    8 433,    7 433,    1 000
    地、市级国家机关及其工作机构负责人,    324 197,    287 741,    36 456,    51 405,    45 543,    5 862,    99 479,    86 768,    12 711,    51 887,    44 631,    7 256
    县级国家机关及其工作机构负责人,    624 068,    582 386,    41 682,    55 289,    51 053,    4 236,    142 085,    130 024,    12 061,    124 617,    114 265,    10 352
    街道、镇、乡各级国家机关负责人,    324 783,    306 052,    18 731,    7 018,    6 568,    450,    42 206,    39 424,    2 782,    75 116,    70 687,    4 429
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表6—26全国分性别、文化程度的各职业大、中、小类人口数(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
    职业别,,,,,,,,,,,,
,合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  党群组织负责人,2 650 573, 2 197 966,  452 607,    96 883,    83 081,    13 802,    294 357,    240 849,    53 508,    299 054,    238 684,    60 370
    中国共产党中央及地方县级以上组织及其工作,  159 329,    146 684,    12 645,    23 401,    21 343,    2 058,    46 805,    42 373,    4 432,    26 143,    23 826,    2 317
      机构专职负责人,,,,,,,,,,,,
    中国共产党基层组织负责人,  1 337 406,  1 234 251,  103 155,    42 001,    36 986,    5 015,    143 936,    126 069,    17 867,    160 731,    143 419,    17 312
    共青团、工会、妇联负责人,    562 119,  353 381,  208 738,    22 381,    17 115,    5 266,    91 165,    62 207,    28 958,    95 634,    59 112,    36 522
    政协、民主党派、人民团体各级组织及其工作,,,,,,,,,,,,
      机构专职负责人,    53 560,    47 546,    6 014,    8 402,    7 269,    1 133,    10 261,    8 786,    1 475,    7 937,    6 921,    1 016
    居民委员会(村民委员会)负责人,  538 159,  416 104,  122 055,    698,    368,    330,    2 190,    1 414,    776,    8 609,    5 406,    3 203
  企、事业单位及其工作机构、各级组织及其工作, 7 320 355, 6 576 252,  744 103,  501 718,    443 539,    58 179,    879 976,    772 908,    107 068,  1 044 801,    914 602,  130 199
    机构专职负责人,,,,,,,,,,,,
    中央级的企、事业单位及其工作机构负责人,    1 586,    1 320,    266,    120,    106,    14,    204,    183,    21,    203,    180,    23
    省、军级的企、事业单位及其工作机构负责人,    10 767,    9 215,    1 552,    4 696,    4 064,    632,    2 684,    2 273,    411,    1 041,    875,    166
    地、师级的企、事业单位及其工作机构负责人,  379 733,  335 283,    44 450,  109 308,    95 844,    13 464,    89 046,    76 667,    12 379,    62 048,    53 706,    8 342
    县、团级的企、事业单位及其工作机构负责人, 1 666 473,  1 468 464,  198 009,  225 551,    197 370,    28 181,    355 346,    306 083,    49 263,    295 399,    253 393,    42 006
    县、团级以下及集体所有制的企、事业单位负责人, 4 963 011,  4 498 934,  464 077,  161 155,    145 351,    15 804,    430 470,    385 664,    44 806,    682 729,    603 496,    79 233
    私营企业负责人,  298 785,  263 036,    35 749,    888,    804,    84,    2 226,    2 038,    188,    3 381,    2 952,    429
办事人员和有关人员, 11 275 891, 8 382 217, 2 893 674,  293 669,    228 238,    65 431,  1 080 873,    804 198,    276 675,  1 426 034,  1 065 939,  360 095
  行政办事人员, 5 846 414,4 135 106, 1 711 308,  222 434,    173 461,    48 973,    705 985,    519 744,    186 241,    880 617,    644 199,  236 418
    行政业务管理员、助理员, 2 655 717, 2 150 891,  504 826,    94 126,    76 836,    17 290,    275 653,    224 554,    51 099,    410 499,    333 709,    76 790
    秘书,  613 561,  418 882,  194 679,    42 034,    30 907,    11 127,    156 935,    108 320,    48 615,    118 434,    82 443,    35 991
    收发员和通讯员,  197 112,  105 089,    92 023,    1 298,    849,    449,    7 162,    4 136,    3 026,    14 446,    6 744,    7 702
    打字、誊印人员,  434 525,    53 835,  380 690,    1 486,    472,    1 014,    20 462,    2 863,    17 599,    35 205,    5 506,    29 699
    其他行政办事人员, 1 945 499, 1 406 409,  539 090,    83 490,    64 397,    19 093,    245 773,    179 871,    65 902,    302 033,    215 797,    86 236
  政治、保卫工作人员, 4 091 304, 3 568 043,  523 261,    61 955,    47 957,    13 998,    340 626,    263 634,    76 992,    456 460,    372 347,    84 113
    政治工作人员,  829 273,  585 806,  243 467,    32 646,    24 251,    8 395,    162 463,    115 387,    47 076,    147 662,    102 953,    44 709
    人事管理人员,  219 050,  150 523,    68 527,    10 954,    7 932,    3 022,    50 641,    35 014,    15 627,    43 253,    29 038,    14 215
    人民警察和公安保卫人员, 1 418 525, 1 342 851,    75 674,    14 230,    12118,    2 112,    90 040,    79 154,    10 886,    201 018,    181 370,    19 648
    消防人员,  138 537,  136 794,    1 743,    336,    306,    30,    2 064,    2 009,    55,    4 537,    4 444,    93
    其他政治、保卫工作人员, 1 485 919, 1 352 069,  133 850,    3 789,    3 350,    439,    35 418,    32 070,    3 348,    59 990,    54 542,    5 448
  邮电工作人员,  822 594,  372 431,  450 163,    2 781,    1 778,    1 003,    13 018,    6 361,    6 657,    45 145,    22 857,    22 288
    邮政业务人员,  308 715,  220 550,    88 165,    440,    282,    158,    2 808,    1 754,    1 054,    11 519,    6 613,    4 906
    电信业务人员,  488 605,  135 194,    353 411,    2 139,    1 348,    791,    9 500,    4 092,    5 408,    31 050,    14 428,    16 622
    其他邮电工作人员,    25 274,    16 687,    8 587,    202,    148,    54,    710,    515,    195,    2 576,    1 816,    760
  其他办事人员和有关人员,  515 579,  306 637,  208 942,    6 499,    5 042,    1 457,    21 244,    14 459,    6 785,    43 812,    26 536,    17 276
    其他办事人员和有关人员,  515 579,  306 637,  208 942,    6 499,    5 042,    1 457,    21 244,    14 459,    6 785,    43 812,    26 536,    17 276
商业工作人员,19 472 273,10 385 995, 9 086 278,    52 286,    40 550,    11 736,    179 300,    133 562,    45 738,    377 106,    236 701,  140 405
  售货人员,14 201 053, 6 069 562, 8 131 491,    5 106,    3 488,    1 618,    38 139,    18 764,    19 375,    154 404,    60 796,    93 608
    营业员、售货员, 9 750 893, 3 599 404, 6 151 489,    4 027,    2 527,    1 500,    34 683,    15 851,    18 832,    142 001,    52 286,    89 715
    其他售货人员, 4 450 160, 2 470 158, 1 980 002,    1 079,    961,    118,    3 456,    2 913,    543,    12 403,    8 510,    3 893
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表6—26全国分性别、文化程度的各职业大、中、小类人口数(续04),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
    职业别,,,,,,,,,,,,
,合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  采购员和供销人员,4 542 190, 3 793 293,  748 897,    46 286,    36 357,    9 929,    137 653,    111 987,    25 666,    208 263,    165 279,    42 984
