表6—31 全国分年龄、性别、文化程度的不在业人口数,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  15—19岁,    2 250 721,    1 098 769,    1 151 952,    2 189 584,    1 072 819,    1 116 765,    801,    146,    655,    2 855,    1 288,    1 567
  20—24岁,    778 885,    460 262,    318 623,    718 676,    431 676,    287 000,    3 122,    235,    2 887,    1 753,    895,    858
  25—29岁,    93 016,    54 864,    38 152,    76 170,    45 609,      30 561,    3 374,    145,    3 229,        -,      -,      -
  30—34岁,    37 352,    23 136,    14 216,    28 369,    17 915,    10 454,    2 395,    111,    2 284,          -,        -,         -
  35—39岁,    20 495,    13 503,    6 992,    12 665,    8 934,    3 731,    2 076,    149,    1 927,           -,       -,     -
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  40-44岁,    16 399,    9 494,    6 905,    4 292,    3 422,    870,    3 128,    208,    2 920,  -,     -,   -
  45-49岁,    41 619,    12 241,    29 378,    -,     -,  -,    10 489,    450,    10 039,   -,     -,   -
  50—54岁,    113 770,    41 794,    71 976,     -,     -,  -,    8 826,    926,    7 900,    -,     -,   -
  55—59岁,    189 958,    81 776,    108 182,     -,     -,  -,    4 067,    945,    3 122,     -,     -,   -
  60—64岁,    165 845,    117 930,    47 915,     -,     -,  -,    3 743,    1 630,    2 113,      -,    -,   -
  65岁及以上,    139 577,    96 699,    42 878,     -,     -,  -,    8 991,    4 104,    4 887,       -,   -,   -
大学专科,    1800 650,    1 118 417,    682 233,    1 379 580,    829 351,    550 229,    8 444,    3 581,4 863,    947,    511,    436
  15—19岁,    316 114,    162 144,    153 970,    308 210,    158 745,    149 465,    55,    9,    46,    157,    73,    84
  20—24岁,    973 463,    584 208,    389 255,    913 160,    554 488,    358 672,    754,    99,    655,    790,    438,    352
  25—29岁,    124 865,    89 535,    35 330,    111 763,    81 292,    30 471,    806,    83,    723,     -,     -,    -
  30—34岁,    34 812,    25 763,    9 049,    30 325,    22 394,    7 931,    257,    33,    224,     -,     -,    -
  35—39岁,    16 200,    12 292,    3 908,    12 682,    9 658,    3 024,    278,    49,    229,     -,     -,    -
  40-44岁,    6 196,    4 879,    1 317,    3 429,    2 764,    665,    235,    48,    187,     -,     -,    -
  45—49岁,    6 061,    3 595,    2 466,    7,    6,    1,    518,    117,    401,     -,     -,    -
  50—54岁,    22 752,    12 885,    9 867,    3,    3,     -,    838,    290,    548,     -,     -,    -
  55—59岁,    69 720,    32 811,    36 909,    1,    1,     -,    732,    304,    428,     -,     -,    -
  60-64岁,    112 396,    90 385,    22 011,   -,      -,     -,    844,    508,    336,     -,     -,    -
  65岁及以上,    118 071,    99 920,    18 151,   -,      -,     -,    3 127,    2 041,    1 086,     -,     -,    -
大学本科,    1 836 993,    1 245 710,    591 283,    1 477 703,996 447,    481 256,    5 021,    1 800,    3 221,    339,    217,    122
  15-19岁,    329 808,    207 720,    122 088,    329 195,    207 360,    121 835,    20,    6,    14,    40,    24,    16
