,    在业人口,,,    占15岁以上人口％,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,,,    年龄别,,,,,,,,,,    物资供销和仓储业,,,,,,    Ⅶ、房地产管理、公用事业,,,    Ⅷ、卫生、体育和社会福利事业,,,    Ⅸ、教育、文化艺,,,   Ⅹ、科学研究和综,,,,,,Ⅺ、金融、保险业,,,    Ⅻ、国家机关、政党,,,,,
    年龄别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    居民服务和咨询服务业,,,,,,    术和广播电视事业,,,    合技术服务事业,,,,,  年龄别,,,,    机关和和社会团体,,,ⅩⅢ、其他行业,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,  年龄别,,,,,,,,,,,,,,,,小计,  男,  女,  小计,    男,    女,小计,  男,  女
总计,    480 852 734,    261 461 156,    219 391 578,    81.85,    87.40,    76.09,    428406207,    225 905 501,    202 500 706,    25 123 709,    15 030 593,    10 093 116,,,总计,    137424,    103 974,    33450,    3 509 795,    3 329 983,    179 812,    3 547 538,    3 250 057,    297481,    7 122 972,    4499 769,    2 623 203,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  502 327,  366 281,  136046,  2 911 968,  2 518471,    393 497,    20 292,    16 071,    4 221
  28,    10 633 256,    5 567 326,    5 065 930,    95.66,    99.12,    92.12,    9 296 778,    4 658 276,    4 638 502,    580053,    354 972,    225081,,,  28,    3 840,    2 696,    1 144,    99681,    94 324,    5 357,    120 747,    111 068,        9 679,    192 555,    113 687,    78 868,,,  27,    51 780,    38 780,    13 000,    50 177,    27 833,    22 344,    320231,    196029,    124202,    3 709,    2 369,    1 340,,,  28,    15 853,  11 126,    4 727,    74450,    62 517,    11 933,    380,    306,    74
  29,    6 967 513,    3 652417,    3 315096,    94.85,    99.09,    90.57,    6 019 574,    3 010 710,    3 008 864,    419 677,    257272,    162405,,,  29,    2 998,    2 058,940,    67 840,    63 606,    4 234,    86 756,    79430,    7 326,    139442,    82 968,    56474,,,  28,    28 742,    21 672,    7 070,    28 959,    16 306,    12 653,    189066,    119030,    70036,    2 152,    1 346,    806,,,  29,    10 607,    7 417,    3 190,    51 836,    43 806,    8 030,    305,    223,    82
30—34岁,    53 960 211,    29 112 909,    24 847 302,    95.53,    99.21,    91.55,    46 946 121,    24 218 270,    22 727 851,    3 084 731,    1 947 018,    1 137 713,,,30—34岁,    19 886,    13 467,    6 419,    476 670,    450466,    26 204,    628 305,    580485,    47 820,    998 298,    616 556,    381 742,,,  29,    19 395,    14 517,    4 878,    20 372,    11 096,    9 276,    127 109,    78 332,    48 777,    1 602,    982,    620,,,30—34岁,    60492,    44 901,    15 591,    390 630,    334 199,    56431,    2 159,    1 608,    551
  30,    8 883 572,    4 799635,    4083 937,    94.99,    99.15,    90.53,    7 663 670,    3 959 140,    3 704 530,    543 236,    338 138,    205098,,,  30,    3 596,    2 373,    1 223,    87 926,    82903,    5 023,    114085,    105 656,    8 429,    176 335,    108 145,    68 190,,,30-34岁,    129 336,    98 394,    30 942,    177042,    103 875,    73 167,    1 036 166,    697 440,    338 726,    10 375,    6 230,    4 145,,,  30,    12487,    8 989,    3 498,  66 904,    56916,    9 988,    403,    293,    110
  31,    9 065 119,    4 927011,    4 138 108,    95.30,    99.18,    91.05,    7 858 695,    4 088 304,    3 770 391,    531 773,    335 170,    196 603,,,  31,    3 513,    2 436,    1 077,    86 010,    81 384,    4 626,    110 673,    102 396,    8 277,    176 195,    109 177,    67018,,,  30,    24 119,    18 384,    5 735,    26 134,    14 867,    11 267,    162 777,    102 703,    60074,    1 900,    1 128,    772,,,  31,    11 231,    8 174,    3 057,  66 265,    56 662,    9 603,    343,    263,    80
  32,    12 304 635,    6 689 748,    5 614 887,    95.68,    99.22,    91.79,    10 701 367,    5 569 770,    5 131 597,    707 110,    447 696,    259414,,,  32,    4 728,    3 184,    1 544,    109423,    103499,    5 924,    142 952,    132 148,    10 804,    230041,    142 650,    87 391,,,  31,    23 123,    17 727,5396,    28 359,    16 443,    11 916,    167 189,    107 857,    59 332,    1 750,    1 018,    732,,,  32,    13 525,  10 011,    3 514,  85 302,    72 699,    12 603,    518,    395,    123
  33,    12078498,    6488 635,    5 589 863,    95.76,    99.25,    92.00,    10 543 027,    5414 615,    5 128 412,    671 130,    423 542,    247 588,,,  33,    4 104,    2 767,    1 337,    100 642,    95 098,    5 544,    134 914,    124 316,    10 598,    213 620,    131 620,    82 000,,,  32,    29 793,    22 840,    6 953,    40 112,    23 446,    16 666,    237 329,    159 926,    77403,    2 435,    1 484,    951,,,  33,    12 132,    9 135,    2 997,  85 825,    73448,    12 377,    428,    313,    115
  34,    11 628 387,    6207 880,    5 420 507,    95.74,    99.25,    92.01,    10 179 362,    5 186 441,    4 992 921,    631 482,    402472,    229010,,,  34,    3 945,    2 707,    1 238,    92 669,    87 582,    5 087,    125 681,    115 969,    9 712,    202 107,    124 964,    77 143,,,  33,    26 993,    20477,    6 516,    41 435,    24634,    16 801,    242042,    167 318,    74 724,    2 206,    1 352,    854,,,  34,    11 117,    8 592,    2 525,  86 334,    74474,    11 860,    467,    344,    123
35—39岁,    58 161 244,    31 007 711,    27 153 533,    95.60,    99.19,    91.82,    51 250 303,    26 069478,    25 180 825,    3 166 926,    2 056 097,    1 110 829,,,35—39岁,    21 018,    15 397,    5 621,    427 354,404 327,    23 027,    560076,    517 023,    43 053,    992 825,    628 015,    364 810,,,  34,    25 308,    18 966,    6 342,    41 002,    24485,    16 517,    226 829,    159 636,    67 193,    2 084,    1 248,    836,,,35—39岁,    43 637,    34 710,    8 927,    434461,    381 227,    53 234,    2 199,    1 623,    576
  35,    12 947 312,    6 941 952,    6005 360,    95.81,    99.23,    92.14,    11 344 757,    5 805 496,    5 539 261,    715 901,    457 889,    258 012,,,  35,    4 523,    3 239,    1 284,    100 818,    95 255,    5 563,    137 216,    126 667,    10 549,    223470,    139 937,    83 533,,,35—39岁,    116 646,    86 903,    29 743,    212 399,    138 944,    73 455,    923 335,    667 729,    255 606,    10065,    6 238,    3 827,,,  35,    11053,    8 670,    2 383,    97 760,    84967,    12 793,    505,    369,    136
