,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数,,,,,,,,,,,,,,,表6-13全国按行业门、大、中类．分性别、文化程度的人口数(续10),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    油页岩开采业,    6 962,    5 566,    1 396,    127,    107,    20,    284,    220,    64,    566,    428,    138,,,    油页岩开采业,    1 507,    1 069,    438,    2 419,    1 920,    499,    1 882,    1 689,    193,    177,    133,    44
  黑色金属矿采选业,    446 528,    340 117,    106 411,    4 270,    3 783,    487,    10 640,    8 396,    2 244,    16 309,    11 709,    4 600,,,  黑色金属矿采选业,    74 845,    51 099,    23 746,    208 567,    156 967,    51 600,    112 376,    94 764,    17 612,    19 521,    13 399,    6 122
    铁矿采选业,    410 743,    313 000,    97 743,    3 884,    3 440,    444,    9 745,    7 676,    2 069,    14 673,    10 500,    4 173,,,    铁矿采选业,    69 320,    47 396,    21 924,    194 455,    146 369,    48 086,    100 657,    85 224,    15 433,    18 009,    12 395,    5 614
    锰矿采选业,    34 116,    25 881,    8 235,    377,    335,    42,    860,    688,    172,    1 571,    1 154,    417,,,    锰矿采选业,    5 371,    3 600,    1 771,    13 590,    10 193,    3 397,    1 1 168,    9 116,    2 052,    1 179,    795,    384
    铬矿采选业,    1 669,    1 236,    433,    9,    8,    1,    35,    32,    3,    65,    55,    10,,,    铬矿采选业,    154,    103,    51,    522,    405,    117,    551,    424,    127,    333,    209,    124
  有色金属矿采选业,    829 008,    622 179,    206 829,    8 459,    7 499,    960,    19 638,    15 883,    3 755,    35 386,    25 022,    10 364,,,  有色金属矿采选业,  164 701,  110 385,    54 316,    368 377,    275 532,    92 845,    200 141,    165 313,    34 828,    32 306,    22 545,    9 761
    重有色金属矿采选业,    442 717,    318 598,    124 119,    5 017,    4 404,    613,    11 205,    8 865,    2 340,    21 300,    14 708,    6 592,,,    重有色金属矿采选业,    87 699,    54 915,    32 784,    187 067,    132 664,    54 403,    109 016,    88 367,    20 649,    21 413,    14 675,    6 738
    轻有色金属矿采选业,    35 283,    27 267,    8 016,    339,    301,    38,    625,    521,    104,    1 409,    1 045,    364,,,    轻有色金属矿采选业,    6 426,    4 586,    1 840,    16 214,    12 626,    3 588,    9 281,    7 524,    1 757,    989,    664,    325
    贵金属矿采选业,    170 547,    139 197,    31 350,    1 183,    1 072,    111,    3 226,    2 735,    491,    4 914,    3 736,    1 178,,,    贵金属矿采选业,    33 753,    25 440,    8 313,    86 501,    70 625,    15 876,    35 893,    31 390,    4 503,    5 077,    4 199,    878
    稀有金属矿采选业,    180 461,    137 117,    43 344,    1 920,    1 722,    198,    4 582,    3 762,    820,    7 763,    5 533,    2 230,,,    稀有金属矿采选业,    36 823,    25 444,    11 379,    78 595,    59 617,    18 978,    45 951,    38 032,    7 919,    4 827,    3 007,    1 820
    土砂石开采业,    857 412,    721 578,    135 834,    1 314,    1 147,    167,    3 738,    3 086,    652,    8 386,    6 507,    1 879,,,    土砂石开采业,    74 395,    58 289,    16 106,    326 063,    273 313,    52 750,    371 820,    325 759,    46 061,    71 696,    53 477,    18 219
    化学矿采选业,    159 086,    119 619,    39 467,    1 476,    1 304,    172,    3 439,    2 747,    692,    4 902,    3 371,    1 531,,,    化学矿采选业,    24 318,    15 868,    8 450,    70 010,    52 019,    17 991,    47 103,    38 612,    8 491,    7 838,    5 698,    2 140
    其他非金属矿采选业,    169 182,    128 848,    40 334,    751,    671,    80,    1 910,    1 554,    356,    4 039,    3 029,    1 010,,,    其他非金属矿采选业,    25 686,    17 885,    7 801,    80 103,    60 544,    19 559,    47 952,    38 905,    9 047,    8 741,    6 260,    2 481
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数(续01),,,,,,,,,,,,,,,表6—13全国按行业门、大、中类分性别、文化程度的人口数(续11),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  采盐业,    277 520,    201 616,    75 904,    1 049,    892,    157,    4 528,    3 586,    942,    7 125,    5 110,    2 015,,,  采盐业,    32 335,    21 854,    10 481,    116 004,    87 363,    28 641,    90 918,    69 273,    21 645,    25 561,    13 538,    12 023
    海盐业,    195 665,    148 600,    47 065,    391,    328,    63,    2 213,    1 872,    341,    4 093,    3 185,    908,,,      海盐业,    18 688,    14 157,    4 531,    75 607,    61 627,    13 980,    72 078,    55 755,    16 323,    22 595,    11 676,    10 919
    湖盐业,    11 640,    7 858,    3 782,    57,    48,    9,    187,    140,    47,    397,    267,    130,,,      湖盐业,    2 096,    1 185,    911,    5 309,    3 735,    1 574,    2 661,    1 929,    732,    933,    554,    379
    井盐业,    53 521,    34 477,    19 044,    469,    398,    71,    1 700,    1 235,    465,    1 867,    1162,    705,,,      井盐业,    8 521,    4 792,    3 729,    27 896,    17 455,    10 441,    11 824,    8 600,    3 224,    1 244,    835,    409
    矿盐业,    16 694,    10 681,    6 013,    132,    118,    14,    428,    339,    89,    768,    496,    272,,,      矿盐业,    3 030,    1 720,    1 310,    7 192,    4 546,    2 646,    4 355,    2 989,    1 366,    789,    473,    316
  其他矿采选业,    1 570,    1 210,    360,    6,    5,    1,    21,    14,    7,    41,    32,    9,,,  其他矿采选业,    264,    178,    86,    788,    615,    173,    376,    304,    72,    74,    62,    12
    其他矿采选业,    1 570,    1 210,    360,    6,    5,    1,    21,    14,    7,    41,    32,    9,,,    其他矿采选业,    264,    178,    86,    788,    615,    173,    376,    304,    72,    74,    62,    12
  木材及竹材采运业,    861 004,    606 685,    254 319,    4 013,    3 284,    729,    17 006,    12 430,    4 576,    34 443,    21 367,    13 076,,,  木材及竹材采运业,  177 424,    111 836,    65 588,    476 752,    334 525,    142 227,    121 663,    99 716,    21 947,    29 703,    23 527,    6 176
    木材采运业,    859 179,    605 256,    253 923,    4 011,    3 282,    729,    17 001,    12 426,    4 575,    34 412,    21 343,    13 069,,,    木材采运业,  177 227,    111 700,    65 527,    476 076,    333 999,    142 077,    120 937,    99 115,    21 822,    29 515,    23 391,    6 124
    竹材采运业,    1 825,    1 429,    396,    2,    2,  -,    5,    4,    1,    31,    24,    7,,,    竹材采运业,    197,    136,    61,    676,    526,    150,    726,    601,    125,    188,    136,    52
  自来水生产和供应业,    353 872,    227 562,    126 310,    4 116,    3 080,    1 036,    13 793,    9 176,    4 617,    19 615,    11 829,    7 786,,,  自来水生产和供应业,    98 847,    58 699,    40 148,    160 545,    104 211,    56 334,    51 489,    37 216,    14 273,    5 467,    3 351,    2 116
    自来水生产和供应业,    353 872,    227 562,    126 310,    4 116,    3 080,    1 036,    13 793,    9 176,    4 617,    19 615,    11 829,    7 786,,,    自来水生产和供应业,    98 847,    58 699,    40 148,    160 545,    104 211,    56 334,    51 489,    37 216,    14 273,    5 467,    3 351,    2 116
  食品制造业,    4 599 086,    2 779 671,    1 819 415,    18 856,    14 189,    4 667,    62 249,    42 906,    19 343,    128 684,    79 525,    49 159,,,  食品制造业,  888 161,  506 731,  381 430,  2 128 155,  1 284 463,    843 692,    1 154 793,    741 969,    412 824,    218 188,    109 888,    108 300
    粮食加工业,    1 085 795,    709 756,    376 039,    2 424,    1 826,    598,    10 093,    7 048,    3 045,    26 933,    16 953,    9 980,,,    粮食加工业,  177 572,  107 789,    69 783,    479 525,    314 442,    165 083,    323 170,    227 455,    95 715,    66 078,    34 243,    31 835
    植物油加工业,    324 824,    232 703,    92 121,    1 220,    914,    306,    4 159,    2 999,    1 160,    10 838,    6 992,    3 846,,,    植物油加工业,    69 237,    45 740,    23 497,    155 680,    111 259,    44 421,    70 426,    55 656,    14 770,    13 264,    9 143,    4 121
    糕点、糖果制造业,    812 235,    381 478,    430 757,    2 468,    1 732,    736,    10 310,    6 446,    3 864,    19 343,    10 252,    9 091,,,    糕点、糖果制造业,  167 676,    77 611,    90 065,    404 392,    193 103,    211 289,    180 777,    83 120,    97 657,    27 269,    9 214,    18 055
    制糖业,    315 558,    207 563,    107 995,    3 016,    2 487,    529,    8 389,    6 369,    2 020,    18 693,    12 785,    5 908,,,    制糖业,    93 816,    58 096,    35 720,    135 264,    89 708,    45 556,    52 000,    35 898,    16 102,    4 380,    2 220,    2 160
    屠宰及肉类加工业,    642 858,    449 320,    193 538,    2 638,    1 975,    663,    9 524,    6 656,    2 868,    18 936,    11 919,    7 017,,,    屠宰及肉类加工业,    113 610,    71 150,    42 460,    299 058,    204 361,    94 697,    171 423,    133 522,    37 901,    27 669,    19 737,    7 932
