,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数,,,,,,,,,,,,,,,表6-13全国按行业门、大、中类．分性别、文化程度的人口数(续10),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    塑料零件制造业,    122 380,    54 031,    68 349,    314,    253,    61,    912,    655,    257,    1 310,    802,    508,,,    塑料包装箱及容器制造业,    21 667,    10 275,    11 392,    56 506,    24 832,    31 674,    27 414,    10 596,    16 818,    3 868,    980,    2 888
    塑料包装箱及容器制造业,    114 479,    49 776,    64 703,    621,    448,    173,    1 921,    1 249,    672,    2 482,    1 396,    1 086,,,    塑料鞋制造业,    20 028,    9 786,    10 242,    60 459．,    27 306,    33 153,      36 765,    13 949,    22 816,    5 120,    1 159,    3 961
    塑料鞋制造业,    125 941,    54 359,    71 582,    335,    238,    97,    1 305,    850,    455,    1 929,    1 071,  858,,,    日用塑料杂品制造业,    32 760,    16 669,    16 091,    99 113,    43 870,    55 243,    57 619,    20 706,    36 913,    8 214,    1 791,    6 423
    日用塑料杂品制造业,    202 916,    86 327,    116 589,    499,    379,    120,    1 915,    1 283,    632,    2 796,    1 629,    1 167,,,    其他塑料制品业,    36 926,    18 750,    18 176,    117 812,    54 206,    63 606,      69 589,    26 555,    43 034,    10 919,    2 650,    8 269
    其他塑料制品业,    241 502,    106 204,    135 298,    875,    660,    215,    2 282,    1 543,    739,    3 099,    1 840,    1 259,,,  建筑材料及他非金属矿物制品业, 1 143 353,  726 491,  416 862,  3 458 683,  2 336 308,    1 122 375,    2 246 005,    1 604 279,    641 726,    413 965,    250 282,    163 683
  建筑材料及其他非金属矿物制品业,    7 526 594,    5 104 756,    2 421 838,    29 489,    23 698,    5 791,    86 475,    63 604,    22 871,    148 624,    100 094,    48 530,,,    水泥制造业,  316 535,  208 689,  107 846,    785 514,    556 956,    228 558,    393 284,    296 335,    96 949,    61 605,    37 846,    23 759
    水泥制造业,    1 637 971,    1 160 766,    477 205,    7 593,    6 435,    1 158,    24 456,    19 126,    5 330,    48 984,    35 379,    13 605,,,    水泥制品和石棉水泥制品业,  109 268,    69 909,    39 359,    327 020,    229 450,    97 570,    204 128,    152 148,    51 980,    39 557,    23 567,    15 990
    水泥制品和石棉水泥制品业,    708 043,    494 749,    213 294,    2 703,    2 166,    537,    9 444,    6 900,    2 544,    15 923,    10 609,    5 314,,,    砖瓦、石灰和轻质建筑材料制造业,  280 244,  199 506,    80 738,    1 165 123,    867 517,    297 606,    1 099 270,    839 719,    259 551,    236 085,    153 865,    82 220
    砖瓦、石灰和轻质建筑造业,    2 818 324,    2 088 431,    729 893,    2 985,    2 453,    532,    11 599,    8 829,    2 770,    23 018,    16 542,    6 476,,,    玻璃及玻璃制品业,  164 060,    90 906,    73 154,    388 085,    214 798,    173 287,    144 936,    75 773,    69 163,    17 106,    6 835,    10 271
    玻璃及玻璃制品业,    760 239,    418 341,    341 898,    6 632,    4 997,    1 635,    16 537,    11301,    5 236,    22 883,    13 731,    9 152,,,    陶瓷制品业,  136 219,    77 260,    58 959,    416 244,    239 683,    176 561,    227 867,    133 428,    94 439,    32 836,    15 607,    17 229
    陶瓷制品业,    843 359,    486 686,    356 673,    3 327,    2 691,    636,    9 445,    6 955,    2 490,    17 421,    11 062,    6 359,,,    耐火材料制品业,  48 875,    30 446,    18 429,    150 522,    100 411,    50 111,    76 961,    54 108,    22 853,    11 148,    6 459,    4 689
    耐火材料制品业,    301 614,    201 400,    100 214,    2 102,    1 698,   404,    5 075,    3 726,    1 349,    6 931,    4 552,    2 379,,,    石墨及碳素制品业,  23 000,    14 426,    8 574,    50 504,    34 239,    16 265,    18 419,    12 789,    5 630,    2 853,    1 570,    1 283
    石墨及碳素制品业,    103 229,    68 724,    34 505,    1 488,    1 184,    304,    3 011,    2 038,    973,    3 954,    2 478,    1 476,,,    石棉制品业,  10 081,    5 534,    4 547,    26 568,    14 824,    11 744,    12 408,    6 004,    6 404,    2 210,    746,    1 464
    石棉制品业,    54 084,    28 933,    25 151,    365,    275,    90,    1 041,    704,    337,    1 411,    846,    565,,,    云母制品业,    1 584,    754,    830,    4 698,    1 866,    2 832,    2 962,    843,    2 119,    425,    84,    341
    云母制品业,    10 129,    3 848,    6 281,    47,    41,    6,    171,    108,    63,    242,    152,    90,,,    矿物纤维及其制品业,    21 944,    10 670,    11 274,    66 072,    28 389,    37 683,    30 517,    11 914,    18 603,    4 496,    1 249,    3 247
    矿物纤维及其制品业,    128 665,    55 791,    72 874,    770,    603,    167,    2 136,    1 446,    690,    2 730,    1 520,    1 210,,,    磨具、磨料制造业,    24 111,    13 652,    10 459,    57 087,    33 818,    23 269,    23 472,    13 110,    10 362,    3 931,    1 510,    2 421
    磨具、磨料制造业,    117 248,    67 867,    49 381,    1 290,    1 006,    284,    3 071,    2 105,    966,    4 286,    2 666,    1 620,,,    其他类未包括的非金属矿物制品业,    7 432,    4 739,    2 693,    21 246,    14 357,    6 889,    11 781,    8 108,    3 673,    1 713,    944,    769
    其他类未包括的非金属矿物制品业,    43 689,    29 220,    14 469,    187,    149,    38,    489,    366,    123,    841,    557,    284,,,  黑色金属冶炼及压延加工业,  540 719,  356 320,  184 399,    1 162 574,    829 887,    332 687,    415 049,    321 823,    93 226,    49 752,    31 896,    17 856
  黑色金属冶炼及压延加工业,    2 424 353,    1 724 001,    700 352,    49 747,    40 441,    9 306,    93 744,    69 002,    24 742,    112 768,    74 632,    38 136,,,    炼铁业,    69 960,    48 103,    21 857,    194 669,    147 332,    47 337,    88 717,    73 218,    15 499,    12 094,    8 824,    3 270
    炼铁业,    395 410,    299 644,    95 766,    5 102,    4 311,    791,    9 634,    7 422,    2 212,    15 234,    10 434,    4 800,,,    炼钢业,  255 171,  168 628,    86 543,    490 157,    350 081,    140 076,    162 361,    125 959,    36 402,    18 030,    11 317,    6 713
    炼钢业,    1 066 810,    756 695,    310 115,    29 487,    23 841,    5 646,    52 949,    38 664,    14 285,    58 655,    38 205,    20 450,,,    钢压延加工业,  164 019,  106 402,    57 617,    375 012,    259 111,    115 901,    124 868,    93 424,    31 444,    14 452,    8 715,    5 737
    钢压延加工业,    744 293,    515 260,    229 033,    11 983,    9 709,    2 274,    24 614,    18 052,    6 562,    29 345,    19 847,    9 498,,,    铁合金冶炼业,    51 569,    33 187,    18 382,    102 736,    73 363,    29 373,    39 103,    29 222,    9 881,    5 176,    3 040,    2 136
    铁合金冶炼业,    217 840,    152 402,    65 438,    3 175,    2 580,    595,    6 547,    4 864,    1 683,    9 534,    6 146,    3 388,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  有色金属冶炼及压延加工业,    767 101,    511642,    255 459,    19 148,    15 254,    3 894,    32 928,    23 231,    9 697,    39 575,    24 886,    14 689,,,  有色金属冶炼及压延加工业,  190 013,  116 855,    73 158,    340 383,    229 874,    110 509,    127 856,    92 046,    35 810,    17 198,    9 496,    7 702
    重有色金属冶炼业,    250 452,    170 607,    79 845,    5 587,    4 441,    1 146,    10 164,    7 355,    2 809,    13 291,    8 287,    5 004,,,    重有色金属冶炼业,    61 176,    37 585,    23 591,    109 234,    75 366,    33 868,    44 511,    33 593,    10 918,    6 489,    3 980,    2 509
    轻有色金属冶炼业,    153 265,    107 853,    45 412,    3 830,    3 092,    738,    6 507,    4 594,    1 913,    8 349,    5 319,    3 030,,,    轻有色金属冶炼业,    38 401,    25 070,    13 331,    69 442,    50 107,    19 335,    23 232,    17 569,    5 663,    3 504,    2 102,    1 402
    贵金属冶炼业,    15 695,    11 554,    4 141,    170,    146,    24,    435,    342,    93,    480,    334,    146,,,    贵金属冶炼业,    3 699,    2 616,    1 083,    8 078,    5 963,    2 115,    2 399,    1 851,    548,    434,    302,    132
    稀有金属冶炼业,    54 721,    36 022,    18 699,    1 752,    1 435,    317,    2 501,    1 802,    699,    3 075,    1 971,    1 104,,,    稀有金属冶炼业,    14 497,    8 692,    5 805,    23 559,    15 466,    8 093,    8 313,    6 135,    2 178,    1 024,    521,    503
    有色金属合金业,    35 484,    21 659,    13 825,    1 317,    1 035,    282,    2 221,    1 482,    739,    2 253,    1 303,    950,,,    有色金属合金业,    9 785,    5 401,    4 384,    14 691,    8 902,    5 789,    4 792,    3 304,    1 488,    425,    232,    193
    有色金属压延加工业,    257 484,    163 947,    93 537,    6 492,    5 105,    1 387,    11 100,    7 656,    3 444,    12 127,    7 672,    4 455,,,    有色金属压延加工业,    62 455,    37 491,    24 964,    115 379,    74 070,    41 309,    44 609,    29 594,    15 015,    5 322,    2 359,    2 963
  金属制品业,    3 588 463,    2 190 520,    1 397 943,    19 696,    15 591,    4 105,    58 081,    40 523,    17 558,    79 248,    49 552,    29 696,,,  金属制品业,  618 047,  360 216,  257 831,    1 777 363,  1 092 810,    684 553,    900 699,    559 805,    340894,    135 329,    72 023,    63 306
    金属结构制造业,    168 097,    107 508,    60 589,    1 934,    1 565,    369,    4 555,    3 242,    1 313,    6 570,    4 256,    2 314,,,    金属结构制造业,    37 847,    22 421,    15 426,    84 065,    54 378,    29 687,    29 916,    20 064,    9 852,    3 210,    1 582,    1 628
    铸铁管制造业,    97 812,    72 223,    25 589,    617,    505,    112,    1 326,    1 023,    303,    2 136,    1 494,    642,,,    铸铁管制造业,14 600,    10 068,    4 532,    49 481,    36 328,    13 153,    25 420,    19 774,    5 646,    4 232,    3 031,    1 201
    工具制造业,    510 365,    310 434,    199 931,    5 115,    4 022,    1 093,    13 631,    9 530,    4 101,    18 335,    11 261,    7 074,,,    工具制造业,  104 445,    60 156,    44 289,    258 383,    158 182,    100 201,    98 985,    61 306,    37 679,    11 471,    5 977,    5 494
    金属丝绳及其制品业,    353 701,    210 962,    142 739,    1 919,    1 485,    434,    6 046,    4 183,    1 863,    8 261,    5 024,    3 237,,,    金属丝绳及其制品业,    62 953,    36 645,    26 308,    179 545,    109 509,    70 036,    82 678,    48 692,    33 986,    12 299,    5 424,    6 875
    建筑用金属制品业,    551 274,    348 356,    202 918,    1 963,    1 625,    338,    6 954,    4 965,    1 989,    10 761,    7 104,    3 657,,,    建筑用金属制品业,    94 486,    56 841,    37 645,    289 780,    186 745,    103 035,    131 070,    83 124,    47 946,    16 260,    7 952,    8 308
    农业用金属制品业,    346 277,    294 045,    52 232,    294,    250,    44,    954,    746,    208,    2 416,    1 856,    560,,,    农业用金属制品业,    33 668,    25 478,    8 190,    143 023,    117 134,    25 889,    136 869,    122 747,    14 122,    29 053,    25 834,    3 219
    金属表面处理及热处理业,    296 058,    161 705,    134 353,    856,    668,    188,    2 559,    1 811,    748,    3 279,    2 039,    1 240,,,    金属表面处理及热处理业,    38 247,    22 934,    15 313,    137 012,    80 387,    56 625,    97 119,    48 521,    48 598,    16 986,    5 345,    11 641
    日用金属制品业,    882 735,    467 284,    415 451,    3 816,    2 942,    874,    13 822,    9 375,    4 447,    17 658,    10 381,    7 277,,,    日用金属制品业,  159 130,    84 705,    74 425,    445 047,238 564,    206 483,    213 900,    109 198,    104 702,    29 362,    12 119,    17 243
    其他金属制品业,    188 501,    107 013,    81 488,    1 434,    1 131,    303,    3 985,    2 691,    1 294,    4 302,    2 597,    1 705,,,    其他金属制品业,    33 349,    18 975,    14 374,    93 977,    54 805,    39 172,    44 767,    24 403,    20 364,    6 687,    2 411,    4 276
  机械工业,    10 270 999,    6 561 543,    3 709 456,    201 902,    162 033,    39 869,  396 974,    279 749,    117 225,    526 707,    336 641,  190 066,,,  机械工业, 2 297 494, 1 368 619,  928 875,  4 922 879,  3 155 350,  1 767 529,    1 745 817,    1 166 929,    578 888,    179 226,    92 222,    87 004
    锅炉及原动机制造业,    883 301,    573 267,    310 034,    26 304,    21 385,    4 919,    43 628,    30 626,    13 002,    55 962,    35 639,    20 323,,,    锅炉及原动机制造业,  213 634,  127 981,    85 653,    407 565,    266 434,    141 131,    125 481,    85 449,    40 032,    10 727,    5 753,    4 974
    金属加工机械制造业,    737 688,    490 354,    247 334,    19 284,    15 411,    3 873,    36 313,    25 743,    10 570,    48 725,    31 807,    16 918,,,    金属加工机械制造业,  173 846,  105 504,    68 342,    342 815,    228 878,    113 937,    106 191,    76 449,    29 742,    10 514,    6 562,    3 952
    通用设备制造业,    1 018 352,    657 178,    361 174,    23 664,    18 978,    4 686,    44 281,    31 207,    13 074,    54 647,    35 248,    19 399,,,    通用设备制造业,  233 668,  141 277,    92 391,    490 017,    316 204,    173 813,    157 326,    106 545,    50 781,    14 749,    7 719,    7 030
    通用零部件制造业,    1 492 273,    893 146,    599 127,    17 473,    14 127,    3 346,    40 869,    28 597,    12 272,    58 246,    37 180,    21 066,,,    通用零部件制造业,  303 139,  175 363,  127 776,    744 599,    451 784,    292 815,    296 661,    173 084,    123 577,    31 286,    13 011,    18 275
    铸锻毛坯制造业,    638 509,    445 104,    193 405,    4 442,    3 777,    665,    9 517,    7 186,    2 331,13 661,    9 312,    4 349,,,    铸锻毛坯制造业,  100 093,    64 811,    35 282,    317 370,    223 112,    94 258,    169 562,    123 203,    46 359,    23 864,    13 703,    10 161
    工业专用设备制造业,    2 119 291,    1 385 554,    733 737,    48 680,    39 012,    9 668,    91 933,    65 794,    26 139,    119 858,    77 244,    42 614,,,    工业专用设备制造业,  489 410,  302 874,  186 536,    1 006 470,    658 305,    348 165,    331 456,    226 516,    104 940,    31 484,    15 809,    15 675
    建筑机械制造业,    239 730,    154 775,    84 955,    6 361,    5 174,    1 187,    11 475,    8 159,    3 316,    14 187,    8 953,    5 234,,,    建筑机械制造业,    58 351,    34 824,    23 527,    111 743,    71 802,    39 941,    34 758,    24 246,    10 512,    2 855,    1 617,    1 238
    地质专用设备制造业,    32 471,    21 920,    10 551,    920,    759,    161,    1 962,    1 411,    551,    2 597,    1 756,    841,,,    地质专用设备制造业,    7 484,    4 422,    3 062,    14 659,    9 902,    4 757,    4 596,    3 511,    1 085,    253,    159,    94
    医疗器械制造业,    147 439,    70 209,    77 230,    2 780,    2 013,    767,    6 356,    4 149,    2 207,    5 919,    3 262,    2 657,,,    医疗器械制造业,    33 644,    16 683,    16 961,    70 542,    32 668,    37 874,    24 809,    10 455,    14 354,    3 389,    979,    2 410
    文化、办公用机械制造业,    41 393,    22 865,    18 528,    1 641,    1 209,    432,    2 827,    1 848,    979,    2 924,    1 679,    1 245,,,    文化、办公用机械制造业,    11 001,    5 886,    5 115,    17 846,    9 543,    8 303,    4 676,    2 556,    2 120,    478,    144,    334
    日用机械制造业,    776 989,    395 773,    381 216,    10 311,    7 806,    2 505,    30 567,    19 941,    10 626,    34 675,    19 096,    15 579,,,    日用机械制造业,  203 704,  100 269,  103 435,    371 188,    187 512,    183 676,    113 840,    56 533,    57 307,    12 704,    4 616,    8 088
    其他专用设备制造业,    234 696,    143 489,    91 207,    3 628,    2 926,    702,    7 811,    5 511,    2 300,    9 931,    6 264,    3 667,,,    其他专用设备制造业,    50 848,    29 604,    21 244,    118 079,    72 224,    45 855,    40 165,    24 994,    15 171,    4 234,    1 966,    2 268
    机械设备修理业,    575 584,    419 901,    155 683,    4 804,    4 025,    779,    11 921,    8 839,    3 082,    22 207,    15 446,    6 761,,,    机械设备修理业,  115 401,    75 922,    39 479,    288 348,    211 320,    77 028,    119 800,    95 627,    24 173,    13 103,    8 722,    4 381
    其他机械制造业,    527 256,    335 695,    191 561,    18 922,    15 034,    3 888,    34 346,    23 981,    10 365,    42 528,    26 021,    16 507,,,    其他机械制造业,  132 913,    76 186,    56 727,    224 952,    141 559,    83 393,    68 429,    49 998,    18 431,    5 166,    2 916,    2 250
  交通运输设备制造业,    3 688 484,    2 467 015,    1 221 469,    93 293,    75 054,    18 239,    160 761,    112 703,    48 058,    222 086,    143 995,    78 091,,,  交通运输设备制造业,  903 890,  554 367,  349 523,    1 711 806,  1 162 224,    549 582,    542 319,    388 946,    153 373,    54 329,    29 726,    24 603
    铁路运输设备制造业,    292 574,    192 566,    100 008,    10 084,    8 141,    1 943,    15 927,    11 576,    4 351,    22 583,    15 166,    7 417,,,    铁路运输设备制造业,    86 071,    51 733,    34 338,    128 232,    83 951,    44 281,    27 564,    20 670,    6 894,    2 113,    1 329,    784
    汽车制造业,    1 364 597,    839 193,    525 404,    34 017,    26 787,    7 230,    63 114,    43 026,    20 088,    78 431,    48 058,    30 373,,,    汽车制造业,  338 442,  194 993,  143 449,    633 869,    391 402,    242 467,    196 839,    125 095,    71 744,    19 885,    9832,    10 053
    摩托车制造业,    126 383,    72 358,    54 025,    2 613,    2 140,    473,    6 013,    4 137,    1 876,    7 558,    4 592,    2 966,,,    摩托车制造业,    35 372,    17 518,    17 854,    54 793,    31 915,    22 878,    18 489,    11 424,    7 065,    1 545,    632,    913
    电车制造业,    2 154,    1 360,    794,    34,    21,    13,    102,    74,    28,    130,    74,    56,,,    电车制造业,    519,    306,    213,    1 035,    658,    377,    305,    211,    94,    29,    16,    13
    船舶制造业,      317 580,    224 303,    93 277,    10 884,    9 125,    1 759,    13 799,    10 618,    3 181,    20 747,    14 649,    6 098,,,    船舶制造业,    66 641,    44 110,    22 531,    147 590,    103 970,    43 620,    50 990,    38 431,    12 559,    6 929,    3 400,    3 529
    飞机制造业,    326 495,    208 858,    117 637,    21 662,    17 253,    4 409,    30 345,    19 887,    10 458,    39 054,    24 123,    14 931,,,    飞机制造业,    98 567,    57 934,    40 633,    107 750,    67 837,    39 913,    27 638,    20 993,    6 645,    1 479,    831,    648
    交通运输设备修理业,    1 182 667,    878 940,    303 727,    12 731,    10 533,    2 198,    29 135,    21 684,    7 451,    49 874,    34 869,    15 005,,,    交通运输设备修理业,  261 829,  177 699,    84 130,    601 512,    458 376,    143 136,    206 738,    162 828,    43 910,    20 848,    12 951,    7 897
    其他交通运输设备制造业,    76 034,    49 437,    26 597,    1 268,    1 054,    214,    2 326,    1 701,    625,    3 709,    2 464,    1 245,,,    其他交通运输设备制造业,    16 449,    10 074,    6 375,    37 025,    24 115,    12 910,    13 756,    9 294,    4 462,    1 501,    735,    766
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  电气机械及器材制造业,    3 097 966,    1 608 737,    1 489 229,    54 283,    42 413,    11 870,    110 032,    73 517,    36 515,    129 509,    77 075,    52434,,,  电气机械及器材制造业,  699 894,  366 145,  333 749,    1 503 761,    769 802,    733 959,    540 901,    259 084,    281 817,    59 586,    20 701,    38 885
    电机制造业,    533 018,    311 250,    221 768,    15 167,    12 129,    3 038,    25 241,    17 365,    7 876,    33 037,    20 382,    12 655,,,    电机制造业,  127 040,    71 125,    55 915,    246 737,    140 340,    106 397,    78 821,    46 629,    32 192,    6 975,    3 280,    3 695
    输配电及控制设备制造业,    800 271,    409 821,    390 450,    15 462,    11916,    3 546,    33 599,    21 853,    11 746,    36 492,    21 379,    15 113,,,    输配电及控制设备制造业,  186 336,    94 938,    91 398,    387 221,    195 026,    192 195,    127 488,    60 149,    67 339,    13 673,    4 560,    9 113
    电工器材制造业,    646 090,    336 768,    309 322,    8 433,    6 482,    1 951,    20 352,    13 482,    6 870,    23 053,    13 480,    9 573,,,    电工器材制造业,  146 011,    76 483,    69 528,    315 601,    164 448,    151 153,    117 578,    57 042,    60 536,    15 062,    5 351,    9 711
    日用电器制造业,    559 813,    286 627,    273 186,    10 459,    8 241,    2 218,    17 840,    12 161,    5 679,    20 342,    12 206,    8 136,,,    日用电器制造业,  126 250,    66 619,    59 631,    268 036,    134 900,    133 136,    105 297,    48 884,    56 413,    11 589,    3 616,    7 973
    照明器具制造业,    408 104,    172 731,    235 373,    2 454,    1 827,    627,    7 717,    5 015,    2 702,    9 855,    5 488,    4 367,,,    照明器具制造业,    78 445,    36 349,    42 096,    211 967,    89 743,    122 224,    87 958,    31 678,    56 280,    9 708,    2 631,    7 077
    电气机械修理业,    74 148,    48 177,    25 971,    919,    734,    185,    2 092,    1 479,    613,    3 198,    2 074,    1 124,,,    电气机械修理业,    17 720,    10 788,    6 932,    37 432,    24 516,    12 916,    11 569,    7 926,    3 643,    1 218,    660,    558
    其他电气机械制造业,    76 522,    43 363,    33 159,    1 389,    1 084,    305,    3 191,    2 162,    1 029,    3 532,    2 066,    1 466,,,    其他电气机械制造业,    18 092,    9 843,    8 249,    36 767,    20 829,    15 938,    12 190,    6 776,    5 414,    1 361,    603,    758
  电子及通信设备制造业,    1 761 358,    797 256,    964 102,    75 114,    56 833,    18 281,    107 198,    66 446,    40 752,    115 754,    63 704,    52 050,,,  电子及通信设备制造业,  473 129,  215 475,  257 654,    765 718,    307 601,    458 117,    206 292,    81 771,    124 521,    18 153,    5 426,    12 727
    通信设备制造业,    202 260,    102 638,    99 622,    11 498,    8 667,    2 831,    14 110,    9 185,    4 925,    18 058,    10 185,    7 873,,,    通信设备制造业,    51 802,    25 697,    26 105,    84 072,    37 668,    46 404,    21 009,    10 644,    10 365,    1 711,    592,    1 119
    雷达制造业,    49 374,    29 888,    19 486,    3 605,    2 781,    824,    4 260,    2 806,    1 454,    5 389,    3 200,    2 189,,,    雷达制造业,    14 181,    7 672,    6 509,    16 908,    9 968,    6 940,    4 736,        3 309,    1 427,    295,    152,    143
    广播电视设备制造业,    45 259,    23 834,    21 425,    2 323,    1 725,        598,    3 557,    2 215,    1 342,    3 609,    2 117,    1 492,,,    广播电视设备制造业,    10 815,    5 332,    5 483,    19 147,    9 404,    9 743,    5 409,    2 886,    2 523,    399,    155,    244
    电子计算机制造业,    77 303,    39 975,    37 328,    8 596,    6 357,    2 239,    8 777,    5 259,    3 518,    7 837,    4 230,    3 607,,,    电子计算机制造业,    20 230,    9 194,    11 036,    26 309,    11 910,    14 399,    5 199,    2 893,    2 306,    355,    132,    223
    电子器件制造业,    334 993,    159 483,    175 510,    18 036,    13 682,    4 354,    23 330,    14 036,    9 294,    24 497,    13 255,    11 242,,,    电子器件制造业,    95 089,    43 640,    51 449,    136 966,    58 406,    78 560,    34 161,    15 425,    18 736,    2 914,    1 039,    1 875
    电子元件制造业,    491 074,    198 171,    292 903,    11 496,    8 728,    2 768,    21 977,    13 734,    8 243,    25 121,    13 676,    11 445,,,    电子元件制造业,  124 450,    51 871,    72 579,    230 576,    84 489,    146 087,    70 398,    23 938,    46 460,    7 056,    1 735,    5 321
    日用电子器具制造业,    507 139,    214 282,    292 857,    17 855,    13 546,    4 309,    28 223,    17 204,    11 019,    28 237,    15 289,    12 948,,,    日用电子器具制造业,  142 278,    64 439,    77 839,    227 851,    83 546,    144 305,    57 867,    18 917,    38 950,    4 828,    1 341,    3 487
    电子设备及通信设备修理业,    17 691,    10 915,    6 776,    540,    410,      130,    1 105,    792,    313,    1 098,    632,    466,,,    电子设备及通信设备修理业,    5 276,    3 237,    2 039,    7 449,    4 559,    2 890,    2 056,    1 199,    857,    167,    86,    81
    其他电子设备制造业,    36 265,    18 070,    18 195,    1 165,    937,    228,    1 859,    1 215,    644,      1 908,    1 120,    788,,,    其他电子设备制造业,    9 008,    4 393,    4 615,    16 440,    7 651,    8 789,    5 457,        2 560,    2 897,    428,    194,    234
    仪器仪表制造业,    652 722,    341 394,    311 328,    29 232,    22 052,      7 180,    43 284,    27 723,    15 561,    49 307,    27 867,    21 440,,,    仪器仪表制造业,  173 152,    85 025,    88 127,    275 578,    137 888,    137 690,    74 937,    38 312,    36 625,    7 232,    2 527,    4 705
    电子测量仪器制造业,    48 731,    25 045,    23 686,    2 854,    2 108,    746,    4 595,    2 826,    1 769,    4 514,    2 525,    1 989,,,    电子测量仪器制造业,    13 697,    6 511,    7 186,    18 438,    8 710,    9 728,    4 317,    2 229,    2 088,    316,    136,    180
    传递标准用计量仪器制造业,    3 437,    1 938,    1 499,    82,    58,    24,    148,    93,    55,    150,    86,    64,,,    传递标准用计量仪器制造业,    812,    443,    369,    1 735,    1 006,    729,    453,    229,    224,    57,    23,    34
    量具量仪制造业,    55 558,    29 926,    25 632,    1 459,    1 101,    358,    2 846,    1 881,    965,    3 570,    2 032,    1 538,,,    量具量仪制造业,    14 700,    7 535,    7 165,    25 350,    13 530,    11 820,    6 856,    3 596,    3 260,    777,    251,    526
    衡器制造业,    52 618,    32 030,    20 588,    637,    485,    152,    1 747,    1 204,    543,    1 932,    1 161,    771,,,    衡器制造业,    10 503,    5 863,    4 640,    26 247,    15 892,    10 355,    10 322,    6 721,    3 601,    1 230,    704,    526
    仪器仪表及其他计量器具修理业,    14 035,    8 436,5(?)99,    566,    422,    144,    938,    647,    291,    1 091,    643,    448,,,    仪器仪表及其他计量器具修理业,    4 143,    2 319,    1 824,    5 812,    3 384,    2 428,    1 353,    941,    412,    132,    80,    52
    其他计量器具制造业,    16 270,    8 533,    7 737,    270,    203,    67,    534,    336,    198,    546,    301,    245,,,    其他计量器具制造业,    3 561,    1 733,    1 828,    7 961,    4 045,    3 916,    3 017,    1 724,    1 293,    381,    191,    190
  其他工业,    426 603,    227 316,    199 287,    1 653,    1 353,    300,    4 811,    3 250,    1 561,    5 734,    3 500,    2 234,,,  其他工业,    57 314,    29 507,    27 807,    188 131,    103 322,    84 809,    139 816,    76 249,    63 567,    29 144,    10 135,    19 009
    生产用其他产品工业,    156 114,    80 442,    75 672,    1 204,    1 010,    194,    3 034,    2 055,    979,    3 189,    2 056,    1 133,,,    生产用其他产品工业,    25 250,    13 396,    11 854,    69 130,    37 601,    31 529,    44 159,    21 460,    22 699,    10 148,    2 864,    7 284
    生活用其他产品工业,    270 489,    146 874,    123 615,    449,    343,    106,    1 777,    1 195,    582,    2 545,    1 444,    1 101,,,    生活用其他产品工业,    32 064,    16 111,    15 953,    119 001,    65 721,    53 280,    95 657,    54 789,    40 868,    18 996,    7 271,    11 725
地质普查和勘探业,    798 147,    600 208,    197 939,    46 154,    39 147,    7 007,    51 435,    39 402,    12 033,  101 462,    75 105,    26 357,,,地质普查和勘探业,  159 340,  104 507,    54 833,    304 261,    230 632,    73 629,    124 372,    105 203,19 169,    11 123,    6 212,    4 911
