,,,,,,,,,,,,
    表11——3全国按现住地和1985年7月1日常住地类型分性别、职业的迁入人口数,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  职业和,,,,,,,,,,,,
,    合计,,,    城市,,,    镇,,,    乡村,,
  现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
西藏自治区,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——
陕西省,    60 397,    36 133,    24 264,    29 224,    18 239,    10 985,    17 501,    10 060,    7 441,    13 672,    7 834,    5 838
甘肃省,    33 003,    20 951,    12 052,    17 015,    10 806,    6 209,    9 240,    5 458,    3 782,    6 748,    4 687,    2 061
青海省,    16 439,    9 294,    7 145,    6 088,    3 305,    2 783,    6 795,    3 474,    3 321,    3 556,    2 515,    1 041
宁夏回族自治区,    10 069,    6 028,    4 041,    4 394,    2 591,    1 803,    3 772,    2 064,    1 708,    1 903,    1 373,    530
新疆维吾尔自治区,    31 676,    15 112,    16 564,    16 490,    8 282,    8 208,    9 235,    4 083,    5 152,    5 951,    2 747,    3 204
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    表11——3全国按现住地和1985年7月1日常住地类型分性别、职业的迁入人口数(续02),,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  职业和,,,,,,,,,,,,
,    合计,,,    城市,,,    镇,,,    乡村,,
  现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
国家机关党群组织、,    279 473,    253 903,    25 570,   111 779,    100 896,    10 883,    97 730,    88 905,    8 825,    69 964,    64 102,    5 862
企事业单位负责人,,,,,,,,,,,,
  北京市,    1 718,    1 423,    295,    794,    655,    139,    528,    438,    90,    396,    330,    66
  天津市,    353,    307,    46,    111,    97,    14,    127,    112,    15,    115,    98,    17
  河北省,    9 449,    8 462,    987,    4 130,    3 664,    466,    2 864,    2 608,    256,    2 455,    2 190,    265
  山西省,    6 702,    6 130,    572,    3 364,    3 060,    304,    2 078,    1 933,    145,    1 260,    1 137,    123
  内蒙古自治区,    6 449,    5 806,    643,    2 577,    2 321,    256,    2 542,    2 277,    265,    1 330,    1 208,    122
  辽宁省,    11 898,    10 401,    1 497,    5 079,    4 410,    669,    3 959,    3 455,    504,    2 860,    2 536,    324
  吉林省,    8 378,    7 257,    1 121,    2 725,    2 358,    367,    4 093,    3 575,    518,    1 560,    1 324,    236
  黑龙江省,    11 644,    10 209,    1 435,    4 490,    3 884,    606,    4 210,    3 665,    545,    2 944,    2 660,    284
  上海市,    1 926,    1 622,    304,    616,    536,    80,    716,    582,    134,    594,    504,    90
  江苏省,    17 235,    15 641,    1 594,    6 855,    6 252,    603,    3 818,    3 426,    392,    6 562,    5 963,    599
  浙江省,    10 086,    9 350,    736,    3 632,    3 362,    270,    3 583,    3 333,    250,    2 871,    2 655,    216
  安徽省,    9 304,    8 542,    762,    4 225,    3 907,    318,    2 747,    2 527,    220,    2 332,    2 108,    224
  福建省,    9 986,    9 315,    671,    4 402,    4 062,    340,    2 977,    2 773,    204,    2 607,    2 480,    127
  江西省,    9 791,    9 064,    727,    3 164,    2 894,    270,    3 305,    3 054,    251,    3 322,    3 116,    206
  山东省,    12 509,    11 547,    962,    6 045,    5 551,    494,    4 406,    4 077,    329,    2 058,    1 919,    139
