表5    各职业大类人口和未工作人口（长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,单位：人
县市名,,,,,,,,,,,,,,,,,
,15岁及以上人口,各种职业人口,国家机关、党群组织、,专业技术人员,办事人员和有关人员,商业、服务业人员,农林牧渔水利业,生产、运输设备操作,不便分类的其他,各种未工作人口,在校学生,料理家务,离退休,丧失劳动能力,从未工作,失去工作,其他
,总        计,总        计,企业、事业单位负责人,,,,生  产  人  员,人 员 及 有 关 人 员,从  业  人  员,总        计,,,,,正在寻找工作,正在寻找工作,
,,,,,,,,,,,,,,,,,
滦平县,23890,17017,256,709,343,1142,11974,2591,2,6873,836,3584,334,1393,461,106,159
隆化县,29193,22038,292,990,306,1058,17895,1489,8,7155,1463,2995,412,1384,461,161,279
丰宁满族自治县,26546,20289,296,898,267,1120,16567,1125,16,6257,1237,2890,382,1164,299,85,200
宽城满族自治县,17038,9490,180,617,393,692,5673,1935,,7548,796,4599,243,885,591,71,363
围场满族蒙古族自治县,34424,28412,420,1073,425,1331,22784,2379,,6012,1412,2033,496,1244,306,222,299
沧州市,501505,389246,7151,17053,7898,21050,297671,38172,251,112259,29112,32267,13974,25316,4866,2197,4527
新华区,13850,8289,568,1210,775,2113,961,2662,,5561,1135,1448,1813,281,300,334,250
运河区,20807,12524,600,1889,1951,2305,2333,3439,7,8283,2943,1767,2119,429,366,419,240
沧县,49109,42397,231,865,73,529,39529,1061,109,6712,2284,1573,407,2116,199,20,113
青县,28549,21202,434,984,390,1288,14724,3342,40,7347,1401,3167,570,1598,264,128,219
东光县,26339,22384,332,624,281,616,19493,1036,2,3955,1046,777,440,1407,148,51,86
海兴县,14426,11402,144,420,229,421,9171,1017,,3024,734,887,294,860,143,25,81
盐山县,30104,25677,186,628,249,334,24012,268,,4427,1821,698,301,1342,160,3,102
肃宁县,24300,19036,212,711,282,717,16077,1037,,5264,1399,1225,500,1653,195,56,236
南皮县,25399,21103,314,755,154,414,18648,813,5,4296,1126,1186,389,1295,91,40,169
吴桥县,21921,18523,168,607,218,464,16533,533,,3398,1056,688,387,1010,127,45,85
献县,39376,32263,364,820,286,473,29411,906,3,7113,2449,1537,486,2104,233,51,253
孟村回族自治县,13118,10084,147,381,138,442,8166,809,1,3034,825,1119,179,678,146,30,57
泊头市,42416,33841,690,1463,554,2063,24741,4294,36,8575,2493,2063,1160,2018,419,190,232
任丘市,58500,39394,1288,2843,1130,4521,20961,8648,3,19106,4096,6485,2734,3138,982,285,1386
黄骅市,35223,24661,883,1254,549,2095,15469,4382,29,10562,1282,4766,1269,1919,587,391,348
河间市,58068,46466,590,1599,639,2255,37442,3925,16,11602,3022,2881,926,3468,506,129,670
廊坊市,287947,208278,4858,11455,4978,17746,135638,33234,369,79669,21348,27124,7575,16843,2857,1311,2611
安次区,26411,18648,330,910,338,1545,13431,2034,60,7763,2809,2207,623,1372,314,245,193
广阳区,29363,18838,869,2522,1179,2775,7847,3642,4,10525,2836,2771,2262,1058,443,396,759
固安县,30600,23980,238,877,282,809,20829,943,2,6620,2209,1579,524,1725,305,62,216
永清县,27718,22182,258,808,338,890,18178,1705,5,5536,1396,1709,304,1677,209,70,171
香河县,23834,17537,319,871,359,1435,11210,3337,6,6297,1333,2119,699,1783,165,56,142
