表5    各职业大类人口和未工作人口（长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,单位：人
县市名,,,,,,,,,,,,,,,,,
,15岁及以上人口,各种职业人口,国家机关、党群组织、,专业技术人员,办事人员和有关人员,商业、服务业人员,农林牧渔水利业,生产、运输设备操作,不便分类的其他,各种未工作人口,在校学生,料理家务,离退休,丧失劳动能力,从未工作,失去工作,其他
,总        计,总        计,企业、事业单位负责人,,,,生  产  人  员,人 员 及 有 关 人 员,从  业  人  员,总        计,,,,,正在寻找工作,正在寻找工作,
,,,,,,,,,,,,,,,,,
鹤山区,10278,6373,96,428,355,514,2004,2976,,3905,452,1443,785,287,418,242,278
山城区,17897,11268,463,1456,1044,1580,3166,3549,10,6629,1021,1552,1800,320,545,574,817
郊区,7979,6311,153,369,165,461,4584,570,9,1668,528,360,179,405,121,27,48
浚县,46287,38699,229,1197,381,1072,34575,1243,2,7588,1403,2161,812,2479,334,116,283
淇县,17703,14997,188,627,372,798,11572,1438,2,2706,452,672,369,735,134,127,217
新乡市,395824,309182,4473,13831,7050,14631,242322,26568,307,86642,23177,18980,14128,19800,3873,2597,4087
红旗区,27052,13797,1129,2899,1952,2935,375,4505,2,13255,4963,1292,4307,187,636,971,899
新华区,16716,9633,705,1768,1014,2386,56,3656,48,7083,1055,1081,3219,143,477,601,507
北站区,6179,4529,76,325,178,421,1823,1693,13,1650,313,516,381,239,123,30,48
郊区,10953,7934,328,507,241,1234,3159,2440,25,3019,621,935,598,358,183,145,179
新乡县,30507,24226,328,985,216,1149,18757,2788,3,6281,1582,1473,562,2065,264,81,254
获嘉县,27605,22288,305,797,326,978,18230,1650,2,5317,1182,1516,555,1535,271,72,186
原阳县,46271,38737,166,711,394,347,36793,319,7,7534,2405,1635,570,2512,164,85,163
延津县,33820,27950,193,872,328,453,25538,556,10,5870,1815,1328,523,1732,162,71,239
封丘县,50573,42718,205,920,396,563,39965,654,15,7855,1967,1656,686,2869,255,111,311
长垣县,55313,44403,300,1172,489,979,40036,1327,100,10910,3449,2412,808,3372,402,70,397
卫辉市,35129,28470,197,1223,605,1097,22926,2350,72,6659,1497,1554,1089,1648,328,204,339
辉县市,55706,44497,541,1652,911,2089,34664,4630,10,11209,2328,3582,830,3140,608,156,565
焦作市,284827,207875,3495,13103,6195,15972,136468,32326,316,76952,13067,23918,11294,14462,6354,3037,4820
解放区,21519,11551,454,2263,1149,2231,1055,4372,27,9968,2859,1515,2798,279,903,758,856
中站区,8583,5180,120,358,197,569,1970,1966,,3403,325,1136,804,261,354,287,236
马村区,9388,6503,81,327,223,399,3575,1894,4,2885,309,1070,589,318,291,124,184
山阳区,17859,11215,567,1695,1006,1830,2269,3831,17,6644,1412,1647,1737,347,576,398,527
修武县,19508,14890,147,703,429,783,10880,1869,79,4618,699,1684,490,989,348,117,291
博爱县,30335,22119,331,1166,485,1663,15487,2923,64,8216,910,3539,753,1691,586,202,535
武陟县,44381,35246,264,1099,474,1079,30650,1675,5,9135,1500,3580,702,2293,399,143,518
温县,29121,22508,325,1043,393,1279,17154,2304,10,6613,1031,2046,678,1915,451,211,281
济源市,45328,35248,517,1940,791,2454,24874,4578,94,10080,2091,2112,1305,2568,1196,266,542
沁阳市,32698,24342,400,1596,546,1928,16749,3111,12,8356,1127,2943,748,2066,711,370,391
孟州市,26107,19073,289,913,502,1757,11805,3803,4,7034,804,2646,690,1735,539,161,459
濮阳市,251417,202328,2281,8795,3591,8357,169994,9159,151,49089,13923,9152,7590,12255,3375,1123,1671
市区,32326,22072,865,3350,1833,3548,9168,3234,74,10254,2488,1462,3246,891,1022,651,494
清丰县,48258,38845,355,1238,397,1050,33905,1878,22,9413,2360,1893,1520,2611,634,143,252
南乐县,33573,28161,174,671,230,599,26059,426,2,5412,1821,1096,406,1660,231,72,126
范县,35016,29412,194,795,339,543,26810,708,23,5604,1788,1033,595,1669,293,82,144
台前县,24165,18624,217,522,172,802,16117,771,23,5541,1568,1443,322,1492,324,34,358
濮阳县,78079,65214,476,2219,620,1815,57935,2142,7,12865,3898,2225,1501,3932,871,141,297
许昌市,302877,245392,2810,9499,4057,12250,199218,17401,157,57485,12756,14185,7575,14982,3361,1661,2965
魏都区,26983,15816,775,2453,1554,3539,3174,4320,1,11167,2596,1885,3377,535,908,892,974
许昌县,55562,46457,293,1038,293,924,41724,2118,67,9105,2356,1957,922,3055,460,93,262
鄢陵县,41368,35612,174,1010,301,838,32806,482,1,5756,1875,1240,538,1721,204,65,113
襄城县,50619,43297,308,1328,452,1689,37982,1533,5,7322,1561,1524,605,2844,375,104,309
禹州市,80515,67198,770,1975,801,2729,56868,4047,8,13317,2193,4026,1303,4023,811,200,761
长葛市,47830,37012,490,1695,656,2531,26664,4901,75,10818,2175,3553,830,2804,603,307,546
漯河市,167107,132025,1417,5546,2909,7781,104848,9446,78,35082,9176,6403,4782,8749,2471,1127,2374
源汇区,23430,13865,897,2157,1351,3512,2098,3834,16,9565,2373,1608,2506,496,889,839,854
舞阳县,37631,31009,137,924,301,964,27907,770,6,6622,1432,1453,722,2299,282,50,384
临颖县,45609,37708,167,1180,674,1313,32815,1540,19,7901,2464,1270,731,2245,581,162,448
郾城县,60437,49443,216,1285,583,1992,42028,3302,37,10994,2907,2072,823,3709,719,76,688
三门峡市,161301,126566,1501,7224,3705,8809,92544,12704,79,34735,6400,12349,4394,5359,2646,1142,2445
湖滨区,21895,14079,614,2045,1274,3142,3441,3556,7,7816,1527,2181,1877,393,683,627,528
渑池县,24227,20235,157,736,435,908,15854,2136,9,3992,739,1238,486,924,239,73,293
陕县,25481,20601,161,874,272,1184,16038,2060,12,4880,892,1802,473,1037,312,125,239
卢氏县,26870,23476,124,821,376,845,20757,547,6,3394,770,974,287,895,194,30,244
义马市,9971,6005,140,878,619,633,1693,2003,39,3966,470,1597,652,207,534,150,356
灵宝市,52857,42170,305,1870,729,2097,34761,2402,6,10687,2002,4557,619,1903,684,137,785
南阳市,722708,612284,4652,22385,9796,26145,516729,32331,246,110424,33613,24176,13103,26781,5118,2020,5613
宛城区,61364,49153,614,3177,1498,3885,35282,4624,73,12211,4001,2220,2651,1582,691,455,611
卧龙区,60889,46994,799,3242,1801,3966,32426,4742,18,13895,5053,2508,2615,1825,701,541,652
南召县,42956,35532,262,1499,531,1648,25789,5786,17,7424,1607,2135,837,1958,431,80,376
方城县,67226,58323,322,1562,603,1923,52193,1708,12,8903,2773,2082,669,2429,321,136,493
西峡县,31734,25810,248,1046,571,1214,21458,1272,1,5924,999,1941,565,1551,270,57,541
镇平县,64745,55232,277,1536,523,2058,47843,2966,29,9513,2537,2302,736,2818,481,145,494
内乡县,43621,37211,222,1036,459,1178,33051,1265,,6410,1656,1717,520,1886,249,107,275
淅川县,47185,40681,245,1432,696,1105,35331,1861,11,6504,1853,1426,548,1685,421,49,522
社旗县,43846,38475,212,1073,401,1217,34807,757,8,5371,2096,988,407,1508,160,56,156
唐河县,86639,75459,408,2048,822,2011,68709,1425,36,11180,3803,2175,989,3204,410,142,457
新野县,47641,41592,320,1471,519,1864,34751,2650,17,6049,1622,1354,700,1896,272,73,132
桐柏县,29421,24386,245,1103,728,1463,19424,1421,2,5035,1325,1204,751,1203,288,28,236
邓州市,95441,83436,478,2160,644,2613,75665,1854,22,12005,4288,2124,1115,3236,423,151,668
商丘市,532309,453175,2408,13497,6682,11893,404841,13618,236,79134,27258,15888,7863,19380,3428,1603,3714
梁园区,47829,36678,463,2003,1602,2974,26803,2811,22,11151,2676,2543,2159,1399,699,780,895
睢阳区,51265,43415,255,1367,1025,1052,38304,1403,9,7850,2438,1757,918,1603,522,143,469
民权县,53222,45542,197,1282,401,890,42214,517,41,7680,2631,1369,667,2114,336,54,509
睢县,50650,43359,233,1127,337,587,40599,471,5,7291,2245,1712,615,2125,236,126,232
宁陵县,39372,34134,143,933,400,721,31234,700,3,5238,1919,905,461,1499,211,103,140
柘城县,59165,51626,255,1469,670,991,47360,853,28,7539,2736,1452,611,2208,257,53,222
虞城县,70771,60936,249,1327,723,1227,55915,1460,35,9835,3521,2132,641,2502,373,97,569
夏邑县,70072,60755,253,1940,570,1849,53674,2408,61,9317,3624,1597,698,2717,366,83,232
永城市,89963,76730,360,2049,954,1602,68738,2995,32,13233,5468,2421,1093,3213,428,164,446
信阳市,456863,371927,4074,15740,6136,23835,299608,22202,332,84936,18912,20863,8942,22582,7526,2801,3310
浉河区,43078,30349,900,2464,1419,4344,17457,3720,45,12729,3256,2233,2641,1651,1314,962,672
平桥区,49875,39297,549,1787,777,3910,28631,3604,39,10578,1534,2357,1588,2991,1130,407,571
罗山县,40499,33071,443,1423,560,2061,26972,1604,8,7428,1711,1792,614,2256,587,212,256
光山县,44351,36757,366,1517,516,2161,30077,2051,69,7594,1538,2213,495,2164,707,181,296
新县,19399,15606,219,777,242,941,12074,1324,29,3793,819,976,274,1123,333,152,116
商城县,38213,31602,248,1253,501,1612,25669,2283,36,6611,1517,1826,489,2027,449,117,186
固始县,82322,68486,457,2326,621,3479,58013,3568,22,13836,2598,3941,1020,4664,1104,250,259
潢川县,46241,37473,321,1953,518,2646,29704,2284,47,8768,1923,2526,773,2022,844,299,381
淮滨县,38947,33689,231,1069,447,1081,30068,757,36,5258,1498,1125,452,1391,404,128,260
息县,53938,45597,340,1171,535,1600,40943,1007,1,8341,2518,1874,596,2293,654,93,313
周口市,687780,578780,2487,16045,6748,15477,519106,18630,287,109000,41294,22121,7702,26703,4689,1976,4515
川汇区,24295,15030,326,1883,1526,2645,6199,2427,24,9265,2778,1840,1536,594,825,806,886
扶沟县,47080,40126,192,1266,573,920,36572,597,6,6954,2205,1650,604,1936,201,115,243
西华县,57691,49884,162,1363,722,1056,45790,785,6,7807,2461,1428,1042,2191,284,133,268
商水县,76367,65932,326,1649,479,1255,60739,1481,3,10435,3129,2391,529,3505,399,135,347
沈丘县,77270,62815,198,1657,809,1834,55958,2352,7,14455,6225,3013,740,3206,673,145,453
郸城县,79820,69698,290,1539,443,1396,65067,800,163,10122,4943,1518,478,2401,308,143,331
淮阳县,87738,74316,237,1495,489,1328,69596,1160,11,13422,5559,2225,759,3754,570,191,364
太康县,88598,77149,216,1639,618,1323,72329,1022,2,11449,5027,1939,697,2914,304,124,444
鹿邑县,72855,62266,319,1716,494,1414,56090,2226,7,10589,3072,2908,627,3090,291,115,486
项城市,76066,61564,221,1838,595,2306,50766,5780,58,14502,5895,3209,690,3112,834,69,693
驻马店市,548480,463196,3125,14101,5832,17788,404582,17702,66,85284,25396,18268,7913,25980,2816,1675,3236
驿城区,25527,16981,658,2381,1538,3373,5602,3413,16,8546,2396,1865,1927,590,641,558,569
西平县,56761,47107,236,1516,543,2723,38344,3744,1,9654,1777,2566,804,3530,293,146,538
上蔡县,84900,71597,395,1874,486,2530,63242,3070,,13303,3941,3139,722,4581,283,149,488
平舆县,60024,52241,212,1138,385,986,48734,783,3,7783,2721,1790,556,2149,207,113,247
正阳县,50638,43998,184,1147,644,1426,39805,779,13,6640,2005,1390,585,2067,233,187,173
确山县,42628,37279,255,1213,393,1416,32402,1584,16,5349,1007,1055,620,2243,201,52,171
泌阳县,59120,49783,339,1403,454,1531,45264,787,5,9337,3655,1773,585,2739,188,37,360
汝南县,58609,51124,374,1210,432,1312,47013,783,,7485,1991,1707,723,2403,241,185,235
遂平县,41706,34139,172,1087,620,1224,29019,2007,10,7567,1608,1667,764,2970,193,142,223
新蔡县,68567,58947,300,1132,337,1267,55157,752,2,9620,4295,1316,627,2708,336,106,232
,,,,,,,,,,,,,,,,,
湖北省,3894297,2844889,45437,182494,90270,297975,1884934,340859,2920,1049408,222001,280445,195085,149333,77371,61517,63656
武汉市,630332,374083,14986,44641,27818,78690,123327,84562,59,256249,69119,39180,80652,12818,16570,25037,12873
江岸区,59100,29963,1369,5828,4534,9961,624,7646,1,29137,4750,3666,12223,492,2052,4089,1865
江汉区,47443,25474,1680,3815,2991,10433,134,6416,5,21969,3019,3656,8482,441,1863,3456,1052
硚口区,56143,30498,3572,3406,3430,9137,427,10526,,25645,4871,2696,10287,449,1777,3984,1581
汉阳区,40800,21747,1107,2865,1994,7079,1473,7226,3,19053,3224,2599,7804,492,1372,2880,682
武昌区,82220,39252,1984,9582,5593,11541,150,10396,6,42968,13920,3899,15664,533,2023,4162,2767
青山区,37380,19658,952,3551,2325,3756,67,9004,3,17722,3382,1690,8856,234,1232,1698,630
洪山区,72709,35669,1366,5765,2736,8803,7525,9438,36,37040,21542,3557,6889,1095,1268,1241,1448
东西湖区,23523,13991,431,1481,767,2727,5195,3390,,9532,2426,1579,3159,392,608,852,516
汉南区,7613,5198,197,377,227,763,2550,1082,2,2415,382,574,565,224,221,305,144
蔡甸区,36833,25702,723,1609,733,3444,13489,5704,,11131,1616,3458,2131,1701,1081,763,381
江夏区,41728,29861,524,1795,801,3391,19108,4240,2,11867,3637,3257,1520,1418,904,633,498
黄陂区,62643,47922,542,2253,644,3619,36759,4104,1,14721,3074,4382,1649,3292,1073,435,816
新洲区,62197,49148,539,2314,1043,4036,35826,5390,,13049,3276,4167,1423,2055,1096,539,493
黄石市,155923,103286,2033,7530,4230,11244,59249,18894,106,52637,10047,12323,11921,5549,5112,4848,2837
黄石港区,14956,7709,412,1506,1024,2184,116,2464,3,7247,1724,812,2716,117,444,1145,289
石灰窑区,18756,9358,429,1169,653,2309,1057,3711,30,9398,876,1620,3116,313,1080,2114,279
下陆区,11316,5694,249,760,455,1101,486,2632,11,5622,1345,993,1781,239,425,568,271
铁山区,5024,2417,83,327,194,499,63,1230,21,2607,196,614,1189,67,243,182,116
阳新县,51145,38424,404,1836,650,1875,31204,2415,40,12721,2966,3705,1209,1971,1400,385,1085
大冶市,54726,39684,456,1932,1254,3276,26323,6442,1,15042,2940,4579,1910,2842,1520,454,797
十堰市,229866,173553,3001,10955,4105,14314,120455,20653,70,56313,11184,17068,8832,10330,3859,1432,3608
茅箭区,20149,12693,727,2167,1053,3437,1401,3908,,7456,1953,1596,2034,363,636,162,712
张湾区,23604,15712,539,2430,677,3145,2815,6051,55,7892,1379,1641,2967,412,651,259,583
郧县,37849,30210,440,1286,352,1426,24671,2035,,7639,1962,1934,628,1844,686,241,344
郧西县,32784,26886,242,959,339,1089,23152,1091,14,5898,962,2062,491,1581,322,195,285
竹山县,29280,22908,198,817,375,938,19328,1252,,6372,962,2374,412,1862,251,97,414
竹溪县,22432,16769,191,639,291,706,14080,862,,5663,657,2575,444,1278,278,120,311
房县,30362,23646,275,929,332,1217,19259,1634,,6716,1141,2462,515,1674,405,88,431
丹江口市,33406,24729,389,1728,686,2356,15749,3820,1,8677,2168,2424,1341,1316,630,270,528
宜昌市,319431,240048,3806,15145,6779,24384,159567,30226,141,79383,12481,21380,15091,15413,4979,5601,4438
西陵区,32797,17173,1048,3368,1791,4993,592,5343,38,15624,3313,2691,5398,287,949,1585,1401
伍家岗区,14696,8375,352,1200,909,2317,814,2783,,6321,920,1045,2210,195,541,1043,367
点军区,3728,2795,26,176,107,275,1718,493,,933,123,298,166,141,111,71,23
猇亭区,3984,2685,62,244,90,376,1225,677,11,1299,144,474,162,197,71,87,164
宜昌县,47393,37382,713,2455,448,3428,25828,4486,24,10011,1468,3557,989,2465,607,456,469
远安县,16743,13999,225,755,414,1188,9643,1771,3,2744,421,686,585,614,139,162,137
兴山县,14406,11544,139,579,315,831,8553,1126,1,2862,534,846,331,688,172,126,165
秭归县,30726,24544,168,942,230,1251,20418,1523,12,6182,842,1644,684,2048,347,358,259
长阳土家族自治县,32801,26970,263,980,387,1715,21581,2042,2,5831,1059,1525,572,1926,225,200,324
五峰土家族自治县,15892,13001,75,497,195,710,10586,935,3,2891,388,825,303,1064,167,57,87
宜都市,29552,22051,261,1079,624,1762,15179,3138,8,7501,870,2645,1237,1692,363,398,296
当阳市,37850,29537,276,1563,572,2733,21721,2669,3,8313,1248,2367,1328,1831,678,469,392
枝江市,38863,29992,198,1307,697,2805,21709,3240,36,8871,1151,2777,1126,2265,609,589,354
襄樊市,377138,287527,3264,17439,9294,27820,196893,32558,259,89611,19422,24654,14712,14227,6644,4554,5398
襄城区,21315,11889,417,1989,1465,2347,1796,3822,53,9426,3374,1107,2563,336,728,839,479
樊城区,41389,26695,550,3481,2952,7465,3329,8858,60,14694,2342,2827,5090,508,1381,1430,1116
襄阳县,82367,68655,433,2762,806,3742,56816,4094,2,13712,3863,3659,1482,2726,866,230,886
南漳县,39510,31288,264,1387,594,1923,24897,2211,12,8222,1215,2702,795,2191,522,334,463
谷城县,34956,25844,377,1529,566,2248,18036,3068,20,9112,1572,3328,804,2035,581,187,605
保康县,20555,16616,116,671,390,940,13348,1151,,3939,686,1652,294,883,151,108,165
老河口市,32301,24673,313,1493,765,2286,16875,2906,35,7628,1388,1778,1508,1177,772,629,376
枣阳市,66834,53017,464,2633,1057,4451,40060,4293,59,13817,3463,4656,1168,2555,929,302,744
宜城市,37911,28850,330,1494,699,2418,21736,2155,18,9061,1519,2945,1008,1816,714,495,564
鄂州市,69207,49120,888,2918,1557,5712,29524,8474,47,20087,3870,6267,3079,2510,1964,867,1530
梁子湖区,10212,8243,43,284,102,674,6614,523,3,1969,343,758,113,454,143,33,125
华容区,17095,13676,95,420,126,723,11302,995,15,3419,788,952,222,801,377,36,243
鄂城区,41900,27201,750,2214,1329,4315,11608,6956,29,14699,2739,4557,2744,1255,1444,798,1162
荆门市,200017,150914,2377,9456,3506,15369,105204,14873,129,49103,8227,18187,6676,6753,3913,2534,2813
东宝区,42310,29864,924,3130,1184,4904,14489,5166,67,12446,2787,3906,2114,1281,1022,649,687
京山县,45474,34783,503,1996,756,3680,24474,3353,21,10691,1624,3653,1613,1659,791,647,704
沙洋县,43630,34484,384,1696,722,2760,26689,2221,12,9146,1227,3732,1198,1389,773,347,480
钟祥市,68603,51783,566,2634,844,4025,39552,4133,29,16820,2589,6896,1751,2424,1327,891,942
孝感市,290468,222286,1771,10801,6163,19238,163734,20384,195,68182,15010,21056,8050,12271,5309,2510,3976
孝南区,54199,37027,307,2747,1757,4463,23080,4641,32,17172,4588,4840,2320,2366,1219,708,1131
孝昌县,34362,27464,149,928,558,1374,23688,757,10,6898,1603,2089,388,1827,450,74,467
大悟县,34752,27444,164,1234,539,1440,22785,1266,16,7308,1904,2168,609,1592,420,175,440
云梦县,31109,24014,251,1022,576,2143,17668,2354,,7095,1341,2444,786,1299,534,258,433
应城市,37655,28216,227,1488,1148,3484,17716,4116,37,9439,1298,3493,1325,1402,982,367,572
安陆市,37998,30651,250,1303,713,2163,23681,2509,32,7347,1486,2279,998,1356,525,323,380
汉川市,60393,47470,423,2079,872,4171,35116,4741,68,12923,2790,3743,1624,2429,1179,605,553
荆州市,403213,301815,4010,16597,7650,32020,211586,28502,1450,101398,15118,29883,16033,15895,10033,5630,8806
沙市区,45059,27251,635,3125,2106,6856,7156,7273,100,17808,2503,3030,5817,947,1808,2059,1644
荆州区,42144,28498,636,2550,1078,3959,17009,2659,607,13646,4018,3128,2453,1061,1043,636,1307
公安县,65654,50775,573,2067,888,4930,38613,3656,48,14879,2154,5877,1165,2713,1152,595,1223
监利县,72065,55569,464,2582,1080,4374,42823,3880,366,16496,2221,5117,1785,3469,1785,600,1519
江陵县,25609,19835,154,877,318,1507,15764,1051,164,5774,613,1824,687,1056,792,177,625
石首市,38541,29971,377,1317,611,3036,21966,2589,75,8570,1184,3042,727,1866,710,371,670
洪湖市,56858,43260,733,2341,901,4716,29746,4780,43,13598,1335,4479,2014,2305,1779,555,1131
松滋市,57283,46656,438,1738,668,2642,38509,2614,47,10627,1090,3386,1385,2478,964,637,687
黄冈市,413928,316848,3540,15921,6286,20785,240689,29353,274,97080,21664,34499,9627,18766,5150,2515,4859
黄州区,25124,15576,540,2202,1032,2950,6777,2001,74,9548,4097,2044,1355,600,462,415,575
团风县,22222,17069,211,656,240,998,13443,1463,58,5153,891,2103,362,1008,356,98,335
红安县,37693,29671,207,1444,760,1625,23688,1940,7,8022,1627,3187,759,1613,324,230,282
罗田县,32462,24580,293,1155,416,1113,19734,1863,6,7882,1357,3234,644,1652,403,88,504
英山县,25170,18992,144,884,375,816,15081,1680,12,6178,959,2462,548,1363,279,157,410
浠水县,56521,43775,533,1941,465,2347,34833,3630,26,12746,2867,4658,1060,2709,699,186,567
蕲春县,53962,40371,523,1977,568,2716,31082,3476,29,13591,3035,4680,1363,2572,749,354,838
黄梅县,51774,40246,449,1786,699,2895,29588,4824,5,11528,1903,3903,1286,2802,692,365,577
麻城市,65957,53389,336,2282,1013,2984,42359,4396,19,12568,3355,4463,1146,2430,474,284,416
武穴市,43043,33179,304,1594,718,2341,24104,4080,38,9864,1573,3765,1104,2017,712,338,355
咸宁市,162567,117213,1344,7352,3906,11605,79501,13468,37,45354,10425,13494,4493,7366,4470,1848,3258
咸安区,31845,21590,339,1978,1402,3087,11433,3341,10,10255,3672,2450,1270,1081,596,521,665
嘉鱼县,21991,16291,199,910,315,1528,11602,1734,3,5700,804,1646,684,1002,783,297,484
通城县,25782,18536,214,1054,475,1331,13480,1981,1,7246,1106,2877,415,1599,543,235,471
崇阳县,28961,22288,86,1012,580,1402,17672,1524,12,6673,1502,1716,400,1378,940,196,541
通山县,22809,16615,241,916,432,1112,12810,1102,2,6194,1450,2031,399,1078,677,146,413
赤壁市,31179,21893,265,1482,702,3145,12504,3786,9,9286,1891,2774,1325,1228,931,453,684
随州市,150471,117936,962,6091,1920,9476,90123,9278,86,32535,7819,10337,3523,6010,2101,1061,1684
曾都区,98923,77869,904,4061,1041,6227,59593,5968,75,21054,5242,6570,2477,3816,1296,555,1098
广水市,51548,40067,58,2030,879,3249,30530,3310,11,11481,2577,3767,1046,2194,805,506,586
恩施土家族苗族自治州,250552,205695,1730,7630,2918,9752,172577,11036,52,44857,8683,12919,4648,12609,2081,1350,2567
恩施市,53725,42554,546,1775,767,2682,33864,2920,,11171,2568,3026,1396,2690,514,549,428
利川市,47854,38915,265,1379,458,1483,33760,1565,5,8939,1683,2907,731,2257,490,207,664
建始县,35104,29493,113,929,403,946,25509,1574,19,5611,857,1586,591,1915,263,134,265
巴东县,35048,28595,211,1196,284,1420,23920,1559,5,6453,1334,1740,501,2116,221,144,397
宣恩县,21157,17948,166,513,211,677,15566,815,,3209,447,852,331,1189,118,86,186
咸丰县,23898,19954,139,707,262,939,17029,869,9,3944,759,1262,402,1064,126,61,270
来凤县,18272,14815,154,629,314,932,11711,1064,11,3457,553,1137,363,784,242,118,260
鹤峰县,15494,13421,136,502,219,673,11218,670,3,2073,482,409,333,594,107,51,97
省直辖行政单位,241184,184565,1725,10018,4138,17566,132505,18598,15,56619,8932,19198,7748,8816,5186,1730,5009
仙桃市,84599,62945,675,3365,1004,6320,45409,6165,7,21654,3029,7877,2001,3138,2340,630,2639
潜江市,65755,50609,399,3211,1945,5156,32860,7035,3,15146,1501,4677,3582,2062,1413,649,1262
天门市,84769,66450,552,3164,1054,5741,51062,4872,5,18319,4177,6245,1947,3248,1306,352,1044
神农架林区,6061,4561,99,278,135,349,3174,526,,1500,225,399,218,368,127,99,64
,,,,,,,,,,,,,,,,,
湖南省,4419843,3269265,38338,153923,69433,246357,2451027,304648,5539,1150578,232937,363519,161715,209176,62662,40817,79752
长沙市,473170,300829,7278,24043,11936,43026,160620,53667,259,172341,41365,49431,31204,21448,7888,7217,13788
芙蓉区,30581,18644,2056,3437,1853,6606,1130,3557,5,11937,2985,1827,4308,387,512,855,1063
天心区,32230,14810,840,2519,1686,5009,738,4016,2,17420,6272,2005,5167,473,856,1248,1399
岳麓区,33802,14945,568,2670,1465,4284,2005,3947,6,18857,8349,2430,3206,539,655,1090,2588
开福区,33395,18283,1087,3182,1745,5476,2319,4463,11,15112,2583,3137,5479,846,1058,1214,795
雨花区,40195,22673,1129,4568,2591,6485,2130,5754,16,17522,5509,2727,5638,516,823,1092,1217
长沙县,61363,43108,479,1960,506,3339,30872,5914,38,18255,4976,5608,1606,4022,749,290,1004
望城县,51184,34982,250,1291,506,2258,25801,4754,122,16202,2897,6318,1591,2923,868,284,1321
宁乡县,93132,66869,345,2236,901,5248,50016,8103,20,26263,3142,11790,2360,5658,909,676,1728
浏阳市,97288,66515,524,2180,683,4321,45609,13159,39,30773,4652,13589,1849,6084,1458,468,2673
株洲市,259036,184331,2684,11387,4814,19282,111922,34085,157,74705,14820,21231,14980,12797,3680,3892,3305
荷塘区,20782,12186,430,1703,833,3177,1967,4068,8,8596,2531,1789,2532,391,432,677,244
芦淞区,17322,11142,494,1855,751,3670,892,3465,15,6180,1045,928,2826,185,328,597,271
石峰区,21044,12238,210,1507,1038,2227,1958,5275,23,8806,2259,1502,3180,342,494,683,346
天元区,8490,6093,328,596,418,1006,2600,1143,2,2397,506,684,503,296,158,149,101
株洲县,31252,23634,220,780,271,1300,19011,2042,10,7618,1287,2686,990,1833,311,168,343
攸县,47802,35758,208,1646,556,2453,25723,5164,8,12044,1998,4356,1322,2749,545,407,667
茶陵县,32581,25289,237,967,369,1442,19585,2679,10,7292,1823,2269,802,1567,276,314,241
炎陵县,11461,8842,107,420,170,493,7017,632,3,2619,515,801,381,575,128,84,135
醴陵市,68302,49149,450,1913,408,3514,33169,9617,78,19153,2856,6216,2444,4859,1008,813,957
湘潭市,202286,135063,2357,8069,3783,13216,85978,21422,238,67223,13973,18082,13362,9441,3362,3120,5883
雨湖区,29283,14271,967,2461,1596,3843,1618,3737,49,15012,5398,1781,4513,414,796,1348,762
岳塘区,27586,14373,744,1849,933,2890,1673,6228,56,13213,2459,2225,4613,537,745,1151,1483
湘潭县,78244,57213,245,1736,569,3183,44691,6770,19,21031,3193,7665,1890,4811,1061,287,2124
湘乡市,59835,44245,317,1681,603,2776,34858,3910,100,15590,2653,5584,2090,3289,644,228,1102
韶山市,7338,4961,84,342,82,524,3138,777,14,2377,270,827,256,390,116,106,412
衡阳市,437048,330654,3861,14258,5962,19163,261429,24887,1094,106394,22498,30986,16242,21180,5854,4052,5582
江东区,14017,7047,153,1008,1011,2196,29,2642,8,6970,1210,1231,2809,183,478,804,255
城南区,15330,7268,505,1465,671,1852,25,2730,20,8062,2583,925,2537,148,460,897,512
城北区,18105,8886,772,1788,1529,2440,30,2251,76,9219,2696,1319,2900,188,634,878,604
郊区,14549,11135,117,374,99,1335,7503,1665,42,3414,546,1072,495,680,258,177,186
南岳区,3284,2310,58,227,68,557,1058,328,14,974,173,392,125,84,53,26,121
衡阳县,64555,50911,389,1516,453,1400,45181,1889,83,13644,2677,4142,1032,4237,667,154,735
衡南县,64894,53080,268,1466,249,1956,47004,2071,66,11814,2790,3873,930,2980,569,129,543
衡山县,25022,18529,135,665,243,929,14752,1729,76,6493,961,2585,633,1559,369,149,237
衡东县,38609,31265,241,892,194,942,27476,1394,126,7344,1458,2400,771,2011,279,138,287
祁东县,52544,42238,290,1539,276,1959,35901,2113,160,10306,2353,3093,988,2666,510,196,500
耒阳市,73559,56030,436,1857,817,2270,46557,3998,95,17529,3071,6351,1671,4022,1006,242,1166
常宁市,52580,41955,497,1461,352,1327,35913,2077,328,10625,1980,3603,1351,2422,571,262,436
邵阳市,466067,364726,2443,12317,4469,17596,304574,22427,900,101341,24293,29096,10896,19746,5688,3510,8112
双清区,19496,10947,329,982,539,2070,4478,2207,342,8549,871,1772,2328,493,837,1277,971
大祥区,19130,11336,429,1500,694,1384,5869,1407,53,7794,2551,1147,1812,448,528,579,729
北塔区,5056,3526,49,100,86,363,2256,634,38,1530,254,404,211,217,162,106,176
邵东县,72443,55835,320,1607,480,4069,46341,3003,15,16608,3410,5857,1388,3447,1008,232,1266
新邵县,44278,34453,158,1033,341,1481,28231,3090,119,9825,2070,2968,826,2431,483,284,763
