表3    各年龄组人口比重、有老年人口的户数、人口自然变动、迁入人口（全部数据）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
县市名,各种年龄组人口占总人口比重(%) ,,,,有65岁及以上老年人口的户数(户),,,,人口自然变动(‰),,,总和生育率,迁入人口（人） ,,
,0-14岁,15-64岁,65岁及以上,15-49岁育龄妇女,合计,有一个老人,有二个老人,有二个以上老人,出生率,死亡率,自然增长率,（长表数据）,本县(市)/本市市区,本省其他县(市)、市区,外省
,,,,,,,,,,,,,,,
安陆市,24.19 ,69.58 ,6.23 ,28.40 ,28947,20690,8146,111,8.70 ,5.05 ,3.65 ,1.11 ,2643,593,236
汉川市,25.56 ,68.69 ,5.75 ,27.60 ,44021,30097,13796,128,7.56 ,5.05 ,2.50 ,1.09 ,32910,3893,2374
荆州市,22.20 ,71.28 ,6.52 ,28.82 ,315188,230702,83308,1178,7.48 ,4.90 ,2.58 ,1.02 ,266381,112446,44657
沙市区,17.24 ,76.84 ,5.93 ,31.62 ,27358,20417,6859,82,7.55 ,3.73 ,3.82 ,0.78 ,84641,68146,24796
荆州区,17.97 ,75.73 ,6.29 ,31.27 ,28469,21724,6611,134,6.58 ,4.17 ,2.41 ,0.86 ,61707,28737,8860
公安县,21.58 ,71.63 ,6.80 ,28.98 ,54403,41470,12765,168,6.36 ,5.13 ,1.23 ,0.96 ,7179,898,1885
监利县,26.73 ,67.40 ,5.87 ,27.07 ,59779,41135,18352,292,8.91 ,4.56 ,4.35 ,1.31 ,13604,1735,2132
江陵县,21.03 ,72.60 ,6.37 ,28.62 ,19410,14568,4796,46,6.97 ,5.60 ,1.37 ,0.74 ,10664,3453,862
石首市,22.16 ,71.97 ,5.87 ,28.94 ,27944,20987,6892,65,7.81 ,4.69 ,3.12 ,1.12 ,33162,2219,2368
洪湖市,26.06 ,67.67 ,6.27 ,27.33 ,40614,27415,13024,175,8.25 ,5.15 ,3.10 ,1.08 ,27098,3793,2470
松滋市,18.67 ,72.79 ,8.54 ,29.32 ,57211,42986,14009,216,6.30 ,6.06 ,0.24 ,1.07 ,28326,3465,1284
黄冈市,25.94 ,68.14 ,5.93 ,26.94 ,342738,273366,68580,792,7.98 ,5.83 ,2.15 ,1.34 ,176472,41238,21161
黄州区,20.02 ,74.54 ,5.44 ,31.08 ,15721,11768,3911,42,8.35 ,4.15 ,4.20 ,0.97 ,18467,19013,6485
团风县,25.61 ,67.22 ,7.17 ,25.90 ,21325,16366,4892,67,7.41 ,6.74 ,0.67 ,1.47 ,7101,3158,757
红安县,26.16 ,69.17 ,4.67 ,26.55 ,25066,20696,4316,54,7.89 ,5.70 ,2.19 ,1.27 ,19721,2248,923
罗田县,26.76 ,67.22 ,6.01 ,26.16 ,28095,23094,4964,37,6.97 ,6.32 ,0.65 ,1.39 ,6687,1238,316
英山县,22.54 ,70.24 ,7.22 ,26.73 ,23166,18834,4296,36,7.51 ,7.55 ,-0.04 ,1.26 ,13799,948,787
浠水县,25.12 ,69.17 ,5.71 ,27.70 ,46761,38285,8382,94,7.41 ,5.74 ,1.67 ,1.33 ,24397,4031,1510
蕲春县,27.70 ,66.19 ,6.11 ,26.29 ,47379,37854,9409,116,8.01 ,5.22 ,2.78 ,1.30 ,15960,2299,1925
黄梅县,27.14 ,66.37 ,6.49 ,26.59 ,49228,37465,11627,136,8.67 ,4.87 ,3.80 ,1.45 ,25806,2141,3529
麻城市,25.06 ,69.77 ,5.17 ,27.41 ,49087,40401,8565,121,8.88 ,7.43 ,1.45 ,1.58 ,15011,2946,3019
武穴市,28.76 ,64.85 ,6.39 ,25.92 ,36910,28603,8218,89,7.64 ,4.72 ,2.91 ,1.19 ,29523,3216,1910
咸宁市,26.37 ,68.25 ,5.38 ,28.02 ,112818,84000,28490,328,8.19 ,5.57 ,2.63 ,1.11 ,155600,29477,17194
咸安区,25.12 ,70.18 ,4.70 ,29.71 ,20292,14776,5461,55,7.99 ,4.05 ,3.94 ,1.08 ,54823,13705,5194
嘉鱼县,25.43 ,68.81 ,5.76 ,27.98 ,15522,11123,4342,57,7.54 ,5.85 ,1.68 ,0.92 ,13823,1903,1358
通城县,27.01 ,66.95 ,6.03 ,26.64 ,20534,15552,4920,62,8.98 ,6.43 ,2.55 ,1.43 ,20913,1584,1403
崇阳县,26.94 ,67.83 ,5.23 ,27.88 ,19099,14571,4473,55,8.33 ,6.00 ,2.33 ,0.95 ,4294,812,637
通山县,29.21 ,65.31 ,5.48 ,26.67 ,16644,12848,3761,35,8.47 ,5.50 ,2.97 ,1.20 ,11213,807,672
赤壁市,25.25 ,69.37 ,5.38 ,28.43 ,20727,15130,5533,64,7.89 ,5.97 ,1.91 ,1.13 ,50534,10666,7930
随州市,24.18 ,69.63 ,6.19 ,28.63 ,118934,88262,30316,356,7.24 ,5.39 ,1.85 ,1.24 ,94213,7464,4591
曾都区,23.32 ,70.37 ,6.31 ,29.01 ,77438,57791,19409,238,6.77 ,5.50 ,1.27 ,1.15 ,59659,3878,2700
广水市,25.73 ,68.29 ,5.98 ,27.94 ,41496,30471,10907,118,8.09 ,5.19 ,2.90 ,1.39 ,34554,3586,1891
恩施土家族苗族自治州,22.90 ,70.13 ,6.98 ,26.99 ,211438,162014,48900,524,10.32 ,6.68 ,3.64 ,1.48 ,80863,19973,15761
恩施市,20.71 ,72.02 ,7.27 ,27.55 ,44243,33881,10242,120,10.84 ,6.69 ,4.15 ,1.43 ,20028,7079,3787
利川市,25.67 ,68.29 ,6.04 ,26.24 ,38146,28951,9117,78,10.97 ,6.34 ,4.63 ,1.64 ,19936,1285,2168
建始县,20.70 ,71.67 ,7.63 ,27.64 ,31425,24218,7117,90,9.28 ,6.97 ,2.31 ,1.42 ,6291,1602,1258
巴东县,21.42 ,70.66 ,7.92 ,26.91 ,30792,23403,7296,93,8.62 ,8.03 ,0.59 ,1.29 ,12753,3809,3111
宣恩县,23.04 ,69.79 ,7.17 ,26.89 ,19268,14681,4540,47,11.95 ,6.57 ,5.38 ,1.69 ,810,1094,634
咸丰县,23.52 ,69.99 ,6.49 ,26.95 ,19372,15319,4018,35,11.32 ,6.76 ,4.56 ,1.60 ,7467,1610,1472
来凤县,26.95 ,66.96 ,6.09 ,27.02 ,15191,11769,3398,24,9.65 ,5.38 ,4.27 ,1.55 ,7314,2075,1905
鹤峰县,21.81 ,70.73 ,7.46 ,26.67 ,13001,9792,3172,37,9.19 ,6.08 ,3.11 ,1.19 ,6264,1419,1426
省直辖行政单位,24.34 ,69.56 ,6.10 ,28.12 ,189359,134841,53987,531,7.12 ,5.20 ,1.93 ,1.14 ,158006,27181,14749
仙桃市,25.68 ,68.19 ,6.13 ,27.54 ,65904,44043,21626,235,7.00 ,5.48 ,1.52 ,1.08 ,70778,5507,2514
潜江市,22.59 ,71.37 ,6.04 ,29.11 ,46398,34750,11523,125,7.98 ,4.69 ,3.30 ,0.99 ,49065,14742,7866
天门市,24.41 ,69.54 ,6.06 ,28.13 ,72453,52522,19797,134,6.67 ,5.18 ,1.49 ,1.41 ,34909,5088,3233
神农架林区,19.76 ,72.84 ,7.40 ,26.25 ,4604,3526,1041,37,7.84 ,6.61 ,1.23 ,0.95 ,3254,1844,1136
,,,,,,,,,,,,0.00 ,,,
湖南省,22.13 ,70.40 ,7.47 ,27.68 ,3721717,2763666,947156,10895,10.92 ,6.06 ,4.86 ,1.27 ,2625496,1421386,348838
长沙市,17.24 ,74.93 ,7.83 ,29.59 ,381199,288074,91980,1145,9.92 ,6.03 ,3.89 ,1.10 ,381928,439362,80116
芙蓉区,12.32 ,81.52 ,6.16 ,32.90 ,18225,12850,5300,75,7.82 ,3.31 ,4.51 ,0.73 ,55568,99619,19831
天心区,11.84 ,81.04 ,7.12 ,33.40 ,22169,16429,5682,58,7.34 ,4.40 ,2.95 ,0.75 ,53980,61744,11484
岳麓区,11.44 ,83.34 ,5.22 ,33.74 ,16469,11891,4538,40,6.43 ,3.24 ,3.19 ,0.83 ,46756,75193,8832
开福区,14.14 ,77.55 ,8.31 ,31.94 ,27548,20378,7088,82,8.21 ,5.07 ,3.15 ,0.87 ,58143,60425,8296
雨花区,12.92 ,81.65 ,5.44 ,33.30 ,20882,15070,5742,70,7.95 ,3.16 ,4.79 ,0.84 ,67036,78085,14975
长沙县,18.65 ,72.74 ,8.60 ,28.00 ,53047,40096,12789,162,9.80 ,7.33 ,2.46 ,1.16 ,14454,32139,7179
望城县,19.95 ,71.95 ,8.10 ,27.46 ,44166,33610,10443,113,9.79 ,6.83 ,2.95 ,1.21 ,13105,15736,1940
宁乡县,20.85 ,70.42 ,8.73 ,27.00 ,86939,66009,20710,220,13.03 ,7.40 ,5.63 ,1.47 ,39088,11081,2873
浏阳市,19.14 ,72.19 ,8.68 ,28.49 ,91754,71741,19688,325,10.93 ,7.12 ,3.81 ,1.38 ,33798,5340,4706
株洲市,20.51 ,71.83 ,7.66 ,28.53 ,217412,163053,53651,708,10.35 ,5.97 ,4.38 ,1.26 ,161230,139845,48162
荷塘区,15.33 ,79.41 ,5.26 ,32.82 ,10665,7778,2848,39,9.52 ,3.45 ,6.08 ,0.93 ,23578,41098,11820
芦淞区,14.27 ,79.78 ,5.95 ,33.53 ,10309,7364,2907,38,9.42 ,3.53 ,5.89 ,0.93 ,15826,36667,18768
石峰区,15.39 ,78.98 ,5.63 ,29.89 ,12069,8961,3076,32,10.98 ,4.32 ,6.66 ,0.95 ,18581,29674,3965
天元区,19.30 ,74.69 ,6.01 ,30.69 ,5701,4227,1453,21,10.39 ,4.32 ,6.07 ,1.38 ,13251,14281,2715
株洲县,21.13 ,70.31 ,8.56 ,27.21 ,28944,21499,7348,97,9.82 ,6.47 ,3.35 ,1.35 ,7144,5836,1267
攸县,21.83 ,69.50 ,8.67 ,26.93 ,45948,33411,12362,175,10.92 ,6.97 ,3.94 ,1.35 ,20344,4057,2012
茶陵县,23.62 ,68.91 ,7.47 ,27.75 ,29507,22457,6995,55,12.54 ,7.20 ,5.34 ,1.88 ,19220,2711,1247
炎陵县,21.19 ,70.51 ,8.30 ,27.98 ,10939,8362,2552,25,10.22 ,6.87 ,3.34 ,1.26 ,5006,1315,697
醴陵市,22.12 ,69.49 ,8.39 ,27.73 ,63330,48994,14110,226,9.34 ,6.19 ,3.15 ,1.23 ,38280,4206,5671
湘潭市,20.77 ,70.78 ,8.45 ,27.56 ,178276,133014,44750,512,10.89 ,6.44 ,4.45 ,1.22 ,152076,83943,17265
雨湖区,14.58 ,78.68 ,6.75 ,31.82 ,19093,14030,5007,56,9.04 ,5.20 ,3.84 ,0.83 ,48738,32207,5405
岳塘区,15.98 ,77.42 ,6.60 ,30.11 ,17837,13234,4556,47,9.26 ,4.81 ,4.44 ,1.01 ,47261,25173,4667
湘潭县,22.55 ,68.54 ,8.90 ,26.56 ,74802,56195,18378,229,11.29 ,6.97 ,4.32 ,1.42 ,22085,14971,3218
湘乡市,23.28 ,67.36 ,9.37 ,25.93 ,59856,44613,15089,154,11.89 ,6.90 ,4.99 ,1.35 ,30247,9431,3599
韶山市,20.55 ,70.53 ,8.93 ,27.09 ,6688,4942,1720,26,11.06 ,7.22 ,3.84 ,1.22 ,3745,2161,376
衡阳市,23.42 ,69.41 ,7.18 ,27.58 ,385038,288779,95185,1074,11.60 ,6.23 ,5.37 ,1.35 ,243614,127578,27584
江东区,16.37 ,76.03 ,7.60 ,30.36 ,10561,7729,2804,28,8.74 ,4.23 ,4.51 ,0.98 ,20336,24333,4211
城南区,14.68 ,78.98 ,6.34 ,32.60 ,9696,7222,2455,19,8.10 ,3.95 ,4.15 ,0.79 ,27934,24833,4006
城北区,15.76 ,77.71 ,6.53 ,32.66 ,11835,8607,3204,24,8.28 ,4.20 ,4.08 ,0.99 ,31187,34459,2562
郊区,22.40 ,71.11 ,6.50 ,29.25 ,11295,8491,2781,23,11.18 ,4.73 ,6.44 ,1.31 ,40181,13217,3295
南岳区,20.72 ,72.75 ,6.53 ,30.67 ,2618,1885,726,7,11.36 ,4.71 ,6.65 ,1.08 ,2196,3968,416
衡阳县,24.82 ,67.81 ,7.36 ,26.69 ,64272,49111,15023,138,12.92 ,6.80 ,6.12 ,1.55 ,13316,3861,2099
衡南县,24.62 ,68.29 ,7.09 ,27.28 ,55353,41940,13224,189,11.96 ,6.77 ,5.19 ,1.25 ,18799,4407,1742
衡山县,24.05 ,68.18 ,7.77 ,27.20 ,23328,17289,5969,70,11.29 ,5.71 ,5.58 ,1.53 ,8290,2498,983
衡东县,25.76 ,66.35 ,7.89 ,26.05 ,37110,27727,9294,89,12.86 ,6.48 ,6.39 ,1.94 ,14230,2347,1361
祁东县,24.26 ,67.98 ,7.75 ,26.44 ,53407,38746,14539,122,12.90 ,6.79 ,6.11 ,1.52 ,16071,2754,2081
耒阳市,23.42 ,69.89 ,6.68 ,27.94 ,62003,46047,15709,247,10.33 ,6.21 ,4.12 ,1.23 ,30326,7221,2456
常宁市,23.43 ,69.72 ,6.84 ,27.20 ,43560,33985,9457,118,11.59 ,6.39 ,5.20 ,1.30 ,20748,3680,2372
邵阳市,23.90 ,68.74 ,7.36 ,27.23 ,399918,291956,106805,1157,11.83 ,6.29 ,5.54 ,1.41 ,215925,47111,11382
双清区,20.31 ,72.82 ,6.87 ,29.41 ,14190,10556,3594,40,10.83 ,4.98 ,5.85 ,1.10 ,51369,10753,1571
大祥区,19.98 ,73.03 ,6.99 ,30.35 ,14812,10463,4296,53,9.96 ,5.52 ,4.45 ,1.06 ,31750,11547,1290
北塔区,22.83 ,69.61 ,7.56 ,27.23 ,4001,2929,1063,9,12.01 ,7.17 ,4.84 ,1.25 ,7166,2889,307
邵东县,23.82 ,68.87 ,7.30 ,27.25 ,66157,49626,16367,164,11.85 ,6.53 ,5.32 ,1.22 ,35436,7335,3650
新邵县,25.01 ,67.27 ,7.72 ,26.01 ,41627,30600,10923,104,12.02 ,6.48 ,5.55 ,1.80 ,10565,2495,801
邵阳县,26.60 ,66.34 ,7.06 ,26.02 ,47653,33264,14187,202,12.13 ,6.57 ,5.56 ,1.31 ,16982,2224,353
隆回县,23.76 ,69.14 ,7.10 ,27.25 ,58990,43371,15437,182,12.29 ,6.81 ,5.48 ,1.31 ,14010,1675,702
洞口县,23.53 ,68.79 ,7.68 ,27.49 ,44406,32020,12281,105,12.49 ,6.30 ,6.19 ,1.75 ,8562,1440,522
绥宁县,23.76 ,69.29 ,6.95 ,27.92 ,19100,14720,4341,39,11.79 ,5.13 ,6.66 ,1.24 ,9819,2676,563
新宁县,23.86 ,68.37 ,7.77 ,27.06 ,33592,24137,9358,97,10.22 ,5.60 ,4.63 ,1.49 ,9379,1214,792
城步苗族自治县,23.03 ,70.38 ,6.59 ,27.84 ,12698,9637,3032,29,10.32 ,5.59 ,4.73 ,1.48 ,74,733,101
武冈市,23.54 ,68.49 ,7.97 ,27.20 ,42692,30633,11926,133,12.79 ,6.63 ,6.16 ,1.68 ,20813,2130,730
岳阳市,22.72 ,70.56 ,6.72 ,27.81 ,263560,194821,67921,818,11.17 ,6.11 ,5.05 ,1.22 ,238413,140261,52079
岳阳楼区,18.93 ,76.38 ,4.68 ,32.70 ,19582,14068,5467,47,10.25 ,2.55 ,7.70 ,0.96 ,87266,88555,25182
云溪区,21.15 ,73.74 ,5.11 ,29.35 ,6513,4749,1748,16,12.47 ,4.66 ,7.82 ,1.20 ,11511,8781,3938
君山区,21.82 ,71.77 ,6.41 ,27.19 ,10204,7278,2896,30,11.35 ,5.32 ,6.04 ,1.26 ,5083,7912,3925
岳阳县,23.70 ,69.77 ,6.53 ,27.53 ,35488,25453,9889,146,12.00 ,6.71 ,5.29 ,1.22 ,21619,10919,4171
华容县,22.65 ,70.55 ,6.80 ,27.86 ,36102,25818,10145,139,10.56 ,6.40 ,4.17 ,1.29 ,29346,3603,2989
湘阴县,24.34 ,68.44 ,7.22 ,26.75 ,37029,27679,9262,88,11.56 ,6.79 ,4.77 ,1.30 ,16086,6109,1576
平江县,22.91 ,69.26 ,7.83 ,25.98 ,58639,45046,13395,198,10.58 ,6.70 ,3.88 ,1.27 ,18359,2641,2137
汨罗市,22.49 ,70.10 ,7.42 ,27.54 ,39137,29717,9334,86,10.97 ,6.67 ,4.30 ,1.23 ,22287,6423,3540
临湘市,24.41 ,69.54 ,6.06 ,27.75 ,20866,15013,5785,68,12.30 ,6.92 ,5.38 ,1.35 ,26856,5318,4621
常德市,19.43 ,72.65 ,7.92 ,27.97 ,355777,261561,93061,1155,8.13 ,5.70 ,2.43 ,1.04 ,286247,82471,19200
武陵区,16.81 ,76.87 ,6.32 ,31.75 ,25058,18592,6389,77,8.99 ,4.30 ,4.69 ,0.87 ,78606,35325,4920
鼎城区,22.03 ,69.77 ,8.20 ,26.65 ,53983,39718,14119,146,6.78 ,5.37 ,1.41 ,1.05 ,42732,17153,4234
安乡县,19.66 ,72.88 ,7.46 ,28.22 ,30976,21910,8960,106,7.78 ,4.21 ,3.57 ,0.98 ,21609,1821,1892
汉寿县,22.93 ,69.58 ,7.50 ,26.79 ,44018,31139,12766,113,8.98 ,5.78 ,3.20 ,1.21 ,14948,2006,689
澧县,18.95 ,73.26 ,7.78 ,28.32 ,50567,37657,12739,171,8.41 ,5.98 ,2.43 ,1.02 ,38160,4564,2606
临澧县,18.15 ,74.19 ,7.66 ,28.41 ,24818,18417,6335,66,7.58 ,6.01 ,1.57 ,0.83 ,20115,3180,822
桃源县,17.85 ,72.88 ,9.27 ,27.52 ,68101,50706,17109,286,8.25 ,6.63 ,1.62 ,1.19 ,30311,7984,1834
石门县,17.78 ,74.02 ,8.21 ,27.83 ,43909,32961,10799,149,7.78 ,6.81 ,0.97 ,1.13 ,20838,3346,1608
津市市,18.90 ,73.49 ,7.61 ,27.86 ,14347,10461,3845,41,9.47 ,4.73 ,4.73 ,0.70 ,18928,7092,595
张家界市,21.75 ,70.09 ,8.16 ,26.73 ,94966,68792,25873,301,11.82 ,6.35 ,5.47 ,1.49 ,57448,14143,4587
永定区,22.99 ,69.68 ,7.33 ,27.34 ,23300,17025,6208,67,13.80 ,6.00 ,7.80 ,1.38 ,30401,7203,1931
武陵源区,20.22 ,73.11 ,6.67 ,28.31 ,2412,1728,677,7,11.79 ,5.38 ,6.41 ,1.07 ,4614,2793,587
慈利县,20.22 ,71.22 ,8.56 ,26.87 ,42272,30299,11860,113,10.26 ,6.73 ,3.53 ,1.51 ,13909,2888,1178
桑植县,23.10 ,68.35 ,8.55 ,25.72 ,26982,19740,7128,114,12.32 ,6.22 ,6.10 ,1.69 ,8524,1259,891
益阳市,21.91 ,69.83 ,8.26 ,27.19 ,273691,195802,76743,1146,9.80 ,5.66 ,4.14 ,1.16 ,139428,30068,10151
资阳区,21.65 ,70.01 ,8.34 ,27.80 ,25147,17427,7616,104,10.43 ,5.42 ,5.02 ,0.92 ,28351,4671,841
赫山区,20.73 ,71.24 ,8.03 ,28.42 ,50603,35683,14686,234,9.76 ,5.29 ,4.47 ,1.19 ,11306,5277,1166
南县,21.48 ,70.51 ,8.01 ,27.09 ,42890,30070,12633,187,8.40 ,5.30 ,3.10 ,1.11 ,21576,7183,3925
桃江县,22.27 ,68.73 ,8.99 ,26.64 ,53785,38918,14614,253,11.34 ,6.01 ,5.33 ,1.48 ,16097,2517,976
安化县,22.39 ,69.24 ,8.37 ,26.57 ,59779,44708,14820,251,10.24 ,6.44 ,3.80 ,1.18 ,19726,2752,678
沅江市,22.88 ,69.35 ,7.77 ,26.91 ,41487,28996,12374,117,8.61 ,5.18 ,3.42 ,1.04 ,42372,7668,2565
郴州市,22.96 ,70.08 ,6.95 ,28.37 ,237003,175369,61149,485,11.07 ,5.62 ,5.45 ,1.27 ,182303,83087,19979
北湖区,19.19 ,74.92 ,5.89 ,30.79 ,14625,10898,3699,28,11.44 ,4.43 ,7.01 ,1.22 ,42032,36187,6863
苏仙区,18.55 ,74.25 ,7.19 ,30.37 ,19279,14334,4902,43,10.39 ,5.03 ,5.36 ,1.04 ,27910,19811,2591
桂阳县,24.55 ,68.91 ,6.54 ,27.50 ,37524,27829,9625,70,11.50 ,5.25 ,6.24 ,1.43 ,29152,5699,1215
宜章县,25.49 ,68.04 ,6.47 ,28.06 ,26843,19328,7438,77,10.73 ,4.43 ,6.30 ,1.10 ,15569,3685,3172
永兴县,22.87 ,69.83 ,7.30 ,28.24 ,33229,24602,8563,64,10.36 ,6.49 ,3.87 ,1.11 ,16087,3560,1391
嘉禾县,27.03 ,65.83 ,7.13 ,26.42 ,16781,11758,4996,27,12.82 ,6.34 ,6.49 ,1.95 ,10489,2798,1191
临武县,22.80 ,70.28 ,6.92 ,28.27 ,16521,12318,4172,31,10.66 ,5.23 ,5.43 ,1.12 ,5657,1589,552
汝城县,22.75 ,69.68 ,7.57 ,27.94 ,20741,15770,4916,55,11.58 ,6.76 ,4.82 ,1.48 ,9099,884,855
桂东县,23.58 ,68.97 ,7.45 ,27.32 ,10077,7760,2297,20,10.92 ,7.41 ,3.51 ,1.21 ,213,328,392
安仁县,23.72 ,69.01 ,7.28 ,28.59 ,20371,14627,5698,46,11.51 ,5.25 ,6.26 ,1.56 ,8615,887,400
资兴市,19.38 ,73.21 ,7.40 ,29.28 ,21012,16145,4843,24,10.11 ,6.49 ,3.62 ,1.11 ,17480,7659,1357
永州市,23.04 ,70.12 ,6.84 ,27.54 ,295043,225328,69065,650,10.59 ,5.67 ,4.91 ,1.19 ,134144,32061,11910
芝山区,21.37 ,71.15 ,7.48 ,28.29 ,33466,25782,7604,80,11.15 ,6.25 ,4.90 ,1.32 ,14951,4771,1522
冷水滩区,22.47 ,70.45 ,7.08 ,28.36 ,23892,18093,5737,62,9.65 ,4.61 ,5.05 ,1.11 ,39654,14191,2283
祁阳县,21.77 ,70.88 ,7.35 ,27.95 ,55951,43160,12669,122,11.32 ,6.05 ,5.27 ,1.17 ,20060,2955,2544
东安县,21.36 ,71.52 ,7.11 ,28.25 ,32255,25138,7035,82,10.20 ,5.99 ,4.21 ,1.23 ,8222,1101,771
双牌县,22.26 ,70.93 ,6.80 ,27.56 ,8967,6999,1946,22,9.79 ,6.11 ,3.68 ,1.36 ,3004,2025,262
道县,22.63 ,71.02 ,6.35 ,27.08 ,31137,23024,8051,62,9.95 ,4.92 ,5.03 ,0.97 ,10594,1122,829
江永县,23.93 ,69.61 ,6.46 ,27.69 ,12186,9202,2959,25,10.72 ,4.49 ,6.23 ,1.55 ,5930,1074,660
宁远县,23.39 ,70.20 ,6.41 ,27.29 ,37901,28643,9194,64,9.36 ,5.61 ,3.75 ,0.93 ,14174,1412,786
蓝山县,25.94 ,67.39 ,6.66 ,26.24 ,17671,13284,4344,43,11.31 ,4.84 ,6.47 ,1.75 ,10743,2142,912
新田县,25.51 ,68.18 ,6.31 ,27.15 ,18085,13611,4447,27,11.11 ,6.27 ,4.84 ,1.30 ,729,99,101
江华瑶族自治县,26.15 ,67.25 ,6.60 ,26.33 ,23532,18392,5079,61,11.89 ,6.56 ,5.33 ,1.22 ,6083,1169,1240
怀化市,22.17 ,70.27 ,7.56 ,27.32 ,275671,203267,71585,819,11.78 ,6.58 ,5.20 ,1.42 ,176837,91824,21683
鹤城区,19.05 ,75.90 ,5.05 ,31.95 ,13407,9472,3899,36,11.42 ,5.44 ,5.98 ,0.90 ,34762,56690,8674
中方县,23.65 ,68.25 ,8.10 ,25.65 ,14715,10366,4302,47,11.34 ,6.59 ,4.76 ,1.50 ,5545,3421,492
沅陵县,21.08 ,70.52 ,8.40 ,26.65 ,39267,28590,10537,140,11.11 ,6.78 ,4.33 ,1.46 ,25048,5168,792
辰溪县,22.67 ,69.84 ,7.49 ,27.19 ,27882,20220,7571,91,10.50 ,6.62 ,3.88 ,1.31 ,14075,2769,946
溆浦县,22.32 ,69.96 ,7.71 ,27.18 ,48518,35874,12504,140,11.74 ,6.37 ,5.38 ,1.41 ,22666,3900,1344
会同县,21.65 ,71.55 ,6.80 ,28.08 ,18097,13800,4270,27,11.27 ,6.87 ,4.40 ,1.38 ,8590,2170,1047
麻阳苗族自治县,24.64 ,67.74 ,7.61 ,26.62 ,19990,14589,5341,60,14.27 ,6.65 ,7.62 ,1.60 ,12760,1548,1146
新晃侗族自治县,21.19 ,69.67 ,9.13 ,25.86 ,17405,12883,4452,70,12.20 ,7.87 ,4.33 ,1.75 ,8315,1491,2048
芷江侗族自治县,23.19 ,68.61 ,8.19 ,26.48 ,21487,15786,5640,61,13.65 ,6.66 ,6.98 ,1.76 ,16169,2714,1494
靖州苗族侗族自治县,24.60 ,69.42 ,5.98 ,27.69 ,11820,9078,2713,29,12.21 ,6.85 ,5.36 ,1.39 ,4277,3426,1644
通道侗族自治县,24.12 ,69.48 ,6.40 ,26.64 ,11008,8912,2075,21,11.89 ,6.15 ,5.74 ,1.72 ,7199,2127,1012
洪江市,20.66 ,70.92 ,8.42 ,27.39 ,32075,23697,8281,97,11.29 ,6.58 ,4.71 ,1.38 ,17431,6400,1044
娄底市,24.27 ,68.28 ,7.45 ,26.87 ,224219,169103,54584,532,12.14 ,6.19 ,5.95 ,1.45 ,135713,65027,13148
娄星区,20.03 ,74.00 ,5.97 ,30.32 ,18745,13869,4836,40,11.51 ,6.00 ,5.51 ,1.11 ,38367,27048,5070
双峰县,23.39 ,68.47 ,8.14 ,26.85 ,54918,41958,12843,117,11.85 ,6.71 ,5.14 ,1.74 ,19530,6529,2342
新化县,25.30 ,67.26 ,7.44 ,26.29 ,71971,54832,16967,172,11.76 ,6.03 ,5.73 ,1.35 ,27371,6368,1084
冷水江市,21.60 ,72.16 ,6.24 ,29.04 ,16695,12430,4240,25,11.15 ,6.17 ,4.98 ,1.22 ,23924,17257,2072
涟源市,26.37 ,65.76 ,7.87 ,25.48 ,61890,46014,15698,178,13.44 ,6.04 ,7.40 ,1.63 ,26521,7825,2580
湘西土家族苗族自治州,28.37 ,64.47 ,7.16 ,24.78 ,139944,104747,34804,393,14.18 ,6.36 ,7.82 ,1.69 ,120190,44605,11592
吉首市,23.15 ,70.80 ,6.05 ,28.56 ,14178,10722,3427,29,12.39 ,5.01 ,7.38 ,1.27 ,51734,29414,3690
泸溪县,31.63 ,61.39 ,6.98 ,23.48 ,14291,10717,3544,30,13.77 ,6.07 ,7.70 ,1.93 ,10919,2536,345
凤凰县,28.77 ,64.31 ,6.91 ,24.62 ,18823,14019,4757,47,12.97 ,6.35 ,6.62 ,1.52 ,9533,2038,871
花垣县,28.02 ,64.56 ,7.42 ,24.60 ,14966,11189,3741,36,14.65 ,7.61 ,7.04 ,1.55 ,5956,1884,814
保靖县,26.24 ,65.66 ,8.10 ,24.18 ,16530,12152,4331,47,14.36 ,6.93 ,7.43 ,1.97 ,11354,2401,1042
古丈县,27.45 ,65.07 ,7.48 ,23.51 ,7150,5426,1707,17,13.75 ,6.55 ,7.20 ,1.85 ,4757,2190,435
永顺县,28.51 ,63.56 ,7.94 ,24.49 ,27721,20371,7239,111,16.32 ,6.67 ,9.65 ,1.92 ,15568,2136,986
龙山县,30.92 ,62.43 ,6.66 ,24.31 ,26285,20151,6058,76,14.12 ,6.05 ,8.07 ,1.77 ,10369,2006,3409
,,,,,,,,,,,,0.00 ,,,
广东省,24.11 ,69.71 ,6.17 ,30.36 ,4163446,3155272,993491,14683,11.28 ,4.64 ,6.64 ,0.94 ,4250200,5989278,15064838
广州市,16.43 ,77.48 ,6.10 ,32.38 ,471567,348541,121342,1684,9.16 ,4.28 ,4.89 ,0.82 ,968895,1162909,2149978
东山区,12.83 ,76.88 ,10.29 ,30.82 ,43616,30669,12683,264,7.16 ,5.82 ,1.34 ,0.72 ,63519,38070,46710
荔湾区,13.79 ,74.14 ,12.07 ,29.52 ,44767,32822,11766,179,6.34 ,9.17 ,-2.83 ,0.83 ,72448,36871,28803
