表3    各年龄组人口比重、有老年人口的户数、人口自然变动、迁入人口（全部数据）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
县市名,各种年龄组人口占总人口比重(%) ,,,,有65岁及以上老年人口的户数(户),,,,人口自然变动(‰),,,总和生育率,迁入人口（人） ,,
,0-14岁,15-64岁,65岁及以上,15-49岁育龄妇女,合计,有一个老人,有二个老人,有二个以上老人,出生率,死亡率,自然增长率,（长表数据）,本县(市)/本市市区,本省其他县(市)、市区,外省
,,,,,,,,,,,,,,,
行唐县,25.68 ,67.41 ,6.91 ,27.10 ,21412,15730,5599,83,12.51 ,6.73 ,5.78 ,1.53 ,8624,929,1917
灵寿县,25.94 ,67.22 ,6.84 ,26.75 ,16535,11751,4700,84,11.61 ,6.35 ,5.26 ,1.61 ,8457,1497,1453
高邑县,25.48 ,68.12 ,6.41 ,27.86 ,8667,6077,2554,36,10.88 ,6.04 ,4.84 ,1.25 ,7925,1244,526
深泽县,23.81 ,68.90 ,7.29 ,26.96 ,13781,9512,4216,53,11.74 ,6.45 ,5.29 ,1.41 ,4702,2282,4818
赞皇县,23.79 ,70.55 ,5.66 ,28.21 ,9901,7078,2784,39,13.24 ,6.23 ,7.01 ,1.53 ,2402,196,150
无极县,24.37 ,68.56 ,7.06 ,28.16 ,25938,18017,7814,107,11.66 ,6.14 ,5.52 ,1.36 ,7891,695,1294
平山县,24.61 ,67.70 ,7.69 ,26.50 ,26768,19760,6891,117,12.15 ,7.40 ,4.75 ,1.68 ,9279,1443,711
元氏县,27.81 ,66.30 ,5.90 ,27.24 ,18091,13565,4453,73,12.35 ,6.15 ,6.20 ,1.49 ,8853,1273,459
赵县,25.92 ,67.02 ,7.06 ,27.42 ,29646,20781,8682,183,11.14 ,6.20 ,4.93 ,1.32 ,6319,752,993
辛集市,22.18 ,69.38 ,8.44 ,27.22 ,39644,28424,11043,177,11.35 ,6.25 ,5.10 ,1.12 ,15018,5526,2486
藁城市,26.16 ,66.85 ,6.99 ,27.15 ,40664,28958,11531,175,11.60 ,6.39 ,5.22 ,1.45 ,16644,5509,5783
晋州市,25.20 ,67.80 ,7.01 ,27.28 ,27525,18853,8543,129,11.29 ,6.27 ,5.02 ,1.48 ,17257,1397,2276
新乐市,25.52 ,68.40 ,6.08 ,28.57 ,20703,14877,5759,67,11.28 ,5.95 ,5.33 ,1.31 ,13399,4263,1320
鹿泉市,23.06 ,69.87 ,7.07 ,28.06 ,21982,16081,5846,55,11.65 ,6.57 ,5.08 ,1.53 ,9646,33991,12408
唐山市,20.35 ,71.46 ,8.19 ,28.74 ,428453,287486,138968,1999,10.20 ,6.53 ,3.67 ,1.25 ,319912,105862,90215
路南区,15.63 ,76.63 ,7.73 ,30.76 ,18823,12639,6132,52,8.45 ,5.18 ,3.27 ,0.84 ,29487,14402,16359
路北区,14.02 ,78.45 ,7.54 ,33.15 ,31404,20453,10841,110,9.21 ,4.51 ,4.71 ,0.85 ,68389,16285,14487
古冶区,15.60 ,74.89 ,9.51 ,29.44 ,27172,18097,9009,66,7.35 ,7.54 ,-0.19 ,1.03 ,25427,5764,2560
开平区,16.71 ,75.74 ,7.56 ,29.63 ,15084,10191,4838,55,9.15 ,5.90 ,3.25 ,0.98 ,23298,9171,8665
新区,19.00 ,74.02 ,6.97 ,30.81 ,8380,5426,2928,26,11.02 ,4.49 ,6.53 ,1.21 ,12293,6233,3599
丰润县,21.73 ,69.89 ,8.38 ,28.02 ,45032,30819,13982,231,10.57 ,6.62 ,3.96 ,1.34 ,25017,12252,9846
滦县,21.68 ,70.13 ,8.20 ,28.24 ,32612,21862,10573,177,10.50 ,6.86 ,3.63 ,1.35 ,9642,7202,2289
滦南县,19.78 ,70.47 ,9.75 ,28.22 ,39955,25200,14479,276,10.82 ,6.89 ,3.93 ,1.35 ,13321,2799,2588
乐亭县,18.12 ,72.35 ,9.53 ,28.16 ,34323,21944,12202,177,8.48 ,7.28 ,1.20 ,1.26 ,17122,4227,4132
迁西县,23.19 ,69.49 ,7.33 ,28.08 ,20113,14711,5328,74,12.12 ,7.56 ,4.55 ,1.68 ,13109,1927,3275
玉田县,21.74 ,69.63 ,8.63 ,28.29 ,41503,27508,13757,238,10.29 ,6.83 ,3.46 ,1.39 ,16517,3583,6267
唐海县,20.46 ,71.55 ,7.98 ,28.21 ,7938,5002,2882,54,9.37 ,5.70 ,3.67 ,1.16 ,3919,3048,2025
遵化市,23.45 ,69.00 ,7.55 ,27.71 ,39066,27320,11573,173,12.11 ,6.99 ,5.13 ,1.49 ,23155,2949,3592
丰南市,21.65 ,70.42 ,7.93 ,28.02 ,32309,21729,10424,156,10.34 ,6.29 ,4.05 ,1.13 ,17094,12459,7051
迁安市,25.24 ,67.60 ,7.16 ,27.21 ,34739,24585,10020,134,10.95 ,6.95 ,4.00 ,1.42 ,22122,3561,3480
秦皇岛市,20.17 ,72.00 ,7.83 ,29.13 ,160366,107486,52242,638,10.21 ,6.35 ,3.86 ,1.21 ,116858,68259,101670
海港区,15.65 ,78.33 ,6.01 ,32.88 ,25854,16856,8922,76,8.90 ,3.71 ,5.19 ,0.88 ,63675,40328,67798
山海关区,17.57 ,74.44 ,7.98 ,29.30 ,9347,6148,3173,26,9.16 ,5.81 ,3.35 ,1.09 ,14711,4598,14010
北戴河区,16.41 ,76.23 ,7.36 ,32.18 ,4024,2658,1347,19,8.12 ,4.84 ,3.28 ,0.89 ,3378,5198,6193
青龙满族自治县,24.46 ,67.81 ,7.73 ,27.21 ,28885,20805,7960,120,10.77 ,6.88 ,3.89 ,1.43 ,8512,1883,1457
昌黎县,18.55 ,72.18 ,9.27 ,29.30 ,36804,23590,13043,171,10.27 ,7.69 ,2.58 ,1.23 ,10957,9348,5310
抚宁县,22.37 ,69.67 ,7.96 ,27.63 ,29946,20260,9565,121,10.42 ,6.59 ,3.83 ,1.29 ,7477,4859,4668
卢龙县,22.75 ,68.76 ,8.49 ,26.97 ,25506,17169,8232,105,11.90 ,7.93 ,3.98 ,1.59 ,8148,2045,2234
邯郸市,25.11 ,68.81 ,6.07 ,28.09 ,394756,286119,106971,1666,12.48 ,6.11 ,6.37 ,1.36 ,259638,119577,61095
邯山区,17.02 ,77.08 ,5.90 ,31.95 ,12683,8692,3958,33,10.00 ,5.46 ,4.55 ,0.98 ,52697,16159,3368
丛台区,16.69 ,76.96 ,6.35 ,32.36 ,14502,9967,4487,48,10.34 ,4.37 ,5.97 ,0.94 ,47573,18341,6128
复兴区,18.10 ,77.62 ,4.27 ,28.11 ,7591,5239,2335,17,11.51 ,4.66 ,6.84 ,1.07 ,29036,19908,8052
峰峰矿区,21.52 ,72.63 ,5.85 ,27.01 ,22891,16696,6149,46,11.67 ,6.13 ,5.55 ,1.30 ,21688,17597,8734
邯郸县,26.36 ,67.62 ,6.01 ,27.87 ,18510,13592,4848,70,12.23 ,5.94 ,6.30 ,1.35 ,4831,15217,4710
临漳县,27.18 ,66.94 ,5.88 ,28.31 ,26359,19273,6979,107,11.98 ,6.25 ,5.74 ,1.31 ,9494,1758,861
