15-19岁,1075531,479654,595877,27791,15208,12583,904711,396703,508008,45029,20775,24254,95077,45432,49645,2923,1536,1387,5300070,2814299,2485771,1902322,1052557,849765,3143550,1615707,1527843,101299,58331,42968,150479,86353,64126,2420,1351,1069
15岁,219568,97309,122259,20408,11177,9231,167445,71588,95857,9130,4037,5093,22008,10202,11806,577,305,272,1415096,764259,650837,1098889,601702,497187,259496,130935,128561,19755,10962,8793,36497,20398,16099,459,262,197
16岁,211820,93108,118712,5620,3052,2568,176799,76545,100254,9143,4155,4988,19713,9074,10639,545,282,263,1085260,584907,500353,515398,287932,227466,512143,263870,248273,22357,12788,9569,34921,20058,14863,441,259,182
17岁,201227,89444,111783,1200,670,530,173462,76171,97291,8582,3943,4639,17440,8388,9052,543,272,271,931586,493759,437827,190920,108042,82878,690436,356480,333956,20564,12056,8508,29214,16935,12279,452,246,206
18岁,233364,105288,128076,413,219,194,203348,90630,112718,9641,4622,5019,19285,9464,9821,677,353,324,1024752,535287,489465,71904,40777,31127,901914,464774,437140,21725,12695,9030,28617,16730,11887,592,311,281
19岁,209552,94505,115047,150,90,60,183657,81769,101888,8533,4018,4515,16631,8304,8327,581,324,257,843376,436087,407289,25211,14104,11107,779561,399648,379913,16898,9830,7068,21230,12232,8998,476,273,203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24岁,1406071,601340,804731,          ,          ,          ,1247479,528602,718877,56003,24532,31471,98959,46462,52497,3630,1744,1886,4284232,2214296,2069936,1477,865,612,4103227,2109299,1993928,82250,47078,35172,94671,55581,39090,2607,1473,1134
20岁,227516,98967,128549,          ,          ,          ,200370,86236,114134,9315,4177,5138,17241,8260,8981,590,294,296,794949,408338,386611,1038,605,433,759090,387820,371270,15491,8860,6631,18808,10758,8050,522,295,227
21岁,251677,108425,143252,          ,          ,          ,223089,95110,127979,9851,4426,5425,18086,8577,9509,651,312,339,843033,429284,413749,269,157,112,806575,408377,398198,16266,9219,7047,19469,11266,8203,454,265,189
22岁,276815,117813,159002,          ,          ,          ,245614,103520,142094,11147,4910,6237,19322,9017,10305,732,366,366,854755,440616,414139,113,67,46,818717,419577,399140,16379,9335,7044,19049,11368,7681,497,269,228
23岁,290179,123922,166257,          ,          ,          ,257872,109213,148659,11359,4930,6429,20200,9412,10788,748,367,381,834686,435789,398897,43,27,16,800236,415656,384580,15933,9106,6827,17934,10680,7254,540,320,220
24岁,359884,152213,207671,          ,          ,          ,320534,134523,186011,14331,6089,8242,24110,11196,12914,909,405,504,956809,500269,456540,14,9,5,918609,477869,440740,18181,10558,7623,19411,11509,7902,594,324,270
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29岁,2555914,1071308,1484606,          ,          ,          ,2287529,955675,1331854,101376,41660,59716,160920,71243,89677,6089,2730,3359,5434043,2899398,2534645,          ,          ,          ,5220206,2773606,2446600,103738,59950,43788,106737,64046,42691,3362,1796,1566
25岁,405666,172633,233033,          ,          ,          ,362283,153217,209066,16232,6916,9316,26135,12009,14126,1016,491,525,969566,508667,460899,          ,          ,          ,931009,486203,444806,18429,10528,7901,19531,11613,7918,597,323,274
26岁,472404,199695,272709,          ,          ,          ,422450,177772,244678,18728,7844,10884,30079,13545,16534,1147,534,613,1057803,557676,500127,          ,          ,          ,1014897,532534,482363,20669,11890,8779,21576,12918,8658,661,334,327
27岁,507196,213820,293376,          ,          ,          ,454081,190673,263408,20121,8356,11765,31770,14242,17528,1224,549,675,1092010,582493,509517,          ,          ,          ,1047889,556353,491536,21379,12517,8862,22028,13234,8794,714,389,325
28岁,561956,233478,328478,          ,          ,          ,503632,208871,294761,22224,8902,13322,34789,15159,19630,1311,546,765,1144436,615537,528899,          ,          ,          ,1100782,589806,510976,21396,12437,8959,21568,12924,8644,690,370,320
29岁,608692,251682,357010,          ,          ,          ,545083,225142,319941,24071,9642,14429,38147,16288,21859,1391,610,781,1170228,635025,535203,          ,          ,          ,1125629,608710,516919,21865,12578,9287,22034,13357,8677,700,380,320
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34岁,3467081,1423092,2043989,          ,          ,          ,3095239,1271235,1824004,145224,56839,88385,218092,91646,126446,8526,3372,5154,5868444,3229363,2639081,          ,          ,          ,5630675,3092153,2538522,118421,67267,51154,115486,67835,47651,3862,2108,1754
30岁,708255,291298,416957,          ,          ,          ,634869,260833,374036,28495,11443,17052,43180,18305,24875,1711,717,994,1268273,692288,575985,          ,          ,          ,1221116,664959,556157,23487,13457,10030,22856,13432,9424,814,440,374
31岁,676717,280949,395768,          ,          ,          ,604434,250997,353437,28215,11137,17078,42441,18147,24294,1627,668,959,1134801,621152,513649,          ,          ,          ,1089717,594992,494725,22588,12813,9775,21755,12926,8829,741,421,320
32岁,768832,318191,450641,          ,          ,          ,686227,284241,401986,32124,12583,19541,48571,20615,27956,1910,752,1158,1262256,694970,567286,          ,          ,          ,1210418,665065,545353,25967,14764,11203,24996,14667,10329,875,474,401
33岁,623850,253347,370503,          ,          ,          ,555869,225943,329926,26453,10252,16201,39959,16518,23441,1569,634,935,1015096,563134,451962,          ,          ,          ,971912,538172,433740,21326,12160,9166,21162,12437,8725,696,365,331
34岁,689427,279307,410120,          ,          ,          ,613840,249221,364619,29937,11424,18513,43941,18061,25880,1709,601,1108,1188018,657819,530199,          ,          ,          ,1137512,628965,508547,25053,14073,10980,24717,14373,10344,736,408,328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39岁,2581924,972285,1609639,          ,          ,          ,2293968,868098,1425870,115583,39958,75625,164755,61517,103238,7618,2712,4906,4888914,2707072,2181842,          ,          ,          ,4707043,2602901,2104142,90882,51369,39513,87626,50948,36678,3363,1854,1509
