表6    各行业门类人口及三次产业人口比重（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,单位：人、%,
县市名,15岁及以上人口,各行业人口合计,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重（%）,,,
,总        计,,农林牧渔业,采掘业,制造业,电力、煤气及,建筑业,地质勘查业、,交通运输、仓储,批发和零售,金融保险业,房地产业,社会服务业,卫生、体育和,教育、文化艺术及,科学研究和,国家机关、政党,其他行业,第一产业,第二产业,第三产业,
,,,,,,水的生产和供应业,,水利管理业,及邮电通信业,贸易、餐饮业,,,,社会福利业,广播电影电视业,综合技术服务业,机关和社会团体,,,,,
,,,,,,,,,,,,,,,,,,,,,,
雨花区,40195,22673,2152,67,5854,243,1490,203,1319,4490,458,162,1902,724,1438,917,1050,204,9.49,33.76,56.75,
长沙县,61363,43108,30898,86,4342,103,1675,76,915,2203,160,8,713,317,995,17,507,93,71.68,14.40,13.93,
望城县,51184,34982,25901,78,3195,113,1196,5,698,1653,112,6,508,283,680,9,494,51,74.04,13.10,12.86,
宁乡县,93132,66869,50032,872,4017,289,2262,67,1315,3786,182,18,1195,574,1163,20,1042,35,74.82,11.13,14.05,
浏阳市,97288,66515,45488,505,10592,207,1505,51,1371,3093,187,19,986,504,1116,23,801,67,68.39,19.26,12.36,
株洲市,259036,184331,111756,1874,29219,1340,4740,201,5677,13583,1166,273,3903,2084,4326,204,3662,323,60.63,20.17,19.21,
荷塘区,20782,12186,1933,24,3933,177,611,93,922,2266,173,77,687,255,568,20,403,44,15.86,38.94,45.20,
芦淞区,17322,11142,890,82,3948,271,449,22,501,2705,204,68,743,340,352,58,465,44,7.99,42.63,49.38,
石峰区,21044,12238,1938,39,6135,222,545,5,564,1244,120,33,402,209,464,61,218,39,15.84,56.72,27.45,
天元区,8490,6093,2591,12,768,69,296,22,338,732,153,48,341,85,196,34,399,9,42.52,18.79,38.68,
株洲县,31252,23634,19038,97,1163,50,578,4,417,1037,85,2,252,146,387,1,376,1,80.55,7.99,11.46,
攸县,47802,35758,25722,1086,2790,140,671,22,1149,1746,143,17,468,355,757,1,673,18,71.93,13.11,14.96,
茶陵县,32581,25289,19479,352,1483,96,584,11,546,1097,86,3,304,252,519,10,444,23,77.03,9.95,13.03,
炎陵县,11461,8842,7020,32,411,92,65,1,132,342,56,3,109,86,213,3,254,23,79.39,6.79,13.82,
醴陵市,68302,49149,33145,150,8588,223,941,21,1108,2414,146,22,597,356,870,16,430,122,67.44,20.15,12.42,
湘潭市,202286,135063,86141,1489,17393,694,4624,92,3183,9386,902,214,2569,1529,3573,129,2700,445,63.78,17.92,18.30,
雨湖区,29283,14271,1631,474,3920,176,418,40,545,2914,398,152,938,456,1002,62,1064,81,11.43,34.95,53.62,
岳塘区,27586,14373,1670,89,6825,287,764,13,662,1844,176,41,490,300,637,56,332,187,11.62,55.42,32.96,
湘潭县,78244,57213,44796,797,3404,58,2143,12,1028,2321,138,14,490,341,1000,,627,44,78.30,11.19,10.51,
湘乡市,59835,44245,34894,119,2808,150,996,27,821,1995,156,5,443,366,802,9,533,121,78.87,9.21,11.93,
韶山市,7338,4961,3150,10,436,23,303,,127,312,34,2,208,66,132,2,144,12,63.50,15.56,20.94,
衡阳市,437048,330654,261865,3185,17384,1406,3992,440,5996,14248,1323,363,3517,3150,7004,269,5328,1184,79.20,7.85,12.95,
江东区,14017,7047,33,17,2264,182,452,3,1085,1427,86,39,453,293,324,11,298,80,0.47,41.37,58.17,
城南区,15330,7268,21,28,3056,126,329,69,449,1222,182,58,394,206,598,103,397,30,0.29,48.69,51.02,
城北区,18105,8886,45,147,2148,179,281,37,573,2015,339,171,645,444,627,62,1096,77,0.51,31.00,68.49,
郊区,14549,11135,7523,109,1242,19,286,43,348,966,36,13,217,82,111,10,92,38,67.56,14.87,17.57,
南岳区,3284,2310,1069,15,135,18,100,4,88,398,17,2,133,64,89,,160,18,46.28,11.60,42.12,
衡阳县,64555,50911,45241,41,1238,72,385,39,430,1116,124,6,175,365,853,23,718,85,88.86,3.41,7.73,
衡南县,64894,53080,47085,254,1190,80,512,24,385,1476,60,8,255,323,953,,350,125,88.71,3.84,7.46,
衡山县,25022,18529,14756,168,1059,38,279,16,405,759,74,2,139,139,349,12,263,71,79.64,8.33,12.03,
衡东县,38609,31265,27520,118,887,133,213,8,332,702,58,6,157,216,492,7,341,75,88.02,4.32,7.66,
祁东县,52544,42238,35959,91,1545,75,265,15,607,1597,120,10,225,265,926,17,347,174,85.13,4.68,10.19,
耒阳市,73559,56030,46612,1194,1527,375,577,78,911,1734,106,31,471,434,1107,13,742,118,83.19,6.56,10.25,
常宁市,52580,41955,36001,1003,1093,109,313,104,383,836,121,17,253,319,575,11,524,293,85.81,6.00,8.19,
邵阳市,466067,364726,304514,1592,15603,1321,5070,174,4381,12767,1146,191,2841,2705,6310,180,4795,1136,83.49,6.47,10.04,
双清区,19496,10947,4485,129,2253,232,319,36,587,1168,143,25,394,214,336,15,347,264,40.97,26.79,32.24,
大祥区,19130,11336,5906,38,1450,124,205,10,242,833,249,70,403,296,637,71,653,149,52.10,16.03,31.87,
北塔区,5056,3526,2270,14,495,12,110,,113,281,7,5,80,22,47,,63,7,64.38,17.90,17.73,
邵东县,72443,55835,46355,515,1835,64,492,17,734,3340,110,20,433,308,887,32,556,137,83.02,5.20,11.77,
新邵县,44278,34453,28195,293,1715,62,914,10,493,1155,84,11,233,252,568,4,330,134,81.84,8.66,9.50,
邵阳县,57980,46676,42637,128,780,96,204,17,274,776,69,9,190,300,659,14,413,110,91.35,2.59,6.07,
隆回县,75473,62330,51722,132,3689,123,2150,21,559,1622,110,10,394,386,843,8,478,83,82.98,9.78,7.24,
洞口县,45895,36681,32845,113,589,167,188,10,361,937,86,10,145,205,537,5,457,26,89.54,2.88,7.58,
绥宁县,25225,19290,16375,35,857,79,40,3,199,576,48,2,116,128,397,3,340,92,84.89,5.24,9.87,
新宁县,37138,30824,27330,51,707,127,160,5,310,779,77,17,170,231,485,5,355,15,88.66,3.39,7.95,
城步苗族自治县,15994,12817,10824,36,538,64,60,19,152,348,64,3,73,92,273,7,234,30,84.45,5.45,10.10,
武冈市,47959,40011,35570,108,695,171,228,26,357,952,99,9,210,271,641,16,569,89,88.90,3.00,8.10,
岳阳市,351494,256815,180423,1195,19907,1288,5682,405,6591,18618,1285,266,5762,2633,5886,209,5197,1468,70.25,10.93,18.82,
岳阳楼区,40754,23358,1983,39,6251,466,1591,78,1914,5307,466,115,1811,597,1151,39,1471,79,8.49,35.74,55.78,
云溪区,12606,8759,3624,11,1740,198,355,11,505,860,115,96,398,153,262,79,233,119,41.37,26.30,32.32,
君山区,13941,10561,8298,18,593,49,99,30,251,512,20,4,143,86,231,2,139,86,78.57,7.19,14.24,
岳阳县,48166,37361,30005,71,1482,88,448,27,759,1750,118,11,459,283,786,23,649,402,80.31,5.59,14.10,
华容县,45486,37335,30311,256,1103,65,205,79,556,2436,132,12,551,282,654,25,259,409,81.19,4.36,14.45,
湘阴县,43856,30653,21324,14,2744,79,1317,128,586,2095,124,1,436,289,679,7,697,133,69.57,13.55,16.88,
平江县,68593,52835,43619,152,2476,164,685,3,763,2217,124,17,677,451,805,9,578,95,82.56,6.58,10.86,
汨罗市,49063,34239,25648,124,2350,82,669,29,668,1926,101,6,909,281,771,9,593,73,74.91,9.42,15.67,
临湘市,29029,21714,15611,510,1168,97,313,20,589,1515,85,4,378,211,547,16,578,72,71.89,9.62,18.49,
常德市,413248,324793,256627,1166,16170,1414,3577,404,5714,18210,1216,225,5034,2638,5890,176,5346,986,79.01,6.87,14.11,
武陵区,38363,22947,7797,37,4453,424,731,46,986,3924,382,158,1174,536,992,79,1143,85,33.98,24.60,41.42,
鼎城区,60341,48524,39751,43,1866,101,357,58,764,2906,108,12,677,302,796,26,596,161,81.92,4.88,13.20,
安乡县,37408,29398,23278,36,1301,83,306,85,509,1848,69,8,653,207,469,,447,99,79.18,5.87,14.95,
汉寿县,52055,40269,33727,17,1467,64,381,51,567,1620,99,4,471,343,713,6,596,143,83.75,4.79,11.46,
澧县,59353,49160,40729,242,1848,161,618,51,851,2374,113,16,442,299,705,25,587,99,82.85,5.84,11.31,
临澧县,29000,24534,20266,61,1036,66,180,5,405,1038,71,6,296,153,370,4,524,53,82.60,5.47,11.92,
桃源县,70033,55999,47559,192,1941,191,361,65,638,2076,152,7,691,367,951,9,685,114,84.93,4.79,10.28,
石门县,48399,40840,34968,319,1107,251,540,39,609,1176,101,13,357,261,539,20,385,155,85.62,5.43,8.95,
津市市,18296,13122,8552,219,1151,73,103,4,385,1248,121,1,273,170,355,7,383,77,65.17,11.78,23.05,
张家界市,104492,84540,70369,241,1837,499,826,57,1666,2897,352,28,1387,607,1757,47,1690,280,83.24,4.03,12.74,
永定区,28981,21506,16001,70,560,177,349,11,802,1189,178,14,662,201,560,29,649,54,74.40,5.38,20.22,
武陵源区,3357,2699,1849,1,40,10,24,5,53,153,21,2,311,13,61,1,144,11,68.51,2.78,28.71,
慈利县,43980,37027,31905,77,853,179,344,39,647,1084,90,11,285,249,695,13,510,46,86.17,3.92,9.91,
桑植县,28174,23308,20614,93,384,133,109,2,164,471,63,1,129,144,441,4,387,169,88.44,3.08,8.47,
益阳市,299937,212888,162317,1025,12723,793,3405,355,4916,11717,965,147,3068,2125,4688,118,4032,494,76.25,8.43,15.32,
资阳区,29093,21213,16219,27,1071,21,215,36,376,1442,89,59,401,206,526,23,475,27,76.46,6.29,17.25,
赫山区,60094,39360,25615,111,4406,220,1038,62,1305,2729,326,31,680,484,1079,42,1178,54,65.08,14.67,20.25,
南县,45902,34747,27340,4,1495,112,305,119,649,2076,146,23,701,313,783,7,569,105,78.68,5.51,15.80,
桃江县,53051,34103,25573,327,2429,146,1071,18,911,1462,128,9,324,328,776,9,494,98,74.99,11.65,13.36,
安化县,62202,45754,37544,336,1763,210,546,10,873,1882,151,5,430,419,700,11,740,134,82.06,6.24,11.70,
沅江市,49595,37711,30026,220,1559,84,230,110,802,2126,125,20,532,375,824,26,576,76,79.62,5.55,14.83,
郴州市,306281,235570,181574,6794,9984,1382,2429,281,5117,10475,927,185,2897,2296,5220,164,4975,870,77.08,8.74,14.18,
北湖区,24315,15943,5705,611,2520,171,455,84,917,2572,164,71,888,391,536,63,688,107,35.78,23.57,40.65,
苏仙区,25679,17744,10612,778,1304,326,275,22,728,1209,209,61,451,294,744,17,653,61,59.81,15.12,25.07,
桂阳县,47985,39539,34058,940,706,81,223,21,425,1222,91,9,241,285,689,15,492,41,86.14,4.93,8.93,
宜章县,38258,30329,24138,936,1303,113,204,17,655,1240,90,5,290,233,582,1,476,46,79.59,8.43,11.99,
永兴县,43094,33180,27631,1156,927,105,223,30,522,1005,66,6,190,240,560,10,468,41,83.28,7.27,9.46,
嘉禾县,17882,12701,8942,465,644,37,355,9,375,623,11,2,151,123,315,,503,146,70.40,11.82,17.78,
临武县,22309,18207,15362,556,220,73,67,29,405,411,59,5,183,116,315,17,304,85,84.37,5.03,10.59,
汝城县,23076,18746,16483,181,263,80,99,11,183,459,58,2,106,108,323,3,338,49,87.93,3.32,8.75,
桂东县,12720,10845,9381,67,228,41,86,1,112,317,30,3,76,80,187,7,227,2,86.50,3.89,9.61,
安仁县,23949,18962,16521,12,425,64,201,30,235,410,46,2,74,154,417,10,345,16,87.13,3.70,9.17,
资兴市,27014,19374,12741,1092,1444,291,241,27,560,1007,103,19,247,272,552,21,481,276,65.76,15.84,18.40,
永州市,368353,295506,250850,996,9504,929,2231,105,3775,9745,814,69,2326,1996,6010,120,5202,834,84.89,4.62,10.49,
芝山区,39482,28529,21491,338,1630,79,461,23,555,1567,148,12,329,320,801,48,699,28,75.33,8.79,15.88,
冷水滩区,31823,22970,15354,126,2230,166,206,23,673,1633,155,10,516,271,714,15,789,89,66.84,11.88,21.28,
祁阳县,69573,57843,50350,222,1657,217,548,8,634,1485,103,11,333,335,887,13,1025,15,87.05,4.57,8.38,
东安县,36953,29811,26513,71,562,106,63,10,229,834,77,8,143,170,616,2,329,78,88.94,2.69,8.37,
双牌县,11057,8659,6931,15,457,61,58,6,135,386,34,3,73,67,159,9,200,65,80.04,6.83,13.13,
道县,38705,31758,27456,90,897,37,309,10,337,1018,48,5,278,158,672,9,360,74,86.45,4.20,9.35,
江永县,15494,12916,11193,18,235,37,49,9,149,400,42,4,93,73,279,7,312,16,86.66,2.62,10.72,
宁远县,51289,43134,39445,11,616,106,155,1,332,897,68,9,178,187,643,10,452,24,91.45,2.06,6.49,
蓝山县,20497,15830,13009,39,501,30,190,4,315,441,42,,151,136,372,3,377,220,82.18,4.80,13.02,
新田县,22360,17658,15235,18,430,23,125,7,225,480,55,1,108,135,470,4,301,41,86.28,3.38,10.35,
江华瑶族自治县,31120,26398,23873,48,289,67,67,4,191,604,42,6,124,144,397,,358,184,90.43,1.78,7.78,
怀化市,322364,241204,189902,1466,11142,1581,2594,99,5334,11899,1057,137,2855,2295,5112,157,5215,359,78.73,6.96,14.31,
鹤城区,26390,16186,5195,50,1793,371,813,42,1519,2649,335,61,831,527,795,52,1063,90,32.10,18.70,49.20,
中方县,17014,13313,11541,92,477,16,86,5,202,380,13,1,54,76,271,,84,15,86.69,5.04,8.27,
沅陵县,41055,30770,24948,425,809,219,192,9,581,1455,101,14,352,228,654,43,708,32,81.08,5.35,13.57,
辰溪县,30856,22397,18030,218,1211,128,145,15,373,842,62,12,181,213,503,11,438,15,80.50,7.60,11.90,
溆浦县,53952,39320,33435,165,1449,187,317,2,579,1278,96,4,259,281,660,10,559,39,85.03,5.39,9.58,
会同县,23088,17985,14216,152,1027,94,236,8,332,845,50,3,142,159,353,3,301,64,79.04,8.39,12.57,
麻阳苗族自治县,22776,17640,15155,63,400,101,126,3,233,641,52,7,104,115,292,7,319,22,85.91,3.91,10.18,
新晃侗族自治县,16599,13687,11515,49,445,75,125,,186,530,55,8,115,86,237,4,250,7,84.13,5.07,10.80,
芷江侗族自治县,23437,18982,16045,54,578,68,127,10,323,819,55,8,163,115,295,8,309,5,84.53,4.36,11.12,
靖州苗族侗族自治县,16541,13030,10330,57,421,61,137,2,333,695,75,6,183,128,292,4,282,24,79.28,5.19,15.53,
通道侗族自治县,14648,11762,10024,26,341,47,91,2,152,453,42,1,97,68,191,5,219,3,85.22,4.29,10.48,
洪江市,36008,26132,19468,115,2191,214,199,1,521,1312,121,12,374,299,569,10,683,43,74.50,10.40,15.10,
娄底市,252644,175611,131041,4505,10646,895,3272,171,3991,7320,726,84,2088,1913,4327,146,3587,899,74.62,11.00,14.38,
娄星区,29245,17754,6989,168,3101,281,925,57,1048,1968,256,40,514,392,849,49,1009,108,39.37,25.21,35.43,
双峰县,55333,39818,31536,595,1784,82,705,12,745,1762,108,9,393,432,886,10,713,46,79.20,7.95,12.85,
新化县,79688,61882,53889,508,1769,129,513,21,730,1397,108,11,432,409,1018,39,735,174,87.08,4.72,8.20,
冷水江市,24182,13001,3917,2123,2361,300,482,56,612,1105,135,12,463,299,563,15,423,135,30.13,40.50,29.37,
涟源市,64196,43156,34710,1111,1631,103,647,25,856,1088,119,12,286,381,1011,33,707,436,80.43,8.09,11.48,
湘西土家族苗族自治州,163423,126735,102694,356,4425,789,1080,90,2131,5952,451,30,1519,1070,3030,93,2849,176,81.03,5.25,13.72,
吉首市,21083,14109,7103,56,1279,97,415,36,611,1930,188,16,542,297,671,64,693,111,50.34,13.09,36.57,
泸溪县,16590,13261,11160,9,410,88,54,3,187,578,39,2,97,75,318,9,218,14,84.16,4.23,11.61,
凤凰县,23400,18622,16013,50,419,86,134,6,154,654,42,4,160,126,399,2,371,2,85.99,3.70,10.31,
花垣县,17229,14348,12254,96,527,159,29,14,127,393,42,,83,67,232,3,317,5,85.41,5.65,8.94,
保靖县,17105,13412,11490,10,294,102,66,18,217,346,23,,172,101,300,4,263,6,85.67,3.52,10.81,
古丈县,8562,6867,5709,8,181,27,32,3,153,273,16,2,81,53,152,2,167,8,83.14,3.61,13.25,
永顺县,29128,22349,19038,50,572,89,107,6,283,858,48,2,233,147,475,5,413,23,85.19,3.66,11.15,
龙山县,30326,23767,19927,77,743,141,243,4,399,920,53,4,151,204,483,4,407,7,83.84,5.07,11.09,
,,,,,,,,,,,,,,,,,,,,,,
广东省,6075562,4443942,1660261,13297,1487788,28072,169227,3593,117951,492276,33016,26149,146867,44872,103747,7983,103377,5466,37.36,38.22,24.42,
广州市,780725,528249,98495,1239,175745,3833,30509,494,24939,93859,6752,7706,35022,9319,19478,3781,16055,1023,18.65,40.00,41.35,
东山区,47162,26311,34,24,2905,312,1813,69,1851,6119,1153,992,4153,1342,2441,890,2200,13,0.13,19.21,80.66,
荔湾区,39641,19656,38,4,3980,357,1159,15,1284,6551,502,440,2604,556,941,208,1016,1,0.19,27.98,71.83,
越秀区,28244,13740,14,8,2197,64,845,,586,4207,555,460,1889,627,938,320,1030,,0.10,22.66,77.23,
海珠区,100160,57296,2637,18,17638,468,4576,11,3183,14235,1119,1203,5284,1349,3075,698,1693,109,4.60,39.62,55.78,
天河区,90963,54847,1685,31,12354,418,5278,133,2921,13721,1169,1517,6535,1519,4233,1088,1980,265,3.07,32.97,63.96,
芳村区,26036,16665,1684,,6262,82,1043,5,981,3564,179,210,1318,331,458,60,487,1,10.11,44.33,45.57,
白云区,136025,97756,18777,122,36871,389,4659,70,5622,17153,547,806,6136,1325,2749,218,2092,220,19.21,43.01,37.79,
黄埔区,32203,24257,1338,4,10698,534,1951,67,2689,3539,235,208,1333,279,529,130,701,22,5.52,54.36,40.12,
番禺区,127517,103592,18947,356,51582,699,5629,51,2771,13525,622,1454,3216,870,1632,84,1927,227,18.29,56.25,25.46,
花都区,52185,37846,12772,337,12858,134,1624,42,1382,4707,267,195,1064,346,896,30,1191,1,33.75,39.51,26.74,
增城市,65129,50044,24568,201,14128,197,1360,20,1215,4557,254,160,787,476,869,49,1119,84,49.09,31.74,19.16,
从化市,35460,26239,16001,134,4272,179,572,11,454,1981,150,61,703,299,717,6,619,80,60.98,19.65,19.36,
韶关市,193777,135252,78424,2637,14546,2039,3999,157,4608,12207,938,316,3561,1921,4765,171,4670,293,57.98,17.17,24.85,
北江区,10265,5467,403,280,1268,96,248,7,253,1169,124,66,383,202,344,10,549,65,7.37,34.61,58.02,
武江区,14992,8909,908,155,2726,156,701,49,413,1732,187,99,585,286,466,83,358,5,10.19,41.96,47.85,
浈江区,16334,9374,849,611,2672,200,639,13,1153,1527,75,73,640,191,413,10,293,15,9.06,43.97,46.97,
曲江县,25318,19362,13020,256,1032,252,465,22,542,1761,112,11,448,204,557,17,632,31,67.25,10.36,22.40,
始兴县,14789,10862,7680,130,870,92,198,8,232,657,57,4,150,110,342,2,321,9,70.71,11.88,17.42,
仁化县,11816,8498,5101,555,745,115,186,5,198,607,51,3,203,103,280,3,293,50,60.03,18.84,21.13,
翁源县,21019,15532,10493,185,1071,160,375,4,406,1283,61,10,274,183,490,4,518,15,67.56,11.53,20.91,
乳源瑶族自治县,12168,9124,6373,51,591,305,151,12,180,573,41,4,115,86,301,4,324,13,69.85,12.03,18.12,
新丰县,12089,8305,5477,24,644,181,214,1,266,556,46,18,123,135,276,13,309,22,65.95,12.80,21.25,
乐昌市,29352,20633,13616,260,1987,326,473,7,693,1295,107,23,339,252,653,7,531,64,65.99,14.76,19.25,
南雄市,25635,19186,14504,130,940,156,349,29,272,1047,77,5,301,169,643,18,542,4,75.60,8.21,16.19,
深圳市,584319,503491,8352,684,322508,1786,22249,218,12462,71843,5120,8006,28648,3836,6955,1292,9261,271,1.66,68.96,29.38,
罗湖区,63235,47437,180,13,10770,316,3212,56,2701,15183,1273,2342,7451,787,1141,203,1762,47,0.38,30.17,69.45,
福田区,72001,56343,122,13,15189,398,5340,88,2539,14461,2279,2824,7131,902,2091,615,2303,48,0.22,37.17,62.62,
南山区,58587,48752,676,212,27571,279,2802,16,2102,6938,730,1113,3632,505,1044,259,856,17,1.39,63.31,35.31,
宝安区,234598,213614,4408,250,166195,379,6588,24,2831,20934,471,965,5878,966,1510,85,2106,24,2.06,81.18,16.76,
龙岗区,143061,126187,2851,193,96074,391,3707,34,1526,12804,299,606,3920,626,1027,104,1952,73,2.26,79.54,18.20,
盐田区,12837,11158,115,3,6709,23,600,,763,1523,68,156,636,50,142,26,282,62,1.03,65.74,33.23,
珠海市,94046,67816,9183,257,25458,645,3718,68,2699,12018,1026,1022,5552,936,1802,190,3020,222,13.54,44.35,42.11,
香洲区,64573,48642,2262,182,20265,460,2935,26,1949,9351,867,954,4786,669,1216,172,2373,175,4.65,49.02,46.33,
斗门县,29473,19174,6921,75,5193,185,783,42,750,2667,159,68,766,267,586,18,647,47,36.10,32.52,31.38,
汕头市,305056,188797,77937,378,47905,1199,10937,124,5281,25012,1408,870,4750,1968,5519,241,5036,232,41.28,32.00,26.72,
达濠区,11288,6071,1599,127,1037,45,1481,4,159,805,45,16,174,72,239,1,267,,26.34,44.31,29.35,
龙湖区,18438,11958,617,1,3750,90,980,2,685,2812,342,326,813,209,540,53,737,1,5.16,40.32,54.52,
金园区,34166,16017,310,4,4149,442,883,30,1147,4123,476,325,1227,561,987,115,1203,35,1.94,34.20,63.86,
升平区,21566,10012,828,28,2448,64,760,6,795,3002,115,52,713,184,519,33,441,24,8.27,32.96,58.77,
河浦区,4687,2862,1980,55,202,6,308,1,14,140,2,2,41,17,58,3,33,,69.18,19.95,10.87,
南澳县,4885,2704,1228,71,175,67,76,1,91,443,28,6,139,32,138,5,188,16,45.41,14.39,40.20,
潮阳市,149648,96751,55896,35,19822,310,5023,37,1393,8919,225,61,832,579,2105,22,1369,123,57.77,26.04,16.19,
澄海市,60378,42422,15479,57,16322,175,1426,43,997,4768,175,82,811,314,933,9,798,33,36.49,42.38,21.13,
佛山市,411254,314929,39871,469,168571,2058,15785,419,9047,43792,3344,2853,11210,3044,6719,415,7310,22,12.66,59.34,28.00,
城区,24284,14737,333,8,5282,196,746,47,584,3472,633,391,945,494,639,97,862,8,2.26,42.29,55.45,
石湾区,36560,28505,489,15,16441,144,1633,45,1007,5212,371,182,1196,361,668,74,665,2,1.72,63.96,34.32,
顺德市,125640,93877,9076,38,52090,537,6157,107,2389,12316,970,1527,3679,900,1973,112,2006,,9.67,62.66,27.67,
南海市,170975,138986,16357,133,82308,867,5647,123,3615,18065,932,600,4325,855,2475,100,2580,4,11.77,64.00,24.23,
三水市,31861,23246,7099,231,8039,207,984,77,965,2883,268,94,812,263,599,22,698,5,30.54,40.70,28.76,
高明市,21934,15578,6517,44,4411,107,618,20,487,1844,170,59,253,171,365,10,499,3,41.83,33.25,24.91,
江门市,288285,200406,103445,493,42219,1416,7600,170,4746,21153,1844,604,4694,2120,4456,133,5110,203,51.62,25.81,22.57,
蓬江区,27354,16710,290,23,6619,265,991,5,692,3650,531,289,1072,495,675,66,1027,20,1.74,47.27,51.00,
江海区,14633,10005,2279,33,4016,54,698,36,329,1565,76,39,335,84,234,3,213,11,22.78,47.99,29.24,
台山市,69893,49341,34994,97,4871,216,1112,25,1020,3979,285,70,588,351,872,13,843,5,70.92,12.76,16.32,
新会市,67556,46778,18913,207,13776,365,2193,52,1163,5317,429,123,1318,441,1134,26,1212,109,40.43,35.36,24.21,
开平市,47998,33247,20102,27,5104,164,1593,35,630,2904,242,31,760,330,648,13,633,31,60.46,20.72,18.82,
鹤山市,28392,21105,10565,22,5931,126,609,14,435,1790,191,36,329,176,394,4,478,5,50.06,31.69,18.25,
恩平市,32459,23220,16302,84,1902,226,404,3,477,1948,90,16,292,243,499,8,704,22,70.21,11.27,18.53,
湛江市,384097,274501,206124,528,14555,1167,4818,491,6371,17169,1620,399,4344,2715,7975,339,5516,370,75.09,7.68,17.23,
赤坎区,17047,8334,729,4,1929,234,323,52,716,1725,303,69,536,281,684,35,647,67,8.75,29.88,61.38,
霞山区,29197,15784,1812,51,2997,253,598,13,1876,3274,456,156,1356,613,1050,123,1119,37,11.48,24.70,63.82,
坡头区,20360,13933,9799,110,590,28,799,188,392,852,69,49,293,109,409,42,189,15,70.33,10.96,18.71,
麻章区,26613,18813,15196,56,867,25,212,2,394,985,48,,213,103,513,49,147,3,80.77,6.17,13.06,
遂溪县,51783,39458,32075,12,1537,85,313,27,544,2104,144,19,428,307,1118,28,717,,81.29,4.93,13.78,
徐闻县,40541,30701,25168,103,958,71,119,44,502,1613,98,25,338,239,783,27,590,23,81.98,4.07,13.95,
廉江市,73525,54970,45533,60,2065,225,362,85,839,2308,227,46,461,382,1398,16,789,174,82.83,4.93,12.23,
雷州市,76959,59080,50957,124,1797,177,301,67,503,2174,146,27,370,383,1311,13,700,30,86.25,4.06,9.69,
吴川市,48072,33428,24855,8,1815,69,1791,13,605,2134,129,8,349,298,709,6,618,21,74.35,11.02,14.63,
茂名市,317808,227264,168096,544,12696,1447,7661,186,5167,13337,1205,276,2967,2087,6045,214,4921,415,73.97,9.83,16.20,
茂南区,43548,28343,13904,159,3389,538,1161,45,1409,3017,407,168,1043,436,1163,150,1213,141,49.06,18.51,32.43,
电白县,89903,64108,48326,145,2938,191,2845,27,1213,4120,222,42,874,528,1335,23,1226,53,75.38,9.54,15.07,
高州市,72889,55572,45139,92,2404,236,1133,65,815,2271,210,26,420,481,1299,13,857,111,81.23,6.95,11.82,
化州市,58765,42301,33478,57,1402,140,1164,32,861,2215,176,14,362,311,1227,13,817,32,79.14,6.53,14.33,
信宜市,52703,36940,27249,91,2563,342,1358,17,869,1714,190,26,268,331,1021,15,808,78,73.77,11.79,14.45,
肇庆市,226783,167820,111988,584,18231,1151,5219,169,3667,12438,987,293,2657,1947,4061,129,4248,51,66.73,15.01,18.26,
端州区,29070,17159,1266,23,5683,190,938,53,1148,3559,399,201,1076,606,810,70,1133,4,7.38,39.83,52.79,
鼎湖区,9457,6898,3825,31,971,24,420,16,160,731,34,17,213,92,139,7,208,10,55.45,20.96,23.59,
广宁县,27900,20376,14637,105,1326,211,717,8,439,1310,91,13,260,241,492,16,510,,71.83,11.58,16.59,
怀集县,42400,32341,26340,93,1194,197,712,25,432,1412,80,2,191,320,727,4,609,3,81.44,6.79,11.77,
封开县,25109,19794,16366,72,760,236,82,12,222,872,65,6,128,141,407,10,412,3,82.68,5.81,11.51,
德庆县,20952,16826,13457,60,852,74,180,20,247,699,85,4,141,130,404,5,467,1,79.98,6.93,13.09,
高要市,43107,34341,25370,69,3378,92,1378,21,471,2054,91,15,267,196,605,,324,10,73.88,14.32,11.81,
四会市,28788,20085,10727,131,4067,127,792,14,548,1801,142,35,381,221,477,17,585,20,53.41,25.48,21.12,
惠州市,228784,168527,59791,447,61705,1109,4072,217,4892,18500,1096,782,5100,1867,3961,172,4470,346,35.48,39.95,24.57,
惠城区,44780,31610,2438,12,15689,289,1268,64,1245,5052,508,488,1602,559,1009,130,1164,93,7.71,54.60,37.69,
博罗县,54666,40045,19493,114,11397,222,835,59,1102,3711,167,82,652,386,905,16,858,46,48.68,31.38,19.94,
惠东县,46406,33597,14961,95,9674,224,664,25,757,3929,154,49,956,363,755,3,982,6,44.53,31.72,23.75,
龙门县,18532,13555,8895,98,1318,164,185,38,446,1045,73,14,272,170,445,1,387,4,65.62,13.02,21.36,
惠阳市,64400,49720,14004,128,23627,210,1120,31,1342,4763,194,149,1618,389,847,22,1079,197,28.17,50.45,21.38,
梅州市,251286,165876,104769,1770,14085,1874,6609,122,5257,13249,1024,217,3307,2142,5751,147,5299,254,63.16,14.67,22.17,
梅江区,23301,13567,2294,61,2463,298,1079,37,824,2719,303,88,913,410,917,85,1076,,16.91,28.75,54.34,
梅县,37125,24881,15944,637,2184,259,1042,9,860,1952,93,28,380,229,712,10,528,14,64.08,16.57,19.35,
