表6    各行业门类人口及三次产业人口比重（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,单位：人、%,
县市名,15岁及以上人口,各行业人口合计,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重（%）,,,
,总        计,,农林牧渔业,采掘业,制造业,电力、煤气及,建筑业,地质勘查业、,交通运输、仓储,批发和零售,金融保险业,房地产业,社会服务业,卫生、体育和,教育、文化艺术及,科学研究和,国家机关、政党,其他行业,第一产业,第二产业,第三产业,
,,,,,,水的生产和供应业,,水利管理业,及邮电通信业,贸易、餐饮业,,,,社会福利业,广播电影电视业,综合技术服务业,机关和社会团体,,,,,
,,,,,,,,,,,,,,,,,,,,,,
行唐县,29473,23613,21560,4,359,37,59,3,117,438,55,4,92,140,411,6,323,5,91.31,1.94,6.75,
灵寿县,23064,17742,15144,95,724,31,124,11,206,369,87,2,85,131,379,2,334,18,85.36,5.49,9.15,
高邑县,13141,9609,5959,9,1666,50,302,3,334,474,41,1,149,77,276,1,266,1,62.01,21.09,16.89,
深泽县,18783,13427,8397,123,1926,17,791,6,396,785,66,83,113,108,288,4,310,14,62.54,21.28,16.18,
赞皇县,17307,13285,12204,7,247,16,28,1,63,212,32,1,24,72,156,4,217,1,91.86,2.24,5.89,
无极县,35998,26879,20603,2,2313,36,987,12,452,1223,96,,138,134,441,9,388,45,76.65,12.42,10.93,
平山县,33910,27443,24448,72,590,74,156,30,175,406,80,19,183,117,460,4,610,19,89.09,3.25,7.66,
元氏县,27724,21216,18268,84,714,75,355,9,387,353,74,2,83,174,262,4,361,11,86.10,5.79,8.11,
赵县,40932,32212,27230,1,1410,97,441,,388,712,111,10,140,211,683,3,759,16,84.53,6.05,9.42,
辛集市,47262,36303,27498,153,4288,96,492,6,457,1340,137,35,218,287,713,22,560,1,75.75,13.85,10.40,
藁城市,55142,39790,24393,42,5253,244,2585,1,1785,2884,160,6,449,304,819,14,763,88,61.30,20.42,18.28,
晋州市,38961,29071,19554,4,4701,36,925,1,725,1359,114,,284,166,448,5,736,13,67.26,19.49,13.25,
新乐市,32300,25316,21114,3,1145,38,416,4,420,897,112,3,142,185,459,3,369,6,83.40,6.33,10.27,
鹿泉市,29961,20745,9426,403,4808,119,1188,36,1041,1537,129,11,538,215,531,26,686,51,45.44,31.42,23.14,
唐山市,557929,398490,241336,15890,53894,3392,12786,537,11821,23157,2365,462,6262,4744,9670,394,11148,632,60.56,21.57,17.87,
路南区,27146,16045,3500,1426,4148,218,554,23,668,2744,144,70,713,403,684,26,652,72,21.81,39.55,38.64,
路北区,47766,26640,1943,1665,8813,1102,1026,95,1487,3528,672,200,1395,1155,1591,234,1692,42,7.29,47.32,45.39,
古冶区,32655,17622,3173,5491,3932,426,411,5,793,1254,99,20,403,367,586,1,657,4,18.01,58.22,23.77,
开平区,21991,13924,2861,1648,4575,305,655,16,842,1458,95,35,353,172,350,15,540,4,20.55,51.59,27.87,
新区,12873,8465,2081,44,2769,289,1456,2,241,610,88,21,195,134,238,3,285,9,24.58,53.85,21.57,
丰润县,55229,41631,26844,449,5130,141,2028,25,1540,2445,141,3,649,393,755,4,1080,4,64.48,18.61,16.91,
滦县,42306,33632,25890,591,1943,93,997,23,844,1153,104,6,223,238,709,2,791,25,76.98,10.78,12.24,
滦南县,46031,34913,29781,156,1748,71,309,2,362,752,113,11,153,229,547,10,647,22,85.30,6.54,8.16,
乐亭县,41008,32948,26851,284,1698,73,434,24,526,1150,144,7,289,171,540,18,676,63,81.50,7.55,10.95,
迁西县,27475,20560,14101,1073,1692,105,397,192,493,847,98,15,253,199,493,4,567,31,68.58,15.89,15.53,
玉田县,51362,38440,29431,136,3568,99,829,8,763,1443,149,37,337,261,680,12,613,74,76.56,12.05,11.39,
唐海县,11017,7221,4313,22,1166,55,136,14,189,478,49,7,107,114,228,18,228,97,59.73,19.10,21.17,
遵化市,51418,38420,26434,612,3368,154,1328,44,1245,2308,185,3,548,338,881,15,924,33,68.80,14.22,16.98,
丰南市,42310,32285,21449,739,4938,89,716,28,650,1434,112,10,282,291,652,9,862,24,66.44,20.08,13.49,
迁安市,47342,35744,22684,1554,4406,172,1510,36,1178,1553,172,17,362,279,736,23,934,128,63.46,21.38,15.16,
秦皇岛市,220001,161080,103908,1617,15104,1030,4896,132,6928,10334,1166,272,3729,2174,4406,322,4949,113,64.51,14.06,21.43,
海港区,48589,28754,2737,275,6697,717,2175,77,3629,5397,619,200,2011,733,1456,243,1728,60,9.52,34.30,56.18,
山海关区,12986,8082,2305,4,2416,32,298,2,938,847,67,21,374,136,262,7,362,11,28.52,34.03,37.45,
北戴河区,5993,3550,591,1,346,49,480,2,106,640,53,20,447,409,199,9,194,4,16.65,24.68,58.68,
青龙满族自治县,36538,28432,23782,636,728,71,474,18,279,816,83,1,181,204,557,7,577,18,83.65,6.71,9.64,
昌黎县,44702,35004,28821,55,1563,45,473,7,691,1068,140,15,188,307,780,36,810,5,82.34,6.10,11.56,
抚宁县,39639,30950,22517,602,2670,77,856,13,1006,1123,123,14,388,219,605,11,717,9,72.75,13.59,13.66,
卢龙县,31554,26308,23155,44,684,39,140,13,279,443,81,1,140,166,547,9,561,6,88.02,3.45,8.54,
邯郸市,619159,473282,373493,11955,29095,2388,6024,586,7798,14922,1780,309,3514,3515,7661,410,8507,1325,78.92,10.45,10.63,
邯山区,22728,12590,933,344,3794,412,397,128,1070,2111,283,121,546,513,787,84,922,145,7.41,39.29,53.30,
丛台区,24264,13277,401,46,4449,474,760,182,593,2381,321,80,603,499,830,203,1217,238,3.02,43.15,53.83,
复兴区,18370,11172,426,2556,4370,111,716,40,795,923,62,19,318,217,255,20,323,21,3.81,69.40,26.79,
峰峰矿区,39214,23420,7225,5076,4637,427,635,98,734,1533,144,46,674,509,736,13,643,290,30.85,46.01,23.14,
邯郸县,28495,21980,17763,297,1134,72,460,2,673,486,61,5,155,124,384,6,321,37,80.81,8.93,10.25,
临漳县,41250,32822,30678,16,213,40,268,8,150,401,76,,45,105,393,5,329,95,93.47,1.64,4.90,
成安县,26275,20769,17778,10,765,58,422,1,280,457,54,1,85,138,334,5,373,8,85.60,6.04,8.36,
大名县,52556,44419,42727,5,324,28,16,,80,354,62,5,13,105,324,,293,83,96.19,0.84,2.97,
涉县,27146,20501,16365,297,1231,137,282,21,350,536,108,10,214,133,337,16,432,32,79.83,9.50,10.68,
磁县,46155,34468,27432,989,1628,154,764,50,717,965,91,1,193,231,483,5,729,36,79.59,10.26,10.16,
肥乡县,23424,19683,18730,8,145,23,6,10,77,166,26,1,23,64,201,4,182,17,95.16,0.92,3.92,
永年县,60251,47205,40169,149,2515,121,500,1,603,1365,117,,205,205,630,10,532,83,85.09,6.96,7.95,
邱县,15085,12848,12035,,198,5,5,1,22,188,41,,23,37,110,8,138,37,93.67,1.62,4.71,
鸡泽县,18087,14246,13658,1,112,24,9,,26,65,19,,8,28,130,3,154,9,95.87,1.02,3.10,
广平县,18315,14886,13486,3,322,23,81,1,116,241,34,2,43,72,210,4,227,21,90.60,2.88,6.52,
馆陶县,21264,18400,16926,1,332,5,30,9,38,406,37,1,35,76,171,,333,,91.99,2.00,6.01,
魏县,55926,47293,45681,2,290,33,76,9,25,315,45,1,60,93,348,2,268,45,96.59,0.85,2.56,
曲周县,28515,23581,21845,9,372,10,111,5,94,360,48,,37,94,281,5,306,4,92.64,2.13,5.23,
武安市,51839,39722,29235,2146,2264,231,486,20,1355,1669,151,16,234,272,717,17,785,124,73.60,12.91,13.49,
邢台市,495073,388651,313573,4559,26646,1482,4311,243,4908,12062,1615,133,2669,2328,6549,127,7056,390,80.68,9.52,9.80,
桥东区,17676,10711,820,40,3814,317,412,30,571,2100,251,55,598,326,528,26,811,12,7.66,42.79,49.56,
桥西区,24371,14357,1924,2058,3872,465,543,143,603,1572,316,46,521,393,710,54,1114,23,13.40,48.32,38.27,
