　　,,,,,,,,,,,,,,,,,,,,,,,,
表6—1    省、自治区、直辖市分性别、孩次的出生人口（1999.11.1-2000.10.31）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,    
,,,,,,,,,,,,,,,,,,,,,,,,单位:人
地   区   别,出   生   人   数,,,,第     一     孩,,,,第     二     孩,,,,第     三     孩,,,,第     四     孩,,,,第五孩及五孩以上,,,
,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比
,,,,,,,,,,,,,,,,,,,,,,,,
江西省,5261,2937,2324,126.38,4367,2362,2005,117.81,793,505,288,175.35,86,61,25,244.00,11,7,4,175.00,4,2,2,100.00
山东省,20770,10916,9854,110.78,17607,9143,8464,108.02,3048,1700,1348,126.11,107,67,40,167.50,6,5,1,500.00,2,1,1,100.00
,,,,,,,,,,,,,,,,,,,,,,,,
河南省,13231,7124,6107,116.65,11090,5749,5341,107.64,2001,1269,732,173.36,128,96,32,300.00,12,10,2,500.00,          ,          ,          ,          
湖北省,10770,5924,4846,122.25,9403,4975,4428,112.35,1277,887,390,227.44,78,53,25,212.00,9,7,2,350.00,3,2,1,200.00
湖南省,8398,4456,3942,113.04,7072,3626,3446,105.22,1229,772,457,168.93,77,45,32,140.62,12,8,4,200.00,8,5,3,166.67
广东省,27291,15324,11967,128.05,20607,11092,9515,116.57,5186,3261,1925,169.40,1015,645,370,174.32,317,212,105,201.90,166,114,52,219.23
广西壮族自治区,5538,3051,2487,122.68,4418,2345,2073,113.12,947,587,360,163.06,131,92,39,235.90,30,20,10,200.00,12,7,5,140.00
海南省,1739,1010,729,138.55,1288,713,575,124.00,375,250,125,200.00,64,39,25,156.00,7,4,3,133.33,5,4,1,400.00
,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,4397,2241,2156,103.94,4010,2027,1983,102.22,359,195,164,118.90,25,17,8,212.50,3,2,1,200.00,          ,          ,          ,          
四川省,9605,5056,4549,111.15,8763,4586,4177,109.79,781,434,347,125.07,58,35,23,152.17,2,1,1,100.00,1,          ,1,          
贵州省,5195,2682,2513,106.73,3886,1931,1955,98.77,1014,578,436,132.57,212,125,87,143.68,61,36,25,144.00,22,12,10,120.00
云南省,5320,2722,2598,104.77,4056,2032,2024,100.40,1110,599,511,117.22,127,74,53,139.62,22,14,8,175.00,5,3,2,150.00
西藏自治区,174,82,92,89.13,130,60,70,85.71,36,17,19,89.47,4,2,2,100.00,2,2,          ,          ,2,1,1,100.00
,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,5135,2746,2389,114.94,4365,2246,2119,105.99,701,447,254,175.98,59,45,14,321.43,8,7,1,700.00,2,1,1,100.00
甘肃省,3727,1963,1764,111.28,3240,1666,1574,105.84,443,270,173,156.07,40,24,16,150.00,2,2,          ,          ,2,1,1,100.00
青海省,1020,505,515,98.06,837,409,428,95.56,157,81,76,106.58,20,10,10,100.00,5,4,1,400.00,1,1,          ,          
宁夏回族自治区,1262,640,622,102.89,1050,521,529,98.49,169,104,65,160.00,35,14,21,66.67,3,          ,3,          ,5,1,4,25.00
新疆维吾尔自治区,5015,2579,2436,105.87,3930,2040,1890,107.94,868,432,436,99.08,167,84,83,101.20,31,16,15,106.67,19,7,12,58.33
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,
表6—1b    省、自治区、直辖市分性别、孩次的出生人口（镇）（1999.11.1-2000.10.31）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,    
,,,,,,,,,,,,,,,,,,,,,,,,单位:人
地   区   别,出   生   人   数,,,,第     一     孩,,,,第     二     孩,,,,第     三     孩,,,,第     四     孩,,,,第五孩及五孩以上,,,
,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比
,,,,,,,,,,,,,,,,,,,,,,,,
合计,154845,84428,70417,119.90,118622,62232,56390,110.36,30658,18616,12042,154.59,4135,2661,1474,180.53,964,630,334,188.62,466,289,177,163.28
,,,,,,,,,,,,,,,,,,,,,,,,
北京市,644,336,308,109.09,562,288,274,105.11,80,46,34,135.29,1,1,          ,          ,          ,          ,          ,          ,1,1,          ,          
天津市,1602,820,782,104.86,1137,568,569,99.82,442,239,203,117.73,21,11,10,110.00,2,2,          ,          ,          ,          ,          ,          
河北省,5831,3138,2693,116.52,4091,2078,2013,103.23,1586,956,630,151.75,130,89,41,217.07,19,12,7,171.43,5,3,2,150.00
山西省,4720,2520,2200,114.55,3045,1582,1463,108.13,1451,800,651,122.89,187,111,76,146.05,31,23,8,287.50,6,4,2,200.00
内蒙古自治区,3866,1962,1904,103.05,3367,1696,1671,101.50,474,253,221,114.48,23,12,11,109.09,2,1,1,100.00,          ,          ,          ,          
,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,3639,1924,1715,112.19,2944,1521,1423,106.89,661,383,278,137.77,31,18,13,138.46,2,1,1,100.00,1,1,          ,          
吉林省,2610,1383,1227,112.71,2293,1206,1087,110.95,289,161,128,125.78,21,12,9,133.33,1,1,          ,          ,6,3,3,100.00
黑龙江省,4186,2193,1993,110.04,3890,2038,1852,110.04,276,143,133,107.52,17,10,7,142.86,3,2,1,200.00,          ,          ,          ,          
,,,,,,,,,,,,,,,,,,,,,,,,
上海市,1138,631,507,124.46,1010,548,462,118.61,120,77,43,179.07,8,6,2,300.00,          ,          ,          ,          ,          ,          ,          ,          
江苏省,8854,4861,3993,121.74,7962,4256,3706,114.84,794,526,268,196.27,74,59,15,393.33,15,14,1,1400.00,9,6,3,200.00
浙江省,8362,4435,3927,112.94,6631,3429,3202,107.09,1620,936,684,136.84,100,62,38,163.16,9,6,3,200.00,2,2,          ,          
安徽省,7074,3942,3132,125.86,5710,3006,2704,111.17,1257,862,395,218.23,96,66,30,220.00,11,8,3,266.67,          ,          ,          ,          
福建省,5788,3119,2669,116.86,4567,2377,2190,108.54,1132,680,452,150.44,74,54,20,270.00,11,4,7,57.14,4,4,          ,          
江西省,6013,3440,2573,133.70,4732,2590,2142,120.92,1127,742,385,192.73,119,80,39,205.13,24,18,6,300.00,11,10,1,1000.00
山东省,12061,6479,5582,116.07,9271,4800,4471,107.36,2651,1588,1063,149.39,121,78,43,181.40,12,9,3,300.00,6,4,2,200.00
,,,,,,,,,,,,,,,,,,,,,,,,
河南省,8466,4843,3623,133.67,6070,3249,2821,115.17,2130,1424,706,201.70,245,159,86,184.88,15,8,7,114.29,6,3,3,100.00
湖北省,5355,2970,2385,124.53,4521,2412,2109,114.37,786,524,262,200.00,43,29,14,207.14,4,4,          ,          ,1,1,          ,          
湖南省,6033,3286,2747,119.62,4790,2481,2309,107.45,1138,738,400,184.50,87,52,35,148.57,12,10,2,500.00,6,5,1,500.00
广东省,14789,8703,6086,143.00,9350,5200,4150,125.30,3645,2350,1295,181.47,1110,712,398,178.89,441,295,146,202.05,243,146,97,150.52
广西壮族自治区,6566,3795,2771,136.95,4673,2528,2145,117.86,1443,953,490,194.49,322,226,96,235.42,90,62,28,221.43,38,26,12,216.67
海南省,1511,893,618,144.50,942,511,431,118.56,404,259,145,178.62,127,95,32,296.88,30,23,7,328.57,8,5,3,166.67
,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,3049,1604,1445,111.00,2611,1352,1259,107.39,392,221,171,129.24,41,28,13,215.38,5,3,2,150.00,          ,          ,          ,          
四川省,8589,4472,4117,108.62,7328,3759,3569,105.32,1126,627,499,125.65,115,77,38,202.63,14,5,9,55.56,6,4,2,200.00
贵州省,6066,3237,2829,114.42,4009,2040,1969,103.61,1492,859,633,135.70,424,261,163,160.12,90,49,41,119.51,51,28,23,121.74
云南省,7357,3812,3545,107.53,5013,2577,2436,105.79,2007,1043,964,108.20,262,151,111,136.04,43,25,18,138.89,32,16,16,100.00
西藏自治区,354,162,192,84.38,203,91,112,81.25,106,49,57,85.96,23,12,11,109.09,14,6,8,75.00,8,4,4,100.00
,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,3783,2051,1732,118.42,3027,1544,1483,104.11,695,462,233,198.28,56,41,15,273.33,5,4,1,400.00,          ,          ,          ,          
甘肃省,2114,1138,976,116.60,1670,870,800,108.75,384,225,159,141.51,52,38,14,271.43,7,4,3,133.33,1,1,          ,          
青海省,712,371,341,108.80,545,281,264,106.44,139,70,69,101.45,19,13,6,216.67,9,7,2,350.00,          ,          ,          ,          
宁夏回族自治区,843,418,425,98.35,629,314,315,99.68,166,83,83,100.00,37,15,22,68.18,7,2,5,40.00,4,4,          ,          
新疆维吾尔自治区,2870,1490,1380,107.97,2029,1040,989,105.16,645,337,308,109.42,149,83,66,125.76,36,22,14,157.14,11,8,3,266.67
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,
表6—1c    省、自治区、直辖市分性别、孩次的出生人口（乡村）（1999.11.1-2000.10.31）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,    
,,,,,,,,,,,,,,,,,,,,,,,,单位:人
地   区   别,出   生   人   数,,,,第     一     孩,,,,第     二     孩,,,,第     三     孩,,,,第     四     孩,,,,第五孩及五孩以上,,,
,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比
,,,,,,,,,,,,,,,,,,,,,,,,
合计,795506,436632,358874,121.67,488729,251076,237653,105.65,246760,148895,97865,152.14,43261,26506,16755,158.20,10945,6697,4248,157.65,5809,3457,2352,146.98
,,,,,,,,,,,,,,,,,,,,,,,,
北京市,1917,1008,909,110.89,1474,785,689,113.93,412,206,206,100.00,30,16,14,114.29,1,1,          ,          ,          ,          ,          ,          
天津市,2366,1309,1057,123.84,1546,814,732,111.20,774,466,308,151.30,40,25,15,166.67,5,4,1,400.00,1,          ,1,          
河北省,49495,26974,22521,119.77,30055,15267,14788,103.24,17603,10503,7100,147.93,1594,1044,550,189.82,199,128,71,180.28,44,32,12,266.67
山西省,24469,12998,11471,113.31,13210,6689,6521,102.58,8712,4789,3923,122.07,2023,1202,821,146.41,399,241,158,152.53,125,77,48,160.42
内蒙古自治区,12212,6446,5766,111.79,8908,4577,4331,105.68,2990,1688,1302,129.65,269,146,123,118.70,35,26,9,288.89,10,9,1,900.00
,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,16836,9017,7819,115.32,11829,6100,5729,106.48,4697,2719,1978,137.46,278,177,101,175.25,26,18,8,225.00,6,3,3,100.00
吉林省,9287,4835,4452,108.60,7276,3706,3570,103.81,1821,1004,817,122.89,164,104,60,173.33,16,12,4,300.00,10,9,1,900.00
黑龙江省,12928,6653,6275,106.02,10585,5380,5205,103.36,2139,1146,993,115.41,175,107,68,157.35,23,14,9,155.56,6,6,          ,          
,,,,,,,,,,,,,,,,,,,,,,,,
上海市,1035,572,463,123.54,904,492,412,119.42,125,75,50,150.00,6,5,1,500.00,          ,          ,          ,          ,          ,          ,          ,          
江苏省,29651,16364,13287,123.16,25221,13354,11867,112.53,3883,2609,1274,204.79,444,324,120,270.00,71,52,19,273.68,32,25,7,357.14
浙江省,21555,11454,10101,113.39,15500,8029,7471,107.47,5682,3188,2494,127.83,349,224,125,179.20,18,9,9,100.00,6,4,2,200.00
安徽省,45279,25992,19287,134.76,30682,16076,14606,110.06,13436,9077,4359,208.24,986,720,266,270.68,138,91,47,193.62,36,27,9,300.00
