表7    人口婚姻状况和妇女生育状况（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位：人,,
县市名,15岁及以上人口,,,未婚,,,初婚有配偶,,,再婚有配偶,,,离婚,,,丧偶,,,15—50岁妇女,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,平均活产子女数,平均存活子女数,,
,,,,,,,,,,,,,,,,,,,,,,
通城县,25782,13435,12347,4284,2827,1457,18801,9479,9322,776,365,411,190,150,40,1731,614,1117,1.80,1.69,,
崇阳县,28961,15020,13941,6740,4076,2664,19882,9949,9933,492,258,234,240,189,51,1607,548,1059,1.66,1.64,,
通山县,22809,11613,11196,4791,2967,1824,15841,7720,8121,521,253,268,193,146,47,1463,527,936,1.82,1.78,,
赤壁市,31179,15928,15251,5720,3506,2214,22716,11333,11383,793,408,385,260,153,107,1690,528,1162,1.61,1.57,,
随州市,150471,76601,73870,25598,16005,9593,111244,55066,56178,3130,1299,1831,740,540,200,9759,3691,6068,1.59,1.55,,
曾都区,98923,50406,48517,17305,10671,6634,72659,36133,36526,2067,847,1220,492,357,135,6400,2398,4002,1.52,1.48,,
广水市,51548,26195,25353,8293,5334,2959,38585,18933,19652,1063,452,611,248,183,65,3359,1293,2066,1.73,1.69,,
恩施土家族苗族自治州,250552,129682,120870,43597,28634,14963,180517,88867,91650,7064,3399,3665,1818,1364,454,17556,7418,10138,1.49,1.44,,
恩施市,53725,27907,25818,10062,6532,3530,38370,18967,19403,1234,618,616,462,323,139,3597,1467,2130,1.33,1.29,,
利川市,47854,24642,23212,7592,4992,2600,35429,17330,18099,1440,643,797,297,245,52,3096,1432,1664,1.68,1.62,,
建始县,35104,17972,17132,6039,3898,2141,25176,12307,12869,941,464,477,257,197,60,2691,1106,1585,1.44,1.39,,
巴东县,35048,18278,16770,6504,4294,2210,24643,12187,12456,1056,513,543,204,155,49,2641,1129,1512,1.43,1.38,,
宣恩县,21157,10884,10273,3468,2324,1144,15389,7542,7847,687,328,359,117,94,23,1496,596,900,1.57,1.49,,
咸丰县,23898,12469,11429,4313,2829,1484,16927,8361,8566,777,358,419,187,143,44,1694,778,916,1.54,1.49,,
来凤县,18272,9339,8933,3075,1993,1082,13301,6507,6794,422,218,204,130,91,39,1344,530,814,1.64,1.60,,
鹤峰县,15494,8191,7303,2544,1772,772,11282,5666,5616,507,257,250,164,116,48,997,380,617,1.39,1.35,,
省直辖行政单位,241184,120763,120421,35767,22027,13740,185545,91026,94519,4741,2344,2397,1207,808,399,13924,4558,9366,1.51,1.48,,
仙桃市,84599,42534,42065,12934,7825,5109,65736,32277,33459,1332,668,664,363,246,117,4234,1518,2716,1.55,1.53,,
潜江市,65755,33136,32619,9503,5859,3644,50952,25285,25667,1454,732,722,424,249,175,3422,1011,2411,1.38,1.36,,
天门市,84769,41766,43003,11789,7278,4511,64956,31483,33473,1781,864,917,352,263,89,5891,1878,4013,1.57,1.55,,
神农架林区,6061,3327,2734,1541,1065,476,3901,1981,1920,174,80,94,68,50,18,377,151,226,1.42,1.36,,
,,,,,,,,,,,,,,,,,,,,,,
湖南省,4419843,2276099,2143744,864702,552390,312312,3130543,1552770,1577773,107495,49470,58025,40247,27728,12519,276856,93741,183115,1.39,1.35,,
长沙市,473170,243172,229998,110959,67372,43587,318374,158790,159584,11260,5178,6082,5412,3235,2177,27165,8597,18568,1.12,1.09,,
芙蓉区,30581,15505,15076,8225,4625,3600,19870,9971,9899,796,443,353,576,260,316,1114,206,908,0.79,0.78,,
天心区,32230,16025,16205,10688,5757,4931,18327,9136,9191,923,467,456,775,365,410,1517,300,1217,0.68,0.67,,
岳麓区,33802,17794,16008,14346,8277,6069,17255,8679,8576,736,384,352,425,197,228,1040,257,783,0.64,0.63,,
开福区,33395,16441,16954,7307,4045,3262,22556,11142,11414,984,520,464,716,349,367,1832,385,1447,0.84,0.83,,
雨花区,40195,20266,19929,11545,6344,5201,25754,12813,12941,892,500,392,690,311,379,1314,298,1016,0.76,0.75,,
长沙县,61363,31839,29524,13790,8641,5149,42061,21078,20983,1193,470,723,360,268,92,3959,1382,2577,1.23,1.20,,
望城县,51184,26548,24636,10178,6591,3587,36434,18143,18291,943,380,563,257,188,69,3372,1246,2126,1.37,1.33,,
宁乡县,93132,47866,45266,14848,10053,4795,68759,34238,34521,2268,867,1401,633,487,146,6624,2221,4403,1.39,1.34,,
浏阳市,97288,50888,46400,20032,13039,6993,67358,33590,33768,2525,1147,1378,980,810,170,6393,2302,4091,1.40,1.37,,
株洲市,259036,132806,126230,47352,30185,17167,186249,92674,93575,7112,3259,3853,2461,1450,1011,15862,5238,10624,1.37,1.32,,
荷塘区,20782,10719,10063,5265,3156,2109,13817,6897,6920,571,306,265,352,157,195,777,203,574,0.94,0.92,,
芦淞区,17322,8614,8708,3628,1986,1642,12153,6048,6105,499,260,239,368,165,203,674,155,519,0.91,0.90,,
石峰区,21044,11009,10035,5111,3217,1894,14179,7099,7080,611,314,297,362,172,190,781,207,574,0.92,0.90,,
天元区,8490,4305,4185,1682,1012,670,6141,3037,3104,175,88,87,102,49,53,390,119,271,1.17,1.15,,
株洲县,31252,16326,14926,5705,3781,1924,22285,11174,11111,892,360,532,270,213,57,2100,798,1302,1.52,1.46,,
攸县,47802,24281,23521,6699,4347,2352,35806,17881,17925,1485,667,818,257,183,74,3555,1203,2352,1.49,1.41,,
茶陵县,32581,16236,16345,5506,3568,1938,23485,11440,12045,891,437,454,159,83,76,2540,708,1832,1.68,1.60,,
炎陵县,11461,5811,5650,1890,1278,612,8284,4063,4221,340,157,183,74,48,26,873,265,608,1.55,1.48,,
醴陵市,68302,35505,32797,11866,7840,4026,50099,25035,25064,1648,670,978,517,380,137,4172,1580,2592,1.48,1.43,,
湘潭市,202286,102747,99539,37985,23936,14049,144321,71376,72945,5186,2259,2927,1975,1211,764,12819,3965,8854,1.29,1.25,,
雨湖区,29283,14787,14496,8377,4844,3533,18220,8986,9234,888,475,413,547,241,306,1251,241,1010,0.80,0.78,,
岳塘区,27586,14023,13563,6007,3636,2371,19127,9468,9659,750,381,369,480,238,242,1222,300,922,0.93,0.91,,
湘潭县,78244,40058,38186,13137,8646,4491,57558,28585,28973,1818,689,1129,451,359,92,5280,1779,3501,1.50,1.45,,
湘乡市,59835,30205,29630,9327,6091,3236,43986,21675,22311,1507,617,890,451,338,113,4564,1484,3080,1.46,1.42,,
韶山市,7338,3674,3664,1137,719,418,5430,2662,2768,223,97,126,46,35,11,502,161,341,1.25,1.22,,
衡阳市,437048,225042,212006,85519,55839,29680,310045,152983,157062,9247,4081,5166,2924,1987,937,29313,10152,19161,1.48,1.43,,
江东区,14017,6998,7019,2869,1730,1139,9705,4773,4932,443,241,202,285,129,156,715,125,590,0.92,0.91,,
城南区,15330,7617,7713,4392,2445,1947,9615,4697,4918,413,218,195,292,146,146,618,111,507,0.77,0.76,,
城北区,18105,8985,9120,4786,2725,2061,11810,5761,6049,441,236,205,316,133,183,752,130,622,0.85,0.83,,
郊区,14549,7412,7137,2581,1659,922,10711,5317,5394,323,152,171,91,50,41,843,234,609,1.42,1.38,,
南岳区,3284,1726,1558,647,424,223,2344,1163,1181,75,33,42,28,19,9,190,87,103,1.35,1.28,,
衡阳县,64555,33367,31188,11136,7642,3494,47246,23313,23933,1201,469,732,249,205,44,4723,1738,2985,1.61,1.55,,
衡南县,64894,33884,31010,13661,9051,4610,45618,22553,23065,1109,467,642,283,230,53,4223,1583,2640,1.57,1.52,,
衡山县,25022,12634,12388,4195,2731,1464,18375,8931,9444,555,244,311,149,115,34,1748,613,1135,1.56,1.51,,
衡东县,38609,19544,19065,5663,3708,1955,28864,14208,14656,945,375,570,228,174,54,2909,1079,1830,1.53,1.49,,
祁东县,52544,27028,25516,8957,6070,2887,38044,18695,19349,1314,557,757,401,329,72,3828,1377,2451,1.59,1.54,,
耒阳市,73559,38377,35182,15539,10253,5286,51209,25451,25758,1399,641,758,385,284,101,5027,1748,3279,1.60,1.54,,
常宁市,52580,27470,25110,11093,7401,3692,36504,18121,18383,1029,448,581,217,173,44,3737,1327,2410,1.54,1.47,,
邵阳市,466067,238300,227767,93693,59117,34576,330499,162816,167683,9397,4241,5156,3206,2390,816,29272,9736,19536,1.50,1.46,,
双清区,19496,9722,9774,3610,2176,1434,14241,6985,7256,415,211,204,264,120,144,966,230,736,1.17,1.14,,
大祥区,19130,9363,9767,4962,2636,2326,12609,6181,6428,392,193,199,207,100,107,960,253,707,1.06,1.03,,
北塔区,5056,2600,2456,1047,692,355,3585,1752,1833,110,54,56,32,18,14,282,84,198,1.41,1.38,,
邵东县,72443,36765,35678,13872,8694,5178,51626,25412,26214,1587,671,916,459,379,80,4899,1609,3290,1.48,1.44,,
新邵县,44278,22608,21670,8185,5455,2730,31725,15515,16210,925,387,538,246,206,40,3197,1045,2152,1.61,1.57,,
邵阳县,57980,30234,27746,12711,8089,4622,40504,20110,20394,1008,438,570,388,312,76,3369,1285,2084,1.65,1.60,,
隆回县,75473,39124,36349,16490,10484,6006,52562,26026,26536,1328,620,708,475,378,97,4618,1616,3002,1.47,1.43,,
洞口县,45895,22968,22927,7777,4953,2824,33811,16378,17433,1008,465,543,331,260,71,2968,912,2056,1.52,1.49,,
绥宁县,25225,12934,12291,5724,3478,2246,17405,8650,8755,492,244,248,183,125,58,1421,437,984,1.47,1.42,,
新宁县,37138,19179,17959,7368,4690,2678,26295,13035,13260,778,351,427,234,192,42,2463,911,1552,1.62,1.57,,
城步苗族自治县,15994,8357,7637,3233,2180,1053,11186,5559,5627,379,185,194,121,87,34,1075,346,729,1.65,1.60,,
武冈市,47959,24446,23513,8714,5590,3124,34950,17213,17737,975,422,553,266,213,53,3054,1008,2046,1.47,1.43,,
岳阳市,351494,181697,169797,63038,40186,22852,254784,127052,127732,9996,4585,5411,3338,2445,893,20338,7429,12909,1.43,1.39,,
岳阳楼区,40754,20319,20435,8969,4867,4102,28748,14264,14484,1113,609,504,645,288,357,1279,291,988,1.00,0.98,,
云溪区,12606,6488,6118,2147,1337,810,9470,4741,4729,354,181,173,163,93,70,472,136,336,1.28,1.25,,
君山区,13941,7207,6734,2395,1549,846,10298,5134,5164,428,202,226,108,77,31,712,245,467,1.45,1.40,,
岳阳县,48166,25200,22966,8770,5611,3159,34866,17549,17317,1274,548,726,458,394,64,2798,1098,1700,1.55,1.51,,
华容县,45486,23379,22107,7300,4646,2654,33718,16862,16856,1357,630,727,358,272,86,2753,969,1784,1.51,1.45,,
湘阴县,43856,22427,21429,7116,4696,2420,32630,16011,16619,1112,439,673,261,220,41,2737,1061,1676,1.51,1.46,,
平江县,68593,36518,32075,13389,9139,4250,47205,23718,23487,2264,1030,1234,782,676,106,4953,1955,2998,1.54,1.49,,
汨罗市,49063,25266,23797,8277,5408,2869,36242,17993,18249,1210,517,693,299,240,59,3035,1108,1927,1.41,1.37,,
临湘市,29029,14893,14136,4675,2933,1742,21607,10780,10827,884,429,455,264,185,79,1599,566,1033,1.55,1.48,,
常德市,413248,212438,200810,60855,39640,21215,307043,153386,153657,13551,6363,7188,5085,3659,1426,26714,9390,17324,1.23,1.18,,
武陵区,38363,18819,19544,8153,4351,3802,26504,13061,13443,1136,609,527,672,347,325,1898,451,1447,0.90,0.88,,
鼎城区,60341,30950,29391,7576,5066,2510,46269,23247,23022,1980,913,1067,593,471,122,3923,1253,2670,1.31,1.27,,
安乡县,37408,19193,18215,5794,3668,2126,27984,13949,14035,998,461,537,426,316,110,2206,799,1407,1.26,1.22,,
汉寿县,52055,27093,24962,7319,4974,2345,39384,19777,19607,1639,765,874,561,424,137,3152,1153,1999,1.46,1.40,,
澧县,59353,30227,29126,7130,4732,2398,45791,22695,23096,1847,860,987,597,451,146,3988,1489,2499,1.20,1.15,,
临澧县,29000,14896,14104,3919,2608,1311,21808,10847,10961,998,491,507,333,227,106,1942,723,1219,1.20,1.14,,
桃源县,70033,36660,33373,11221,7561,3660,50247,25294,24953,2532,1123,1409,1125,891,234,4908,1791,3117,1.25,1.19,,
石门县,48399,25297,23102,6915,4892,2023,35579,17814,17765,1783,816,967,504,374,130,3618,1401,2217,1.24,1.16,,
津市市,18296,9303,8993,2828,1788,1040,13477,6702,6775,638,325,313,274,158,116,1079,330,749,1.12,1.09,,
张家界市,104492,53952,50540,17263,11434,5829,75506,37430,38076,3313,1504,1809,1161,863,298,7249,2721,4528,1.37,1.31,,
永定区,28981,14876,14105,5560,3443,2117,20581,10198,10383,764,359,405,361,256,105,1715,620,1095,1.30,1.26,,
武陵源区,3357,1778,1579,646,417,229,2364,1203,1161,134,56,78,41,33,8,172,69,103,1.22,1.16,,
慈利县,43980,22702,21278,5824,4092,1732,32791,16279,16512,1479,643,836,521,401,120,3365,1287,2078,1.36,1.29,,
桑植县,28174,14596,13578,5233,3482,1751,19770,9750,10020,936,446,490,238,173,65,1997,745,1252,1.49,1.42,,
益阳市,299937,155229,144708,52491,34040,18451,218361,108998,109363,7329,3213,4116,2940,2160,780,18816,6818,11998,1.39,1.35,,
资阳区,29093,14868,14225,5555,3438,2117,20974,10407,10567,546,276,270,331,201,130,1687,546,1141,1.32,1.29,,
赫山区,60094,30587,29507,10798,6614,4184,43724,21704,22020,1554,679,875,570,383,187,3448,1207,2241,1.29,1.25,,
南县,45902,23664,22238,6935,4542,2393,34275,17119,17156,1188,547,641,468,349,119,3036,1107,1929,1.40,1.35,,
桃江县,53051,27648,25403,8414,5700,2714,39429,19734,19695,1205,499,706,446,378,68,3557,1337,2220,1.44,1.40,,
安化县,62202,32959,29243,12297,8448,3849,43531,21761,21770,1503,634,869,596,470,126,4275,1646,2629,1.46,1.42,,
沅江市,49595,25503,24092,8492,5298,3194,36428,18273,18155,1333,578,755,529,379,150,2813,975,1838,1.41,1.37,,
郴州市,306281,158255,148026,69658,44168,25490,208589,103307,105282,6789,3332,3457,2289,1523,766,18956,5925,13031,1.46,1.42,,
北湖区,24315,12448,11867,5966,3523,2443,16144,8041,8103,780,421,359,350,167,183,1075,296,779,1.12,1.08,,
苏仙区,25679,13074,12605,6260,3769,2491,17105,8471,8634,643,325,318,277,151,126,1394,358,1036,1.17,1.14,,
桂阳县,47985,24970,23015,9851,6632,3219,33535,16604,16931,923,451,472,323,225,98,3353,1058,2295,1.64,1.60,,
宜章县,38258,19777,18481,9998,6091,3907,25263,12525,12738,539,273,266,243,181,62,2215,707,1508,1.54,1.49,,
永兴县,43094,22473,20621,10857,6883,3974,28540,14185,14355,802,384,418,192,142,50,2703,879,1824,1.47,1.42,,
嘉禾县,17882,8964,8918,3138,1988,1150,12678,6182,6496,677,345,332,111,76,35,1278,373,905,1.63,1.59,,
临武县,22309,11670,10639,5993,3737,2256,14377,7114,7263,411,208,203,210,168,42,1318,443,875,1.43,1.39,,
汝城县,23076,12092,10984,4552,3078,1474,16398,8159,8239,493,202,291,161,133,28,1472,520,952,1.57,1.51,,
桂东县,12720,6621,6099,3040,1940,1100,8488,4243,4245,249,118,131,65,46,19,878,274,604,1.40,1.35,,
安仁县,23949,12241,11708,4315,2854,1461,17467,8567,8900,543,262,281,82,62,20,1542,496,1046,1.70,1.64,,
资兴市,27014,13925,13089,5688,3673,2015,18594,9216,9378,729,343,386,275,172,103,1728,521,1207,1.29,1.25,,
永州市,368353,192355,175998,85800,55354,30446,250074,123612,126462,6623,2896,3727,2814,2194,620,23042,8299,14743,1.45,1.42,,
芝山区,39482,20316,19166,9160,5629,3531,26810,13280,13530,720,323,397,317,220,97,2475,864,1611,1.36,1.34,,
冷水滩区,31823,16207,15616,6205,3855,2350,22977,11331,11646,668,318,350,270,159,111,1703,544,1159,1.35,1.32,,
祁阳县,69573,36172,33401,15552,10101,5451,47931,23704,24227,1350,531,819,515,401,114,4225,1435,2790,1.40,1.36,,
东安县,36953,19193,17760,7849,5104,2745,25911,12809,13102,673,280,393,283,230,53,2237,770,1467,1.47,1.44,,
双牌县,11057,5838,5219,2579,1733,846,7384,3649,3735,255,119,136,71,53,18,768,284,484,1.47,1.43,,
道县,38705,20951,17754,10663,7129,3534,24912,12357,12555,442,191,251,332,287,45,2356,987,1369,1.44,1.41,,
江永县,15494,8020,7474,3330,2140,1190,10829,5340,5489,282,139,143,103,78,25,950,323,627,1.54,1.48,,
宁远县,51289,27145,24144,13157,8517,4640,33536,16596,16940,716,332,384,391,335,56,3489,1365,2124,1.44,1.41,,
蓝山县,20497,10605,9892,4222,2748,1474,14194,7018,7176,586,272,314,159,128,31,1336,439,897,1.65,1.59,,
新田县,22360,11484,10876,5115,3219,1896,15070,7361,7709,407,170,237,157,124,33,1611,610,1001,1.64,1.61,,
江华瑶族自治县,31120,16424,14696,7968,5179,2789,20520,10167,10353,524,221,303,216,179,37,1892,678,1214,1.53,1.51,,
怀化市,322364,166703,155661,59258,39035,20223,230785,114249,116536,9263,4573,4690,3501,2392,1109,19557,6454,13103,1.43,1.38,,
鹤城区,26390,13228,13162,6525,3623,2902,17906,8790,9116,811,434,377,353,165,188,795,216,579,1.01,0.98,,
中方县,17014,8968,8046,3066,2104,962,12313,6158,6155,514,251,263,125,105,20,996,350,646,1.57,1.49,,
沅陵县,41055,21396,19659,7373,4974,2399,29318,14521,14797,1095,505,590,369,271,98,2900,1125,1775,1.48,1.43,,
辰溪县,30856,16029,14827,6019,4009,2010,21866,10812,11054,773,392,381,340,241,99,1858,575,1283,1.50,1.45,,
溆浦县,53952,27943,26009,9593,6475,3118,38591,19059,19532,1717,842,875,566,407,159,3485,1160,2325,1.50,1.44,,
会同县,23088,11945,11143,3980,2637,1343,16924,8436,8488,576,295,281,202,160,42,1406,417,989,1.48,1.42,,
麻阳苗族自治县,22776,11654,11122,4373,2777,1596,16392,8060,8332,375,190,185,172,135,37,1464,492,972,1.47,1.44,,
新晃侗族自治县,16599,8792,7807,2985,2136,849,11568,5727,5841,562,294,268,239,174,65,1245,461,784,1.52,1.44,,
芷江侗族自治县,23437,12158,11279,3460,2397,1063,17436,8695,8741,863,378,485,272,189,83,1406,499,907,1.47,1.40,,
靖州苗族侗族自治县,16541,8537,8004,3231,2137,1094,11733,5792,5941,403,217,186,176,104,72,998,287,711,1.50,1.45,,
通道侗族自治县,14648,7599,7049,2962,1946,1016,10270,5072,5198,359,177,182,115,70,45,942,334,608,1.61,1.57,,
洪江市,36008,18454,17554,5691,3820,1871,26468,13127,13341,1215,598,617,572,371,201,2062,538,1524,1.30,1.25,,
娄底市,252644,129216,123428,48677,31553,17124,180460,89116,91344,5265,2306,2959,1604,1153,451,16638,5088,11550,1.53,1.50,,
娄星区,29245,14725,14520,6527,3744,2783,20616,10186,10430,614,306,308,233,131,102,1255,358,897,1.10,1.08,,
双峰县,55333,28075,27258,9126,6160,2966,40529,19970,20559,1130,462,668,269,226,43,4279,1257,3022,1.62,1.58,,
新化县,79688,41435,38253,16067,10867,5200,56159,27676,28483,1547,684,863,529,405,124,5386,1803,3583,1.63,1.60,,
冷水江市,24182,12206,11976,4864,2865,1999,17277,8613,8664,579,305,274,208,114,94,1254,309,945,1.30,1.28,,
涟源市,64196,32775,31421,12093,7917,4176,45879,22671,23208,1395,549,846,365,277,88,4464,1361,3103,1.64,1.61,,
湘西土家族苗族自治州,163423,84187,79236,32154,20531,11623,115453,56981,58472,3164,1680,1484,1537,1066,471,11115,3929,7186,1.64,1.59,,
吉首市,21083,10726,10357,5280,3034,2246,14135,7017,7118,458,257,201,248,127,121,962,291,671,1.28,1.25,,
泸溪县,16590,8465,8125,2913,1893,1020,12179,5966,6213,260,136,124,91,61,30,1147,409,738,1.86,1.82,,
凤凰县,23400,12125,11275,4975,3198,1777,16283,8035,8248,405,218,187,211,149,62,1526,525,1001,1.70,1.65,,
花垣县,17229,8971,8258,3680,2430,1250,11737,5800,5937,332,180,152,200,134,66,1280,427,853,1.60,1.55,,
保靖县,17105,8998,8107,3160,2184,976,12090,5989,6101,296,153,143,248,192,56,1311,480,831,1.65,1.61,,
古丈县,8562,4478,4084,1809,1196,613,5932,2944,2988,161,78,83,95,66,29,565,194,371,1.68,1.62,,
永顺县,29128,15033,14095,5055,3282,1773,21049,10403,10646,619,331,288,250,198,52,2155,819,1336,1.65,1.55,,
龙山县,30326,15391,14935,5282,3314,1968,22048,10827,11221,633,327,306,194,139,55,2169,784,1385,1.77,1.72,,
,,,,,,,,,,,,,,,,,,,,,,
广东省,6075562,3012305,3063257,1938057,1022268,915789,3773987,1878773,1895214,53050,26712,26338,32163,19741,12422,278305,64811,213494,1.26,1.25,,
广州市,780725,399092,381633,255432,139913,115519,482829,246281,236548,7010,4050,2960,6884,3279,3605,28570,5569,23001,0.94,0.93,,
东山区,47162,23268,23894,12476,6852,5624,30871,15229,15642,648,369,279,852,396,456,2315,422,1893,0.69,0.69,,
荔湾区,39641,19655,19986,9044,5093,3951,26584,13385,13199,533,325,208,828,370,458,2652,482,2170,0.76,0.76,,
越秀区,28244,13807,14437,7248,3898,3350,18198,9085,9113,390,234,156,611,280,331,1797,310,1487,0.70,0.70,,
海珠区,100160,52082,48078,31364,18049,13315,62428,32093,30335,1084,648,436,1349,602,747,3935,690,3245,0.74,0.74,,
天河区,90963,49204,41759,37014,21460,15554,50992,26719,24273,686,424,262,686,297,389,1585,304,1281,0.73,0.72,,
芳村区,26036,14050,11986,7871,4765,3106,16675,8831,7844,231,138,93,280,135,145,979,181,798,0.85,0.84,,
白云区,136025,70059,65966,49171,26596,22575,81301,41805,39496,941,553,388,697,347,350,3915,758,3157,0.94,0.94,,
黄埔区,32203,17632,14571,10746,6246,4500,20233,10969,9264,272,175,97,223,102,121,729,140,589,0.84,0.84,,
番禺区,127517,61989,65528,45048,21517,23531,77236,38982,38254,748,440,308,562,270,292,3923,780,3143,0.90,0.89,,
花都区,52185,26389,25796,15297,8537,6760,33666,16916,16750,578,317,261,314,164,150,2330,455,1875,1.29,1.28,,
增城市,65129,33179,31950,20525,11390,9135,41112,20704,20408,537,257,280,269,178,91,2686,650,2036,1.38,1.36,,
从化市,35460,17778,17682,9628,5510,4118,23533,11563,11970,362,170,192,213,138,75,1724,397,1327,1.63,1.62,,
韶关市,193777,97455,96322,39093,24304,14789,137358,67355,70003,3492,1869,1623,1666,987,679,12168,2940,9228,1.58,1.55,,
北江区,10265,5153,5112,2141,1235,906,7369,3652,3717,192,105,87,133,68,65,430,93,337,1.05,1.04,,
武江区,14992,7418,7574,3645,1983,1662,10257,5048,5209,285,179,106,223,103,120,582,105,477,0.98,0.97,,
浈江区,16334,8691,7643,4002,2597,1405,11227,5693,5534,320,182,138,192,98,94,593,121,472,1.04,1.03,,
曲江县,25318,13033,12285,5550,3615,1935,17557,8722,8835,316,180,136,197,120,77,1698,396,1302,1.62,1.60,,
始兴县,14789,7127,7662,2768,1588,1180,10461,5084,5377,248,119,129,115,67,48,1197,269,928,1.71,1.68,,
仁化县,11816,6081,5735,2273,1479,794,8558,4268,4290,239,132,107,83,48,35,663,154,509,1.69,1.66,,
翁源县,21019,10541,10478,3714,2445,1269,15233,7466,7767,437,214,223,197,133,64,1438,283,1155,1.86,1.83,,
乳源瑶族自治县,12168,6226,5942,2861,1764,1097,8258,4065,4193,182,102,80,78,56,22,789,239,550,1.71,1.68,,
新丰县,12089,6031,6058,2463,1593,870,8496,4059,4437,223,114,109,78,61,17,829,204,625,1.91,1.88,,
乐昌市,29352,14867,14485,5604,3554,2050,21229,10376,10853,501,260,241,199,130,69,1819,547,1272,1.74,1.69,,
南雄市,25635,12287,13348,4072,2451,1621,18713,8922,9791,549,282,267,171,103,68,2130,529,1601,1.70,1.66,,
深圳市,584319,279336,304983,301007,131422,169585,274978,144695,130283,2421,1497,924,2589,1106,1483,3324,616,2708,0.55,0.55,,
罗湖区,63235,31647,31588,25866,12523,13343,35753,18553,17200,486,296,190,581,201,380,549,74,475,0.65,0.65,,
福田区,72001,36791,35210,28576,14153,14423,41687,21936,19751,535,344,191,675,275,400,528,83,445,0.63,0.62,,
南山区,58587,30672,27915,25932,12843,13089,31641,17416,14225,322,207,115,341,138,203,351,68,283,0.58,0.57,,
宝安区,234598,108552,126046,134183,56049,78134,98352,51668,46684,555,339,216,518,280,238,990,216,774,0.52,0.51,,
龙岗区,143061,65586,77475,80016,33190,46826,61346,31782,29564,467,275,192,405,180,225,827,159,668,0.54,0.53,,
盐田区,12837,6088,6749,6434,2664,3770,6199,3340,2859,56,36,20,69,32,37,79,16,63,0.56,0.55,,
珠海市,94046,45884,48162,30169,14544,15625,60094,30094,30000,774,447,327,669,285,384,2340,514,1826,0.94,0.93,,
香洲区,64573,31249,33324,22783,10526,12257,39762,20058,19704,449,281,168,526,202,324,1053,182,871,0.77,0.77,,
斗门县,29473,14635,14838,7386,4018,3368,20332,10036,10296,325,166,159,143,83,60,1287,332,955,1.35,1.34,,
汕头市,305056,151355,153701,84699,46751,37948,199730,99349,100381,1561,799,762,1051,681,370,18015,3775,14240,1.61,1.60,,
达濠区,11288,5576,5712,3443,1977,1466,7075,3459,3616,36,20,16,27,20,7,707,100,607,1.84,1.82,,
龙湖区,18438,9069,9369,4927,2456,2471,12754,6417,6337,153,74,79,54,25,29,550,97,453,1.15,1.15,,
金园区,34166,16628,17538,8002,4380,3622,24201,11808,12393,190,117,73,165,63,102,1608,260,1348,1.07,1.06,,
升平区,21566,10683,10883,5461,3125,2336,14451,7184,7267,177,101,76,141,66,75,1336,207,1129,1.22,1.22,,
河浦区,4687,2355,2332,1508,872,636,2793,1383,1410,14,7,7,27,18,9,345,75,270,1.97,1.96,,
南澳县,4885,2456,2429,1019,636,383,3450,1728,1722,38,15,23,20,12,8,358,65,293,1.68,1.67,,
潮阳市,149648,74643,75005,45548,24854,20694,94054,47024,47030,477,247,230,403,325,78,9166,2193,6973,1.86,1.85,,
澄海市,60378,29945,30433,14791,8451,6340,40952,20346,20606,476,218,258,214,152,62,3945,778,3167,1.50,1.49,,
佛山市,411254,211701,199553,131414,70999,60415,260498,135733,124765,2424,1463,961,1927,910,1017,14991,2596,12395,1.00,1.00,,
城区,24284,11906,12378,6208,3245,2963,16373,8196,8177,257,152,105,296,123,173,1150,190,960,0.77,0.77,,
石湾区,36560,19358,17202,13336,7233,6103,22127,11848,10279,159,107,52,162,62,100,776,108,668,0.83,0.82,,
顺德市,125640,65283,60357,37693,21195,16498,81464,42471,38993,756,464,292,604,294,310,5123,859,4264,1.08,1.07,,
南海市,170975,88079,82896,60907,31704,29203,103488,54666,48822,849,509,340,628,318,310,5103,882,4221,0.96,0.95,,
三水市,31861,16018,15843,7733,4436,3297,22046,11095,10951,236,145,91,151,61,90,1695,281,1414,1.20,1.19,,
高明市,21934,11057,10877,5537,3186,2351,15000,7457,7543,167,86,81,86,52,34,1144,276,868,1.24,1.23,,
江门市,288285,141399,146886,68777,39415,29362,197668,96212,101456,2726,1160,1566,1488,995,493,17626,3617,14009,1.28,1.27,,
蓬江区,27354,13571,13783,7589,4142,3447,18287,9009,9278,245,148,97,264,110,154,969,162,807,0.82,0.82,,
江海区,14633,7251,7382,4065,2161,1904,9740,4880,4860,105,57,48,70,38,32,653,115,538,1.03,1.02,,
台山市,69893,34512,35381,15758,9534,6224,47824,23355,24469,818,302,516,464,337,127,5029,984,4045,1.38,1.37,,
新会市,67556,33147,34409,15536,8853,6683,46954,22969,23985,591,267,324,266,184,82,4209,874,3335,1.29,1.28,,
开平市,47998,22773,25225,11015,6197,4818,33217,15719,17498,418,158,260,143,110,33,3205,589,2616,1.35,1.34,,
鹤山市,28392,13823,14569,7553,4091,3462,18814,9137,9677,221,98,123,125,89,36,1679,408,1271,1.15,1.14,,
恩平市,32459,16322,16137,7261,4437,2824,22832,11143,11689,328,130,198,156,127,29,1882,485,1397,1.56,1.54,,
