表7    人口婚姻状况和妇女生育状况（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位：人,,
县市名,15岁及以上人口,,,未婚,,,初婚有配偶,,,再婚有配偶,,,离婚,,,丧偶,,,15—50岁妇女,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,平均活产子女数,平均存活子女数,,
,,,,,,,,,,,,,,,,,,,,,,
山海关区,12986,6578,6408,1834,1116,718,9987,4989,4998,381,196,185,185,98,87,599,179,420,1.00,0.99,,
北戴河区,5993,2920,3073,1232,594,638,4193,2088,2105,241,128,113,81,33,48,246,77,169,0.87,0.87,,
青龙满族自治县,36538,18769,17769,7283,4454,2829,26103,12934,13169,877,346,531,171,137,34,2104,898,1206,1.49,1.47,,
昌黎县,44702,22682,22020,8409,4928,3481,32652,16329,16323,1044,358,686,328,227,101,2269,840,1429,1.14,1.13,,
抚宁县,39639,20216,19423,6449,3973,2476,29909,14965,14944,968,368,600,298,192,106,2015,718,1297,1.30,1.28,,
卢龙县,31554,16086,15468,5363,3288,2075,23495,11716,11779,762,270,492,193,153,40,1741,659,1082,1.32,1.30,,
邯郸市,619159,310833,308326,147539,80867,66672,427232,213508,213724,7662,3539,4123,3553,2600,953,33173,10319,22854,1.40,1.39,,
邯山区,22728,11328,11400,5232,2766,2466,16196,8096,8100,316,169,147,174,92,82,810,205,605,0.86,0.86,,
丛台区,24264,11792,12472,5465,2678,2787,17299,8564,8735,450,252,198,183,86,97,867,212,655,0.81,0.80,,
复兴区,18370,9947,8423,3183,1897,1286,14073,7608,6465,406,225,181,148,75,73,560,142,418,1.02,1.02,,
峰峰矿区,39214,20820,18394,6973,3960,3013,29173,15723,13450,857,436,421,284,178,106,1927,523,1404,1.21,1.21,,
邯郸县,28495,14161,14334,6987,3853,3134,19344,9582,9762,351,159,192,147,96,51,1666,471,1195,1.52,1.52,,
临漳县,41250,20553,20697,10260,5642,4618,27917,13729,14188,517,236,281,293,238,55,2263,708,1555,1.52,1.50,,
成安县,26275,12790,13485,6555,3362,3193,17697,8706,8991,405,180,225,141,113,28,1477,429,1048,1.49,1.48,,
大名县,52556,26074,26482,14589,7812,6777,34510,16990,17520,295,137,158,236,194,42,2926,941,1985,1.36,1.36,,
涉县,27146,13787,13359,5648,3395,2253,18889,9333,9556,715,275,440,223,176,47,1671,608,1063,1.52,1.51,,
磁县,46155,23109,23046,11063,6070,4993,31527,15640,15887,623,260,363,289,232,57,2653,907,1746,1.46,1.45,,
肥乡县,23424,11742,11682,5725,3188,2537,16057,7945,8112,191,86,105,127,103,24,1324,420,904,1.42,1.41,,
永年县,60251,30127,30124,15723,8620,7103,40612,20135,20477,346,159,187,256,203,53,3314,1010,2304,1.51,1.50,,
邱县,15085,7522,7563,3971,2163,1808,10069,4973,5096,118,58,60,69,45,24,858,283,575,1.39,1.38,,
鸡泽县,18087,9124,8963,5039,2740,2299,11934,5949,5985,110,50,60,54,50,4,950,335,615,1.53,1.53,,
广平县,18315,9010,9305,4816,2524,2292,12216,6061,6155,181,75,106,105,67,38,997,283,714,1.44,1.43,,
馆陶县,21264,10556,10708,5417,2963,2454,14299,7070,7229,145,70,75,116,77,39,1287,376,911,1.41,1.40,,
魏县,55926,27953,27973,14184,7729,6455,38269,18858,19411,448,190,258,292,250,42,2733,926,1807,1.45,1.44,,
曲周县,28515,14194,14321,7166,3915,3251,19373,9544,9829,256,113,143,122,100,22,1598,522,1076,1.55,1.54,,
武安市,51839,26244,25595,9543,5590,3953,37778,19002,18776,932,409,523,294,225,69,3292,1018,2274,1.50,1.49,,
邢台市,495073,247817,247256,120920,66577,54343,339156,168817,170339,5685,2515,3170,2537,1892,645,26775,8016,18759,1.40,1.39,,
桥东区,17676,8517,9159,4097,1953,2144,12447,6187,6260,344,183,161,130,66,64,658,128,530,0.92,0.92,,
桥西区,24371,12354,12017,5770,3074,2696,17322,8809,8513,445,241,204,155,59,96,679,171,508,0.98,0.98,,
邢台县,35056,17990,17066,8611,5079,3532,23728,11924,11804,575,210,365,192,157,35,1950,620,1330,1.42,1.41,,
临城县,14770,7472,7298,3524,2011,1513,10236,5086,5150,243,103,140,79,61,18,688,211,477,1.38,1.37,,
内丘县,19748,10121,9627,5033,2860,2173,13342,6731,6611,254,105,149,110,88,22,1009,337,672,1.41,1.40,,
