表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西青区,2087,1827,8062,7436,10919,10447,13879,13313,25465,22787,25395,18976,23166,18208,24421,20070,22912,19055,18136,15884,16344,15458,11614,11767,7508,8948,6219,6721,5847,5158,4175,3828,2113,2217,1055,1150,488,642
津南区,2161,1978,8852,8324,13425,12591,15145,14649,17326,16162,18954,17396,22214,19988,24031,22319,21440,20091,18067,16515,15480,14215,10916,11935,7267,8996,6006,6809,4913,4824,3586,3669,2007,2063,947,1065,436,492
北辰区,1720,1641,7745,7099,10924,10171,14657,13942,24377,22455,23175,19592,19732,17559,21220,18497,22570,20499,20678,19398,18690,18896,13023,13326,8706,10085,7410,7852,6065,5829,4322,4329,2493,2578,1123,1255,493,665
武清区,4553,4042,17909,16534,25381,24086,37682,34954,31156,30423,30611,31072,33439,32738,34895,36549,37879,41023,31667,31990,35929,34254,25746,26019,17794,16944,15711,12739,11489,11009,8848,9696,5182,6256,2446,3146,1126,1835
市辖县,11300,9317,53768,43171,97778,82444,139063,128402,93571,92620,71233,74900,92915,93449,110166,110581,101571,103792,88405,88824,95438,96774,65517,67296,44132,41485,39425,33403,35336,32429,25595,27577,15003,17282,7483,9012,3607,5486
宁河县,1637,1430,8490,6191,15605,12847,21849,20420,15380,14539,11551,12368,13125,13389,15672,16139,15689,15925,14936,15331,14986,15295,9755,9900,6423,6597,5379,5032,4885,4241,3498,3483,2083,2135,1004,1006,463,569
静海县,3542,2669,14412,11881,22436,19225,22422,20040,19053,18952,19304,19399,26920,26450,28532,27911,21627,22487,19177,20839,22485,24797,16380,18005,11327,9053,9208,6580,7738,6401,5834,5721,3256,3304,1676,1752,774,1024
宝坻县,2278,2090,12364,10086,28016,23710,40627,37849,24412,25296,19698,21794,24518,24773,29343,30134,28071,29423,23296,23275,26637,26354,18071,18210,12342,11847,10990,9661,9902,9565,6976,7935,4367,5404,2135,2752,1020,1726
蓟县,3843,3128,18502,15013,31721,26662,54165,50093,34726,33833,20680,21339,28352,28837,36619,36397,36184,35957,30996,29379,31330,30328,21311,21181,14040,13988,13848,12130,12811,12222,9287,10438,5297,6439,2668,3502,1350,2167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,399008,349795,1538912,1324207,2215587,2009709,3764394,3589181,3282508,3235671,2391558,2321164,2624167,2574387,3238022,3131077,2905020,2855591,2539755,2390339,2576795,2475154,1888849,1821172,1232062,1158279,1125584,1027324,941212,933492,667724,729069,375064,464827,161665,232398,68447,125250
石家庄市,53761,49400,203126,177706,300586,271158,543029,518908,506009,496373,330867,310839,356106,348877,437836,416690,404759,388317,354760,332778,346321,334778,247835,245488,168751,165996,153877,150570,125466,130222,86163,100417,46395,63763,18230,31138,7153,16738
长安区,2672,2418,9269,8903,9576,9182,13511,12951,25627,27208,29347,28236,24780,25225,26265,24567,25227,21366,19607,17543,16284,15437,11674,11347,8626,9825,11112,12907,8408,7736,4431,3807,1849,1790,606,817,277,661
桥东区,1634,1490,5131,4884,5688,5416,8833,8406,15193,16262,17167,12911,15857,14390,16395,14493,16814,13855,13911,11650,11561,9994,7215,6793,4788,5095,5533,6821,4820,5276,2907,3003,1301,1499,482,656,173,371
桥西区,1542,1350,4869,4529,5237,4890,7563,7258,18022,20488,17805,18393,14122,13072,14003,12475,14118,11934,11281,9824,9513,8715,6150,6083,4415,4883,4742,5423,3756,4246,2468,2572,1180,1259,394,545,173,374
新华区,2084,1923,6915,6282,6976,6651,10701,10085,21910,23365,20176,16566,19248,18532,18689,16975,18964,16604,15256,13453,13188,11626,8547,8179,6050,6398,6533,7532,5188,5615,3129,3327,1567,1782,561,788,241,504
郊区,2051,1842,10077,9060,10622,10215,17451,16734,25304,27959,28042,24913,23702,21905,22768,20341,20139,17659,16492,14335,14970,14176,10355,10614,6980,7234,5309,5298,3831,4524,2662,3730,1512,2349,653,1229,262,613
井陉矿区,450,460,2476,2303,3070,2796,5110,4492,3157,2964,1980,2401,3556,3615,5129,5074,5570,5353,4829,4620,4120,4208,2919,2817,2218,2296,2359,2548,1687,1953,1065,1157,538,628,163,280,71,113
