表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江东区,840,699,3455,2921,4998,4341,6057,5807,8223,7794,5369,4982,7225,7757,9289,9468,9776,9114,7516,7271,7810,7630,5507,5621,3626,3401,4207,3684,2648,2796,1978,2123,1056,1300,468,643,184,325
城南区,838,720,3429,2965,4905,4338,5789,5651,13273,14012,8617,7204,8030,8234,10379,9663,10360,9503,8294,7571,7942,7377,5440,4866,3143,3054,3541,3507,2612,2606,1824,1867,897,1177,368,577,146,282
城北区,1039,887,4393,3589,6105,5218,8245,7348,11779,14161,12360,10015,9528,10485,11803,11862,12571,12096,9691,8943,9446,8756,6443,5997,3750,3511,4103,4291,3364,3127,2307,2359,1050,1377,451,694,165,365
郊区,1429,981,5492,4057,7134,6217,12454,11296,9946,7852,7085,6941,10002,9991,13341,12803,11675,10638,8842,7221,9022,8631,5790,5260,2260,2420,2998,3035,2918,2797,2115,2223,1099,1327,416,743,202,391
南岳区,331,268,1186,1027,1560,1364,2806,2525,2623,2310,2195,2272,2829,2954,2981,3078,2451,2413,1689,1541,1862,1817,1384,1222,864,724,880,776,744,641,499,479,298,368,110,181,58,113
衡阳县,8315,5406,30230,20923,44298,33962,67698,59204,46388,39823,32562,32691,53324,50137,59307,57577,45178,43630,33082,29295,40786,37186,32757,27775,21112,16660,21396,16998,17289,15254,12648,11482,6924,7434,2766,3629,935,1716
衡南县,7004,4470,26017,17462,41549,31226,61235,52842,48229,41492,30515,28267,45567,41671,52029,49956,44243,41571,35189,30706,38388,34286,26189,22674,14766,11779,17979,15303,15426,13816,11498,10632,5262,5810,2213,2910,736,1310
衡山县,2454,1755,9569,7544,14851,12306,22464,20755,16122,14042,11639,11682,16153,15954,19736,19959,17071,16830,12694,11696,14373,13551,11380,9941,7422,6240,7376,6099,5876,5493,4268,4403,2622,2987,1120,1628,419,826
衡东县,4237,3245,16409,13879,21794,18843,39017,35616,21996,18599,14231,14679,23854,23421,31745,31276,27086,25823,20443,18888,23796,22088,16995,15413,11591,9907,12008,10382,9804,9258,6867,7248,3661,4566,1535,2247,618,1066
祁东县,6684,4449,22634,16236,32166,26059,57130,49356,39295,32431,26646,26532,38209,36348,46279,44897,36830,36054,28736,25808,33678,31880,26015,22390,19596,15911,18927,15168,14411,12991,9980,9916,6092,6701,2526,3363,994,1639
耒阳市,7202,4563,26670,18477,46397,35817,72466,64878,62695,52754,50258,42863,57643,49697,61245,55031,55594,49776,43592,38692,44183,40912,29634,26023,15575,12661,19325,16770,16835,16036,12686,12238,6015,6608,2467,3379,949,1629
常宁市,5594,3294,22306,13697,30387,21952,48592,40534,36262,31308,27723,26275,39504,34419,45678,41168,38112,32708,28491,23896,29535,26544,21085,19050,13402,10901,15327,13080,11884,11317,8542,8666,3903,4872,1526,2217,479,993
邵阳市,46815,33595,179418,129374,254816,200676,431276,388367,327137,296141,243304,236762,325672,301092,366560,353900,306225,292112,219353,197401,237953,219117,186882,166262,135042,119926,135347,120622,104354,99673,74775,72933,43921,49532,18822,25585,8035,14842
双清区,1537,1271,6161,4928,7896,6750,12834,11969,12016,9754,8155,8575,12149,12941,14364,14403,13203,13034,9146,8587,9807,9956,8072,7484,5026,4846,4974,4769,3662,3547,2653,2444,1513,1780,655,897,307,593
大祥区,1501,1252,6207,4873,8243,7082,13476,12851,15911,18414,11286,9923,11606,12233,13398,13712,12357,12141,8960,8319,10023,9526,7868,6994,5269,4883,5109,4841,4024,3844,2795,2745,1585,1900,684,957,305,575
北塔区,453,348,1579,1253,2107,1806,3952,3919,3302,2426,2239,1959,2963,2940,3464,3463,2919,2984,2161,1995,2771,2626,1968,1878,1258,1242,1316,1142,987,969,625,718,466,584,201,259,95,201
邵东县,7714,5524,29717,19144,43637,33084,69802,62862,51097,46719,37446,36187,54193,49057,61903,60375,46856,47691,34613,32531,40551,37943,33420,29216,23396,19504,22373,19739,16101,15761,11796,11773,7419,8542,3207,4740,1320,2583
新邵县,4777,3330,19934,14006,28254,21353,42221,37877,30301,25721,23879,23237,32476,29356,35782,34172,29488,27662,20351,17551,22691,20947,18967,17118,14015,12278,13883,12169,10730,9970,7768,7543,4678,5188,2057,2838,809,1433
邵阳县,5929,4606,26781,17740,38697,29874,58845,53556,42582,37512,34043,31441,40610,36121,42666,42040,35602,33275,25872,23207,30503,27305,23763,20741,16160,13919,16716,14611,12646,11816,9537,9080,5510,6150,2302,2950,955,1715
隆回县,7614,5014,27118,19410,35724,26917,69273,59972,51042,46437,40139,38876,53306,47293,57068,53554,45781,41920,34008,29170,34430,30690,26614,24083,19626,17900,20434,18284,15044,14572,11017,10790,6488,7236,2855,3735,1121,2172
洞口县,5529,3538,19691,14116,29206,22769,43647,38601,34363,30495,22506,23455,33519,33220,39990,38659,33516,32703,25656,24120,26100,24266,20499,18015,14848,13596,14934,13247,12008,11415,8096,7757,5003,5498,2255,2874,1043,1828
绥宁县,2149,1750,7259,6089,12592,10482,20726,19540,16486,15623,11759,11496,16947,15054,18945,18068,16639,15321,10611,9436,10588,9721,7525,6801,6092,5705,6345,5901,5264,5088,3258,3420,1746,2033,754,1079,345,598
新宁县,3099,2429,10959,9070,16370,14393,39664,36951,28051,25138,19014,18718,24338,22259,27806,26892,25843,23796,18493,16409,19492,17552,13998,12238,10680,9598,10838,9750,8787,8231,6700,6427,3756,4024,1565,2011,689,1092
城步苗族自治县,1263,1154,4428,4246,7180,6587,15899,14868,12483,11100,9523,9139,11657,9991,13457,12276,11731,10835,8483,7066,7456,6832,5518,5243,4245,4106,4621,4215,3645,3559,2236,2175,1185,1465,436,687,170,357
武冈市,5250,3379,19584,14499,24910,19579,40937,35401,29503,26802,23315,23756,31908,30627,37717,36286,32290,30750,20999,19010,23541,21753,18670,16451,14427,12349,13804,11954,11456,10901,8294,8061,4572,5132,1851,2558,876,1695
岳阳市,29893,24739,110735,88743,186103,158642,279868,259660,201125,180475,171834,164786,253178,236967,298082,283443,242562,225863,164475,145297,172668,157030,144913,128608,102611,86887,94536,80907,71702,65032,48635,46782,29217,32909,11768,17004,4792,8945
岳阳楼区,3006,2505,12834,10374,18173,15223,21266,19360,23855,26852,21349,22865,31040,32731,35862,34110,29314,26612,18752,17048,17766,17225,13353,12779,9275,8323,8095,7256,5909,5385,3796,3506,1820,2215,701,1101,331,632
云溪区,1074,930,3773,3251,5655,4944,7504,7382,5686,4863,5396,5408,9722,9308,10374,9456,8358,7520,4908,4890,5889,6464,5490,4937,3835,2731,2645,2480,2092,1788,1070,1038,602,774,219,416,113,235
君山区,1236,1080,4315,3733,7442,6361,11004,10039,8057,6490,8460,6407,12361,9999,13504,11906,10236,9293,6692,6044,6477,6191,5456,5153,4396,4075,4064,3427,3032,2646,1807,1761,1098,1221,430,709,201,371
岳阳县,4361,3804,15811,11043,28765,23451,42331,38577,31419,27095,25292,22795,35967,32127,41276,39090,32596,30234,24099,20953,25245,23019,20369,17782,12747,10794,12197,9914,10285,9147,6900,6548,3885,4269,1558,2128,568,1071
华容县,3846,3424,13786,12269,22755,20043,42985,40206,26441,24487,25504,24775,37531,34069,41912,39959,34123,33280,21979,20364,21467,19072,19803,17733,14989,13220,13319,12255,9557,9383,6469,6471,4257,5185,1708,2590,745,1455
湘阴县,4031,3273,14699,11633,26158,22803,38347,36360,24255,21719,20089,19514,27546,28416,36480,37486,30682,29393,21129,17565,21911,18754,19380,16260,14782,11923,13821,11141,10833,9399,6980,6596,3741,4201,1429,1962,553,936
平江县,5209,4427,20775,17927,32857,29000,53556,49809,35880,31176,32394,30289,48760,41269,54679,48412,42985,37759,30306,25251,32309,27972,27800,23841,21073,17615,19065,16670,12924,11471,10869,10032,7809,8147,3410,4475,1338,2456
汨罗市,4046,3029,13998,10907,25357,21909,35697,33205,26442,21798,18508,18381,27224,27650,38380,38766,32665,31539,22074,19829,25458,23461,21268,19000,13482,11079,13624,11222,10884,9859,6986,7084,3960,4555,1485,2362,575,1119
临湘市,3084,2267,10744,7606,18941,14908,27178,24722,19090,15995,14842,14352,23027,21398,25615,24258,21603,20233,14536,13353,16146,14872,11994,11123,8032,7127,7706,6542,6186,5954,3758,3746,2045,2342,828,1261,368,670
常德市,23803,21806,103761,95603,175267,162018,275029,258123,179986,168073,185382,181510,296528,275872,343051,320822,303116,281244,191992,172870,223185,205171,189664,171023,133076,117411,122110,108665,95204,89443,63790,66463,38456,46405,15156,23045,5661,11091
武陵区,2382,2165,8195,7752,13707,12947,19591,18965,22213,27957,19000,19693,25908,25733,28580,27185,28056,26053,18666,16615,20079,18662,15907,13846,10715,9527,9120,8480,6784,6450,4447,4928,2513,3368,943,1613,360,835
鼎城区,2908,2691,15313,13922,29789,27304,47510,44897,22877,20353,18476,19338,39040,38610,51216,48693,45699,42875,26911,23827,31487,29329,26842,25022,19729,18160,18732,16607,14994,13747,9333,10064,5661,6932,2039,3444,745,1683
安乡县,2146,2023,9114,8248,14829,13726,29409,27371,18100,16669,19156,18363,28169,26310,32881,31583,28881,27505,19944,18076,16514,14919,17128,16283,12852,11516,11067,10268,8298,7883,5697,5812,3495,4035,1519,2245,519,1049
汉寿县,3457,2962,16601,14362,27290,24319,44688,41530,26557,22648,26315,25678,38988,35944,44019,41768,36239,34241,24200,21422,25619,22994,23303,20581,17173,14641,15896,13489,11985,11232,8318,8566,4621,5625,1802,2958,699,1483
澧县,3564,3272,15414,14602,25635,24295,35551,34011,20666,18445,26891,26823,44930,43209,50772,48363,41801,39643,27158,25218,33655,31916,29908,27481,19141,17178,16407,14745,13084,12388,8492,9208,5892,7192,2247,3366,895,1444
临澧县,1583,1504,7140,6763,12372,11638,17391,16377,12021,10395,15297,13946,23195,21130,24416,22862,21122,19894,13104,12219,17672,16613,14666,13150,9552,8456,8391,7541,6734,6681,4198,4524,2636,3297,921,1550,388,632
桃源县,3988,3570,15913,14983,25051,23186,41689,38125,30169,27822,28852,27798,45908,40790,55167,50465,51340,46545,30413,27115,40138,36139,31037,26747,22390,18802,22544,19643,18421,17041,12526,12558,7290,8305,2986,4074,1082,2159
石门县,2636,2477,11945,11262,19378,18199,27851,25961,19074,17381,23360,22693,37158,32625,41892,36952,37027,32278,22632,20096,27886,25381,22765,20515,15808,14111,15292,13523,11231,10362,8355,8034,4736,5589,2072,2819,739,1340
津市市,1139,1142,4126,3709,7216,6404,11349,10886,8309,6403,8035,7178,13232,11521,14108,12951,12951,12210,8964,8282,10135,9218,8108,7398,5716,5020,4661,4369,3673,3659,2424,2769,1612,2062,627,976,234,466
张家界市,8992,8212,33024,30348,48971,45841,77252,72088,53854,48962,50790,49889,74783,66985,84540,77073,73324,66388,41960,38054,55599,51820,46725,41589,34925,31630,30337,27266,23531,21777,18108,18084,11122,13142,4552,6579,1680,3319
永定区,2927,2548,10116,8916,13848,12604,21914,20460,16078,14924,13225,13403,19801,18964,22989,21558,19597,18251,11285,10234,13986,13666,12303,11380,8857,8135,7607,6622,5786,5275,4543,4412,2812,3310,1027,1474,383,748
武陵源区,295,249,976,987,1597,1482,2113,1955,1387,1589,2066,2165,3189,2702,3331,2693,2608,1957,1388,1054,1664,1358,1386,1101,1039,816,769,654,606,562,493,468,300,333,124,181,39,79
慈利县,3289,3093,12744,11986,21116,20115,29286,27087,20747,18766,19576,19462,31506,28422,36958,33471,32802,29636,19515,17528,25835,23788,20973,18427,15475,14099,13927,12534,10502,9911,8026,8227,4859,5778,2001,3019,708,1465
桑植县,2481,2322,9188,8459,12410,11640,23939,22586,15642,13683,15923,14859,20287,16897,21262,19351,18317,16544,9772,9238,14114,13008,12063,10681,9554,8580,8034,7456,6637,6029,5046,4977,3151,3721,1400,1905,550,1027
益阳市,22180,19376,79404,71313,132124,120174,257571,242080,165913,152186,139557,137897,205430,190547,251651,240174,209902,199079,135545,121557,145511,130422,126168,109867,95079,81952,90985,79699,72377,66246,51584,49167,31481,33773,14768,18800,6837,10767
资阳区,2240,1853,7151,6050,13476,12054,22224,21054,15823,15290,13897,13883,18728,18048,22314,21853,18631,17843,12434,11141,13891,12521,11478,10080,8444,7390,7639,7157,6300,6344,4655,4777,2903,3472,1263,1855,552,1059
赫山区,4205,3775,15151,13996,25393,23388,44510,41904,33920,33595,27364,27153,37232,37727,46993,46709,40383,39505,27126,24587,29886,26940,25449,21687,18789,15500,16837,14698,13686,12747,9579,9328,5654,6499,2476,3550,1166,2027
南县,3106,2699,13151,11869,21180,19613,40811,38749,25890,22936,23101,22531,34414,31862,41523,39417,36069,34492,22996,20498,21037,18908,20662,19387,16475,14778,15394,13897,11693,11025,8015,7911,4778,5500,2067,3033,820,1536
桃江县,4772,3928,15409,13154,23772,20267,47849,43569,27636,24127,20708,22603,33368,32232,47225,44924,38500,36414,23330,20895,27947,25410,23838,20186,17216,14569,17263,14600,14022,12288,10118,9438,6144,6588,3143,3869,1645,2478
安化县,4676,4368,16318,15344,26313,24724,56389,53565,35441,31884,33243,31601,46306,39547,51984,47249,41880,37669,27327,24047,31084,27368,24373,21010,18356,16082,19946,17296,15510,13250,11562,10002,7181,6454,3774,3715,1745,2176
沅江市,3181,2753,12224,10900,21990,20128,45788,43239,27203,24354,21244,20126,35382,31131,41612,40022,34439,33156,22332,20389,21666,19275,20368,17517,15799,13633,13906,12051,11166,10592,7655,7711,4821,5260,2045,2778,909,1491
郴州市,27131,19430,99224,74200,142001,117707,266415,247036,221374,197747,171574,156921,218579,193358,230277,213141,203082,187818,155712,142878,143745,135174,96377,86734,70447,63714,73698,68557,61542,60393,44976,45892,22946,27457,10111,14800,4334,8310
北湖区,2006,1544,6750,5502,8379,7443,14883,13834,15924,15537,12678,11800,17774,16066,18910,17287,17420,15270,12864,11150,10837,9702,6486,6044,4824,4721,5237,5086,4226,3898,2865,2737,1306,1433,529,783,243,499
苏仙区,1899,1569,6520,5422,8399,7233,16780,15357,18230,18064,14217,12643,16855,15471,18483,17224,17712,15843,13627,12565,12501,11606,7986,7208,5651,5292,6040,5646,5007,4714,3736,3790,1838,2307,802,1200,375,725
桂阳县,4891,3275,19083,13935,25183,21426,46657,43584,37960,33485,30585,26819,36994,30944,38262,33864,32939,29703,26108,23686,22499,20902,15464,13835,11166,10261,12273,11933,9789,10162,6907,7679,3275,4342,1334,2324,482,1158
宜章县,3448,2166,13435,8952,19621,15503,37546,35499,28731,25794,22558,21250,27528,24328,26935,24879,23132,21659,17975,17104,15382,14894,10409,9233,8163,7612,8238,7710,6563,6631,5027,5255,2721,3268,1345,1926,643,1187
永兴县,3209,2584,11678,8566,18838,15555,36952,34529,30980,26892,23695,20761,29208,25237,30800,27930,26348,24806,19617,18243,19867,19009,12520,11775,9118,8189,9313,8517,8655,8324,6683,6773,3380,3825,1228,1818,511,915
嘉禾县,2450,1448,9450,5707,14310,10571,20993,18244,15092,12154,10270,9578,13353,12458,15204,14978,13680,13462,10648,9825,9421,8829,6427,6021,5145,5004,5700,5296,4396,4566,3011,3262,1562,2092,771,1201,338,740
临武县,1877,1210,6379,4522,9218,7568,19923,18461,16477,14809,12776,11717,15710,13036,16579,14999,14000,12464,10582,9725,9984,8983,6563,5635,5036,4559,4951,4556,4294,4226,2954,3064,1677,1839,740,1181,357,659
汝城县,2215,1556,7462,5722,11308,8998,21326,19422,16389,14135,13826,12902,18115,16238,17813,16575,14873,14754,11149,10188,11453,10987,8667,7440,6933,5407,6078,4986,5203,4523,4029,3678,2281,2456,1140,1337,519,778
桂东县,958,802,3463,3224,5098,4752,10813,10284,7132,6830,5323,5320,8891,8203,9055,8668,8040,7243,5097,4305,5676,5064,4368,3711,3358,3022,3170,2738,2507,2315,1895,1752,942,1185,515,663,207,456
安仁县,2367,1619,7947,6199,11817,9687,23641,22358,19833,16729,12993,11974,17240,15657,18381,17977,16113,15390,13892,13078,13187,12429,8236,7584,4080,3558,5587,5271,5157,5459,3970,4115,1923,2391,924,1288,390,657
资兴市,1811,1657,7057,6449,9830,8971,16901,15464,14626,13318,12653,12157,16911,15720,19855,18760,18825,17224,14153,13009,12938,12769,9251,8248,6973,6089,7111,6818,5745,5575,3899,3787,2041,2319,783,1079,269,536
永州市,32462,23050,120261,88712,206663,158288,321577,285612,285340,245758,202291,182940,253420,224599,283049,262743,240265,224009,182213,162552,188724,175590,137489,120509,106962,89145,104382,91197,79308,74967,52958,53790,28557,33341,12040,17550,5181,9612
芝山区,3323,2712,10337,8471,17137,14513,31959,29756,29426,28895,21672,19319,24715,21876,29408,27611,25172,23240,18372,16607,19519,18928,14751,12949,11175,8892,11446,9534,8397,7955,5718,6047,3385,4201,1493,2310,600,1256
冷水滩区,2363,1680,9755,7370,15955,12315,24127,21576,20102,16347,12845,12668,18832,19454,23447,22982,20894,19746,14054,13187,15200,15691,9664,10081,8753,7389,9160,7847,6777,6221,4384,4172,2339,2624,963,1376,402,720
祁阳县,5991,4450,22098,17660,32380,26945,50870,45256,42140,39245,33805,33162,47937,43273,52615,49651,41680,40319,30010,26179,35733,32165,26660,23359,19804,15631,19680,16470,15039,13702,9877,9841,5799,6873,2386,3351,871,1695
东安县,3016,2497,10669,9103,15659,13188,33844,30913,29412,26272,19639,18547,26915,22860,30613,27863,25814,23708,20290,18505,20426,19445,14180,12685,10972,9462,10847,9578,8281,7861,5684,5676,3242,3831,1406,1937,566,1095
双牌县,868,670,3586,2827,5193,4355,9648,8813,8689,7309,6179,5717,8286,6857,9084,8040,7539,6875,5261,4795,5580,4915,4022,3521,3286,2579,3217,2814,2429,2193,1589,1612,841,960,363,550,158,290
道县,3748,2326,13877,8215,26046,15730,40740,30572,39550,29246,28544,21920,30764,24491,31272,28266,26122,24379,21495,18981,22265,21760,16762,13235,12660,9727,11804,10041,9095,8297,6389,5978,3008,3161,1161,1444,467,661
江永县,1401,1085,5365,4169,9010,7533,14467,13418,12273,10508,9294,8657,11306,10095,12627,11716,10464,9617,8129,7461,7583,7269,5473,5128,4300,3786,4442,4079,3296,3277,2219,2506,1008,1180,406,731,230,385
宁远县,4292,2445,17722,11147,32429,21559,43552,39513,40407,34364,29446,26059,35836,31705,38729,35999,31933,29597,25349,21447,25978,22308,19209,15940,15389,13306,13401,11847,10016,10106,6683,7110,3639,4378,1470,2136,620,1193
蓝山县,2107,1573,9911,7130,14005,11679,20711,19262,17300,14172,11847,10978,14630,13461,16388,15067,14868,13396,11716,10398,11125,9896,7952,7217,6376,5840,5981,5761,4877,4825,2736,3115,1491,1904,740,1229,427,846
新田县,2470,1470,6335,4231,17175,13392,24216,22239,23228,20324,12076,10700,13201,12204,16304,15828,17029,15602,13183,12081,11628,10701,8652,7706,5991,5576,6491,6148,4831,4681,3366,3415,1760,1892,707,1054,313,631
江华瑶族自治县,2883,2142,10606,8389,21674,17079,27443,24294,22813,19076,16944,15213,20998,18323,22562,19720,18750,17530,14354,12911,13687,12512,10164,8688,8256,6957,7913,7078,6270,5849,4313,4318,2045,2337,945,1432,527,840
怀化市,28784,24023,99615,85563,149302,131149,266341,243866,201192,176031,159474,151557,238680,216640,263357,243986,213891,197932,146201,131778,159734,149645,131695,119370,94565,85106,94080,85427,74026,69989,50662,51227,26874,31475,12164,17395,6006,10936
鹤城区,2115,1747,7384,6071,9498,8536,15864,14795,21257,21611,13424,12956,18609,19080,20917,19474,17974,16105,10934,10226,11346,11279,8945,7860,5858,5266,5176,4722,4093,3561,2825,2501,1323,1456,441,646,238,409
中方县,1535,1088,4933,4026,7226,6484,15863,14818,9868,7743,7159,6363,12037,10093,13275,11933,10692,9690,7254,6969,7956,7911,6949,6579,5135,4333,5149,4443,4011,3689,2877,2947,1482,1695,634,936,304,596
沅陵县,3474,2960,11539,10422,18662,17239,31933,30181,24410,21190,23548,22085,32849,28106,34264,30829,27807,24852,15131,13386,21262,19350,18777,16209,12995,11254,13082,11528,10076,9386,7443,7373,4137,4831,2017,2781,803,1509
辰溪县,2768,2141,8580,7333,16694,14475,29123,27395,22317,18780,17898,16932,24159,22245,25691,23949,19641,18730,15148,13713,16292,15824,13917,12667,9911,9190,9052,8266,6984,6758,5289,5298,2915,3302,1351,1913,746,1321
溆浦县,4746,4282,15803,14179,24480,21608,48604,44649,31762,27738,30770,29256,42142,37131,44931,41492,33565,31159,26907,23970,28368,26420,22291,20647,15891,14534,15629,14403,11884,11303,8983,8949,5203,6048,2543,3424,1213,2076
会同县,1981,1616,7541,6123,10283,8534,18869,16806,14570,13094,11619,11042,18002,16012,20085,18748,16010,14985,9892,9160,10429,10000,8802,8381,6581,6155,6987,6544,5402,5361,2775,3030,1420,2017,631,1026,283,596
麻阳苗族自治县,2508,2115,8293,7090,12885,11232,19869,18563,14367,12663,10428,10701,16362,15426,16891,16606,14496,13412,10212,9397,11754,10967,9368,8743,6661,5970,6614,5926,5240,4972,3855,3948,1936,2306,796,1168,439,848
新晃侗族自治县,1587,1179,5506,4069,8103,5712,14387,10677,11520,8700,8044,6979,10452,9736,13137,11852,11687,10784,8035,7011,8119,7432,7199,6017,5626,4817,6104,5143,4946,4162,3504,3198,1658,1866,736,1005,390,611
芷江侗族自治县,2351,1980,9025,8032,12563,10937,17472,15151,11495,10185,8947,9113,16122,15392,18898,17665,16840,15620,11389,9622,12450,10911,10223,8675,6978,5924,6942,5938,6005,5315,4310,4234,2181,2313,771,1104,388,768
靖州苗族侗族自治县,1607,1314,5633,4819,7455,6527,17150,15873,11279,10077,8568,8113,13130,11278,14175,13499,11715,11140,7845,7107,7099,6738,5710,5355,4442,4243,4388,4497,3524,3652,1686,1967,833,1192,409,751,207,447
通道侗族自治县,1301,1108,4459,4010,6184,5791,13681,13234,10428,8725,6350,5794,10727,9441,11510,10498,9498,8727,6404,5780,6547,6003,5217,5171,4218,4056,4212,4054,3208,3164,1747,1751,897,997,368,553,212,302
洪江市,2811,2493,10919,9389,15269,14074,23526,21724,17919,15525,12719,12223,24089,22700,29583,27441,23966,22728,17050,15437,18112,16810,14297,13066,10269,9364,10745,9963,8653,8666,5368,6031,2889,3452,1467,2088,783,1453
娄底市,26547,18397,93401,71441,141268,118191,232068,216886,176847,155850,134650,131039,174285,162949,195704,192705,154972,151777,107859,100564,128600,121616,110110,96465,79461,66203,76955,64652,54046,50821,41216,41867,24441,28550,11066,15967,4694,9103
娄星区,2626,1894,9248,7261,12795,10944,18128,16936,21214,21769,14408,14250,19657,19932,22735,22020,19220,18007,12084,11454,14378,13401,11483,10199,7942,6962,7424,6399,5314,4629,3508,3364,1891,2173,812,1156,305,655
双峰县,5918,3804,20044,15562,28238,23829,51043,48223,34991,30579,28154,27721,39436,36303,45776,45922,32078,34334,20938,20666,31194,30167,27175,23531,19144,14147,18568,14726,13151,12444,9731,10277,5770,7264,2429,4112,983,2254
新化县,7773,5994,26475,21607,45504,38611,82078,77434,58251,49829,48178,45823,58346,51813,61271,59258,47726,45428,33842,30692,37325,34533,32686,28995,23878,20424,24016,19785,17133,15697,13409,13341,7984,9055,3641,4952,1729,2920
冷水江市,2151,1577,7152,5811,9694,8265,19995,18733,16824,15310,10969,10965,17672,17043,19000,17826,15643,14699,11112,11038,11390,11756,9764,8576,6970,6377,6559,5641,3977,3925,3174,3170,1827,2104,846,1132,352,682
涟源市,8079,5128,30482,21200,45037,36542,60824,55560,45567,38363,32941,32280,39174,37858,46922,47679,40305,39309,29883,26714,34313,31759,29002,25164,21527,18293,20388,18101,14471,14126,11394,11715,6969,7954,3338,4615,1325,2592
湘西土家族苗族自治州,18458,15000,71084,61539,125994,116016,149594,141228,102393,92160,84415,79925,117835,105029,123551,113871,99833,91501,58225,55291,78459,72767,68544,62726,48595,44551,46176,42568,36403,34330,25608,26701,13619,16731,6038,9263,2567,5029
吉首市,1857,1644,7297,6602,11378,10926,14547,13870,14656,16383,13346,12402,15385,13931,15876,14566,13540,11737,7339,6588,9043,8434,7959,6958,5619,5175,4964,4462,3830,3571,2644,2640,1323,1572,598,886,221,528
泸溪县,1902,1499,8199,7471,15236,14414,16848,15681,9927,8579,6733,6569,11228,10326,11780,11126,10230,9425,6743,6458,8269,7821,7028,6318,4861,4491,5058,4711,3785,3630,2586,2700,1310,1603,599,1001,270,454
凤凰县,2261,1940,9271,7661,19332,17748,20884,19851,15239,12993,12616,10767,16575,14659,16552,15622,12648,11956,8786,8604,10573,10060,9595,9018,6910,6566,6043,5381,5017,4853,3475,3500,1724,2034,825,1204,358,777
花垣县,1996,1547,7693,6355,13821,12563,13799,13330,10542,9304,9644,8844,12769,10901,13140,11887,9769,9042,5440,5120,8152,7326,6832,6225,5308,5032,4330,4213,3456,3429,2848,2988,1513,1908,717,1093,302,572
保靖县,1956,1671,6241,5663,11847,10841,15479,14544,9639,8317,9477,8885,13476,11107,14114,11956,10844,9537,6008,5175,9179,7897,7758,7108,5538,5050,5038,4637,4239,3956,3107,3268,1717,2086,704,1067,329,579
古丈县,831,693,3050,2698,5441,5121,7617,7267,4568,3693,3884,3477,5980,5148,6630,5727,5102,4319,2583,2268,4004,3389,3716,3161,2831,2197,2590,2298,1870,1703,1370,1360,621,840,314,481,118,242
永顺县,4031,2890,14060,11443,21579,19317,27732,25863,18058,15117,13925,13744,21663,19467,21571,20523,18427,17126,9189,9338,14101,13704,12444,11541,8333,7282,9070,8346,7276,6690,5144,5286,2848,3424,1175,1888,566,1043
龙山县,3624,3116,15273,13646,27360,25086,32688,30822,19764,17774,14790,15237,20759,19490,23888,22464,19273,18359,12137,11740,15138,14136,13212,12397,9195,8758,9083,8520,6930,6498,4434,4959,2563,3264,1106,1643,403,834
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,536389,408655,2585905,2001360,4030731,3466750,3937505,3583795,4088681,4777842,4380174,4932808,4803930,4613009,4344363,4007723,3520936,3184329,2516774,2262836,2265674,2095385,1661852,1459980,1208562,1070311,1158949,1059851,962445,996390,695201,784818,402980,553469,189188,334539,91481,249437
广州市,49637,40508,218188,180690,289108,255852,312393,286766,494899,547850,652569,616553,703565,610948,594390,490152,487673,394339,341551,291463,292098,268408,200092,187842,133532,131074,133069,130654,113789,121105,82193,90283,45829,61270,21118,35235,10049,25288
东山区,2046,1911,8045,7231,11850,10828,15395,14058,19062,21117,26867,23973,26724,25113,25721,25015,29624,27842,26545,25857,24571,22542,16747,14100,10272,10828,11921,13208,11493,12504,8566,7886,4307,4767,1953,2717,945,2113
荔湾区,1573,1408,7143,6373,10813,10224,14407,13521,14921,16121,15696,14596,20603,18453,20925,20316,27471,25501,27702,25359,21891,19809,13811,12305,8499,8179,9084,10817,10054,12093,8063,8750,4455,5450,2117,3168,1059,2100
越秀区,1152,1068,4781,4343,7441,6907,9779,9369,11173,12665,13778,13807,14106,13691,13814,14287,18141,17694,18313,17516,14743,14022,9485,8736,6014,6218,6887,8424,7875,9041,6039,6185,3353,4177,1606,2328,820,1644
海珠区,4935,4427,21651,18337,26054,23057,29591,26799,59955,59974,81281,69773,83506,70269,72523,59508,67165,54355,53865,46195,43434,38658,28558,26593,18433,18257,20055,20909,17783,19085,12727,12608,6732,8000,3148,4490,1406,3177
天河区,5737,5066,21865,17869,24862,20723,24868,21850,71506,71686,109426,83991,90386,70824,75146,55225,58476,40130,34645,26040,27486,23068,18207,16855,12059,13060,14145,13058,10218,8650,5764,5239,2623,3287,1219,1899,658,1504
