表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
青龙满族自治县,131980,2.92,18.72,13211,13012,199,3068,10143,273,12938,12584,627,12469,389,239,114,
昌黎县,169020,2.39,24.89,17027,16762,265,4329,12698,14535,2492,16204,823,15562,927,316,222,
抚宁县,149164,2.14,21.61,15019,14734,285,5784,9235,1239,13780,14469,550,13542,949,283,245,
卢龙县,124132,2.43,24.29,12578,12116,462,2002,10576,370,12208,11971,607,11808,467,166,137,
邯郸市,2055109,4.86,20.69,205706,181932,23774,156396,49310,28046,177660,181891,23815,173049,21377,8227,3053,
邯山区,82083,2.31,18.80,8079,7003,1076,7895,184,4296,3783,6188,1891,1227,5154,1388,310,
丛台区,85636,2.65,18.90,8293,7041,1252,8254,39,4482,3811,6066,2227,1515,5306,1217,255,
复兴区,67037,2.38,16.66,6601,5165,1436,6429,172,2386,4215,4181,2420,1036,3041,2131,393,
峰峰矿区,130197,4.49,22.32,13021,11825,1196,12008,1013,2689,10332,7346,5675,5704,4502,2528,287,
邯郸县,94389,4.07,21.15,9860,9463,397,7163,2697,1703,8157,9365,495,9476,282,51,51,
临漳县,131332,5.67,22.11,13192,11399,1793,10565,2627,644,12548,12076,1116,12969,143,29,51,
成安县,85728,3.42,18.81,8581,7726,855,8157,424,524,8057,8207,374,8297,170,37,77,
大名县,157879,5.50,18.80,15837,14139,1698,7001,8836,1213,14624,14911,926,15662,64,43,68,
涉县,109396,5.78,21.77,10958,9325,1633,8675,2283,553,10405,10185,773,10005,470,93,390,
磁县,150381,2.38,23.73,15016,13569,1447,5027,9989,1077,13939,13723,1293,14378,316,114,208,
肥乡县,74307,4.75,21.06,7485,7087,398,5892,1593,384,7101,7269,216,7389,54,14,28,
永年县,196131,5.45,18.52,19672,19054,618,18226,1446,1981,17691,19239,433,18903,484,141,144,
邱县,51529,4.55,23.04,5187,3266,1921,4204,983,350,4837,3865,1322,5039,107,20,21,
鸡泽县,57836,4.88,17.93,5831,4481,1350,5750,81,456,5375,4622,1209,5753,30,15,33,
广平县,53003,4.18,17.23,5328,3995,1333,4950,378,350,4978,5176,152,5197,71,24,36,
馆陶县,72991,4.71,21.28,7221,6959,262,5772,1449,298,6923,7033,188,6893,239,48,41,
魏县,172768,5.34,19.37,17322,14353,2969,10471,6851,745,16577,16019,1303,17107,128,44,43,
