表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
高密市,249021,4.18,23.09,24979,24131,848,9692,15287,2849,22130,24222,757,22023,2102,416,438,
昌邑市,208639,4.63,23.28,20994,20442,552,7299,13695,2733,18261,20576,418,18614,1584,481,315,
济宁市,2134082,3.08,22.21,212183,183007,29176,49963,162220,26960,185223,199909,12274,177076,24670,6063,4374,
市中区,120835,2.32,23.98,11634,10593,1041,10579,1055,6218,5416,10033,1601,1441,7954,1597,642,
任城区,176027,2.63,25.08,17679,16014,1665,11492,6187,2585,15094,16143,1536,15924,1078,417,260,
微山县,169217,3.16,18.03,16364,12891,3473,1751,14613,1373,14991,14493,1871,14510,1059,366,429,
鱼台县,106997,2.80,19.87,10730,9714,1016,951,9779,748,9982,9501,1229,9821,508,174,227,
金乡县,163930,2.71,23.37,16500,16328,172,1119,15381,1196,15304,16392,108,15275,752,186,287,
嘉祥县,206183,4.01,19.79,20737,19935,802,2370,18367,1296,19441,20280,457,19367,846,267,257,
汶上县,183319,2.85,26.60,18309,16980,1329,1473,16836,921,17388,17711,598,17178,776,241,114,
泗水县,170439,2.62,18.78,17145,7092,10053,2985,14160,931,16214,16077,1068,15674,806,362,303,
梁山县,184648,3.46,21.62,18627,17902,725,1341,17286,1529,17098,17866,761,17017,1159,262,189,
曲阜市,167869,3.75,23.95,16725,14591,2134,3069,13656,2587,14138,16135,590,14733,1194,394,404,
兖州市,172435,2.67,26.97,16943,15580,1363,4740,12203,3343,13600,15784,1159,12349,3250,798,546,
邹城市,312183,3.27,20.09,30790,25387,5403,8093,22697,4233,26557,29494,1296,23787,5288,999,716,
泰安市,1545662,3.83,21.04,152769,114580,38189,52822,99947,21270,131499,125167,27602,122048,20441,6572,3708,
泰山区,173649,2.92,24.81,16802,15485,1317,12620,4182,6806,9996,15877,925,6539,7156,1818,1289,
岱岳区,282299,3.91,20.17,27964,23966,3998,1455,26509,1018,26946,26934,1030,26258,812,531,363,
宁阳县,220090,3.97,20.20,22017,17715,4302,3430,18587,1729,20288,20887,1130,19140,1553,868,456,
东平县,197997,4.00,24.34,19611,17976,1635,3933,15678,1023,18588,18651,960,17769,1009,465,368,
新泰市,398103,4.00,18.91,39451,15123,24328,9435,30016,4096,35355,17314,22137,31889,5181,1667,714,
肥城市,273524,3.85,20.88,26924,24315,2609,21949,4975,6598,20326,25504,1420,20453,4730,1223,518,
威海市,922872,3.39,24.26,92183,84461,7722,48126,44057,46911,45272,90035,2148,65870,18462,4980,2871,
环翠区,190579,2.69,25.68,18509,17881,628,11826,6683,10130,8379,17898,611,8394,6960,2173,982,
文登市,248537,3.56,24.61,25044,18794,6250,9107,15937,10138,14906,24169,875,18860,4412,1138,634,
荣成市,264747,3.56,22.78,26690,26159,531,16617,10073,15326,11364,26398,292,20421,4273,1031,965,
乳山市,219009,3.60,24.32,21940,21627,313,10576,11364,11317,10623,21570,370,18195,2817,638,290,
日照市,876793,3.62,24.98,87735,83730,4005,22575,65160,7594,80141,84198,3537,75978,6589,3175,1993,
东港区,363485,3.40,26.05,36241,35413,828,14393,21848,5256,30985,35408,833,30043,3926,1355,917,
五莲县,169679,3.58,23.46,16957,15860,1097,4333,12624,781,16176,16034,923,13973,1536,906,542,
莒县,343629,3.86,24.57,34537,32457,2080,3849,30688,1557,32980,32756,1781,31962,1127,914,534,
莱芜市,397755,3.80,22.12,39404,33311,6093,13066,26338,4968,34436,35596,3808,30750,5804,2120,730,
莱城区,322299,3.97,22.56,31912,27207,4705,8571,23341,3303,28609,29084,2828,26093,3980,1245,594,
钢城区,75456,3.06,20.24,7492,6104,1388,4495,2997,1665,5827,6512,980,4657,1824,875,136,
临沂市,3014100,3.44,20.74,300864,230781,70083,78398,222466,24485,276379,266703,34161,270753,17090,6999,6022,
兰山区,262409,3.08,22.97,25343,20285,5058,10140,15203,6872,18471,23275,2068,16395,5810,2083,1055,
罗庄区,115176,3.50,22.63,11322,10553,769,4488,6834,2099,9223,10860,462,9757,955,295,315,
河东区,177043,3.43,20.10,17680,16967,713,1346,16334,679,17001,17410,270,17186,222,117,155,
沂南县,286570,3.29,19.52,28247,23675,4572,2102,26145,1267,26980,22447,5800,26022,1175,561,489,
郯城县,268265,3.18,18.63,26856,21678,5178,2076,24780,2014,24842,24256,2600,25155,822,399,480,
沂水县,343112,3.41,19.71,34371,28280,6091,7383,26988,1375,32996,23515,10856,31519,1623,807,422,
苍山县,322452,3.42,19.21,32381,19554,12827,2151,30230,1436,30945,28474,3907,30645,875,438,423,
费县,270810,3.37,18.91,27410,16892,10518,10652,16758,1854,25556,26375,1035,25446,1008,567,389,
平邑县,286468,3.64,20.00,28667,13588,15079,10329,18338,1864,26803,26645,2022,26155,1309,516,687,
莒南县,321899,3.86,23.82,32269,31028,1241,15158,17111,2162,30107,29472,2797,29911,1361,502,495,
蒙阴县,163287,3.82,22.21,16474,9711,6763,7710,8764,1678,14796,15320,1154,14677,1049,461,287,
临沭县,196609,3.38,24.47,19844,18570,1274,4863,14981,1185,18659,18654,1190,17885,881,253,825,
德州市,1492129,3.96,22.56,150109,125376,24733,30935,119174,15455,134654,127863,22246,131508,12575,3290,2736,
德城区,155651,3.48,25.05,15204,13404,1800,11459,3745,4907,10297,12262,2942,7807,5902,1193,302,
陵县,158753,4.07,25.32,15963,11327,4636,1819,14144,592,15371,12874,3089,14973,519,195,276,
宁津县,125158,3.62,19.76,12763,8031,4732,2238,10525,440,12323,11582,1181,11965,532,96,170,
庆云县,80911,3.98,20.71,8186,7220,966,909,7277,174,8012,6211,1975,7635,266,126,159,
临邑县,136536,4.29,22.38,13707,11092,2615,1742,11965,1556,12151,9577,4130,11989,1094,327,297,
齐河县,163339,4.68,23.11,16716,12701,4015,1747,14969,1599,15117,13696,3020,14956,1060,285,415,
平原县,128765,2.70,21.68,13077,12455,622,973,12104,2958,10119,12282,795,11948,728,182,219,
夏津县,142248,4.20,23.34,14071,13417,654,6447,7624,1065,13006,13814,257,13259,466,173,173,
武城县,103215,3.93,23.91,10285,9489,796,675,9610,523,9762,9586,699,9485,451,125,224,
乐陵市,162327,4.05,19.94,16507,14346,2161,1762,14745,601,15906,13790,2717,15398,548,249,312,
禹城市,135226,4.36,22.37,13630,11894,1736,1164,12466,1040,12590,12189,1441,12093,1009,339,189,
聊城市,1517494,3.46,23.55,152416,135222,17194,20865,131551,13385,139031,141609,10807,137468,8999,3604,2345,
东昌府区,261746,3.90,25.29,26137,22991,3146,6410,19727,5120,21017,24077,2060,20298,3852,1481,506,
阳谷县,200474,3.14,20.89,20291,19251,1040,1413,18878,539,19752,19545,746,18903,692,406,290,
莘县,250752,4.31,25.84,25223,20823,4400,2816,22407,1166,24057,22666,2557,23935,739,227,322,
茌平县,162216,3.23,24.54,16296,15157,1139,1846,14450,2284,14012,14933,1363,15055,660,327,254,
东阿县,117436,4.10,22.29,11820,10374,1446,1109,10711,1004,10816,11010,810,10600,791,229,200,
冠县,198966,2.73,23.05,20009,16867,3142,1443,18566,1192,18817,18488,1521,19091,536,138,244,
高唐县,134198,4.23,22.75,13479,12128,1351,1730,11749,974,12505,12712,767,12250,632,317,280,
临清市,191706,2.10,21.95,19161,17631,1530,4098,15063,1106,18055,18178,983,17336,1097,479,249,
滨州市,1061648,4.14,22.77,107396,68548,38848,30963,76433,9672,97724,81564,25832,91293,10076,2309,3718,
滨城区,183160,3.66,24.16,18505,14744,3761,7608,10897,3854,14651,15447,3058,12339,4359,892,915,
惠民县,166988,4.52,21.57,17072,10375,6697,1398,15674,801,16271,9720,7352,15504,853,283,432,
阳信县,118972,4.42,23.78,12155,5132,7023,1323,10832,440,11715,3019,9136,11290,457,171,237,
无棣县,134265,3.54,22.00,13576,5344,8232,6341,7235,696,12880,11097,2479,11978,684,207,707,
沾化县,115322,4.26,23.19,11596,5222,6374,11196,400,462,11134,9862,1734,10329,737,244,286,
博兴县,142002,4.24,24.26,14236,12315,1921,1725,12511,1712,12524,13373,863,11956,1402,210,668,
邹平县,200939,4.35,21.28,20256,15416,4840,1372,18884,1707,18549,19046,1210,17897,1584,302,473,
菏泽市,2227422,4.02,19.07,222898,199879,23019,20010,202888,12425,210473,203409,19489,211494,6728,2461,2215,
牡丹区,330488,3.81,20.29,32982,29676,3306,5614,27368,4408,28574,29269,3713,29074,2915,647,346,
曹县,350797,4.16,17.52,35300,32394,2906,2191,33109,1331,33969,32650,2650,34366,339,377,218,
单县,291034,4.11,19.33,28946,25331,3615,4049,24897,1194,27752,26040,2906,28048,457,226,215,
成武县,169581,4.38,20.27,16931,14626,2305,1228,15703,620,16311,14641,2290,16299,375,113,144,
巨野县,247221,3.75,18.32,24866,22458,2408,1091,23775,1057,23809,23504,1362,23762,538,252,314,
郓城县,302623,3.93,19.53,30392,28104,2288,1783,28609,1524,28868,28929,1463,29075,553,323,441,
鄄城县,203872,4.06,19.87,20299,18288,2011,1698,18601,618,19681,18724,1575,19421,471,217,190,
定陶县,159501,3.83,18.16,15964,14755,1209,1136,14828,810,15154,15027,937,15361,297,168,138,
东明县,172305,4.36,18.56,17218,14247,2971,1220,15998,863,16355,14625,2593,16088,783,138,209,
,,,,,,,,,,,,,,,,,
河南省,24247377,2.71,21.88,2392624,2078286,314338,744446,1648178,266002,2126622,1983689,408935,2034541,224671,86719,46693,2392624
郑州市,1733410,2.96,24.85,167387,151433,15954,111858,55529,52622,114765,152520,14867,104653,41447,16418,4869,
中原区,162265,2.50,24.85,15198,14190,1008,14946,252,8622,6576,14679,519,3936,7743,3007,512,
二七区,148182,2.52,23.16,13717,11849,1868,13388,329,7029,6688,11667,2050,2906,7104,2915,792,
管城回族区,104788,2.77,24.45,9866,8510,1356,8528,1338,4035,5831,8199,1667,2943,4347,2107,469,
金水区,237864,2.55,24.42,21950,18579,3371,19424,2526,12620,9330,19508,2442,3476,11809,5328,1337,
上街区,25450,2.34,25.56,2500,2383,117,2494,6,1652,848,2388,112,356,1480,596,68,
邙山区,38292,3.71,28.04,3682,3379,303,2155,1527,973,2709,3457,225,2961,464,157,100,
中牟县,164793,3.30,21.45,16532,14795,1737,3407,13125,2296,14236,15016,1516,15058,1107,253,114,
巩义市,192096,3.30,23.03,18830,17303,1527,14505,4325,5514,13316,17222,1608,15430,1967,788,645,
荥阳市,162363,3.04,28.97,16023,15473,550,14049,1974,3148,12875,15633,390,13892,1632,299,200,
新密市,192924,3.54,25.09,19019,17205,1814,9613,9406,2569,16450,16641,2378,16137,2118,504,260,
新郑市,157060,3.10,26.36,15505,14203,1302,7454,8051,2172,13333,14850,655,13878,1123,303,201,
登封市,147333,2.77,26.12,14565,13564,1001,1895,12670,1992,12573,13260,1305,13680,553,161,171,
开封市,1153644,2.68,18.77,114796,99155,15641,26475,88321,16264,98532,100789,14007,98237,11692,3665,1202,
龙亭区,22569,2.36,17.49,2218,1729,489,2206,12,1253,965,1264,954,543,1073,491,111,
顺河回族区,54245,2.35,18.33,5225,4190,1035,5188,37,2995,2230,3485,1740,923,3105,966,231,
鼓楼区,41840,2.40,18.67,4108,3285,823,4084,24,1765,2343,2692,1416,659,2562,733,154,
南关区,35685,2.59,16.90,3550,2846,704,3528,22,1943,1607,2081,1469,1011,1686,734,119,
郊区,66056,2.99,21.85,6529,5380,1149,3287,3242,2515,4014,4454,2075,4841,1332,251,105,
杞县,251596,3.11,16.47,25151,21978,3173,1202,23949,1022,24129,23754,1397,24764,213,90,84,
通许县,137188,2.40,19.56,13694,11673,2021,1507,12187,1039,12655,12343,1351,13213,328,53,100,
尉氏县,197804,2.49,22.01,19794,16928,2866,1981,17813,1473,18321,17607,2187,19183,359,144,108,
开封县,173438,2.75,20.25,17270,16201,1069,1805,15465,1280,15990,16938,332,16645,443,84,98,
兰考县,173223,2.54,15.76,17257,14945,2312,1687,15570,979,16278,16171,1086,16455,591,119,92,
洛阳市,1621298,3.03,21.20,160243,131095,29148,95884,64359,24771,135472,108299,51944,120016,26276,10386,3565,
老城区,41495,2.47,25.36,4012,3508,504,3921,91,1077,2935,3119,893,1713,1362,807,130,
西工区,101444,2.32,20.77,10071,9042,1029,9527,544,4962,5109,8849,1222,1209,6235,2111,516,
廛河回族区,48065,2.54,21.50,4691,4313,378,4535,156,1989,2702,3394,1297,1178,2646,682,185,
涧西区,137741,2.12,22.38,13557,12276,1281,13275,282,6481,7076,11234,2323,1922,8835,2464,336,
吉利区,19940,3.19,29.57,1971,1895,76,1954,17,907,1064,1918,53,925,809,183,54,
洛龙区,82101,3.08,24.03,8100,6722,1378,6089,2011,1202,6898,4553,3547,6318,1012,691,79,
孟津县,111192,3.03,22.84,10882,8422,2460,8614,2268,807,10075,3143,7739,9759,533,332,258,
新安县,123806,3.49,23.32,12293,8500,3793,4588,7705,505,11788,6590,5703,10812,665,569,247,
栾川县,85543,2.28,18.62,8476,6153,2323,5317,3159,608,7868,4276,4200,7212,519,437,308,
嵩县,136750,2.74,18.13,13518,10738,2780,4245,9273,392,13126,9498,4020,12430,555,264,269,
汝阳县,103847,2.99,22.46,10364,8673,1691,3643,6721,615,9749,7283,3081,9689,206,307,162,
宜阳县,157766,3.58,18.73,15651,12431,3220,6928,8723,835,14816,9778,5873,14140,760,555,196,
洛宁县,106739,2.76,15.31,10552,7326,3226,4255,6297,393,10159,7221,3331,9777,350,181,244,
伊川县,167825,4.00,21.14,16608,13852,2756,4031,12577,531,16077,12151,4457,15401,595,329,283,
偃师市,197044,3.35,23.68,19497,17244,2253,14962,4535,3467,16030,15292,4205,17531,1194,474,298,
平顶山市,1261152,2.80,20.76,123101,100664,22437,34673,88428,10393,112708,98346,24755,98125,15594,5705,3677,
新华区,93347,2.39,19.29,9079,6881,2198,7185,1894,2373,6706,6294,2785,2540,4468,1566,505,
卫东区,79941,2.43,20.95,7798,6597,1201,6076,1722,2561,5237,5947,1851,1856,4409,1027,506,
石龙区,14164,2.31,19.59,1381,878,503,604,777,34,1347,539,842,652,64,388,277,
湛河区,66773,2.51,22.81,6502,5414,1088,4845,1657,1746,4756,5374,1128,2931,2689,566,316,
宝丰县,124239,2.96,21.12,12100,8182,3918,1532,10568,760,11340,8400,3700,10849,730,218,303,
叶县,210264,3.00,20.27,20745,18388,2357,1858,18887,466,20279,18615,2130,19746,408,218,373,
鲁山县,209148,2.68,17.92,20565,13603,6962,3498,17067,494,20071,12662,7903,19055,710,388,412,
郏县,145150,2.63,19.76,14104,13185,919,1084,13020,314,13790,13447,657,13441,262,203,198,
舞钢市,87772,2.83,22.93,8357,7851,506,3074,5283,715,7642,7810,547,6596,1141,366,254,
汝州市,230354,3.14,23.37,22470,19685,2785,4917,17553,930,21540,19258,3212,20459,713,765,533,
安阳市,1353012,2.84,24.84,134412,111739,22673,88278,46134,11807,122605,118166,16246,115643,12563,3505,2701,
文峰区,42584,2.74,22.70,3980,3294,686,3976,4,1256,2724,2516,1464,1051,2320,406,203,
北关区,53889,2.47,22.06,5003,4530,473,5003,,2534,2469,4194,809,243,3843,676,241,
铁西区,56153,2.30,21.28,5377,4470,907,5083,294,2744,2633,4098,1279,579,3472,1044,282,
郊区,68213,2.57,29.03,6683,5498,1185,6071,612,518,6165,4209,2474,5565,508,442,168,
安阳县,286050,2.58,26.14,28566,21851,6715,15208,13358,896,27670,24250,4316,27546,302,243,475,
汤阴县,112253,2.92,24.60,11158,9035,2123,5496,5662,555,10603,9937,1221,10506,417,108,127,
滑县,304791,3.14,21.52,30713,24592,6121,16077,14636,699,30014,29369,1344,29700,478,203,332,
内黄县,168658,3.56,20.65,16967,14639,2328,12968,3999,497,16470,15676,1291,16574,189,107,97,
林州市,260421,2.57,30.71,25965,23830,2135,18396,7569,2108,23857,23917,2048,23879,1034,276,776,
鹤壁市,355418,3.34,23.03,35283,29355,5928,17224,18059,4343,30940,30783,4500,27545,4041,2629,1068,
鹤山区,35645,2.14,19.12,3526,2745,781,2477,1049,284,3242,2319,1207,1783,709,810,224,
山城区,65919,2.32,19.37,6480,5552,928,5665,815,1504,4976,4404,2076,2020,2562,1467,431,
郊区,28560,2.38,25.34,2776,2386,390,1263,1513,282,2494,2607,169,2375,245,92,64,
浚县,160962,4.65,23.05,16146,13646,2500,5743,10403,761,15385,15413,733,15518,302,136,190,
淇县,64332,2.18,27.43,6355,5026,1329,2076,4279,1512,4843,6040,315,5849,223,124,159,
新乡市,1327765,3.04,23.35,132868,113827,19041,60308,72560,20062,112806,118037,14831,112482,14714,3784,1888,
红旗区,90025,2.42,21.31,8874,7921,953,8792,82,3676,5198,7069,1805,910,6351,1113,500,
新华区,61587,2.27,18.33,6227,5485,742,6161,66,2319,3908,4672,1555,694,4247,999,287,
北站区,23144,2.41,27.02,2211,2061,150,2175,36,475,1736,2008,203,1420,485,256,50,
郊区,37274,3.11,30.60,3687,3423,264,3659,28,1398,2289,3336,351,2806,469,314,98,
新乡县,97946,3.24,28.45,9769,8884,885,8199,1570,1094,8675,9070,699,9309,212,107,141,
获嘉县,89891,3.19,26.74,9015,8065,950,6265,2750,1287,7728,7988,1027,8388,410,129,88,
原阳县,147038,3.46,21.64,14903,12155,2748,370,14533,987,13916,13757,1146,14627,119,43,114,
延津县,112294,3.38,22.64,11288,9623,1665,966,10322,490,10798,10239,1049,10874,243,88,83,
封丘县,169498,3.05,20.10,16872,13318,3554,1484,15388,445,16427,14961,1911,16487,240,53,92,
长垣县,183724,3.32,18.77,18356,15075,3281,1821,16535,1907,16449,17447,909,18020,196,64,76,
卫辉市,118212,3.28,25.94,11848,9493,2355,3865,7983,1098,10750,9067,2781,10829,597,311,111,
辉县市,197132,2.54,27.13,19818,18324,1494,16551,3267,4886,14932,18423,1395,18118,1145,307,248,
焦作市,966158,3.01,26.12,96296,81360,14936,62546,33750,22438,73858,81101,15195,76921,13893,3503,1979,
解放区,71564,2.79,22.91,7103,6317,786,6771,332,2407,4696,5586,1517,1493,4323,1052,235,
中站区,29113,2.52,21.51,2905,2430,475,2444,461,689,2216,2079,826,1604,977,259,65,
马村区,31345,2.41,23.48,3150,2886,264,2654,496,806,2344,2138,1012,1932,913,240,65,
山阳区,63395,2.73,25.09,6288,5705,583,5584,704,2001,4287,5094,1194,2140,3294,592,262,
修武县,65273,2.69,27.09,6582,5790,792,4751,1831,1051,5531,5777,805,6049,274,141,118,
博爱县,102247,2.67,22.74,10174,8297,1877,6042,4132,1359,8815,8276,1898,9349,435,161,229,
武陟县,147511,3.28,22.95,14692,11930,2762,8923,5769,1571,13121,13509,1183,14199,275,92,126,
温县,97058,2.88,27.25,9700,8222,1478,8330,1370,2364,7336,7814,1886,8934,596,75,95,
济源市,158328,3.91,30.22,15801,13233,2568,5651,10150,4796,11005,12987,2814,13259,1615,574,353,
沁阳市,110000,2.42,28.61,10918,9164,1754,3885,7033,3133,7785,10004,914,9891,582,162,283,
孟州市,90324,3.22,28.89,8983,7386,1597,7511,1472,2261,6722,7837,1146,8071,609,155,148,
濮阳市,865063,3.07,19.81,86365,69604,16761,41886,44479,14393,71972,74618,11747,73187,10265,1478,1435,
市区,121956,2.77,21.25,11668,10440,1228,11297,371,6188,5480,10310,1358,4392,6142,731,403,
清丰县,163721,3.07,23.06,16386,15107,1279,14221,2165,4251,12135,15323,1063,14981,1160,92,153,
南乐县,111694,3.80,18.26,11155,9387,1768,8636,2519,1076,10079,9445,1710,10864,187,39,65,
范县,120352,2.98,18.94,12163,7446,4717,1492,10671,728,11435,10186,1977,10985,850,88,240,
台前县,82392,2.87,20.60,8217,5981,2236,455,7762,207,8010,7238,979,7867,203,71,76,
濮阳县,264948,3.00,18.07,26776,21243,5533,5785,20991,1943,24833,22116,4660,24098,1723,457,498,
许昌市,1111399,2.65,22.31,109278,97216,12062,22223,87055,7868,101410,99126,10152,96434,8859,2215,1770,
魏都区,107400,2.50,25.37,9781,8232,1549,8569,1212,3295,6486,6839,2942,3147,5271,1007,356,
许昌县,197537,2.46,22.02,19719,17971,1748,1323,18396,680,19039,18546,1173,18843,574,107,195,
鄢陵县,148097,3.19,21.70,14784,14358,426,1034,13750,494,14290,14574,210,14289,225,153,117,
襄城县,198960,2.09,21.47,19660,15728,3932,1742,17918,375,19285,16658,3002,18643,353,305,359,
禹州市,292694,2.83,22.29,28713,26334,2379,5551,23162,924,27789,27600,1113,26703,996,475,539,
长葛市,166711,2.85,22.49,16621,14593,2028,4004,12617,2100,14521,14909,1712,14809,1440,168,204,
漯河市,619414,2.51,21.41,61007,51162,9845,10566,50441,5672,55335,52197,8810,52963,5609,1393,1042,
源汇区,87328,2.44,27.20,8348,7225,1123,5635,2713,3092,5256,6182,2166,3150,4139,829,230,
舞阳县,147136,2.50,22.30,14576,11910,2666,1650,12926,738,13838,13109,1467,13714,425,165,272,
临颖县,166701,2.44,21.02,16492,14260,2232,1858,14634,1228,15264,14679,1813,15347,701,188,256,
郾城县,218249,2.58,19.22,21591,17767,3824,1423,20168,614,20977,18227,3364,20752,344,211,284,
三门峡,581898,3.05,19.56,57243,41877,15366,33982,23261,5003,52240,34946,22297,41851,8297,5021,2074,
湖滨区,88369,2.23,19.38,8493,6368,2125,7952,541,2108,6385,5529,2964,2212,3913,2034,334,
渑池县,84877,3.81,20.79,8311,5637,2674,2391,5920,427,7884,3411,4900,7092,407,503,309,
陕县,91494,3.03,18.90,9107,5567,3540,5742,3365,421,8686,3093,6014,7583,758,483,283,
卢氏县,96977,2.61,19.75,9679,6937,2742,5666,4013,306,9373,4900,4779,8768,363,353,195,
义马市,38361,3.25,20.73,3694,2791,903,2715,979,433,3261,1709,1985,1313,1367,771,243,
灵宝市,181820,3.30,19.09,17959,14577,3382,9516,8443,1308,16651,16304,1655,14883,1489,877,710,
南阳市,2765001,2.87,22.23,270136,232994,37142,64578,205558,18363,251773,217513,52623,237951,15600,9126,7459,
宛城区,229136,3.78,23.04,22401,16498,5903,9669,12732,3535,18866,14634,7767,16264,4338,1220,579,
卧龙区,229228,2.84,22.99,22307,18745,3562,9688,12619,3756,18551,17038,5269,15839,4279,1580,609,
南召县,159094,2.40,17.00,15646,11941,3705,3101,12545,855,14791,10908,4738,13398,448,1226,574,
方城县,259114,2.90,23.48,25693,22181,3512,3892,21801,756,24937,19822,5871,24286,383,324,700,
西峡县,120911,2.84,24.06,11838,9976,1862,3273,8565,1109,10729,7808,4030,10766,343,418,311,
镇平县,242622,2.76,23.26,23591,21715,1876,4642,18949,1597,21994,21554,2037,22151,488,469,483,
内乡县,169733,2.63,23.36,16475,14827,1648,2736,13739,723,15752,14322,2153,15505,308,391,271,
淅川县,182947,3.48,21.82,18026,15159,2867,4691,13335,767,17259,14063,3963,16124,639,698,565,
社旗县,160070,2.68,19.84,15734,13125,2609,3573,12161,399,15335,12153,3581,14931,270,255,278,
唐河县,326957,2.78,20.83,32044,29301,2743,7004,25040,1275,30769,28737,3307,29315,1121,537,1071,
新野县,194412,2.77,25.28,19134,17353,1781,4951,14183,1046,18088,17095,2039,16585,1208,625,716,
桐柏县,122780,2.70,24.07,11685,10557,1128,2466,9219,1205,10480,9187,2498,9644,895,566,580,
邓州市,367997,2.65,21.42,35562,31616,3946,4892,30670,1340,34222,30192,5370,33143,880,817,722,
商丘市,2065041,2.76,20.55,204794,187723,17071,14951,189843,14272,190522,188341,16453,194378,7235,1839,1342,
梁园区,175594,2.77,20.88,17230,16203,1027,5998,11232,3699,13531,14977,2253,12797,3360,701,372,
睢阳区,193363,2.88,20.32,19033,17558,1475,2308,16725,1663,17370,17415,1618,17679,1053,185,116,
民权县,197258,3.36,16.77,19689,16967,2722,941,18748,850,18839,17692,1997,19126,364,103,96,
睢县,195532,2.49,18.52,19413,17094,2319,707,18706,865,18548,17134,2279,19010,256,69,78,
宁陵县,143245,3.12,22.53,14246,13305,941,316,13930,701,13545,13692,554,13972,128,95,51,
柘城县,235210,2.76,20.30,23324,21934,1390,1102,22222,1523,21801,22288,1036,22962,202,81,79,
虞城县,277522,2.53,18.88,27421,23779,3642,1110,26311,1357,26064,24048,3373,26856,327,105,133,
夏邑县,290636,2.61,21.56,29033,27783,1250,626,28407,1650,27383,28241,792,28336,396,128,173,
永城市,356681,2.69,23.94,35405,33100,2305,1843,33562,1964,33441,32854,2551,33640,1149,372,244,
信阳市,1928519,2.07,24.61,189617,157395,32222,27676,161941,15726,173891,94085,95532,162667,13150,8536,5264,
浉河区,172644,2.12,23.04,16823,14282,2541,7244,9579,3826,12997,9995,6828,9968,4001,2108,746,
平桥区,213403,1.99,24.73,20679,17525,3154,4843,15836,2673,18006,11351,9328,15935,2411,1653,680,
罗山县,176460,2.17,26.60,17390,15176,2214,2660,14730,1554,15836,12377,5013,15171,875,910,434,
光山县,188994,2.45,26.49,18465,14543,3922,1599,16866,1363,17102,4716,13749,16431,808,699,527,
新县,86919,2.32,29.13,8568,7366,1202,2198,6370,536,8032,1093,7475,7241,471,499,357,
商城县,168118,2.23,27.09,16612,12459,4153,1628,14984,989,15623,2950,13662,15180,554,598,280,
固始县,368268,1.78,25.07,36560,29995,6565,2635,33925,1896,34664,22970,13590,33628,1366,812,754,
潢川县,189871,1.95,25.05,18617,16581,2036,2480,16137,1450,17167,14308,4309,16121,1222,703,571,
淮滨县,154091,1.91,20.34,15227,13162,2065,1151,14076,608,14619,8302,6925,13955,595,290,387,
息县,209751,2.17,21.17,20676,16306,4370,1238,19438,831,19845,6023,14653,19037,847,264,528,
周口市,2492569,2.37,18.64,247977,232050,15927,15189,232788,10608,237369,233333,14644,236356,6607,2821,2193,
川汇区,84174,2.94,20.56,8272,7434,838,4700,3572,2141,6131,6266,2006,4659,2732,567,314,
扶沟县,169275,2.05,22.75,16825,16220,605,895,15930,608,16217,16302,523,16141,270,207,207,
西华县,208233,2.20,19.35,20775,19251,1524,1040,19735,829,19946,19246,1529,19522,660,441,152,
商水县,276799,2.76,18.25,27616,25629,1987,602,27014,702,26914,25360,2256,26844,312,265,195,
沈丘县,273855,2.34,18.66,27242,25527,1715,1248,25994,1320,25922,25890,1352,26530,242,239,231,
郸城县,302241,2.48,19.15,30004,27446,2558,643,29361,899,29105,27483,2521,28980,419,322,283,
淮阳县,316068,2.16,16.01,31470,29359,2111,1437,30033,539,30931,29834,1636,30700,334,222,214,
太康县,319036,2.43,18.29,31906,30268,1638,1735,30171,705,31201,31151,755,30963,574,167,202,
鹿邑县,283064,2.15,20.23,28098,26765,1333,728,27370,644,27454,27431,667,27546,236,164,152,
项城市,259824,2.45,16.68,25769,24151,1618,2161,23608,2221,23548,24370,1399,24471,828,227,243,
驻马店市,2046616,2.28,21.43,201821,189637,12184,16149,185672,11397,190424,181489,20332,185132,8829,4695,3165,
驿城区,100090,2.27,24.04,9418,8275,1143,5168,4250,3117,6301,6841,2577,3868,3617,1438,495,
西平县,212627,2.23,22.54,20857,19892,965,1383,19474,1203,19654,19903,954,19619,621,334,283,
上蔡县,308267,2.38,20.27,30577,29230,1347,1320,29257,864,29713,28452,2125,29476,367,318,416,
平舆县,224356,2.27,16.59,22287,20266,2021,621,21666,810,21477,18955,3332,21108,682,160,337,
正阳县,199788,2.02,23.02,19671,17908,1763,1140,18531,778,18893,17867,1804,18131,746,444,350,
确山县,165200,2.20,25.52,16377,15612,765,1549,14828,799,15578,14692,1685,14855,634,547,341,
泌阳县,221129,2.55,22.19,21654,20264,1390,1524,20130,720,20934,19349,2305,20548,392,420,294,
