表4    各种受教育程度人口、平均受教育年限、文盲人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
县市名,6岁及以上各种受教育程度人口（人）,,,,,,,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,, 文盲率（%） ,,
,未上过学,,扫盲班,,小学,,初中,,高中,,中专,,大学专科,,大学本科,,研究生,,合计,男,女,合计,男,女, 合计 , 男 , 女 
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
澧县,12957,39713,2888,6162,169631,172561,158118,129235,38235,21433,8303,7385,6359,3167,1539,474,39,28,7.36,7.85,6.85,53428,13177,40251,7.99,3.85,12.32
临澧县,6018,18946,1435,3355,75385,79632,87261,68889,20962,11153,5534,4479,4094,1943,872,312,25,13,7.58,8.11,7.00,24832,5911,18921,7.36,3.39,11.62
桃源县,19373,44396,3018,4866,220565,191622,163037,141592,37392,25545,11492,11125,6141,3346,1443,584,49,34,7.26,7.57,6.92,63507,19190,44317,8.29,4.79,12.11
石门县,12581,32777,2876,6212,155167,146882,117719,91510,30339,17620,8043,6311,5317,2628,1470,399,16,4,7.21,7.68,6.70,45026,12396,32630,8.13,4.27,12.37
津市市,3472,10611,824,1567,42600,41173,44708,37609,17225,12151,5980,4979,4217,2315,1014,323,16,3,8.03,8.50,7.53,13966,3396,10570,7.08,3.30,11.19
张家界市,29731,72351,7791,17351,307759,303532,270930,212587,62489,35428,24688,21881,15776,7761,3914,1233,144,28,7.32,7.81,6.79,100823,29052,71771,8.63,4.80,12.76
永定区,6847,15595,1675,3998,73229,73650,74715,64008,18641,11932,9593,9172,6652,3988,1970,680,71,7,7.80,8.22,7.35,22107,6661,15446,7.07,4.16,10.14
武陵源区,1019,2188,410,954,9292,8455,8642,6368,2449,1436,1028,1057,791,355,180,34,9,3,7.50,8.02,6.92,3155,992,2163,8.28,4.87,12.21
慈利县,11455,28770,3636,7654,139668,136057,114975,91377,26115,14747,8089,7089,4831,2015,1206,384,36,4,7.22,7.68,6.73,39658,11160,28498,7.81,4.24,11.65
桑植县,10410,25798,2070,4745,85570,85370,72598,50834,15284,7313,5978,4563,3502,1403,558,135,28,14,6.98,7.59,6.31,35903,10239,25664,11.59,6.33,17.35
益阳市,41704,132585,9831,20869,914595,874027,821675,705668,210430,142608,53674,56170,48908,29898,11579,4495,307,119,7.74,8.06,7.39,173599,40922,132677,5.16,2.35,8.18
资阳区,2945,10529,949,2313,79064,78627,75600,65989,20794,14921,5569,6427,6533,4772,1452,740,48,9,7.98,8.29,7.65,13216,2841,10375,4.24,1.79,6.79
赫山区,4385,21308,1519,4220,150988,147743,157867,142632,49337,35865,16731,19680,16679,10864,5316,1972,167,51,8.28,8.62,7.92,25644,4260,21384,3.89,1.27,6.64
南县,8315,26257,1182,2367,143666,138047,142165,122358,34143,23425,6354,6258,6285,3573,1058,427,2,6,7.65,8.00,7.28,34179,8063,26116,6.18,2.83,9.76
桃江县,5444,20002,1581,3609,167743,159695,156387,135067,34408,22284,7288,6714,5934,3307,1231,460,25,15,7.67,7.97,7.35,25184,5226,19958,4.18,1.67,6.87
安化县,15901,39442,2152,3015,241128,221958,136781,105287,35857,22199,9269,8662,6447,3289,1127,349,40,32,7.09,7.45,6.70,55498,15861,39637,7.94,4.29,12.03
沅江市,4714,15047,2448,5345,132006,127957,152875,134335,35891,23914,8463,8429,7030,4093,1395,547,25,6,7.94,8.22,7.63,19878,4671,15207,3.68,1.66,5.86
郴州市,48396,149601,18168,45562,828694,915380,871315,635090,202519,101857,76746,69074,53583,27878,15015,4709,464,86,7.64,8.17,7.07,197778,48249,149529,5.94,2.79,9.33
北湖区,2612,8935,733,1709,42710,45338,58089,47404,24711,18024,11894,12426,9608,6848,3395,1207,130,16,8.86,9.28,8.41,11624,2613,9011,4.57,1.98,7.39
苏仙区,2723,8925,923,2088,47460,50662,70411,58869,22466,15586,9611,11477,9267,6442,3744,1551,155,28,8.69,9.08,8.27,11536,2678,8858,4.16,1.87,6.60
桂阳县,6673,23731,3490,10454,154052,179351,143633,88274,28538,10776,10208,7702,5904,2279,1320,285,24,7,7.29,7.91,6.61,30306,6631,23675,5.54,2.32,9.07
宜章县,5537,15628,3090,6720,99998,113991,115476,87532,20909,8733,8939,6840,4667,1808,919,238,28,6,7.54,8.04,7.00,21089,5523,15566,5.30,2.69,8.08
永兴县,6828,19922,2698,5332,112923,125651,124205,91208,25233,10637,7221,5493,4709,2217,1178,345,33,6,7.49,8.00,6.94,26908,6880,20028,6.05,2.97,9.40
嘉禾县,4450,14783,1798,5277,63704,66617,59388,40607,9929,3907,4749,4169,3046,1101,674,119,15,4,7.15,7.80,6.46,19370,4483,14887,8.63,3.90,13.60
临武县,3141,9757,1303,3544,59095,64906,66418,47727,12951,5361,4345,3870,2790,1197,617,120,15,4,7.54,8.06,6.97,12777,3107,9670,5.46,2.53,8.68
汝城县,5537,15229,1342,3810,79374,84163,62455,40699,13028,5005,4284,3183,3002,1256,554,144,16,7,7.10,7.68,6.46,20635,5475,15160,7.79,3.95,12.00
桂东县,1923,6100,428,1087,37616,41348,30369,22119,6385,2467,2562,1811,1685,784,331,79,6,1,7.33,7.86,6.76,7938,1895,6043,6.22,2.86,9.83
安仁县,6348,17148,1244,2322,75495,82582,67994,49134,14933,6495,4944,4567,3709,1557,813,179,26,4,7.29,7.84,6.70,23595,6364,17231,8.57,4.48,12.90
资兴市,2624,9443,1119,3219,56267,60771,72877,61517,23436,14866,7989,7536,5196,2389,1470,442,16,3,8.18,8.64,7.69,12000,2600,9400,4.23,1.78,6.84
永州市,70727,205438,17323,40721,975182,1019091,1195231,907103,255729,119771,74979,64749,53440,25519,12136,3266,326,112,7.65,8.15,7.11,271352,67808,203544,6.57,3.14,10.34
芝山区,4428,16458,1853,5809,79018,92337,126841,101446,36598,16307,9802,11714,10365,6744,2773,903,88,14,8.23,8.77,7.65,20550,4248,16302,4.73,1.89,7.78
冷水滩区,4777,14522,1420,3020,54654,60408,90807,81490,32095,18280,10369,9252,8621,4589,2603,844,59,30,8.42,8.93,7.87,19225,4662,14563,5.86,2.78,9.07
祁阳县,15998,46531,2708,5328,152063,150555,233799,188796,36209,17673,11373,9458,7572,3188,1437,468,42,19,7.61,8.09,7.08,61975,15581,46394,8.39,4.06,13.07
东安县,7662,20970,1318,2445,85737,89703,136955,114402,31853,16525,6643,4951,4293,1968,760,175,19,8,7.88,8.32,7.41,28271,7457,20814,6.46,3.27,9.94
双牌县,2487,8772,358,940,30221,32093,32806,22554,8998,3942,3009,2178,2158,809,417,88,10,4,7.54,8.23,6.77,11209,2442,8767,8.93,3.67,14.85
道县,7244,16735,3189,6596,123949,121810,148425,99024,25445,11029,9583,7766,4596,1799,1097,221,30,6,7.60,8.01,7.09,23654,7018,16636,4.90,2.69,7.51
江永县,2911,7760,1408,4608,43584,53595,48371,31423,13201,5393,3126,2476,2142,943,377,82,12,3,7.45,8.11,6.73,10497,2831,7666,5.85,3.04,8.87
宁远县,7935,25753,1553,4302,161648,164858,154448,111202,29437,11694,7383,5318,4821,1578,971,156,15,5,7.38,7.86,6.84,32622,7390,25232,5.77,2.48,9.43
蓝山县,6173,18354,630,1643,70145,70736,63384,44548,12306,6109,4316,4145,2939,1314,557,105,29,12,7.22,7.77,6.61,24201,5893,18308,9.82,4.59,15.50
新田县,5105,11663,1952,3339,71361,73421,76211,61231,14289,6994,4819,4133,3032,1457,644,118,11,2,7.51,7.90,7.09,16340,4891,11449,6.11,3.52,8.91
江华瑶族自治县,6007,17920,934,2691,102802,109575,83184,50987,15298,5825,4556,3358,2901,1130,500,106,11,9,7.12,7.67,6.51,22808,5395,17413,7.05,3.16,11.40
怀化市,82275,221327,26090,64855,931981,937907,883246,661834,204041,110274,78215,68416,47085,23424,10198,3127,308,88,7.35,7.89,6.77,300774,80420,220354,8.33,4.29,12.67
鹤城区,3329,7965,1286,3495,42896,43679,57677,53036,26114,20460,18136,20024,13230,8752,4336,1610,146,24,9.14,9.52,8.75,11123,3232,7891,3.97,2.25,5.75
中方县,6186,12761,1668,3928,51034,51414,45621,32735,8170,3224,2881,1755,1061,355,138,52,0,2,6.90,7.44,6.30,19117,6205,12912,10.58,6.55,15.03
沅陵县,9111,27703,5473,15522,120082,120319,121178,83984,26790,13513,8264,6084,4610,2027,722,202,19,7,7.19,7.82,6.49,36366,8767,27599,7.68,3.53,12.28
辰溪县,12003,30360,2379,6342,97008,95487,90606,66943,20576,11161,7337,6331,4182,1871,758,186,19,3,7.12,7.71,6.49,41788,11707,30081,11.29,6.12,16.82
溆浦县,16533,39026,5963,12507,172906,172727,148014,112208,33767,16302,8668,6735,5110,1944,913,205,34,12,7.08,7.59,6.52,55334,16333,39001,8.92,5.07,13.06
会同县,3614,13845,1566,5301,65021,69524,68437,50578,14770,6356,4227,3134,2558,1036,409,90,7,5,7.36,7.98,6.70,17258,3491,13767,6.65,2.62,10.91
麻阳苗族自治县,8490,21464,804,1660,65652,71297,63526,46198,13887,5855,4340,3219,2735,1062,462,95,20,7,7.10,7.73,6.44,29869,8392,21477,11.83,6.48,17.45
新晃侗族自治县,5586,18030,637,1956,55082,48804,45397,27760,9289,4336,3773,2806,2043,881,363,76,9,1,6.96,7.65,6.15,23022,5210,17812,12.09,5.15,19.94
芷江侗族自治县,4024,10748,2298,4293,73988,71318,61295,47109,11429,6631,5426,5091,2418,1174,512,172,21,10,7.34,7.71,6.92,14520,3920,10600,5.66,2.93,8.63
靖州苗族侗族自治县,2441,9676,592,1755,45489,50069,52694,39937,10574,5221,3760,3481,2383,1098,432,113,5,3,7.61,8.15,7.04,11985,2380,9605,6.48,2.50,10.67
通道侗族自治县,3194,10239,1187,3626,51451,53067,33835,20617,5804,2553,3100,2277,1525,672,248,81,17,10,6.84,7.46,6.16,13288,3092,10196,8.49,3.79,13.59
洪江市,7764,19510,2237,4470,91372,90202,94966,80729,22871,14662,8303,7479,5230,2552,905,245,11,4,7.62,8.03,7.18,27104,7691,19413,7.04,3.89,10.38
娄底市,38748,151717,11744,25594,726286,718849,725944,602985,205637,119733,58003,56101,42986,24763,13099,4680,462,208,7.73,8.21,7.23,189915,38120,151795,6.63,2.58,10.92
娄星区,1142,6674,755,2083,48743,48431,69728,65930,32613,26080,17818,20607,14247,10003,5635,2339,194,55,9.35,9.67,9.02,7822,1122,6700,2.45,0.69,4.28
双峰县,7139,33962,3278,6548,152789,146337,181576,161269,43242,23798,8108,6848,6633,3457,1424,480,70,41,7.70,8.16,7.21,41143,7117,34026,6.39,2.16,10.82
新化县,19079,63277,3543,7137,283693,282802,206990,149491,54888,25951,11401,9323,7538,3424,1671,466,90,57,7.11,7.66,6.51,81410,18610,62800,9.03,3.96,14.52
冷水江市,3080,12576,1055,2459,49827,52120,63472,56082,26235,17024,10315,10424,7500,4321,2498,770,41,5,8.44,8.96,7.89,15720,3069,12651,5.90,2.26,9.71
涟源市,8308,35228,3113,7367,191234,189159,204178,170213,48659,26880,10361,8899,7068,3558,1871,625,67,50,7.64,8.08,7.16,43820,8202,35618,5.97,2.17,9.99
湘西土家族苗族自治州,69905,177950,7278,16172,546529,541109,373804,252847,88040,45120,47101,41153,23323,10926,8887,3843,137,35,6.91,7.54,6.24,235184,63590,171594,13.33,6.97,20.13
吉首市,6680,19103,836,1490,52511,49105,41362,31496,14399,10359,10964,13403,6999,4435,6124,3157,94,15,8.03,8.60,7.43,24521,6079,18442,10.84,5.23,16.79
泸溪县,4435,15631,1027,3692,61727,65206,38877,21455,7391,3094,3743,2785,2083,719,348,76,3,4,6.72,7.46,5.93,18417,3693,14724,10.49,4.08,17.28
凤凰县,12812,25845,1279,2002,79048,78407,52442,36351,9666,4722,5839,4356,2457,936,407,103,9,3,6.64,7.19,6.04,36049,11539,24510,14.72,9.09,20.77
花垣县,8474,18779,888,1515,55311,53863,40033,28426,8583,4722,4478,3367,1750,805,280,76,8,5,6.79,7.36,6.19,25327,7508,17819,13.87,7.92,20.28
保靖县,8913,21035,637,1099,61844,56337,39651,27231,8927,4377,4167,3193,1992,795,311,77,3,0,6.69,7.29,6.03,28761,8297,20464,15.00,8.20,22.58
古丈县,3285,7910,528,1508,27526,26062,17890,11235,5142,2576,2591,1982,1168,504,197,58,5,1,6.92,7.56,6.20,10546,2941,7605,12.19,6.37,18.87
永顺县,11941,33687,1237,2753,99625,99677,67551,44500,16789,7829,7838,6265,3471,1351,658,156,11,5,6.81,7.50,6.07,44008,11093,32915,13.83,6.77,21.30
龙山县,13365,35960,846,2113,108937,112452,75998,52153,17143,7441,7481,5802,3403,1381,562,140,4,2,6.79,7.45,6.10,47555,12440,35115,14.04,7.20,21.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,870643,3027327,184579,579981,13342274,14881999,16520881,14740547,5150815,3031104,1441141,1395321,1265235,781076,613595,293796,57434,20187,8.07,8.59,7.55,3343069,556863,2786206,5.17,1.72,8.60
广州市,47622,217962,10177,41281,1129607,1252411,1971909,1710990,819395,595507,316852,303103,298754,227061,230109,135036,24866,10519,9.28,9.70,8.83,232841,29027,203814,2.80,0.67,5.09
东山区,1412,8493,303,1893,38837,46034,69423,60648,60336,59484,22949,28337,36665,33679,36371,22200,4044,1692,11.05,11.43,10.66,8727,729,7998,1.80,0.30,3.34
荔湾区,1927,11884,763,3485,43597,51901,76140,60885,62615,58645,16609,17226,17632,15113,9757,5612,536,209,9.79,10.21,9.36,12385,1204,11181,3.03,0.58,5.51
越秀区,983,6697,254,1750,27285,35180,48852,41841,42215,41112,11795,14084,16114,14615,13336,9697,1203,504,10.35,10.75,9.95,6927,574,6353,2.34,0.39,4.22
海珠区,5191,23537,1016,5250,107328,120817,228423,183167,131127,109544,50769,46761,49677,38904,42669,26989,4618,2064,9.99,10.36,9.58,25914,3180,22734,2.39,0.56,4.44
天河区,3797,13411,750,2084,84352,85092,181541,142304,100583,74196,51643,55774,67174,51863,75678,43285,10754,4609,10.84,11.15,10.47,14267,2261,12006,1.48,0.43,2.76
芳村区,1919,8969,590,1789,37211,37369,70383,52334,31659,22651,13599,9858,7035,5390,4315,2110,240,84,9.08,9.50,8.59,9829,1364,8465,3.49,0.89,6.61
白云区,7401,35348,1708,7649,189092,202462,395357,351941,143445,91074,57758,48340,43066,29699,22351,14533,2159,1024,9.10,9.50,8.67,38935,4797,34138,2.64,0.62,4.87
黄埔区,1946,7205,390,1201,38242,38149,85224,69497,37176,23302,18704,13255,12928,7949,7747,3219,462,121,9.49,9.89,8.99,8026,1297,6729,2.38,0.70,4.48
番禺区,5854,34781,1844,8808,212999,259219,366324,361965,98169,56013,34593,32938,23848,15767,10036,4456,590,162,8.46,8.91,8.02,37910,4363,33547,2.77,0.65,4.80
花都区,5610,27823,589,1853,107109,108808,160268,138410,43045,24849,15651,14029,8979,5600,3131,1288,123,21,8.18,8.67,7.67,28888,3118,25770,5.15,1.08,9.46
增城市,6574,18679,1377,3425,162080,182678,187254,155986,40534,18744,12948,12489,9902,5322,2942,946,89,16,7.89,8.28,7.47,19626,3552,16074,2.89,1.02,4.88
从化市,5008,21135,593,2094,81475,84702,102720,92012,28491,15893,9834,10012,5734,3160,1776,701,48,13,7.96,8.46,7.44,21407,2588,18819,5.78,1.39,10.23
韶关市,32816,157252,6762,25365,479643,541517,493534,332682,161284,91014,53956,45822,53279,26566,12978,4128,447,103,7.68,8.47,6.84,173033,23788,149245,8.52,2.29,15.05
北江区,1145,4421,400,557,18328,16082,24845,18033,14591,10947,4952,5014,5807,3560,1994,650,88,31,9.22,9.62,8.74,5070,889,4181,4.35,1.38,8.01
武江区,1828,6679,151,541,20213,21918,31715,28730,18039,15886,7813,8795,7108,5106,2988,1161,112,23,9.32,9.78,8.86,7047,979,6068,4.50,1.25,7.76
浈江区,1434,6701,289,805,24090,24996,35124,28051,20843,15633,6492,5842,10672,6074,3128,1086,124,24,9.33,9.90,8.69,7193,970,6223,4.27,1.08,7.92
曲江县,5234,22113,561,1645,63993,71640,75165,52009,18165,9303,5558,5091,4747,2280,895,270,28,7,7.52,8.24,6.76,25017,4019,20998,9.19,2.87,15.90
始兴县,1937,13117,272,1877,35927,47001,38244,25952,9928,4178,3023,1994,2972,1195,436,115,4,3,7.34,8.30,6.40,14068,1273,12795,9.46,1.76,16.70
仁化县,1559,8460,554,2448,29661,33204,30608,20356,8717,4524,3144,2708,2905,1306,597,165,14,2,7.58,8.39,6.73,9666,1340,8326,8.02,2.16,14.22
翁源县,3923,18970,720,2931,60890,66671,56037,40245,15246,6431,4402,3393,3784,1307,516,127,16,,7.27,8.07,6.45,19830,2379,17451,9.18,2.18,16.35
乳源瑶族自治县,3396,11655,649,1660,37591,40519,31153,17081,7648,3483,3089,2226,2181,934,455,94,17,1,7.07,7.86,6.20,13248,2563,10685,10.15,3.71,17.39
新丰县,2858,11550,348,893,32279,33935,32014,25936,9548,4582,2673,2113,2148,891,212,43,4,,7.40,8.12,6.66,12183,1745,10438,9.83,2.81,16.85
乐昌市,6481,22971,2333,8329,85702,88831,76048,46332,19925,9607,7382,5574,6110,2447,1041,267,18,9,7.23,8.00,6.38,27021,5100,21921,8.69,3.11,14.91
南雄市,3021,30615,485,3679,70969,96720,62581,29957,18634,6440,5428,3072,4845,1466,716,150,22,3,6.96,8.20,5.75,32690,2531,30159,12.23,1.96,21.82
深圳市,21438,68674,3195,8113,378221,467362,1637602,2014379,699691,454250,198625,215059,202145,140787,132004,62141,20546,6470,9.77,10.16,9.40,79842,15727,64115,1.24,0.51,1.94
罗湖区,2177,8372,268,942,45197,47849,139737,141402,105913,87872,24100,31074,36611,28701,21743,11569,2953,972,10.46,10.75,10.17,9006,1345,7661,1.31,0.38,2.28
福田区,1746,6482,361,1000,48942,48017,148252,146297,109624,89055,31340,41487,56786,47769,48211,26408,9385,3211,11.06,11.33,10.76,7382,1255,6127,0.92,0.30,1.60
南山区,2422,6784,259,630,36654,36201,137401,143763,90532,62656,24040,29456,33744,26696,32097,15558,6558,1875,10.64,10.97,10.27,7512,1481,6031,1.16,0.43,1.96
宝安区,9346,28412,1335,2805,140627,184877,726662,946865,236860,126246,75806,72054,45876,22085,17528,4740,823,205,9.31,9.69,8.96,34003,7385,26618,1.33,0.62,1.97
龙岗区,5292,17084,917,2561,99030,142401,452338,592921,137638,75658,37682,35376,25087,13119,10354,3079,648,160,9.16,9.55,8.82,20119,3913,16206,1.27,0.54,1.90
盐田区,455,1540,55,175,7771,8017,33212,43131,19124,12763,5657,5612,4041,2417,2071,787,179,47,9.88,10.25,9.52,1820,348,1472,1.29,0.51,2.05
珠海市,9721,33150,1468,4429,133315,145962,227872,240541,111800,84353,32457,36126,34471,25533,20480,9807,1778,615,9.14,9.57,8.72,41487,7761,33726,4.06,1.55,6.49
香洲区,4525,14903,720,2212,65872,73761,153487,176228,86388,69616,24856,27971,29127,22806,18750,9158,1740,603,9.74,10.13,9.37,19351,3735,15616,2.70,1.07,4.24
斗门县,5196,18247,748,2217,67443,72201,74385,64313,25412,14737,7601,8155,5344,2727,1730,649,38,12,7.88,8.43,7.32,22136,4026,18110,7.28,2.65,11.93
汕头市,49041,151389,12405,43373,894859,1131041,784176,542883,236379,123018,44048,47013,45095,29337,19060,8553,1041,353,7.48,8.07,6.90,166407,29782,136625,5.17,1.87,8.43
达濠区,4282,13623,551,1631,35387,39832,28593,20111,8498,3603,1533,1774,927,500,191,97,7,2,6.84,7.60,6.09,13980,2352,11628,11.51,3.95,18.80
龙湖区,2491,7625,297,954,35809,42760,40166,36588,19599,14641,5537,6988,7984,5798,4153,1905,270,70,8.76,9.26,8.27,8238,1494,6744,4.19,1.54,6.77
金园区,4531,16226,666,2142,56031,69694,63553,57968,47304,36844,12442,14218,16960,12914,7436,3414,413,134,9.08,9.66,8.50,17974,3025,14949,5.03,1.72,8.21
升平区,4399,15610,611,1723,47742,53728,45105,34937,22226,14649,5481,5110,5006,3290,4925,2395,323,132,8.06,8.75,7.35,17297,3046,14251,7.77,2.70,13.00
河浦区,1575,7002,351,1397,15846,18456,13289,6190,1823,488,343,239,262,78,43,11,0,1,6.26,7.32,5.22,7965,1159,6806,15.95,4.65,27.19
南澳县,2165,7460,191,499,14543,13985,9529,6531,3859,1961,1186,1061,1391,589,128,22,9,0,6.86,7.82,5.88,8603,1664,6939,16.93,6.48,27.59
潮阳市,18633,50995,6394,24371,519882,683347,434401,269453,90589,30749,11046,10178,6730,2867,1006,280,6,9,7.14,7.69,6.59,54503,9417,45086,3.44,1.19,5.67
澄海市,10965,32848,3344,10656,169619,209239,149540,111105,42481,20083,6480,7445,5835,3301,1178,429,13,5,7.28,7.87,6.70,37847,7625,30222,5.96,2.44,9.37
佛山市,34266,151815,8947,23098,744797,792654,1241683,1035427,362291,224181,99037,97357,79219,54451,40888,18548,2103,508,8.43,8.85,7.97,164129,22264,141865,3.68,0.96,6.63
城区,1294,7802,290,1320,28490,34473,43373,43733,30524,25718,10889,12704,14655,12115,8101,3981,500,129,9.82,10.36,9.31,8333,810,7523,3.29,0.65,5.83
石湾区,2807,10550,667,1524,49896,49551,118938,101159,33557,20678,13099,13223,10203,7143,6693,3747,543,153,9.01,9.34,8.62,11665,1844,9821,2.83,0.84,5.09
顺德市,12135,48375,3636,9589,243403,260358,388466,307239,124874,81716,23601,23223,22383,15239,11826,4733,596,97,8.35,8.78,7.87,52081,7425,44656,3.72,1.01,6.71
南海市,12250,55093,2820,6562,308360,333240,531508,452029,124718,69427,34319,34546,22248,14736,10353,4650,366,90,8.28,8.66,7.86,60921,8823,52098,3.37,0.94,5.97
三水市,4000,18781,919,2223,70817,72567,93625,74701,25878,14584,10072,8398,5577,3082,2365,866,49,22,8.01,8.56,7.41,19355,2255,17100,5.51,1.23,10.17
高明市,1780,11214,615,1880,43831,42465,65773,56566,22740,12058,7057,5263,4153,2136,1550,571,49,17,8.29,8.84,7.68,11774,1107,10667,4.93,0.88,9.46
江门市,33567,143535,7922,25163,670058,720856,753705,704526,249702,157766,56802,53779,41431,24066,18756,7263,724,190,7.95,8.43,7.46,157898,21817,136081,5.15,1.44,8.78
蓬江区,1661,8367,464,1555,35538,41145,60002,57989,33567,26398,11430,12521,12303,9241,9584,4111,517,133,9.50,10.01,8.99,9241,1155,8086,3.15,0.78,5.54
江海区,1413,6349,379,1540,27914,32087,37878,33104,14452,8523,3957,4384,1722,1131,819,281,23,1,8.17,8.70,7.64,6929,985,5944,4.53,1.29,7.78
台山市,8050,30111,2445,8750,184304,191962,175707,163255,54332,34237,9734,7741,6174,2625,1682,575,74,25,7.67,8.10,7.23,35433,5587,29846,4.86,1.55,8.11
新会市,8376,39839,1461,4679,161313,177857,170326,152943,64277,39012,14401,13205,9474,5314,3350,1155,65,21,7.87,8.43,7.31,42818,5273,37545,5.89,1.46,10.24
开平市,5809,27790,981,3435,114431,127189,125477,123572,37585,24780,6630,6749,4944,2463,1549,521,20,2,7.74,8.24,7.27,29452,3502,25950,5.90,1.47,9.93
鹤山市,2547,12982,779,1980,62294,64503,90547,90422,20612,12755,6244,5462,3678,2109,1145,475,15,6,8.05,8.46,7.66,14220,1798,12422,4.36,1.12,7.52
恩平市,5711,18097,1413,3224,84264,86113,93768,83241,24877,12061,4406,3717,3136,1183,627,145,10,2,7.60,8.07,7.11,19805,3517,16288,5.91,2.07,9.84
湛江市,120517,293964,27860,63742,1188622,1211332,990421,739410,290422,144736,79543,75387,70176,38426,28565,11694,1056,298,7.34,7.89,6.74,346534,81816,264718,8.74,4.03,13.69
赤坎区,2181,6493,390,1087,22472,22148,31528,32005,24439,20399,8583,10528,9710,7570,6280,4198,294,81,9.78,10.16,9.39,7337,1377,5960,4.05,1.53,6.53
霞山区,3816,10886,687,1513,41449,41223,56170,55499,40415,33049,12991,16467,16911,11976,8752,4125,489,159,9.58,9.98,9.15,12493,2495,9998,4.13,1.64,6.63
坡头区,6023,14407,1690,3465,69750,70848,53434,40362,15824,6508,3356,2660,2754,1702,1580,450,37,6,7.23,7.77,6.64,17737,4424,13313,8.36,4.03,13.01
麻章区,10071,21657,2315,3694,82959,81051,66030,49122,15581,6309,8243,7374,3411,2209,6129,1585,44,19,7.30,7.86,6.67,27385,7833,19552,9.97,5.42,15.03
遂溪县,19185,41234,3873,6616,153789,153493,142896,112786,36413,16394,10312,8877,7704,3751,1193,345,28,14,7.26,7.76,6.71,48309,12328,35981,9.12,4.50,14.07
徐闻县,9914,28335,2525,7764,135946,142651,97742,68711,25881,10809,7440,5949,5916,2146,720,137,27,1,7.08,7.70,6.42,32803,6628,26175,7.96,3.15,12.98
廉江市,22112,53259,5589,13693,250586,241714,205846,159563,49250,21473,11898,9819,8690,3507,1445,349,36,4,7.16,7.66,6.60,61712,14747,46965,8.09,3.75,12.68
雷州市,34320,84656,5442,13187,267215,285184,198438,109730,49184,16590,11399,8185,9185,2930,1468,246,47,4,6.68,7.43,5.85,100849,23510,77339,12.87,5.78,20.54
吴川市,12895,33037,5349,12723,164456,173020,138337,111632,33435,13205,5321,5528,5895,2635,998,259,54,10,7.13,7.66,6.57,37909,8474,29435,7.50,3.38,11.54
茂名市,106730,296428,13378,35114,1115646,1101076,793576,634324,235354,111926,55636,49247,54590,26391,13409,4163,628,76,7.14,7.71,6.53,336794,68941,267853,10.06,4.09,16.12
茂南区,6583,23936,821,3076,105699,106168,94405,88049,50972,35131,14275,13911,20806,12227,7400,2724,407,57,8.49,9.04,7.92,27045,4168,22877,5.90,1.79,10.13
电白县,40489,101131,5629,13802,340346,317101,217776,148347,51170,20817,10896,11935,9237,3997,1639,368,97,8,6.66,7.27,5.99,118144,27362,90782,12.69,5.71,20.09
高州市,22253,70573,2069,6700,266166,275280,186646,141601,54448,20984,12367,9485,10080,4639,2211,597,58,5,7.04,7.69,6.37,78627,13692,64935,10.08,3.52,16.58
化州市,18443,44664,3605,8433,209942,198913,163873,149791,44084,20317,8434,7179,8060,3006,1125,243,54,5,7.23,7.68,6.76,54950,13484,41466,8.77,4.31,13.23
信宜市,18962,56124,1254,3103,193493,203614,130876,106536,34680,14677,9664,6737,6407,2522,1034,231,12,1,6.93,7.54,6.31,58028,10235,47793,10.54,3.76,17.15
肇庆市,37050,165759,7614,36007,617652,734769,602233,442570,144312,70672,50246,42363,40401,22135,9577,3408,416,102,7.41,8.13,6.69,162081,15761,146320,6.82,1.35,12.10
端州区,2681,11578,216,1020,32622,37610,58415,61518,35006,27615,16971,18856,17331,12809,6272,2586,332,78,9.64,10.17,9.12,11252,1028,10224,3.67,0.69,6.52
鼎湖区,1212,9013,142,573,26702,30397,25821,19552,6228,2718,2459,1917,1304,630,252,77,12,1,7.34,8.14,6.56,9309,738,8571,9.10,1.48,16.40
广宁县,4251,23002,1357,4673,77513,87501,73732,57144,13604,5592,4778,3690,3107,1204,419,78,7,,7.13,7.86,6.40,25484,2716,22768,9.00,1.99,15.54
怀集县,13073,37843,2423,10695,147829,195220,114036,67819,20877,7117,7209,3622,4950,1710,487,77,10,2,6.73,7.52,5.98,31926,3619,28307,7.14,1.69,12.16
封开县,5095,21121,978,3689,75980,90750,66321,41674,15868,5976,4500,2517,3368,1257,440,99,9,2,7.07,7.87,6.24,20456,2122,18334,7.90,1.63,14.22
德庆县,2904,12937,633,3049,55297,60577,61005,46389,16553,6907,3514,2518,3097,1231,435,105,14,2,7.55,8.21,6.85,13299,1544,11755,6.05,1.36,11.08
高要市,4902,32516,816,5469,134740,158049,113118,78200,17180,5639,4873,4207,3316,1513,424,125,13,14,6.99,7.70,6.29,32526,2276,30250,7.30,1.05,13.21
