表4    各种受教育程度人口、平均受教育年限、文盲人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
县市名,6岁及以上各种受教育程度人口（人）,,,,,,,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,, 文盲率（%） ,,
,未上过学,,扫盲班,,小学,,初中,,高中,,中专,,大学专科,,大学本科,,研究生,,合计,男,女,合计,男,女, 合计 , 男 , 女 
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
唐山市,59664,201541,80659,143753,1137350,1172566,1474699,1211582,372685,298821,120392,133840,76955,65479,38405,23311,1014,360,7.93,8.29,7.55,401131,117741,283390,7.15,4.14,10.26
路南区,2366,8834,2508,6193,37343,37789,71743,57825,22778,21133,10878,12403,6126,5060,6622,3909,231,116,8.85,9.22,8.45,16405,3798,12607,5.89,2.67,9.26
路北区,2085,10607,2502,8103,43746,43482,105405,95475,45386,46315,26984,35523,23817,23047,16302,10975,620,210,9.95,10.24,9.68,19116,3747,15369,3.92,1.56,6.20
古冶区,4535,17031,1284,3390,51508,48303,91304,77466,22479,22196,7437,8094,4039,2954,1815,744,13,5,8.21,8.59,7.82,21692,4460,17232,6.71,2.73,10.78
开平区,2602,9231,1186,3330,39004,36071,62554,50139,13837,13288,6052,6546,2958,2507,1196,633,19,6,8.20,8.52,7.85,13719,2983,10736,6.18,2.61,9.99
新区,932,4029,1941,1935,18337,19430,31979,29793,11694,11519,5503,5875,3869,3329,2374,1091,26,3,8.91,9.19,8.63,7882,2596,5286,5.93,3.94,7.90
丰润县,4525,18546,8936,18972,130574,133810,150869,125366,32023,22743,8514,8571,3774,2914,868,556,4,1,7.54,7.95,7.13,43417,11653,31764,7.75,4.11,11.47
滦县,5732,17107,6255,12662,101861,105884,110584,82432,21952,15249,6341,7845,3389,3029,883,687,6,2,7.43,7.84,7.00,33715,9648,24067,8.03,4.49,11.74
滦南县,5105,18361,7939,14178,104664,111885,115243,88649,27411,19195,5339,4963,3511,2613,856,551,6,,7.42,7.88,6.95,35742,10678,25064,7.81,4.59,11.15
乐亭县,3767,14006,5436,10009,94209,85371,97183,86761,27009,24294,6405,6763,3353,3008,955,585,10,3,7.74,8.01,7.47,26849,7586,19263,6.60,3.66,9.63
迁西县,5338,11926,2994,5420,55624,58937,72230,60216,24117,15591,4380,4310,2973,2152,808,435,7,1,7.82,8.23,7.40,22591,7272,15319,8.32,5.22,11.57
玉田县,4364,18813,9088,16481,117487,125413,143589,115897,26184,17167,6115,6407,3343,2362,851,503,11,3,7.45,7.88,7.01,39035,11237,27798,7.67,4.39,10.99
唐海县,1849,6526,220,654,21280,23568,28897,22658,7069,5344,3223,3499,1876,1463,496,237,9,,7.98,8.46,7.48,7966,1636,6330,7.24,2.96,11.58
遵化市,5918,15937,8957,16899,111978,111789,151740,131692,33414,24554,7291,8102,4547,3770,1009,613,20,2,7.73,8.05,7.40,40496,12686,27810,7.74,4.77,10.81
