表1    总人口、户籍人口、少数民族人口比重、非农业户口人口比重、城乡人口、家庭户人口、家庭户类别（全部数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,总人口（人）,,,总人口,户籍人口（人）,少数民族人口比重,非农业户口人口比重,城乡人口（人）,,家庭户,,,,家庭户类别（户）,,,
,合计,男,女,性别比,,（%）,（%）,城镇,乡村,户数（户）,人口数（人）,户规模（人/户）,其中：一人户(户),一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,,,,,
仓山区,482039,244768,237271,103.16,335089,0.45,45.60,482039,,111321,367055,3.30,12109,28918,60569,21078,756
马尾区,203527,102944,100583,102.35,154563,0.39,26.36,143425,60102,50441,169591,3.36,5373,13291,29048,7874,228
晋安区,510611,266406,244205,109.09,227346,1.18,45.96,479001,31610,143732,411654,2.86,23662,54600,69932,18591,609
闽侯县,580048,304434,275614,110.46,603518,0.42,9.84,142629,437419,153673,556515,3.62,14074,28839,85630,37148,2056
连江县,599962,310781,289181,107.47,620824,2.21,10.06,216481,383481,154655,581624,3.76,10561,22688,97725,32994,1248
罗源县,232351,123963,108388,114.37,249176,8.03,13.22,71012,161339,63474,222635,3.51,5904,13427,38351,11184,512
闽清县,288598,152287,136311,111.72,298030,0.28,15.02,85143,203455,75908,275611,3.63,5411,13793,44927,16406,782
永泰县,324344,168196,156148,107.72,356281,1.45,10.00,81755,242589,83963,317817,3.79,6288,14106,50358,18634,865
平潭县,371922,187000,184922,101.12,386628,1.59,9.65,73876,298046,95990,367221,3.83,5223,14942,67848,12730,470
福清市,1174540,597890,576650,103.68,1200129,0.75,12.77,376310,798230,287222,1097187,3.82,21723,50656,177582,56113,2871
长乐市,689815,358963,330852,108.50,692846,0.28,12.26,279122,410693,188190,638893,3.39,25215,48925,114689,23781,795
厦门市,2053070,1061697,991373,107.09,1317765,1.21,37.58,1454450,598620,547540,1610338,2.94,90888,210473,267899,67096,2072
鼓浪屿区,19640,9860,9780,100.82,16368,0.87,82.34,19640,,5760,16605,2.88,860,1808,2984,951,17
思明区,136579,70516,66063,106.74,104748,1.56,73.64,136579,,34715,97937,2.82,5939,11742,18405,4478,90
开元区,527037,277167,249870,110.92,295682,1.46,61.48,527037,,161389,416232,2.58,34399,72156,75516,13555,162
杏林区,227007,116906,110101,106.18,139421,0.95,34.54,156386,70621,54715,167500,3.06,7788,20835,26263,7334,283
湖里区,413316,215867,197449,109.33,113772,2.03,31.59,413316,,107930,272893,2.53,25303,63254,38037,6493,146
集美区,148678,74864,73814,101.42,101719,1.03,29.93,67368,81310,35297,107709,3.05,5504,12574,17626,4909,188
同安区,580813,296517,284296,104.30,546055,0.49,13.26,134124,446689,147734,531462,3.60,11095,28104,89068,29376,1186
莆田市,2727923,1316455,1411468,93.27,2980174,0.84,12.07,795549,1932374,663845,2575483,3.88,47414,107890,354538,188179,13238
城厢区,230816,112373,118443,94.88,161446,0.69,46.45,230816,,57043,192927,3.38,6574,14221,27791,14149,882
涵江区,213110,104205,108905,95.68,186512,1.31,25.40,213110,,50740,189341,3.73,4295,9732,25159,14795,1054
莆田县,1428558,672956,755602,89.06,1626752,0.41,6.49,183198,1245360,331509,1357766,4.10,21004,45188,165904,111400,9017
仙游县,855439,426921,428518,99.63,1005464,1.49,8.71,168425,687014,224553,835449,3.72,15541,38749,135684,47835,2285
三明市,2574075,1353844,1220231,110.95,2656093,0.98,24.18,993510,1580565,711373,2477497,3.48,61999,150311,412133,142742,6187
梅列区,156874,82821,74053,111.84,128614,1.10,65.63,142250,14624,49910,143111,2.87,6704,16578,28357,4854,121
三元区,180231,95210,85021,111.98,146766,0.76,53.56,147147,33084,52958,163307,3.08,5970,15463,30794,6478,223
明溪县,109102,56641,52461,107.97,115059,0.44,20.06,31910,77192,29704,107214,3.61,2421,5694,16711,6924,375
清流县,135660,71930,63730,112.87,144420,1.45,17.11,38180,97480,37523,130688,3.48,4110,8370,20586,8175,392
宁化县,298434,152586,145848,104.62,345039,2.38,12.25,59788,238646,81331,295529,3.63,6087,14336,44558,21396,1041
大田县,331019,173228,157791,109.78,365280,0.37,11.16,80565,250454,86559,323192,3.73,7385,17317,52734,15870,638
尤溪县,392759,208981,183778,113.71,419392,0.45,13.17,80152,312607,99990,385531,3.86,5175,13253,60583,25111,1043
沙县,228548,120889,107659,112.29,239282,0.62,26.01,99592,128956,64928,219151,3.38,5766,14219,38024,12111,574
将乐县,158491,83271,75220,110.70,167334,0.28,18.62,56370,102121,41885,153206,3.66,2641,7045,23727,10621,492
泰宁县,114187,59521,54666,108.88,126246,0.46,17.06,38947,75240,31150,111351,3.57,2037,5581,17813,7411,345
建宁县,133918,68657,65261,105.20,144273,0.41,14.66,28153,105765,37541,131132,3.49,2624,7188,21118,8831,404
永安市,334852,180109,154743,116.39,314388,2.01,37.27,190456,144396,97894,314085,3.21,11079,25267,57128,14960,539
泉州市,7283040,3724882,3558158,104.69,6508178,1.89,12.32,2835210,4447830,1671139,6185407,3.70,140534,353399,1015702,289570,12468
鲤城区,292157,148808,143349,103.81,236585,1.62,46.21,292157,,66097,210581,3.19,8856,19497,33589,12577,434
丰泽区,397847,215651,182196,118.36,153834,2.51,35.53,304279,93568,85366,252715,2.96,13235,33843,40337,10772,414
洛江区,160071,81407,78664,103.49,165367,3.09,8.76,57292,102779,38389,134703,3.51,3640,9003,22216,6837,333
泉港区,342211,170960,171251,99.83,367299,5.56,10.14,110372,231839,87491,330206,3.77,7441,16288,59079,11546,578
惠安县,897381,435136,462245,94.14,917801,2.29,8.44,229104,668277,233352,845344,3.62,22446,46988,146948,37543,1873
安溪县,1011437,513544,497893,103.14,1054708,1.08,8.01,213837,797600,232540,979003,4.21,10131,26937,157878,45888,1837
永春县,516781,266627,250154,106.59,545937,0.48,10.57,186598,330183,140977,505873,3.59,13598,28131,87858,24112,876
德化县,301834,155765,146069,106.64,301988,0.51,12.41,129988,171846,84851,284659,3.35,9898,23620,52179,8777,275
石狮市,498786,264700,234086,113.08,293807,1.75,17.06,374448,124338,92678,334749,3.61,8653,24478,52697,14972,531
晋江市,1479259,772066,707193,109.17,1009846,2.63,8.72,480433,998826,278862,1046296,3.75,18208,62046,166214,48690,1912
南安市,1385276,700218,685058,102.21,1461006,1.12,7.99,456702,928574,330536,1261278,3.82,24428,62568,196707,67856,3405
漳州市,4581675,2360095,2221580,106.23,4480437,1.26,16.37,1607608,2974067,1182936,4431837,3.75,78244,178968,750859,242572,10537
芗城区,433194,222066,211128,105.18,382604,1.45,51.91,334024,99170,118291,380786,3.22,11986,28471,70943,18303,574
龙文区,134690,69531,65159,106.71,116432,0.52,8.17,93226,41464,32506,120639,3.71,2467,5861,19367,6921,357
云霄县,403617,210310,193307,108.80,407157,0.34,15.21,126058,277559,104551,398104,3.81,7388,14609,69352,19747,843
漳浦县,795347,406417,388930,104.50,795483,2.67,9.07,213827,581520,199353,782632,3.93,9937,23800,133078,40589,1886
诏安县,568156,294171,273985,107.37,565216,1.99,11.68,142633,425523,142424,563468,3.96,7642,17305,95462,28358,1299
长泰县,190288,97577,92711,105.25,187632,0.30,12.05,43499,146789,50137,185547,3.70,3004,7496,29993,12148,500
东山县,206152,103689,102463,101.20,199436,0.06,32.29,85020,121132,50076,201666,4.03,1828,4166,31109,13896,905
南靖县,342165,176348,165817,106.35,345469,0.28,14.24,124054,218111,94025,332956,3.54,7228,16256,56609,20234,926
平和县,532649,281453,251196,112.05,543955,0.37,9.24,122425,410224,133930,526362,3.93,8535,17092,84371,31074,1393
华安县,159099,82597,76502,107.97,159926,0.96,12.34,44188,114911,43232,156477,3.62,2836,6700,28649,7575,308
龙海市,816318,415936,400382,103.88,777127,1.46,13.13,278654,537664,214411,783200,3.65,15393,37212,131926,43727,1546
南平市,2816581,1477653,1338928,110.36,3023656,1.21,26.00,1225752,1590829,821622,2728813,3.32,79610,187240,483255,145989,5138
延平区,488818,257352,231466,111.18,492427,0.75,45.25,331631,157187,148700,458381,3.08,19497,42393,81780,23660,867
顺昌县,231599,120682,110917,108.80,239971,2.96,26.26,83504,148095,67767,227483,3.36,6440,15296,38773,13189,509
浦城县,321272,166806,154466,107.99,402562,0.94,18.13,90513,230759,100709,316856,3.15,10653,26379,55544,18064,722
光泽县,142214,74467,67747,109.92,153745,2.37,21.92,45727,96487,40516,139106,3.43,3132,7962,24402,7818,334
松溪县,142453,74654,67799,110.11,157639,1.25,15.59,40427,102026,41152,141368,3.44,3596,8279,26482,6195,196
政和县,193169,103879,89290,116.34,215363,0.62,12.05,51339,141830,47594,189350,3.98,2341,5848,30978,10434,334
邵武市,288401,151117,137284,110.08,299205,1.78,32.84,170547,117854,88496,279311,3.16,9207,22871,51813,13405,407
武夷山市,212156,112006,100150,111.84,214789,0.40,25.87,100582,111574,58918,202233,3.43,5413,12703,35724,10100,391
建瓯市,478651,249624,229027,108.99,510962,0.67,18.43,155062,323589,135259,472290,3.49,8814,22882,84645,26959,773
建阳市,317848,167066,150782,110.80,336993,1.60,24.43,156420,161428,92511,302435,3.27,10517,22627,53114,16165,605
龙岩市,2684310,1387064,1297246,106.92,2855424,1.45,17.72,965696,1718614,702002,2536214,3.61,58500,139368,408929,146728,6977
新罗区,543731,298481,245250,121.70,458502,0.64,33.58,407459,136272,143975,460013,3.20,17179,41846,83647,17867,615
长汀县,403121,199309,203812,97.79,485524,0.14,15.78,121153,281968,100984,396319,3.92,6641,14364,57225,27911,1484
永定县,411587,213180,198407,107.45,467289,0.20,13.58,104799,306788,110149,393581,3.57,9762,22770,63311,23098,970
上杭县,433700,214956,218744,98.27,483030,7.13,11.35,80020,353680,111352,420580,3.78,7708,17360,58374,33724,1894
武平县,329916,167551,162365,103.19,361521,0.06,10.41,68809,261107,85762,320777,3.74,5660,14173,50476,19963,1150
连城县,297498,152808,144690,105.61,326002,0.06,13.95,86081,211417,75604,290193,3.84,5444,11945,47411,15630,618
漳平市,264757,140779,123978,113.55,273556,0.99,18.43,97375,167382,74176,254751,3.43,6106,16910,48485,8535,246
宁德市,2991258,1596693,1394565,114.49,3176036,5.75,15.65,1069986,1921272,773821,2916226,3.77,70399,137559,474321,155463,6478
蕉城区,400293,213131,187162,113.88,391841,5.55,21.49,188808,211485,100240,383339,3.82,9766,17669,61051,20519,1001
霞浦县,456474,246379,210095,117.27,496001,8.10,15.13,152914,303560,122076,446823,3.66,10822,22258,75803,22934,1081
古田县,398990,212753,186237,114.24,428956,2.51,14.84,91783,307207,103039,385678,3.74,7842,17372,63854,20885,928
屏南县,168482,89937,78545,114.50,185265,0.35,11.84,45412,123070,42584,165163,3.88,3320,6431,26320,9432,401
寿宁县,230571,122473,108098,113.30,254993,1.06,8.61,41558,189013,56210,227338,4.04,3880,8054,34515,13087,554
周宁县,168887,89422,79465,112.53,189521,1.03,9.72,54971,113916,40043,166459,4.16,3081,5840,23418,10400,385
柘荣县,92434,49800,42634,116.81,100594,1.63,12.46,30440,61994,24616,91145,3.70,3014,4768,14563,5106,179
福安市,554057,296379,257678,115.02,574676,11.28,18.53,228294,325763,143718,540717,3.76,14662,26226,87444,29082,966
福鼎市,521070,276419,244651,112.99,554189,6.51,16.04,235806,285264,141295,509564,3.61,14012,28941,87353,24018,983
,,,,,,,,,,,,,,,,,
江西省,40397598,20990240,19407358,108.16,42078896,0.31,22.67,11185031,29212567,10168639,38635039,3.80,594144,1615599,6240829,2206771,105440
南昌市,4331668,2261789,2069879,109.27,3995814,0.23,40.61,2115437,2216231,1088664,4001768,3.68,73205,208287,644433,225636,10308
东湖区,492016,248061,243955,101.68,424135,0.50,91.12,492016,,129999,410475,3.16,11845,32872,74792,21797,538
西湖区,503764,253122,250642,100.99,438282,0.46,92.02,503764,,151504,471693,3.11,14318,38643,87444,24825,592
青云谱区,229141,118250,110891,106.64,159478,0.34,78.27,229141,,65207,206247,3.16,5810,16111,39054,9756,286
湾里区,65130,33950,31180,108.88,67290,0.25,31.46,39505,25625,16970,60087,3.54,1426,3760,10379,2747,84
郊区,554202,299121,255081,117.27,376955,0.29,41.39,416330,137872,131015,464704,3.55,11184,31270,77124,21620,1001
南昌县,938361,492473,445888,110.45,957427,0.12,16.95,122535,815826,235121,918509,3.91,11783,35032,136270,60557,3262
新建县,641493,343618,297875,115.36,623021,0.12,17.96,129269,512224,145664,590095,4.05,7971,23141,92571,28606,1346
