表1    总人口、户籍人口、少数民族人口比重、非农业户口人口比重、城乡人口、家庭户人口、家庭户类别（全部数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,总人口（人）,,,总人口,户籍人口（人）,少数民族人口比重,非农业户口人口比重,城乡人口（人）,,家庭户,,,,家庭户类别（户）,,,
,合计,男,女,性别比,,（%）,（%）,城镇,乡村,户数（户）,人口数（人）,户规模（人/户）,其中：一人户(户),一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,,,,,
绥宁县,339235,176030,163205,107.86,344233,59.29,12.02,35264,303971,89876,336288,3.74,7624,14109,54675,20400,692
新宁县,557120,290142,266978,108.68,581106,3.01,9.35,55036,502084,153872,552119,3.59,13206,29557,95638,27819,858
城步苗族自治县,241517,125616,115901,108.38,251713,59.86,14.83,43614,197903,63384,228262,3.60,5213,11852,39357,11821,354
武冈市,694847,363904,330943,109.96,726180,1.32,11.52,121698,573149,192911,683818,3.54,12360,33909,120670,37065,1267
岳阳市,5011416,2618697,2392719,109.44,5221296,0.16,19.23,1558954,3452462,1411611,4879913,3.46,123358,295553,832292,272771,10995
岳阳楼区,542599,276497,266102,103.91,527575,0.48,63.40,542599,,167382,497032,2.97,17832,49000,102829,15172,381
云溪区,163220,84405,78815,107.09,158296,0.74,46.58,163220,,49094,158356,3.23,3368,11655,31182,6021,236
君山区,207174,110268,96906,113.79,223640,0.34,10.47,139290,67884,59278,197882,3.34,4122,12546,38077,8397,258
岳阳县,709512,375671,333841,112.53,751816,0.11,11.64,119691,589821,198723,697020,3.51,16804,40882,120827,35699,1315
华容县,703416,363176,340240,106.74,713233,0.04,13.33,123057,580359,188438,677947,3.60,14946,35222,112208,39368,1640
湘阴县,646180,336846,309334,108.89,683312,0.10,13.41,92606,553574,180783,640890,3.55,17965,36576,101648,41343,1216
平江县,931996,493998,437998,112.79,979611,0.05,8.29,77063,854933,252858,925698,3.66,21543,42530,142828,63702,3798
汨罗市,658867,342113,316754,108.01,704784,0.12,13.44,112777,546090,192983,653128,3.38,17692,41580,108731,41298,1374
临湘市,448452,235723,212729,110.81,479029,0.10,21.22,188651,259801,122072,431960,3.54,9086,25562,73962,21771,777
常德市,5740875,2964217,2776658,106.75,5923620,8.02,18.87,1526358,4214517,1668791,5571468,3.34,121165,332368,934293,384887,17243
武陵区,509940,257166,252774,101.74,475168,3.04,57.64,509940,,146605,443302,3.02,16386,41006,81837,22837,925
