56.各行业分性别人口数,,,,,,
,,,,,,
,,,,,,
      (2)化学药品制造业,"    305,914","    146,796","    1 59,118",    0．06,    0.03,    0.03
      (3)中成药制造业,"    146,740","    59,858","    86,882",    0．03,    0．01,    0.02
      (4)畜用药品制造业,"    31,222","    14,483",16739,    0．01,-,-
    11.橡胶及塑料制品制造业,1939617,"    837,850","  1,101,767",    0．37,    0．16,    0．21
      (1)像胶制品制造业,"    666,746","    340,458","    326,288",    0．13,    0．07,    0.06
      (2)塑料制品制造业,"    1,272,871","    497,392","    775,479",    0.24,    0．10,    0.1 5
    12石油及煤制品制造业,"    510,910","    316,845","    194,065",    0.10,    0.06,    0.04
      (1)原油加工业,"    245,920","    156,229","    89,691",    0.05,    0.03,    0．02
      (2)人造原油制造业,"    9,61 4","    5,898","    3,716",-,-,-
      (3)煤制品制造业,"    102,979","    75,509","    27,470",    0.02,    0.01,    0．01
      (4)其他石油及煤制品制造业,"    152,397","    79,209","    73,188",    0．03,    0．02,    0．01
    13．非金属矿物制品制造业,"    7,413,201","    5,171,409","  2,241,792",    1.42,    0．99,    0．43
      (1)水泥及其制品制造业,"    1,668,865","    1,1 70,194","    498,671",    0.32,    0．22,    0．10
      (2)砖瓦、石灰及建筑用石制造业,"    3,876,527","    2,918,566","    957,961",    0．74,    0.56,    0．18
      (3)玻璃及其制品制造业,"    620,222","    329,487","    290,735",    0.12,    0．06,    0.06
      (4)陶瓷制品制造业,"    704,192","    438,419","    265,773",    0.14,    0.08,    0.05
      (5)耐火材料制造业,"    208,676","    139,526","    69,1 50",    0．04,    0.03,    0．01
      (6)其他非金属矿物制品制造业,"    334,71 9","    175,217","    159,502",    0.06,    0．03,    0.03
    14.冶金工业,"    2,214,573","    1,579,769",634804,    0．42,    0．30,    0．12
      (1)黑色金属冶炼及加工业,"    1,663,552","    1,205,524","    458,028",    0.32,    0.23,    0．09
      (2)有色金属冶炼及加工业,"    504,256","    341,1 85",163071,    0．10,    0．07,    0.03
      (3)稀有及稀土金属冶炼与加工业,"    46,765","    33,060","    13,705",    0．01,    0．01,-
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,    占总合计数的百分比(％),,
    行业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
(续),,,,,,
    15.金属制品制造业,"    3,919,606","    2,447,359","    1,472,247",    0．75,    0．47,    0.28
      (1)金属结构及构件制造业,"    209,321","    130,650","    78,671",    0.04,    0.03,    0．02
      (2)紧固件、冲压件制造业,"    282,672","    1 50,395","    132,277",    0．05,    0．03,    0．03
      (3)金属线材制品制造业,"    235,020","    129,754","    105,266",    0．05,    0．02,    0．02
      (4)小农具及一般手工具制造业,"    1，036,216","    846,570","    189,646",    0.20,    0．16,    0．04
      (5)建筑用金属制品制造业,"    255,027","    1 48,405","    106,622",    0．05,    0.03,    0.02
      (6)搪瓷制品制造业,"    77,342","    42,055","    35,287",    0．01,    0．01,    0．01
      (7)日用五金制品制造业,"    801,382","    41 5,1 15","    386,267",    0.15,    0．08,    0.07
      (8)金属表面处理及热处理业,"    333,683","    165,938","    167,745",    0.06,    0．03,    0．03
      (9)其他金属制品制造及金属制品修理,,,,,,
        业,"    688,943","    418,477","    270,466",    0.13,    0．08,    0.05
    16.一般机械(不包括电器机械)制造业,"    8,697,947","    5,725,1 57","    2,972,790",    1.67,    1.10,    0.57
      (1)锅炉及原动机制造业,"    584,328","    380,860","    203,468",    0.11,    0．07,    0.04
      (2)金属加工机械制造业,"    918,802",    592，221,"    326,581",    0．18,    0．11,    0.06
      (3)工业专用设备制造业,"    1,449,396",    963，262,"    486,134",    0.28,    0.18,    0．09
      （4）农、林、牧、渔机械制造业,"    1,056,200","    732,769","    323,431",    0．20,    0．14,    0．06
      (5)建筑机械制造业,"    164,869","    107,210","    57,659",    0．03,    0．02,    0．01
      (6)地质专用设备制造业,"    31,272","    20,876",10396,    0.01,-,-
      (7)通用设备制造业,"    1,209,130","    758,292",450838,    0.23,    0.1 5,    0.09
      (8)锻铸毛坯制造业,"    447,192","    294,826","    1 52,366",    0．09,    0．06,    0．03
      (9)日用机械制造业,"    617,1 76","    352,809","    264,367",    0.12,    0．07,    0．05
      (10)其它机械制造及机械修理业,"    2,219,582","    1,522,032","    697,550",    0．43,    0．29,    0.13
    17.电气、电子机械设备制造业,3448322,"    1,788,1 76","    1,660,146",    0．66,    0．34,    0．32
      (1)发电、送电、配电用电气机械设,,,,,,
        备制造业,    640，034,"    378,415","    261,619",    0．12,    0．07,    0．05
      (2)通信设备制造业,"    1 58,622",92053,"    66,569",    0.03,    0.02,    0．01
      (3)家用电器制造业,272381,"    144,476","    127,905",    0．05,    0．03,    0.02
      (4)杂项电器设备及器材制造业,"    985,168","    481,986","    503,182",    0．19,    0.09,    0.10
      (5)雷达制造业,"    52,146","    32,1 33","    20,013",    0．01,    0．01,-
      (6)广播、电视设备制造业,"    23,559","    13,011","    10,548",-,-,-
      (7)电视机、录音机、扩音机制造业,"    330,965","    162,569","    168,396",    0．06,    0．03,    0．03
      (8)电子计算机制造业,"    58,207","    31,607","    26,600",    0.01,    0.01,    0．01
      (9)电子器件制造业,"    275,267",129699,"    145,568",    0．05,    0．02,    0.03
      (10)电子元件制造业,"    413,994","    179,463","    234,531",    0．08,    0.03,    0.04
      (11)杂项电子产品制造业,"    51,887","    26,899","    24,988",    0.01,    0．01,-
,,,,,,
    (12)电气机械设备及电子产品修理业,"    186,092","    115,865","    70,227",    0．04,    0.02,    0．01
    18.交通运输设备制造业,"    2,569,887","    1,671,763","    898,1 24",    0．49,    0．32,    0．17
    (1)铁路运输设备制造业,"    305,1 74","    206,895","    98,279",    0.06,    0．04,    0．02
    (2)汽车制造业,"    1,357,675","    845,369","    512,306",    0.26,    0．16,    0．10
    (3)电车制造业,"    8,067","    5,411","    2,656",-,-,-
    (4)船舶制造业,"    558,332","    395,167","    163,165",    0．11,    0．08,    0．03
    (5)飞机制造业,"    266,900","    1 71,409","    95,491",    0．05,    0．03,    0．02
    (6)其他运输设备制造业,"    73,739","    47,512",26227,    0．01,    0．01,    0．01
,,,,,,
    19.精密机械及仪器仪表制造业,"    1,229,772","    663,901","    565,871",    0．24,    0．13,    0．11
    (1)量具、量仪制造业,"    62,071","    29,720",    32，351,    0.01,    0.01,    0.01
    (2)天平衡器制造业,"    49,977","    29,902","    20,075",    0．01,    0．01,-
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,    占总合计数的百分比(％),,
    行业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
      (续),,,,,,
      (3)钟表、计时仪器制造业,"    225,484","    105,561","    119,923",    0.04,    0.02,    0.02
      (4)试验机及无损探伤仪制造业,"    16,250",    10，092,"    6,158",-,-,-
      (5)医疗器械制造业,"    90,640","    47,109","    43,531",    0．02,    0.01,    0．01
      (6)光学器械及仪器制造业,"    133,710","    72,740","    60,970",    0．03,    0．01,    0.01
      (7)电影机械及照相机制造业,"    55,553","    29,767","    25,786",    0．01,    0．01,    -
      (8)工业自动化仪表制造业,"    70,930","    37,781","    33,149",    0.01,    0.01,    0.01
      (9)电工仪器制造业,"    70,416","    33,567","    36,849",    0．01,    0．01,    0.01
      (10)电子、无线电测量仪器制造业,"    59,388","    31,241","    28,1 47",    0．01,    0.01,    0．01
      (11)分析仪器制造业,"    1 7,946",9581,"    8,365",-,-,-
      (12)科学试验仪器及装备制造业,"    10,737","    6,295","    4,442",-,-,-
      (13)专用仪器制造业,"    97,366","    57,239",40127,    0.02,    0.01,    0．01
      (14)其他精密机械及仪器仪表制造,"    269,304","    163,306","    105,998",    0.05,    0．03,    0.02
        及精密机械与仪器仪表修理业,,,,,,
      20.其他制造业及修理业,"    1,795,565","    879,730","    915,835",    0.34,    0.17,    0．18
五、地质勘探和普查业,"    824,043","    642,140","    181,903",    0.16,    0.12,    0.03
  1．地质勘探和普查业,"    824,043","    642,1 40","    181,903",    0.16,    0.12,    0.03
    (1)矿产地质调查,"    459,1 74","    364,402","    94,772",    0.09,    0.07,    0.02
    (2)石油地质调查,"    197,887","    149,914","    47,973",    0.04,    0.03,    0．01
    (3)海洋地质调查,"    3,852","    3,406",        446,-,-,-
    (4)水文地质、工程地质和环境地质调查,"    84,731","    67,251","      1 7,480",    0．02,    0.01,-
    (5)区域地质调查,"    16,424","    12,539","    3,885",-,-,-
    (6)地球物理和化学探矿,"    34,793","    25,942","    8,851",    0.01,-,-
    (7)地质测绘,"    13,709","    10,371","    3,338",-,-,-
    (8)地质矿产勘查技术服务业,"    13,473","    8,315","    5,1 58",-,-,-
六、建筑业,"    11,009,419","    8,932,095",2077324,    2.11,    1.71,    0．40
  1．土木工程建筑业,"    9,920,987","    8,150,736","    1,770,251",    1.90,    1.56,    0．34
  2．线路、管道和设备安装业,"    602,351","    439,854","    162,497",    0．12,    0.08,    0.03
  3．勘察设计,"    270,219","    184,999","    85,220",    0．05,    0．04,    0.02
  4．筹建机构,"    215,862","    156,506","    59,356",    0．04,    0．03,    0.01
七、交通运输、邮电通信业,"    8,980,972","    6,926,402","    2,054,570",    1.72,    1.33,    0．39
