61.各行业人口的年龄构成,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    女,,,,,,,
,,    男,,,,,,,,,,    行业别,,,,,,,,
    行业别,    合计,,,,,,,,,,,,    小计,1 5—1 9岁,2 0-2 4岁,5—2 9岁,3 0-3 4岁,3 5—4 9岁,5 0—5 4岁,5 5岁及以上
七、交通运输、邮电通信业,"    8,980,972","    6,926,402","    528,712","    974,488","    1,328,180","    1,043,915","    2,630,476","    272,783","    147,848",,,七、交通运输、邮电通信业,"    2,054,570",257833,"    420,288",    457，251,"    272,469","    546,628","    68,326","    31,775"
  1．运输业,"    8,207,026","    6,396,458","    489,502","    912,763","    1,242,689","    964,030","    2,385,431","    259,927","    142,116",,,  1．运输业,"    1,810,568","    229,421","    375,599","    401,280","    239,812","    468,743","    65,141","    30,572"
  2．邮电通信业,"    773,946","    529,944","    39,210","    61,725","    85,491","    79,885","    245,045","    12,856","    5,732",,,  2．邮电通信业,"    244,002","    28,412","    44,689","    55,971","    32,657","    77,885","    3,185","    1,203"
八、商业、饮食业、物资供销及仓储业,"    1 5,507,928","    8,801,616","    834,865","    1,245,014","    1,413,250","    1,102,644","    3,158,265","    530,038","    517,540",,,八、商业、饮食业、物资供销及仓储业,"    6,706,312","    903,323","    1,296,674","    1,329,525","    927,335","    1,736,435","    243,642","    269,378"
  1．商业,"    12,079,932","    6,939,991","    654,381","    983,992","    1,111,555","    871,616","    2,502,421","    414,909","    401,117",,,  1．商业,"    5,139,941","    707,437","    1,030,210","    1,050,500","    722,355","    1,292,446","    163,351","    1 73,642"
  2．饮食业,"    1,979,667","    836,129","    104,377","    117,334","    131,121","    89,265","    237,424","    65,336","    91,272",,,  2．饮食业,"    1,143,538","    1 43,035","    178,836","    189,375","    1 46,193","    327,392","    67,670","    91,037"
  3．物资供销,"    818,903","    577,099","    37,408","    71,377","    90,101","    77,006","    253,438","    31,800","    15,969",,,  3．物资供销,"    241,804","    28,974","    47,1 75","    48,31 2","    34,376","    72,060","    8,21 7","    2,690"
  4．仓储业,"    629,426","    448,397","    38,699","    72,311","    80,473","    64,757","    164,982","    1 7,993","    9,182",,,  4．仓储业,"    181,029","    23,877","    40,453","    41,338","    24,411","    44,537","    4,404","    2,009"
九、住宅管理、公用事业管理和居民服务业,"    2,441，405","    1,346,065","    140,322","    196,093","    216,224","    149,673","    439,206","    91,931","    112,616",,,九、住宅管理、公用事业管理和居民服务业,"    1,095,340","    123,046","    186,674","    195,582","    136,746","    317,618","    55,729","    79,945"
  1．房地产管理事业,"    324,389","    216,967","    18,668","    38,495","    41,736","    29,206","    71,092","    10,530","    7,240",,,  1．房地产管理事业,"    107,422","    10,01 7","    21,859","    24,328","    15,897","    30,547","    3,526","    1,248"
