54.在业人口的行业状况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    制造业,,,    地质勘 探和普查业,,,    建筑业,,,,,,  交通运输、邮电通信业,,,  商业、饮食业、物资供销及仓储业,,,  住宅管理、公用事业管理,,,,,,卫生、体育和社会福利事业,,,    教育、文化艺术事业,,,科学研究和综合技术服务事业,,,,,,    金融、保险业,,,    国家机关、政党和群众团体,,,其它行业,,
,  农、牧、林、渔业,,,    矿业及木材采运业,,,  电力、煤气、自来水的生产,,,,,,,,,,,,,,,,,,,,,,,,    和居民服务业,,,,,    地区别,,,,,,,,,,,,    地区别,,,,,,,,,
,,,,,,,    和供应业,,,,,    地区别,,    男,    女,    小计,    男,    女,  小计,    男,    女,,,    地区别,,,,,,,,,,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女
    地区别,,,,,,,,,,,,,  小计,,,,,,,,,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,,,,,,,,,,,,,总计,"    1,022,975","    696,274","    326,701","    8,018,546","    6,378,798","    1,639,748","    289,202","    182,921","    106,281"
湖南省,"    22,569,376","    12,327,654","    10,241,722","    387,287","    331,187","    56,1 00","    65,480","    48,997","    16,483",,,广东省,"    3,750,752","    1,776,782","  1,973,970","    35,306","    28,128","    7,178","    582,316","    483,695","    98,621",,,广东省,"    676,710","    523,319","    153,391",1206334,"    751,082","    455,252","    182,529","    102,881","    79,648",,,广东省,"    244,525","    125,798","    118,727","    661,746","    463,764","    197,982","    47,635","    30,204","    17,431",,,广西壮族自治区,"    31,636","    23,622","    8,014","    207,145","    1 71,299","    35,846","    10,285","    5,942","    4,343"
广东省,"    22,268,404",11662620,"    10,605,784","    270,279","    205,757","    64,522","    98,858","    78,986","    19,872",,,广西壮族自治区,"    951,175","    550,814","    400,361","    26,021","    21,269","    4,752","    195,137","    145,846",49291,,,广西壮族自治区,"    252,814","    184,520","    68,294","    437,101","    242,525","    194,576","    52,744","    28,114","    24,630",,,广西壮族自治区,"    102,787","    53,253","    49,534","    387,276","    289,331","    97,945","    23,162","    14,778","    8,384",,,四川省,"    80,325","    52,811","    27,514","    570,704","    462,666","    108,038","    22,427","    11,809","    10,618"
广西壮族自治区,"    15,760,651","    8,114,900","    7,645,751","    137,736",110131,"    27,605","    39,357","    30,378","    8,979",,,四川省,"    3,621,813","    2,233,365","  1,388,448","    57,735","    43,769","    13,966","    750,655","    595,942","    154,713",,,四川省,"    671,575","    516,986","    154,589","    1,246,695","    685,356","    561,339","    157,487","    86,399","    71,088",,,四川省,"    356,861","    203,639","    153,222","    961,045","    603,526","    357,519","    94,962","    59,450","    35,512",,,贵州省,"    25,388","    18,063","    7,325","    204,360","    159,378","    44,982","    5,335","    2,671","    2,664"
四川省,"    45,350,496","    23,410,749","    21,939,747","    664,240","    562,392","    101,848","    115,375","    83,405","    31,970",,,贵州省,"    646,280","    373,835","    272,445","    24,776","    18,1 74","    6,602","    164,557","    115,938","    48,619",,,贵州省,"    145,925","    107,352","    38,573","    259,501","    130,974","    128,527","    27,670","    12,519","    15,151",,,贵州省,"    71,160",36132,"    35,028","    246,717","    172,418","    74,299","    16,076","    9,869","    6,207",,,云南省,"    33,300","    25,325","    7,975","    211,055","    170,577","    40,478","    5,225","    3,329","    1,896"
贵州省,"    11,980,870","    6,064,1 48","    5,916,722","    138,606","    109,747","    28,859","    30,133","    22,135","    7,998",,,云南省,"    715,069","    420,074","    294,995","    34,002","    25,619","    8,383",243168,"    181,415","    61,753",,,云南省,"    204,280","    154,061","    50,219","    279,446","    156,927","    122,519","    27,180","    12,257","    14,923",,,云南省,"    95,895","    49,786","    46,109","    290,195","    205,168","    85,027","    19,888","    12,650","    7,238",,,西藏自治区,"    2,758","    1,986",    772,"    36,218","    29,520","    6,698",    609,    357,    252
云南省,"    14,240,920","    7,121,107","    7,119,813","    200,473","    152,168","    48,305","    42,132","    30,793","    11,339",,,西藏自治区,"    20,892","    11,281","    9,611",    3，211,"    2,538",    673,"    15,749","    9,850","    5,899",,,西藏自治区,"    27,160","    19,236","    7,924","    13,830","    7,896","    5,934","    1,736",    750,    986,,,西藏自治区,"    8,825","    4,641","    4,184","    19,125","    12,836","    6,289","    2,234",1462,    772,,,陕西省,"    31,887","    22,404","    9,483","    234,528","    193,226","    41,302","    18,145","    13,589","    4,556"
西藏自治区,"    857,596","    411,246","    446,350","    2,542","    1,856",    686,"    3,902","    2,714","    1,188",,,陕西省,"    1,459,423","    874,754","    584,669","    29,092","    23,740","    5,352","    330,365","    266,767","    63,598",,,陕西省,"    219,287","    174,786","    44,501","    358,855","    203,950","    154,905","    67,761",30093,"    37,668",,,陕西省,"    139,345","    81,737","    57,608","    434,273","    296,836","    137,437","    68,823","    45,399","    23,424",,,甘肃省,"    20,615","    14,677","    5,938","    145,164","    118,560","    26,604","    6,919","    3,978","    2,941"
陕西省,"    11,449,392","    6,084,663","    5,364,729","    173,713","    150,802","    22,911","    36,760","    26,938","    9,822",,,甘肃省,"    673,260","    403,161","    270,099","    27,017","    21,583","    5,434","    174,442","    131,801","    42,641",,,甘肃省,"    151,067",116196,"    34,871","    209,014","    122,025","    86,989","    29,436","    13,389","    16,047",,,甘肃省,"    74,554","    45,447","    29,107","    225,863","    169,167","    56,696","    24,412","    16,216","    8,196",,,青海省,"    6,177","    4,096","    2,081",48367,"    38,079","    10,288","    2,874","    1,938",    936
甘肃省,"    8,389,382","    4,289,721","    4,099,661","    141,315","    112,294","    29,021","    32,582","    22,567","    10,015",,,青海省,"    169,758","    91,566","    78,192","    22,835","    18,668","    4,167","    68,291","    48,1 74","    20,117",,,青海省,"    51,453","    39,041","    12,412","    47,768","    25,396","    22,372","    8,282","    3,196","    5,086",,,青海省,"    19,072","    9,071","    10,001","    53,879","    36,850","    1 7,029","    6,994","    4,556","    2,438",,,宁夏回族自治区,"    4,983","    3,521","    1,462","    32,991","    27,142","    5,849","    3,469","    2,951",    518
青海省,"    1,313,363","    670,161","    643,202","    26,491","    20,948","    5,543","    8,745","    6,066","    2,679",,,宁夏回族自治区,"    136,371","    78,811","    57,560","    12,683","    9,901","    2,782","    46,909","    34,692","    12,217",,,宁夏回族自治区,"    31,488","    24,375","    7,113","    44,864","    24,197","    20,667","    6,868","    3,037","    3,831",,,宁夏回族自治区,"    16,204","    8,913","    7,291","    49,167","    34,060","    15,107","    5,376","    3,385","    1,991",,,新疆维吾尔自治区,"    20,369","    13,902","    6,467","    154,027","    120,285","    33,742","    6,371","    4,067","    2,304"
宁夏回族自治区,"    1,360,957",690753,"    670,204","    60,074","    48,376","    11,698","    7,924","    5,391","    2,533",,,新疆维吾尔自治区,"    471,921","    254,897","    217,024","    29,545",    22，216,"    7,329","    233,779","    152,069","    81,710",,,新疆维吾尔自治区,"    164,239","    1 12,912","    51,327","    204,930","    118,505","    86,425","    24,197","    12,029","    12,168",,,新疆维吾尔自治区,"    59,959","    25,402","    34,557","    180,716","    101,690","    79,026","    14,256","    8,632","    5,624",,,,,,,,,,,,
新疆维吾尔自治区,"    4,410,845","    2,390,269","    2,020,576","    134,808","    93,663","    41,145","    28,133","    18,764","    9,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
