57.各种职业分性别人口数,,,,,,
,,,,,,
,,,,,,
    (1)其他办事人员和有关人员,"    523,236","    404,974","    118,262",    0.10,    0.08,    0.02
四、商业工作人员,"    9,41 5,378","    5,097,776","    4,317,602",    1.81,    0.98,    0.83
  1．售货人员,"    7,01 3,707","    3,023,114","    3,990,593",    1.34,    0.58,    0．77
    (1)营业员、售货员,"    5,905,027","    2,388,352","    3,516,675",    1.13,    0.46,    0．67
    (2)其他售货人员,"    1,108,680","    634,762","    473,918",    0．21,    0.12,    0.09
  2．采购员和供销人员,"    1,891,822","    1,695,936","    195,886",0.36,    0.33,    0．04
    (1)采购员,"    1,111,980","    1,054,834","    57,1 46",    0.21,    0.20,    0．01
    (2)供应、推销人员,"    779,842","    641,102","    138,740",    0.15,    0．12,    0.03
  3．收购人员,"    413,802","    304,362","    109,440",    0.08,    0.06,    0．02
    (1)农副产品收购人员,"    293,768","    243,768",50000,    0．06,    0.05,    0．01
    (2)信托收购人员,"    5,149","    3,337","    1,812",-,-,-
    (3)废旧物资回收人员,"    114,885","    57,257","    57,628",    0.02,    0.01,    0.01
  4．其他商业工作人员,"    96,047","    74,364","    21,683",    0.02,    0.01,-
    (1)其他商业工作人员,"    96,047","    74,364","    21,683",    0.02,    0.01,-
五、服务性工作人员,"  11,505,724","    5,991,137","    5,514,587",    2.21,    1.15,    1.06
  1．服务员,"    7,780,219","    3,596,941","    4,183,278",    1.49,    0.69,    0.80
    (1)饭馆、餐厅服务员,"    1,1 33,848","    329,567","    804,281",    0．22,    0．06,    0．15
    (2)旅店、饭店、宾馆、招待所服务员,"    541,408","    111,487","    429,921",    0．10,    0．02,    0.08
    (3)影剧院、体育场(馆)和公共游览、,,,,,,
      观赏场所服务员,"    66,287","    35,036","    31,251",    0．01,    0.01,    0．01
    (4)浴室服务员,"    64,087","    39,178","    24,909",    0．01,    0.01,-
    (5)车、船、飞机服务员,"    1 79,080","    68,21 3","    110,867",    0．03,    0.01,    0.02
    (6)售票员,"    265,736","    78,513","    187,223",    0．05,    0.02,    0.04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,    占总合计数的百分比(％),,
    职业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
(续),,,,,,
    (7)幼儿保育员,"    721,035",    725,"    720,310",    0.1 4,-,    0.14
    (8)家庭保姆,"    53,173",    287,"    52,886",    0.01,-,    0．01
    (9)理发员,"    590,615","    437,189","    153,426",    0．11,    0.08,    0.03
    (10)洗染织补人员,"    62,756","    15,893","    46,863",    0．01,-,    0.01
    (11)生活燃料供应工人,"    60,026","    25,984","    34,042",    0.01,-,    0.01
    (12)环境清洁卫生工人,"    236,732","    82,616","    154,116",    0.05,    0．02,    0.03
    (13)勤杂人员,"    3,554,577","    2,277,190","    1,277,387",    0．68,    0．44,    0．24
    (14)殡葬人员,"    9,068","    7,749","    1,319",-,-,-
    (15)其他服务员,"    241,791","    87,314","    154,477",    0．05,    0．02,    0.03
  2．厨师和炊事员,"    3,051,556","    1,865,997","    1,185,559",    0．59,    0．36,    0.23
    (1)厨师和炊事员,"    3,051,556","    1,865,997","    1,185,559",    0．59,    0.36,    0.23
  3．导游员,"    2,1 73","    1,197",    976,-,-,-
    (1)导游员,"    2,173","    1,197",    976,-,-,-
  4．生活日用品修理人员,"    575,481","    480,294","    95,187",    0.11,    0.09,    0．02
    (1)家用机电产品修理人员,"    347,561","    287,718","    59,843",    0．07,    0．06,    0．01
    (2)其他生活日用品修理人员,"    227,920","    192,576","    35,344",    0.04,    0．04,    0．01
  5．其他服务性工作人员,"    96,295","    46,708","    49,587",    0．02,    0．01,    0.01
    (1)其他服务性工作人员,"    96,295","    46,708","    49,587",    0．02,    0.01,    0.01
六、农林牧渔劳动者,"  375,380,478","  199,722,672","  175,657,806",    71.98,    38.30,    33.68
  1．农林牧渔生产负责人,"    1,720,639","    1,683,403","    37,236",    0.33,    0.32,    0．01
    (1)农林牧渔生产大队负责人,"    1,720,639","    1,683,403","    37,236",    0．33,    0.32,    0．01
  2．农业劳动者,"  360,063,786","  188,925,071","    171,138,715",    69.04,    36.23,    32.82
    (1)粮农,"  329,624,010","  175,151,539","    154,472,471",    63.21,    33.59,    29.62
    (2)棉农,"  19,740,649","    8,437,595","    11,303,054",    3.79,    1.62,    2.17
    (3糜农,"    5,650,173","    2,585,924","    3,064,249",    1.08,    0.50,    0.59
    (4)茶农、果农,"    2,675,417","    1,597,058","    1,078,359",    0．51,    0．31,    0.21
    (5)其他农业劳动者,"    2,373,537","    1,152,955","    1,220,582",    0.46,    0.22,    0.23
  3．林业劳动者,"    2,997,029","    2,070,927","    926,102",    0．57,    0.40,    0.18
    (1)营造林人员,"    1,570,868","    944,564","    626,304",    0.30,    0.18,    0．12
    (2)采伐人员,"    301,924","    251,428","    50,496",    0．06,    0．05,    0.01
    (3)护林人员,"    672,548","    621,791","    50,757",    0.13,    0.12,    0．01
    (4)木材水运人员,"    39,990","    37,121","    2,869",    0．01,    0．01,-
    (5)其他林业劳动者,"    411,699","    216,023","    195,676",    0.08,    0．04,    0．04
  4．牧业劳动者,"    5,822,240","    2,840,851","    2,981,389",    1.12,    0．54,    0．57
    (1)大牲畜饲养人员,"    2,015,357","    1,559,354","    456,003",    0．39,    0.30,    0.09
    (2)家禽家畜饲养人员,"    3,390,212","    1，115,106","    2,275,106",    0．65,    0．21,    0．44
    (3)特殊用途动物饲养人员,"    9,857","    4,854","    5,003",-,-,-
    (4)其他牧业劳动者,"    406,814","    161,537",245277,    0．08,    0.03,    0．05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,占总合计数的百分比(％),,
    职业别,    合计,    男,    女,,,
,,,,  合计,    男,    女
,,,,,,
    (续),,,,,,
  5．渔业劳动者,"    1,752,417","    1,431,868","    320,549",    0．34,    0．27,    0．06
    (1)水产养殖劳动者,"    569,627","    434,737","    134,890",    0.1 1,    0．08,    0.03
    (2)水产捕捞劳动者,"    1,025,225","    867,573","    157,652",    0．20,    0．1 7,    0．03
    (3)天然水生物采集劳动者,"    9,160","    6,493","    2,667",-,-,-
    (4)机动渔船驾驶人员,"    102,855","    102,130",    725,    0.02,    0.02,-
    (5)其他渔业劳动者,"    45,550","    20,935","    24,615",    0.01,-,-
  6．狩措业劳动者,"    3,253","    2,767",    486,-,-,-
    (1)狩猎业劳动者,"    3,253","    2,767",    486,-,-,-
  7．农业机械操作人员,"    2,296,459","    2,268,227","    28,232",    0.44,    0.43,    0.01
    (1)拖拉机驾驶员,"    2,127,878","    2,102,811","    25,067",    0．41,    0．40,-
    (2)其他农业机械操作人员,"    168,581","    165,416","    3,165",    0.03,    0．03,-
  8．其他农林牧渔劳动者,"    724,655","    499,558","    225,097",    0.14,    0．10,    0.04
    (1)其他农林牧渔劳动者,"    724,655","    499,558","    225,097",    0．14,    0．10,    0．04
七、生产工人、运输工人和育关人员,"    83,369,044","  53,836,871","  29,532,1 73",    15.99,    10.32,    5.66
  1．采矿、采石、勘探、钻井、采盐工人,"    4,422,872","    3,948,323","    474,549",    0．85,    0.76,    0.09
    (1)采矿、采石工,"    3,405,1 40","    3,214,698","    190,442",    0．65,    0．62,    0.04
    (2)矿物和石料处理工,"    359,832","    184,006","    175,826",    0．07,    0.04,    0．03
    (3)石油、天然气开采工,"    74,464","    52,833",21631,    0.01,    0.01,-
    (4)地质勘探工,"    283,705","    259,469","    24,236",    0.05,    0.05,-
    (5)采盐工人,"    1 79,395","    1 34,064","    45,331",    0．03,    0.03,    0.01
    (6)其他采矿、采石、勘探、钻井、采盐工人,"    120,336","    103,253","    1 7,083",    0．02,    0.02,-
  2．金属冶炼和处理工人,"    2,943,080","    1,998,611","    944,469",    0.56,    0．38,    0．1 8
    (1)金属冶炼工人,"    368,805","    296,730","    72,075",    0．07,    0.06,    0.01
    (2)金属轧制和机械操作工,"    235,257","    188,1 35","    47,122",    0．05,    0.04,    0．01
    (3)铸工,"    1,379,11 3","    998,992","    380,121",    0．26,    0.19,    0.07
    (4)金属热处理工,"    1 79,792","    141,1 30","    38,662",    0．03,    0．03,    0．01
    (5)金属拉拔和挤压工,"    1 77,527","    94,322","    83,205",    0．03,    0.02,    0．02
    (6)金属表面处理工,"    533,794","    245,433","    288,361",    0.10,    0.05,    0．06
    (7)其他金属冶炼和处理工人,"    68,792","    33,869","    34,923",    0．01,    0．01,    0．01
  3．化学工人,"    1,458,781","    807,866","    650,91 5",    0.28,    0.1 5,    0．12
    (1)基本化学原料制造工人,"    195,847","    117,827","    78,020",    0．04,    0.02,    0．01
    (2)化学肥料制造工人,"    307,897","    229,174","    78,723",    0.06,    0.04,    0.02
    (3)化学农药制造工人,"    38,1 28","    24,21 4","    13,914",    0.01,-,-
    (4)日用化学工人,"    96,283","    36,868","    59,415",    0．02,    0．01,    0．01
    (5)化学纤维制造工人,"    51,404","    22,372","    29,032",    0．01,-,    0．01
    (6)炼油工人,"    84,639","    48,947","    35,692",    0.02,    0.01,    0．01
    (7)炼焦工人,"    69,223","    52,137","    1 7,086",    0．01,    0．01,-
    (8)制药工人,"    266,533","    95,399","    1 71,1 34",    0．05,    0．02,    0．03
    (9)其他化学工人,"    348,827","    180,928","    167,899",    0.07,    0．03,    0．03
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,    占总合计数的百分比(％),,
    职业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
    (续),,,,,,
  4．橡胶和塑料制品生产工人,"    1,254,748","    383,977","    870,771",    0．24,    0.07,    0.17
    (1)橡胶机械操作工,"    259,752",111379,"    1 48,373",    0．05,    0.02,    0．03
    (2)塑料机械操作工,"    786,383","    192,164","    594,219",    0．15,    0．04,    0．11
    (3)轮胎制作工和加硫工,"    94,793","    54,396","    40,397",    0.02,    0．01,    0．01
    (4)其他橡胶和塑料生产工人,"    113,820","    26,038","    87,782",    0．02,-,    0．02
  5．纺织、针织、印染工人,"    4,957,642","    1,166,637","    3,791,005",    0．95,    0.22,    0．73
    (1)纤维预处理工,"    328,602","    97,954","    230,648",    0．06,    0．02,    0．04
    (2)纺纱工、缫丝工、合股捻线工,"    1,077,577","    96,894","    980,683",    0．21,    0．02,    0.19
    (3)纺织、针织、印染机安装维修工,"    544,578","    479,553","    65,025",    0．10,    0.09,    0．01
    (4)织布工,"    1,651,827","    215,502","    1,436,325",    0．32,    0.04,    0.28
    (5)针织工,"    808,722","    62,490","    746,232",    0.16,    0.01,    0．1 4
    (6)纺织印染工,"    343,940","    186,221","    157,719",    0．07,    0．04,    0.03
    (7)其他纺织、针织、印染工人,"    202,396","    28,023","    174,373",    0．04,    0．01,    0．03
