62.各种职业人口的年龄构成,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    女,,,,,,,
,,    男,,,,,,,,,,    职业别,,,,,,,,
    职业别,    合计,,,,,,,,,,,,  小计,1 5-1 9岁,2 0-2 4岁,  2 5—2 9岁,3 0-3 4岁,3 5—4 9岁,5 0-5 4岁,5 5岁及以上
  7．农业机械操作人员,"    2,296,459","    2,268,227","    1 70,334","    512,422","    767,669",452835,"    360,517","    3,044","    1,406",,,,,,,,,,,
  8．其他农林牧渔劳动者,"    724,655","    499,558","    52,696","    55,083","    69,682","    59,877","    1 87,089","    35,049","    40,082",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    女,,,,,,,
,,    男,,,,,,,,,,    职业别,,,,,,,,
    职业别,    合计,,,,,,,,,,,,    小计,1 5-1 9岁,2 0—2 4岁,  2 5—2 9岁,3 0—3 4岁,3 5—4 9岁,5 0-5 4岁,5 5岁及以上
,,    小计,1 5-1 9岁,  2 0-2 4岁,2 5—2 9岁,3 0-3 4岁,3 5—5 4岁,5 5—5 9岁,6 0岁及以上,,,(续),,,,,,,,
(续),,,,,,,,,,,,七、生产工人、运输工人和有关人员,"    29,532,1 73","    5,826,993","    6,369,786","    6,063,937","    4,048,844","    6,286,986","    568,680","    366,947"
七、生产工人、运输工人和有关人员,"    83,369,044","    53,836,871","    7,083,090","    9,539,136","  11,434,886","    8,384,550","    15,332,303","    1,191,017","    871,889",,,  1．采矿、采石、勘探、钻井、采盐工人,"    474,549","    122,864","    109,566","    77,952","    49,844","    101,842","    8,748","    3,733"
  1．采矿、采石、勘探、钻井、采盐工人,"    4,422,872","    3,948,323","    424,688","    670,366","    887,025","    716,675","    1,185,861",43741,"    19,967",,,  2．金属冶炼和处理工人,"    944,469","    138,892","    177,406","    197,014","    149,674","    259,234","    16,785","    5,464"
  2．金属冶炼和处理工人,"    2,943,080","    1,998,611","    223,737","    337,585","    449,923","    367,080","    580,578","    27,369","    12,339",,,  3．化学工人,"    650,915","    94,797","    142,917","    154,361","    99,268","    144,649","    10,383","    4,540"
  3．化学工人,"    1,458,781","    807,866","    108,304","    170,862","    202,350","    141,21 7","    172,025","    8,222","    4,886",,,  4．橡胶和塑料制品生产工人,"    870,771","    163,011","    172,618","    1 75,245","    133,250","    199,762","    17,312","    9,573"
  4．橡胶和塑料制品生产工人,"    1,254,748","    383,977","    75,755","    89,568","    84,383","    49,611","    73,785","    6,691","    4,184",,,  5．纺织、针织、印染工人,"    3,791,005","    1,039,294","    1,003,647","    718,751","    426,214","    536,132","    39,353","    27,614"
  5．纺织、针织、印染工人,"    4,957,642","    1,166,637","    268,567","    310,972","    226,039","    127,261","    200,226","    20,395","    13,177",,,  6．皮革、皮毛制造及制品制作工人,"    510,856","    11 7,272","    115,326","    105,343","    66,908","    90,552","        9,618","    5,837"
  6．皮革、皮毛制造及制品制作工人,"    799,210","    288,354","    77,881","    68,375","    53,596","    25,237","    42,345","    10,797","    10,123",,,  7．裁剪缝纫工人,"    4,266,857","    1,216,570","    877,055","    743,452","    511,350","    726,077","    106,704","    85,649"
  7．裁剪缝纫工人,"    4,969,985","    703,128","    141,257","    119,410","    112,400","    83,126","    161,946","    34,799","    50,190",,,  8．食品饮料制造工人,"    1，267,507","    247,523","    250,135","    218,231","    166,073","    325,625","    35,468","    24,452"
  8．食品饮料制造工人,"    3,266,469","    1,998,962","    263,985","    317,345","    361,998","    268,010","    620,057","    88,455","    79,112",,,  9．制烟工人,"    55,413","    13,453","    14,746","    10,964","    5,491","    8,861","    1,088",    810
  9．制烟工人,"    98,047","    42,634","    11,551","    12,025","    8,184","    3,858","    5,504",    787,    725,,,  10.木材加工和木、竹、麻、藤、棕、草制,,,,,,,,
  10.木材加工和木、竹、麻、藤、棕、草制,,,,,,,,,,,,    品制作工人,"    1,335,028","    334,856","    235,587","    225,654","    160,254","    277,080","    47,841","    53,756"
    品制作工人,"    6,927,51 4","    5,592,486","    1,111,787","    1,027,537","    1,076,136","    741,705","    1,304,858","    157,422","    173,041",,,  11．造纸和纸制品制作工人,"    553,91 5","    105,569","    103,064","    99,350","    71,934","    132,539","    20,874","    20,585"
  11．造纸和纸制品制作工人,"    880,604","    326,689","    62,476","    69,389","    65,899","    39,530","    71,801","    9,174","    8,420",,,  12．印刷工人和有关人员,"    586,869","    93,058","    130,376","    120,646","    84,439","    139,332","    12,087","    6,931"
  12.印刷工人和育关人员,"    901,1 75","    314,306","    55,982","    74,183","    62,001","    36,505","    70,734","    7,834","    7,067",,,  13.石料切割和雕刻工,"    28,245","    7,004","    5,535","    4,493","    3,478","    6,254",    780,    701
  13．石料切割和雕刻工,"    354,519","    326,274","    47,565","    49,195","    70,758","    54,454","    92,030","    6,512","    5,760",,,  14.锻工、工具制造工、机床安装操作工,"    2,099,919","    249,203","    486,928","    609,157","    358,802","    380,268","    11,579","    3,982"
  14．锻工、工具制造工、机床安装操作工,"    6,529,387","    4,429,468","    445,509","    763,225","    1,021,990","    757,459","    1,343,586","    60,364","    37,335",,,  15.机器装配工和精密仪器制造工,"    660,508","    78,574","    154,128","    1 72,495","    101,580","    145,844","    6,187","    1,700"
  15.机器装配工和精密仪器制造工,"    3,937,884","    3,277,376","    260,186","    568,559","    781,540","    574,322","    1,024,362","    45,856","    22,551",,,  16.电气、电子设备安装工、修理工、装配,,,,,,,,
  16.电气、电子设备安装工、修理工、装配,,,,,,,,,,,,    工和有关人员,"    1,185,751","    163,607","    297,596","    297,012","    177,673","    238,922","    8,232","    2,709"
    工和有关人员,"    4,201,379","    3,015,628","    252,839","    541,381","    690,251","    51 5,769","    978,150","    25,737","    11,501",,,  17．广播电台(站)录音设备操作人员和电,,,,,,,,
  17.广播电台(站)录音设备操作人员和电,,,,,,,,,,,,    影放映员,"    35,127","    5,864","    11,074","    9,536","    3,893","    4,633",    112,    1 5
    影放映员,"    279,920","    244,793","    20,343","    49,725","    72,200","    48,719","    52,794",    745,    267,,,  18.管工、焊工、冷作工和金属构件安装工,"    909,244","    119,160","    206,584","    218,615","    136,122","    212,51 7","    12,035","    4,211"
  18.管工、焊工、冷作工和金属构件安装工,"    3,014,886","    2,105,642","    237,840","    401,866","    470,750","    335,807","    608,848","    32,222","    18,309",,,  19.玻璃、陶瓷和搪瓷制品工人,"    424,483","    90,222","    97,138","    90,067","    55,996","    82,684","    5,675","    2,701"
  19.玻璃、陶瓷和搪瓷制品工人,"    908,665","    484,182","    95,203","    100,791","    97,844","    59,091","    113,854","    10,283","    7,116",,,  20．油漆工人,"    445,274","    68,820","    96,483","    96,337","    63,068","    107,897","    8,968","    3,701"
  20．油漆工人,"    879,461","    434,187","    90,885","    85,085","    78,593","    52,287","    104,026","    11,328","    11,983",,,  21．其他生产工人和育关人员,"    1,863,444","    506,964","    389,811","    310,164","    229,344","    360,573","    36,418","    30,170"
  21．其他生产工人和有关人员,"    4,906,521","    3,043,077","    557,144","    599,165","    664,428","    436,243","    678,787","    59,184","    48,126",,,  22．建筑工人,"    1,182,768","    240,748","    263,538","    226,407","    142,536","    273,230",26144,"    10,165"
  22．建筑工人,"    6,824,042","    5,641,274","    1,1 52,882","    1,117,452","    1,169,075",758563,"    1,267,675","    104,190","    71,437",,,  23.动力设备操作工,"    359,778","    45,941","    85,082","    90,269","    51,399","    82,372","    3,761",    954
  23.动力没备操作工,"    1,727,964","    1,368,186","    121,689","    230,076","    300,861","    233,150","    447,828","    24,189","    10,393",,,  24.装卸工和有关设备操作工,"    907,007","    120,256","    162,924","    169,087","    122,732","    278,499","    37,408","    16,101"
  24.装卸工和育关设备操作工,"    3,651,646","    2,744,639","    345,032","    495,183","    574,358","    418,328","    796,312","    75,510","    39,916",,,  25.运输设备操作工,"    600,642","    91,225","    1 28,866","    125,717","    68,769","    147,198","    25,161","    13,706"
  25.运输设备操作工,"    6,441,673","    5,841,031","    371,730","    808,772","    1,298,181","    1,080,819","    2,033,583","    155,368","    92,578",,,  26.检验、计量、试验、分析人员和育关人员,"    1,301,923","    124,563","    275,193","    324,255","    225,450","    334,819","    13,241","    4,402"
  26.检验、计量、试验、分析人员和有关人员,"    2,029,058","    727,135","    46,145","    103,078","    131,679","    109,349","    306,102","    21,424","    9,358",,,  27．其他生产工人、运输工人和有关人员,"    2,219,906","    227,683","    376,463","    473,363","    383,303","    689,591","    46,718","    22,785"
  27.其他生产工人、运输工人和有关人员,4801912,"    2,582,006","    212,128","    357,966","    422,444","    350,375","    994,646","    142,419","    102,028",,,八、不便分类的其他劳动者,191072,"    69,696","    45,253","    30,592","    16,729","    22,382","    2,957","    3,463"
八、不便分类的其他劳动者,"    458,342","    267,270","    82,579",    63，014,"    39,145","    21,866","    47,648","    6,024","    6,994",,,  1．不便分类的其他劳动者,"    191,072","    69,696","    45,253","    30,592","    16,729","    22,382","    2,957","    3,463"
  1．不便分类的其他劳动者,"    458,342","    267,270","    82,579","    63,014","    39,145","    21,866","    47,648","    6,024","    6,994",,,,,,,,,,,
