,,,,,,,,,,,,,,,
表8-13全国分年龄、性别、婚姻状况的一人户,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  51,    213 958,    167 484,    46 474,    92 006,    90 704,    1 302,    64 437,    39 100,    25 337,    33 227,    16 183,    17 044,    24 288,    21 497,    2 791
  52,    233 837,    180 577,    53 260,    96 656,    95 266,    1 390,    67 317,    40 694,    26 623,    42 799,    20 415,    22 384,    27 065,    24 202,    2 863
  53,    237 400,    178 770,    58 630,    91 330,    89 901,    1 429,    66 932,    40 013,    26 919,    51 110,    23 773,    27 337,    28 028,    25 083,    2 945
  54,    249 624,    181 989,    67 635,    88 861,    87 300,    1 561,    68 039,    39 723,    28 316,    62 799,    28 031,    34 768,    29 925,    26 935,    2 990
55-59岁,    1 369 582,    912 451,    457 131,    369 303,    361 054,    8 249,    321 556,    190 61 3,    130 943,    523 625,    221 839,    301 786,    155 098,    138 945,    16 153
  55,    256 852,    181 306,    75 546,    84 229,    82 600,    1 629,    66 905,    38 866,    28 039,    75 112,    32 502,    42 610,    30 606,    27 338,    3 268
  56,    272 726,    188 918,    83 808,    81 241,    79 681,    1 560,    68 171,    40 509,    27 662,    90 963,    39 583,    51 380,    32 351,    29 145,    3 206
  57,    281 360,    187 981,    93 379,    75 370,    73 677,    1 693,    66 972,    39 785,    27 187,    107 090,    45 909,    61 181,    31 928,    28 610,    3 318
  58,    274 274,    177 160,    97 114,    66 727,    65 091,    1 636,    60 317,    35 870,    24 447,    116 748,    48 846,    67 902,    30 482,    27 353,    3 129
  59,    284 370,    177 086,    107 284,    61 736,    60 005,    1 731,    59 191,    35 583,    23 608,    133 712,    54 999,    78 713,    29 731,    26 499,    3 232
60岁及以上,    7 686 154,    3 274 812,    4 41 1 342,    592 271,    548 116,    44 155,    581 440,    349 310,    232 130,  6 202 072,  2 113 748,  4 088 324,    310 371,    263 638,    46 733
