21.市(不含市辖县)人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  牡丹江市,"    580,984","    295,182","    285,802","    408,233","    206,277","    201,956","    172,751","    88,905","    83,846"
  绥芬河市,"    19,842","    10,197","    9,645","    11,498","    5,844","    5,654","    8,344","    4,353","    3,991"
  黑河市,"    66,163","    33,518","    32,645","    55,037","    27,726","    27,311","    11,126","    5,792","    5,334"
  加格达奇区,"    102,935","    52,221","    50,714","    88,199","    44,267","    43,932","    14,736","    7,954","    6,782"
  松岭区,"    31,889","    16,384","    15,505",-,-,-,"    31,889","    16,384","    15,505"
  新林区,"    56,843","    29,174","    27,669",-,-,-,"    56,843","    29,1 74","    27,669"
  呼中区,"    49,423","    25,536","    23,887",-,-,-,49423,"    25,536","    23,887"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女
(续),,,,,,,,,
上海市,6320829,"    3,204,427","    3,116,402","    6,320,829","    3,204,427","    3,116,402",-,-,-
  上海市区,"    6,320,829","    3,204,427","    3,116,402","    6,320,829","    3,204,427","    3,116,402",-,-,-
江苏省,"    6,745,009","    3,513,841","    3,231,168","    4,698,046","    2,489,515","    2,208,531","    2,046,963","    1,024,326",1022637
  南京市区,"    2,134,198","    1,111,494","    1,022,704","    1,205,965","    626,344","    579,621","    928,233","    485,150","    443,083"
  无锡市区,"    812,610","    417,011","    395,599",558743,"    293,273","    265,470","    253,867","    123,738","    130,129"
  徐州市区,"    779,289","    422,794","    356,495","    634,063","    349,108","    284,955","    145,226","    73,686","    71,540"
  常州市区,"    500,737","    258,306","    242,431","    395,938","    210,489","    185,449","    104,799","    47,81 7","    56,982"
  苏州市区,"    673,308","    343,586","    329,722","    566,161","    291,680","    274,481","    107,147","    51,906","    55,241"
  南通市区,"    389,988","    202,454","    187,534","    221,135","    122,888","    98,247","    168,853","    79,566","    89,287"
  连云港市区,"    395,730","    199,665","    196,065","    283,198","    1 43,619","    1 39,579","    112,532","    56,046","    56,486"
  清江市,"    246,61 7","    129,350","    117,267","    170,380","    92,662","    77,718","    76,237","    36,688","    39,549"
  扬州市,"    304,959","    159,888","    145,071","    243,142","    131,350","    111,792","    61,817","    28,538","    33,279"
  泰州市,"    161,549","    82,925","    78,624","    129,162","    67,956","    61,206","    32,387","    14,969","    17,418"
  镇江市,"    346,024","    186,368","    159,656","    290,159","    160,146","    130,01 3","    55,865","    26,222","    29,643"
浙江省,"    6,860,501","    3,554,330","    3,306,171","    2,463,443","    1,274,620","    1,188,823","    4,397,058","    2,279,71 0","    2,117,348"
  杭州市区,"    1,191,582","    616,074","    575,508","    1,191,582","    616,074","    575,508",-,-,-
  宁波市区,"    468,230","    236,545","    231,685","    318,908","    162,236","    1 56,672","    149,322","    74,309","    75,013"
  温州市区,"    508,611","    259,033","    249,578","    358,965","    182,145","    1 76,820","    149,646","    76,888","    72,758"
  湖州市,"    945,616","    498,471","    447,1 45","    11 5,275","    62,382","    52,893","    830,341","    436,089","    394,252"
  嘉兴市,"    670,041","    342,1 34","    327,907","    122,258","    63,913","    58,345","    547,783","    278,221","    269,562"
  绍兴市,"    1,107,1 75","    564,000","    543,175","    133,992","    69,020","    64,972","    973,183","    494,980","    478,203"
  金华市,"    842,904","    443,546","    399,358","    101,837","    56,258",45579,741067,"    387,288","    353,779"
  衢州市,"    971,783","    515,131",456652,"    63,999","    32,882","    31,117","    907,784","    482,249","    425,535"
  椒江市,"    154,559","    79,396","    75,163","    56,627","    29,710","    26,91 7","    97,932","    49,686","    48,246"
安徽省,"    4,885,043","    2,598,359","    2,286,684","    3,669,766","    1,993,251","    1,676,515","    1,215,277","    605,108","    610,169"
  合肥市区,"    821,812","    440,242","    381,570","    490,965","    270,078","    220,887","    330,847","    1 70,164","    160,683"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女
