26.县、市的户数与人口数,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
    永清县,62637,"    304,052","    154,714",149338
    固安县,"    68,110","    311,968","    158,516","    1 53,452"
    霸县,"    92,970","    408,841","    206,079","    202,762"
    文安县,"    80,389","    348,045","    176,487","    1 71,558"
    大城县,"    70,645","    323,052","    163,593","    159,459"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
    (续),,,,
  沧州地区,"    1,162,177","    5,193,292","    2,632,474","    2,560,818"
    沧州市,"    62,553","    266,386","    140,980","    125,406"
    沧县,"    115,839","    534,937","     268,873","    266,064"
    河间县,"    130,930","    601,422","    306,443","    294,979"
    肃宁县,"    56,971","    256,611","    129,016","    127,595"
    献县,"    94,91 5",    430，852,"    21 7,51 7","    213,335"
    交河县,"    96,695","    428,429","    215,167","    213,262"
    吴桥县,"    56,360","    242,477","    120,433","    122,044"
    东光县,"    67,912","    286,311","    1 44,022","    142,289"
    南皮县,"    66,587","    298,806","    1 51,227","    147,579"
    盐山县,"    70,076","    322,547","    163,784","    158,763"
    黄骅县,"    85,808","    374,641","    187,01 2","    187,629"
    孟村回族自治县,"    30,1 51","    139,807","    70,041","    69,766"
    青县,"    67,242","    304,093","    1 54,551","    149,542"
    任丘县,"    123,779","    543,271","    282,063","    261,208"
    海兴县,"    36,359","    162,702","    81,345","    81,357"
  衡水地区,"    801,641","    3,430,078","    1,710,351","    1,719,727"
    衡水市,"    24,970","    102,879","    58,61 5","    44,264"
    衡水县,"    41,585",169289,"    82,576","    86,713"
    冀县,"    80,275","    323,148","    158,769","    164,379"
    枣强县,"    73,568","    326,618","    1 59,700","    166,91 8"
    武邑县,"    63,459","    275,942","    137,880","    138,062"
    深县,"    11 7,207","    488,357","    244,530","    243,827"
    武强县,"    38,869","    173,714","    86,384","    87,330"
    饶阳县,"    55,359","    235,959","    118,072","    117,887"
    安平县,"    63,541",256954,"    129,481","    1 27,473"
    故城县,"    83,241","    370,992","    183,564","    187,428"
    景县,"    97,294","    427,398","    212,456","    214,942"
    阜城县,"    62,273","    278,828","    138,324","    140,504"
山西省,"    5,927,147","    25,291,450","    13,161,639","    12,129,811"
  太原市,"    498,213","    2,219,600","    1,182,198","    1，037,402"
    太原市区,"    390,397","    1,774,713",951928,"    822,785"
    清徐县,"    54,965","    233,393","    117,092","    11 6,301"
    阳曲县,33271,"    1 29,472","    68,652","    60,820"
    娄烦县,"    19,580","    82,022","    44,526","    37,496"
  大同市,"    226,074","    967,608","    521,103","    446,505"
    大同市区,"    226,074","    967,608","    521,103","    446,505"
  阳泉市,"    104,421","    466,558",262637,"    203,921"
    阳泉市区,"    104,421","    466,558","    262,637","    203,921"
  长治市,"    94,851","    436,154","    235,645","    200,509"
    长治市区,"    94,851","    436,154","    235,645",    200，509
  雁北地区,"    581,505","    2,322,201","    1,238,499","    1,083,702"
    阳高县,"    60,463","    236,1 24","    124,382","    111,742"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
    (续),,,,
    天镇县,"    41,197","    1 70,379","    89,636","    80,743"
    广灵县,"    36,877","    142,382","    77,779","    64,603"
    灵丘县,"    48,188","    186,144","    98,244","    87,900"
    浑源县,"    67,839","    280,562","    146,270","    134,292"
    应县,"    59,339","    235,308","    126,919","    108,389"
    山阴县,"    45,507","    1 77,006","    95,262","    81,744"
    朔县,"    56,879","    238,996","    128,263","    110,733"
    平鲁县,"    33,070","    140,01 4","    75,140","    64,874"
    左云县,"    25,927","    96,273","    51,547","    44,726"
    右玉县,"    22,539","    89,740","    48,005","    41,735"
    大同县,"    37,152","    1 47,423","    78,557","    68,866"
    怀仁县,"    46,528","    181,850","    98,495","    83,355"
  忻县地区,"    656,838","    2,456,529","    1,316,192","    1,140，337"
    忻县,"    107,875","    381,704","    201,578","    180,126"
    定襄县,"    53,588","    184,830","    95,880","    88,950"
    五台县,"    77,323","    293,660","    1 51,496","    142,164"
    原平县,"    108,514","    403,715","    219,306","    184,409"
    代县,"    49,759","    175,666","    95,587","    80,079"
    繁峙县,"    51,696","    199,132","    108,650","    90,482"
    宁武县,"    33,191","    134,003","    74,554","    59,449"
    静乐县,"    31,963","    130,377","    72,185","    58,192"
    神池县,"    21,628","    83,699","    45,606","    38,093"
    五寨县,"    23,561","    88,755","    48,185",    40，570
    岢岚县,"    17,943","    70,636",38285,"    32,351"
    河曲县,"    31,851","    11 7,598","    62,643","    54,955"
    保德县,"    25,566","    108,149","    56,286","    51,863"
    偏关县,"    22,380","    84,605","    45,951","    38,654"
  吕梁地区,"    605,813","    2,554,332","    1,324,386","    1,229,946"
    汾阳县,"    69,303",303046,155117,"    147,929"
    文水县,"    65,486","    267,601","    136,044","    131,557"
    交城县,"    47,827","    203,330","    102,705","    100,625"
    孝义县,"    67,333","    299,632","    157,921","    141,711"
    兴县,"    47,467",201985,"    106,149","    95,836"
    临县,"    106,852","    433,897","    224,087","    209,810"
    柳林县,"    49,070","    208,575","    106,849","    101,726"
    石楼县,"    18,189","    76,054","    39,526","    36,528"
    岚县,"    28,625","    124,480","    66,326",58154
    方山县,"    26,274","    103,1 78","    54,417","    48,761"
    离石县,"    34,192","    143,714","    75,542","    68,172"
    中阳县,"    24,386","    100,278","    52,364","    47,914"
    交口县,"    20,809","    88,562","    47,339","    41,223"
  晋中地区,"    772,604","    3,145,797",1625723,"    1,520,074"
    榆次市,"    64,038","    268,194","    139,442","    128,752"
    榆社县,"    28,215","    119,200","    61,999","    57,201"
    左权县,"    36,128","    146,749","    76,122","    70,627"
    和顺县,"    29,790","    124,91 7","    65,340","    59,577"
    昔阳县,"    59,948","    234,240","    121,963","    112,277"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
    (续),,,,
    平定县,"    76,061","    304,522","    155,086","    149,436"
    盂县,"    64,795","    250,462","    131,167","    119,295"
    寿阳县,"    57,976","    213,487","    113,950","    99,537"
    榆次县,"    32,135","    134,234","    69,971","    64,263"
    太谷县,"    55,741","    241,169","    123,549","    117,620"
    祁县,"    51,935","    211,360","    108,545","    102,81 5"
    平遥县,"    98,120","    402,710","    204,263","    198,447"
    介休县,"    68,707",    292，398,"    149,693","    142,705"
    灵石县,"    49,015","    202,155","    104,633","    97,522"
  晋东南地区,"    945,331","    3,994,893","    2,044,422","    1,950,471"
    长治县,"    63,475","    280,1 51","    138,654","    141,497"
    潞城县,"    37,308","    165,193","    85,164","    80,029"
    屯留县,"    46,268","    209,222","    107,699",101523
    长子县,"    68,694","    296,258","    149,781","    146,477"
    沁水县,"    49,929","    202,394","    104,134","    98,260"
    阳城县,"    92,669","    359,514","    181,987","    1 77,527"
    晋城县,"    137,180","    591,313","    304,933","    286,380"
    高平县,"    92,731","    402,554","    199,928","    202,626"
    陵川县,"    53,073","    229,586","    117,411","    112,175"
    壶关县,"    57,491","    243,485","    123,209","    120,276"
    平顺县,"    38,397","    156,990","    81,410","    75,580"
    黎城县,"    37,217","    142,389","    75,832","    66,557"
    武乡县,"    48,893","    196,846","    103,627","    93,219"
    襄垣县,"    49,560","    210,973","    110,663","    100,310"
    沁县,"    37,849","    158,545","    81,621","    76,924"
    沁源县,"    34,597","    149,480","    78,369","    71,111"
  临汾地区,"    659,536","    3,027,125","    1,545,481","    1,481,644"
    临汾市,"    41,500","    190,626","    102,114","    88,512"
    侯马市,"    31,522","    148,577","    76,399","    72,1 78"
    曲沃县,"    36,624","    173,766","    86,738","    87,028"
    翼城县,"    56,604","    251,368","    126,559","    124,809"
    襄汾县,"    82,340","    385,160",    192，121,"    193,039"
    临汾县,"    66,596","    301,294","    149,347","    151,947"
    洪洞县,"    115,329","    528,393","    264,178",    264，215
    霍县,"    40,765","    196,616","    104,928","    91,688"
    古县,"    1 7,242","    73,104",    38，269,"    34,835"
    安泽县,"    17,061","    70,886","    37,359","    33,527"
    浮山县,"    25,835","    116,771","    60,399","    56,372"
    吉县,"    18,194","    79,425","    41,358","    38,067"
    乡宁县,"    32,139","    151,888","    78,881","    73,007"
    蒲县,"    16,189","    77,780","    40,958","    36,822"
    大宁县,"    11,626","    50,985","    26,71 5","    24,270"
    永和县,"    11,251","    48,209","    24,852","    23,357"
    隰县,"    1 7,385","    78,972",    40，988,"    37,984"
    汾西县,"    21,334","    103,305","    53,318","    49,987"
  运城地区,"    781,961","    3,700,653","    1,865,353","    1,835,300"
    运城县,"    86,285","    414,644","    211,766","    202,878"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,  户数,,,
,,    合计,    男,    女
    (续),,,,
    永济县,"    66,532","    331,109","    168,606",162503
    芮城县,"    61,941",292893,"    145,974","    146,919"
    临猗县,"    92,123","    432,589","    214,831","    217,758"
    万荣县,"    75,294","    338,718","    168,440","    170,278"
    新绛县,"    51,049","    243,098","    120,694","    122,404"
    稷山县,"    51,952","    246,611","    122,502","    124,109"
    河津县,"    48,478","    229,321","    116,615","    112,706"
    闻喜县,"    63,808","    301,61 7","    151,735","    149,882"
    夏县,"    55,517","    268,877","    134,871",134006
    绛县,"    47,205","    217,433","    110,401","    107,032"
    平陆县,"    41,203","    192,481","    97,858",94623
    垣曲县,"    40,574","    191,262","    101,060","    90,202"
内蒙古自治区,"    4,200,048","  19,274,281","    10,052,855","    9,221,426"
  呼和浩特市,"    299,093","    1,200,469","    637,680","    562,789"
    呼和浩特市区,"    182,144","    742,114","    389,870","    352,244"
    土默特左旗,"    75,642","    299,953","    163,031","    136,922"
    托克托县,"    41,307","    158,402","    84,779","    73,623"
  包头市,"    376,413","    1,575,665","    825,162","    750,503"
    包头市区,"    247,972","    1,070,481","    552,659","    517,822"
    土默特右旗,"    74,904","    294,916","    1 58,800","    136,116"
    固阳县,"    53,537","    210,268","    113,703","    96,565"
  乌海市,"    55,538","    249,617","    130,626","    118,991"
    乌海市区,"    55,538","    249,617","    130,626","    118,991"
  呼伦贝尔盟,"    469,213","    2,293,716","    1,186,252","    1,107,464"
    海拉尔市,"    36,889","    163,551","    83,228","    80,323"
    满洲里市,"    24,252","    107,876","    55,478","    52,398"
    布特哈旗,"    75,653","    384,338","    198,734","    185,604"
    阿荣旗,"    59,016","    290,187","    151,682","    138,505"
    莫力达瓦达斡尔族自治旗,"    53,166","    258,881","    135,811","    123,070"
    喜桂图旗,"    81,167","    386,514","    197,655","    188,859"
    额尔古纳右旗,"    13,173","    63,855","    32,967","    30,888"
    额尔古纳左旗,"    31,61 4","    165,588","    85,863","    79,725"
    鄂伦春自治旗,"    54,225","    273,897","    141,524","    132,373"
    鄂温克族自治旗,"    17,943","    91,309","    48,387","    42,922"
    新巴尔虎右旗,"    6,134","    29,846","    15,322","    14,524"
    新巴尔虎左旗,"    7,659","    37,428","    18,900","    18,528"
    陈巴尔虎旗,"    8,322",    40，446,"    20,701","    19,745"
  兴安盟,"    253,137","    1,365,367","    705,290","    660,077"
    乌兰浩特市,"    36,945","    172,542","    87,470","    85,072"
    科尔沁右翼前旗,"    69,825","    381,535","    196,447","    185,088"
    科尔沁右翼中旗,32385,"    189,915","    97,376","    92,539"
    扎赉特旗,"    58,665","    340,459","    179,670","    160,789"
    突泉县,"    55,317","    280,916","    144,327","    136,589"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
    (续),,,,
  哲里木盟,"    475,583","    2,436,588","    1,249,717","    1,186,871"
    通辽市,"    53,230","    225,432","    114,855","    110,577"
    通辽县,"    73,229","    368,304","    188,778","    179,526"
    科尔沁左翼中旗,"    81,237","    429,280","    221,071","    208,209"
    科尔沁左翼后旗,"    66,1 72","    348,695","    1 79,367","    169,328"
    开鲁县,"    62,918","    323,308","    163,791","    159,51 7"
    库伦旗,"    26,536","    144,542","    74,371","    70,1 71"
    奈曼旗,"    66,155","    354,757","    182,034","    1 72,723"
    扎鲁特旗,"    46,106","    242,270","    125,450","    116,820"
  昭乌达盟,"    758,332","    3,675,543","    1,885,126","    1,790,417"
    赤峰市,"    67,261","    297,929","    153,330","    144,599"
    阿鲁科尔沁旗,"    50,029",246281,"    126,468","    11 9,813"
    巴林左旗,"    63,223","    309,763","    159,003","    1 50,760"
    巴林右旗,"    28,494","    143,230","    73,036","    70,194"
    林西县,"    48,651","    218,526","    112,559","    105,967"
    克什克腾旗,"    48,072","    221,994","    114,203","    1 07,791"
    翁牛特旗,"    80,987","    402,408","    205,438","    1 96,970"
    赤峰县,"    1 00,732","    496,650","    253,102","    243,548"
    喀喇沁旗,"    73,341","    355,327","    181,970","    1 73,357"
