24.镇户数和人口数,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
  土贵乌拉镇,"    6,012","    19,944","    10,724","    9,220"
  科布尔镇,"    4,473","    16,260","    8,574","    7,686"
  土牧尔台镇,"    1,869","    6,873","    3,601","    3,272"
  白音察干镇,3051,"    11,179","    6,085","    5,094"
  百灵庙镇,"    3,702","    14,846","    7,935","    6,911"
  乌兰花镇,"    3,529","    14,643","    7,598","    7,045"
  东胜县城关镇,"    10,995","    47,010","    24,781","    22,229"
  树林召镇,"    4,410","    13,931","    8,094","    5,837"
  沙圪堵镇,"    3,170","    11,303","    6,607","    4,696"
  乌兰镇,"    3,021","    11,034","    6,054","    4,980"
  乌珠尔镇,    503,"    2,030","    1,046",    984
  锡尼镇,"    2,061","    8,449","    4,614","    3,835"
  达布察克镇,"    2,130","    7,358","    4,052","    3,306"
  阿腾席都镇,"    1,647","    6,671","    3,657","    3,014"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,  合计,    男,    女
  (续),,,,
  临河镇,"    1 7,532","    77,199",    40，042,"    37,157"
  巴彦套海镇,    71 1,2712,"    1,430","    1,282"
  五原县城关镇,"    6,719","    23,942","    12,468","    11,474"
  巴彦高勒镇,"    6,832","    29,316","    15,324","    13,992"
  乌拉山镇,"    1,977","    8,1 45","    4,310","    3,835"
  西山嘴镇,"    5,708","    21,552","    11,512","    10,040"
  海流图镇,2770,"    11,691","    6,357","    5,334"
  赛乌素镇,"    1,340","    5,728","    3,161","    2,567"
  呼和温都尔镇,1588,"    6,964","    3,821","    3,143"
  陕坝镇,"    6,776","    26,319","    13,727","    12,592"
  巴音浩特镇,"    7,306","    31,309","    15,809","    15,500"
  吉兰太镇,"    1,799","    8,770","    4,669","    4,101"
  呼鲁斯太镇,"    1,927","    9,657","    5,668","    3,989"
  额肯呼都格镇,"    1,531","    6,333","    3,327","    3,006"
辽宁省,"    836,758","    3,253,714","    1,726,522","  1,527,192"
  新民镇,"    13,396","    48,028","    24,986","    23,042"
  辽中镇,"    7,442","    28,517","    15,857","    12,660"
  金州镇,"    26,221","    94,613","    48,620","    45,993"
  新港镇,"    1,359","    4,973","    2,535","    2,438"
  三十里堡镇,"    1,679","    4,948","    2,569","    2,379"
  普兰店镇,"    10,908","    40,562","    22,683","    17,879"
  皮口镇,"    3,425","    12,642","    7,087","    5,555"
  城子坦镇,"    2,941","    11,047","    5,848","    5,199"
  瓦房店镇,"    33,470","    130,881","    72,026","    58,855"
  复州城镇,"    1,733","    5,713","    3,045","    2,668"
  复州湾镇,"    2,549","    16,142","    11,032","    5,110"
  松树镇,"    3,358","    10,785","    5,813","    4,972"
  华铜镇,"    2,392","    9,009","    5,001","    4,008"
  四块石镇,"    1,853","    7,460","    3,981","    3,479"
  庄河镇,"    11,129","    41,236","    22,207","    19,029"
  青堆镇,"    1,547","    5,585","    3,108","    2,477"
  台安镇,"    7,760","    29,863","    16,378","    13,485"
  海城镇,"    32,403","    124,426","    68,363","    56,063"
  牛庄镇,"    5,572","    23,539","    12,078","    11,461"
  腾鳌镇,"    4,219","    16,063","    8,152","    7,911"
  新宾镇,"    8,325","    31,294","    16,089",15205
  永陵镇,"    8,167","    34,412","    17,537",16875
  下营子镇,"    4,419","    1 7,960","    9,195","    8,765"
  南杂木镇,"    4,250","    15,788","    8,069",7719
  清原镇,"    10,605","    39,298","    20,474","    18,824"
  红透山镇,"    5,400","    20,901","    10,709","    10,192"
  斗虎屯镇,"    2,763","    10,269","    5,281","    4,988"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
  (续),,,,
  小市镇,"    11,211","    43,869","    22,235","    21,634"
  田师付镇,"    9,105","    39,092","    19,766","    19,326"
  草河口镇,"    6,648","    29,024","    14,741","    14,283"
  桓仁镇,"    12,114","    50,375","    25,695","    24,680"
  二棚甸子镇,"    6,187","    28,754","    14,817","    13,937"
  凤城镇,"    18,231","    66,412","    33,859","    32,553"
  通远堡镇,"    2,358","    9,315","    4,921","    4,394"
  青城子镇,"    4,232","    18,392","    9,610","    8,782"
  岫岩镇,"    12,942",51362,"    26,471","    24,891"
  大东镇,"    6,088","    24,700","    13,439","    11,261"
  孤山镇,"    3,867","    1 5,297","    7,969","    7,328"
  宽甸镇,"    9,458","    39,439","    20,252","    19,187"
  锦西镇,"    37,856","    152,203","    77,737","    74,466"
  杨家杖子镇,"    11,367","    44,152","    23,969","    20,183"
  葫芦岛镇,"    9,581","    38,797","    20,595",18202
  南票镇,"    16,787","    67,274","    36,582","    30,692"
  高桥镇,"    1,147","    4,610","    2,447","    2,163"
  兴城镇,"    9,781","    36,411","    19,067","    1 7,344"
  华山镇,"    7,156","    29,358","    15,165","    14,193"
  绥中镇,"    8,612","    33,727","    18,673","    15,054"
  前卫镇,    545,"    2,146","    1,530",    616
  大凌河镇,"    5,630","    22,419","    12,554","    9,865"
  王家窝堡镇,"    1,232","    4,333","    2,320","    2,013"
  金城镇,"    2,915","    11,713","    6,192","    5,521"
  石山镇,"    1,168","    4,729","    2,667","    2,062"
  广宁镇,"    6,375","    24,498",13015,"    11,483"
  沟帮子镇,"    5,364","    21,046","    11,318","    9,728"
  黑山镇,"    13,457","    45,431","    23,749","    21,682"
  新立屯镇,"    4,541","    1 7,198","    8,781","    8,417"
  八道壕镇,"    5,857","    23,120","    12,445","    10,675"
  大虎山镇,"    5,840","    21,726","    11,519","    10,207"
  义州镇,"    10,485","    37,698","    20,101","    17,597"
  大石桥镇,"    19,706",77774,"    43,719","    34,055"
  盘山镇,"    23,467","    86,109","    46,438","    39,671"
  大洼镇,"    37,271","    164,928","    90,882","    74,046"
  田庄台镇,"    4,334","    14,427","    7,558","    6,869"
  盏州镇,"    16,516","    62,762","    33,959","    28,803"
  熊岳镇,"    10,433","    37,063","    20,436","    16,627"
  阜新镇,"    10,929","    42,176","    21,234","    20,942"
  彰武镇,"    9,780","    38,922","    20,703","    18,219"
  哈尔套镇,"    1,020",4566,"    2,282","    2,284"
  首山镇,"    3,168","    11,458","    6,036","    5,422"
  弓长岭镇,"    11,938","    49,281","    25,881","    23,400"
  刘二堡镇,"    4,417","    15,950","    8,121","    7,829"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
  (续),,,,
  小屯镇,3162,"    12,618","    6,665","    5,953"
  安平镇,"    4,212","    15,034","    7,855","    7,179"
  灯塔镇,"    4,631","    17,548","    9,135","    8,413"
  铧子镇,"    7,251","    30,726","    16,968","    13,758"
  新台子镇,"    2,947","    9,91 3","    5,057","    4,856"
  开原镇,"    25,036","    90,193","    46,098","    44,095"
  老城镇,"    3,570","    1 2,667","    6,509","    6,1 58"
  清河镇,"    6,794","    27,600","    14,560","    1 3,040"
  西丰镇,"    11,564",42113,"    22,085","    20,028"
  平岗镇,"    1,079","    3,993","    2,1 51","    1,842"
  昌图镇,"    14,765","    51,920","    27,442","    24,478"
