24.镇户数和人口数,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
  霍邱县城关镇,"    7,386","    31,326","    16,168","    15,158"
  叶集镇,"    1,624","    6,927","    3,575","    3,352"
  河口镇,"    1,191","    5,182","    2,600",2582
  三河镇,"    3,610","    13,724","    7,139","    6,585"
  上派镇,"    6,796","    30,266","    16,455","    13,811"
  舒城县城关镇,"    7,262","    28,375","    15,21 2","    13,163"
  晓天镇,"    2,692","    10,803","    5,989","    4,814"
  桃溪镇,    929,"    3,456","    1,775","    1,681"
  龙河镇,"    1,130","    4,750","    2,679","    2,071"
  梅山镇,"    5,663","    24,545","    12,747","    11,798"
  霍山县城关镇,"    4,662","    20,181","    10,779","    9,402"
  宣城县城关镇,"    13,685","    56,592","    30,002","    26,590"
  孙埠镇,"    1,750","    6,434","    3,320","    3,114"
  水东镇,"    1,473","    4,992","    2,583","    2,409"
  水阳镇,"    1,373","    4,683","    2,430","    2,253"
  郎溪县城关镇,"    3,664","    16,052","    8,355","    7,697"
  桃州镇,"    4,910","    20,851","    10,999","    9,852"
  河沥溪镇,"    7,255","    31,026","    18,107","    12,919"
  港口镇,"    2,064","    8,725","    4,680","    4,045"
  当涂县城关镇,"    7,727","    30,438","    15,984","    14,454"
  繁昌县城关镇,"    5,704","    25,470","    13,961","    11,509"
  荻港镇,"    2,941","    13,188","    7,371","    5,817"
  南陵县城关镇,"    6,338","    25,524","    13,466","    12,058"
  弋江镇,"    2,179","    8,870","    4,513","    4,357"
  蓉城镇,"    4,040","    18,047","    9,647","    8,400"
  泾县城关镇,"    6,058","    26,898","    14,590",12508
  店埠镇,"    4,741","    22,929","    13,334","    9,595"
  梁园镇,"    1,659","    7,874","    4,096","    3,778"
  撮镇镇,"    1,728","    8,167","    4,746","    3,421"
  庐江县城关镇,"    5,998","    28,823","    15,827","    12,996"
  无城镇,"    9,774","    39,637","    20,659","    18,978"
  襄安镇,"    1,928",7868,"    4,112","    3,756"
  二坝镇,    243,"    1,013",    523,    490
  巢县城关镇,"    16,678","    72,781","    41,878","    30,903"
  柘皋镇,"    2,107","    7,522","    3,892","    3,630"
  炯炀镇,"    1,864","    6,773","    3,366","    3,407"
  环峰镇,"    3,434","    14,611","    7,996","    6,615"
  运漕镇,"    1,536","    5,790","    2,993",2797
  历阳镇,"    4,988","    19,455","    10,477","    8,978"
  华阳镇,7337,"    30,708","    17,782","    12,926"
  旌阳镇,"    4,640","    17,077","    10,199","    6,878"
  徽城镇,"    5,307","    21,761",    12，165,"    9,596"
  岩寺镇,"    2,938","    13,014","    7,444","    5,570"
  海阳镇,"    4,355","    19,792","    11,603","    8,189"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  向阳镇,"    2,861","    11,255","    6,376","    4,879"
  祁门县城关镇,"    5,545","    25,033","    13,987","    11,046"
  仙源镇,"    1,830","    6,920","    3,529","    3,391"
  甘棠镇,"    2,528","    10,682","    5,992","    4,690"
  石台县城关镇,"    1,554","    6,741","    3,680","    3,061"
  石牌镇,"    4,021","    18,402","    10,109","    8,293"
  高河镇,    409,"    2,204","    1,458",    746
  桐城县城关镇,4695,"    20,337","    11,109","    9,228"
  孔城镇,"    1,006","    3,912","    1,935","    1,977"
  青草镇,    463,"    1,761",    936,    825
  枞阳县城关镇,"    4,008","    18,496","    9,927","    8,569"
  汤沟镇,"    1,015","    4,999","    2,719","    2,280"
  梅城镇,"    2,691","    13,999",8178,"    5,821"
  太湖县城关镇,"    3,333","    15,490","    8,879","    6,611"
  徐桥镇,    991,"    4,345","    2,337","    2,008"
  宿松县城关镇,"    4,51 7","    21,860","    11,607","    10,253"
  望江县城关镇,"    3,334","    14,456","    7,695","    6,761"
  华阳镇,    677,"    3,448","    2,007","    1,441"
  天堂镇,"    3,515","    17,452","    9,876","    7,576"
  尧渡镇,"    5,181","    23,473","    12,600","    10,873"
  东流镇,"    1,669","    8,263","    4,661","    3,602"
  大渡口镇,    618,"    2,937","    1,760","    1,177"
  池州镇,"    9,692","    45,368","    24,793","    20,575"
福建省,"    458,655","  2,168,874","    1,169,004","    999,870"
  甘蔗镇,"    4,393","    22,918","    13,064","    9,854"
  白沙镇,"    2,528","    13,793","    7,715","    6,078"
  南屿镇,"    1,891","    8,683","    4,651","    4,032"
  尚干镇,"    3,303","    14,549","    7,950","    6,599"
  同安县城关镇,"    4,729","    20,806","    11,209","    9,597"
  马巷镇,"    2,542","    11,100","    5,579","    5,521"
  双溪镇,"    5,950","    26,557","    14,295","    12,262"
  建西镇,"    2,059","    9,976","    5,269","    4,707"
  洋口镇,"    2,112","    8,352","    4,318","    4,034"
  潭城镇,"    8,507","    35,131","    18,794","    16,337"
  麻沙镇,"    2,737","    12,789","    6,920","    5,869"
  水吉镇,"    2,196","    10,019","    5,286","    4,733"
  芝城镇,"    13,241","    56,415","    29,264","    27,151"
  南浦镇,"    9,435","    39,165","    20,207","    18,958"
  昭阳镇,"    13,685","    58,735","    31,356","    27,379"
  晒口镇,"    2,395","    12,746","    7,531","    5,215"
  拿口镇,"    1,074","    5,012","    2,669","    2,343"
  崇安县城关镇,"    5,385","    23,966","    12,789","    11,177"
  杭川镇,"    6,923","    30,961","    16,496","    14,465"
  松溪县城关镇,"    5,369","    24,301","    12,861","    11,440"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  熊山镇,"    4,373","    22,705","    12,521","    10,184"
  宁德县城关镇,"    9,031","    41,820","    22,360","    19,460"
  霍童镇,"    1,765","    8,238","    4,407","    3,831"
  凤城镇,"    5,470","    25,282","    13,466","    11,816"
  琯头镇,"    1,199","    5,377","    2,933","    2,444"
  丹阳镇,    518,"    1,950","    1,051",    899
  凤山镇,"    5,330","    23,598","    12,289","    11,309"
  桐山镇,"    8,166",35083,"    18,258","    16,825"
  秦屿镇,"    3,220",14508,"    7,583","    6,925"
  点头镇,"    1,095","    4,545","    2,379","    2,166"
  前岐镇,"    1,403","    5,705","    2,995","    2,710"
  松城镇,"    6,806","    30,173","    1 5,816","    1 4,357"
  三沙镇,"    4,149","    18,634","    9,766","    8,868"
  韩阳镇,"    9,483","    42,325","    22,721","    19,604"
  赛岐镇,"    3,273","    16,031","    8,921","    7,110"
  穆阳镇,"    3,448","    13,296","    7,034","    6,262"
  新城镇,"    5,504","    24,999","    13,553","    11,446"
  大桥镇,    690,"    3,793","    2,111","    1,682"
  水口镇,    767,"    3,527","    1,769","    1,758"
  古峰镇,"    1,824",9807,"    5,500","    4,307"
  寿宁县城关镇,"    3,086","    14,347","    7,809","    6,538"
  周宁县城关镇,"    2,717","    12,659","    6,972","    5,687"
  双城镇,"    3,039","    12,638","    6,921","    5,717"
  闽清县城关镇,3300,"    1 7,831","    10,493","    7,338"
  永泰县城关镇,"    3,275","    14,997","    8,347","    6,650"
  嵩口镇,"    1,641","    7,529","    3,941","    3,588"
  长乐县城关镇,"    4,983","    22,027","    11,965","    10,062"
  营前镇,"    2,024","    9,641","    5,040","    4,601"
  金峰镇,"    2,539","    11,020","    5,889","    5,131"
  梅花镇,"    3,607","    1 5,871","    8,306","    7,565"
  潭头镇,"    2,488","    11,776","    6,383","    5,393"
  福清县城关镇,"    8,672","    38,344","    19,867","    18,477"
  海口镇,"    2,044","    8,935","    4,785","    4,150"
  龙田镇,"    3,008","    14,743","    7,724","    7,019"
  高山镇,"    1,772","    9,283","    4,860","    4,423"
  东张镇,    787,"    3,939","    2,124","    1,815"
  渔溪镇,"    1,445","    7,439","    3,874","    3,565"
  潭城镇,"    3,478","    18,053","    9,574","    8,479"
  城厢镇,"    6,696","    31,169","    17,487","    13,682"
  涵江镇,"    3,946","    18,378","    10,018","    8,360"
  笏石镇,"    1,363","    7,591","    3,947","    3,644"
  黄石镇,    913,5556,"    3,254",    2，302
  仙游县城关镇,"    6,031","    30,908","    16,958","    13,950"
  枫亭镇,"    1,740","    9,672","    5,031","    4,641"
  螺城镇,"    6,964","    34,519","    18,918","    15,601"
  洛阳镇,"    1,582","    8,183","    4,241","    3,942"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  崇武镇,"    4,929","    23,996","    12,299","    11,697"
  青阳镇,"    5,084","    25,965","    14,111","    11,854"
  安海镇,"    6,052","    27,945","    13,637","    14,308"
  石狮镇,"    5,227","    24,845","    12,843","    12,002"
  东石镇,"    2,292","    11,846","    6,254","    5,592"
  金井镇,"    1,598","    6,987","    3,588","    3,399"
  深沪镇,"    4,134","    19,437","    9,710","    9,727"
  溪美镇,    2，885,"    17,327","    10,119","    7,208"
  诗山镇,    377,"    3,106","    2,236",    870
  梅山镇,    446,"    2,547","    1,651",    896
  洪濑镇,"    1,876","    9,175","    4,887","    4,288"
  官桥镇,"    1,006","    5,347","    2,891","    2,456"
  水头镇,    895,"    4,816","    2,954",1862
  凤城镇,"    3,835","    20,499","    11,145","    9,354"
  湖头镇,"    2,898","    15,533","    8,118","    7,415"
  永春县城关镇,"    3,235","    15,931","    8,629","    7,302"
  西安镇,"    1,473","    7,206","    4,321","    2,885"
  龙浔镇,"    2,302","    12,631","    7,477","    5,154"
  石码镇,"    9,424","    40,193",    20，248,"    19,945"
  海澄镇,"    2,160","    10,343","    5,589","    4,754"
  角美镇,"    1,135","    6,456","    3,666","    2,790"
  郭坑镇,    828,"    4,383","    2,727","    1,656"
  白水镇,    639,"    2,297","    1,270","    1,027"
  云霄县城关镇,"    8,545","    43,552","    23,796","    19,756"
  绥安镇,"    5,808","    30,681","    16,424",    14，257
  旧镇镇,"    1,810","    10,368","    5,486","    4,882"
  南诏镇,"    10,260","    50,979","    26,781","    24,198"
  长泰县城关镇,2519,"    11,642","    6,376",    5，266
  东山县城关镇,"    8,536","    41,942","    21,235","    20,707"
  西埔镇,    732,"    5,147","    3,539","    1,608"
  南靖县城关镇,"    4,012","    20,998","    11,334","    9,664"
  小溪镇,"    3,849","    20,062","    11,329","    8,733"
  九峰镇,    885,"    4,997","    2,808","    2,189"
  华葑镇,"    1,595","    8,04 1","    4,906","    3,135"
  长汀县城关镇,"    8,343","    39,279","    21,113","    18,166"
  凤城镇,"    1,976","    11,535","    6,662","    4,873"
  上杭县城关镇,"    3,803","    18,409","    10,042","    8,367"
  武平县城关镇,"    3,124","    16,771","    9,159","    7,612"
  漳平县城关镇,"    5,317","    29,845","    17,317","    12,528"
  麦元煤矿,    324,"    3,881","    2,600","    1,281"
  连城县城关镇,"    3,464","    15,394","    8,626","    6,768"
  雪峰镇,"    4,069","    20,309","    11,149","    9,160"
  永安县城关镇,"    18,340","    85,718","    47,483","    38,235"
  小陶镇,    814,"    3,594","    1,931","    1,663"
  龙津镇,"    2,579","    12,100","    6,551","    5,549"
  宁化县城关镇,"    6,337","    31,004","    16,845","    14,159"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  大田县城关镇,"    2,716","    14,199","    7,946","    6,253"
  尤溪县城关镇,"    3,798","    1 7,509","    9,717","    7,792"
  尤溪口镇,    243,"    1,272",    719,    553
  沙县城关镇,"    6,754","    29,083","    15,438","    13,645"
  古镛镇,"    4,567","    22,223","    11,978","    10,245"
  泰宁县城关镇,"    3,959","    18,897","    10,293","    8,604"
  建宁县城关镇,"    3,739","    16,214","    8,667",7547
江西省,"    468,838","    2,233,735","    1,216,459","    1,017,276"
  莲塘镇,"    9,203","    42,116","    22,159","    19,957"
  向塘镇,"    6,969","    30,637","    16,454","    14,183"
  长堎镇,"    5,768","    37,807","    25,793","    12,014"
  生米镇,    643,"    2,854","    1,435","    1,419"
  梅林镇,"    3,468","    16,150","    8,655","    7,495"
  蓉江镇,"    3,442","    1 7,880","    9,802","    8,078"
  唐江镇,"    3,526","    16,431","    8,425","    8,006"
  潭口镇,"    1,192","    6,315","    3,300","    3,01 5"
  嘉定镇,"    2,904","    14,966",8635,"    6,331"
  南安镇,"    5,445","    27,803","    15,954","    11,849"
  荡坪镇,"    1,135","    6,909","    4,268","    2,641"
  漂塘镇,    893,"    5,864","    3,851","    2,013"
  下垅镇,    925,"    6,071","    3,823","    2,248"
  东山镇,1857,"    10,110","    5,871",4239
  陡水镇,"    1,044","    5,750","    3,146","    2,604"
  横水镇,"    2,154","    12,875","    7,876","    4,999"
  安远县城关镇,"    2,598","    13,536","    7,186","    6,350"
  龙南镇,"    3,613","    19,257","    10,447","    8,810"
  历市镇,"    1,346","    7,486","    4,520","    2,966"
  全南县城关镇,"    2,213","    11,049","    6,099","    4,950"
  大吉山镇,"    2,912","    1 5,905","    8,845","    7,060"
  宁都县城关镇,"    5,476","    26,71 7","    14,481","    12,236"
  于都县城关镇,"    3,628","    20,586","    11,691","    8,895"
  铁山垅镇,"    2,594","    15,274","    8,688","    6,586"
  盘古山镇,"    3,689","    21,947","    12,324","    9,623"
  兴国县城关镇,"    3,058","    16,789","    9,946","    6,843"
  画矿镇,"    1,91 7","    10,005","    5,812","    4,193"
  瑞金县城关镇,"    6,293","    35,504","    19,067","    16,437"
  会昌县城关镇,"    3,398","    18,356","    10,071","    8,285"
  寻乌县城关镇,"    2,603","    14,845","    8,129","    6,716"
  琴江镇,"    3,41 7","    17,886","    9,685","    8,201"
  广昌县城关镇,"    3,229","    13,145","    7,057","    6,088"
  丰城镇,"    10,078","    44,615","    24,274","    20,341"
  上塘镇,"    2,306","    13,080","    6,470","    6,610"
  筠阳镇,"    5,566","    26,498","    15,356","    11,1 42"
  樟树镇,"    11,047","    49,377","    26,292","    23,085"
  临江镇,"    2,824","    12,908","    6,865","    6,043"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  新余镇,"    15,199","    70,600","    38,446","    32,154"
  冯川镇,"    5,435","    21,968","    11,522","    10,446"
  康乐镇,"    6,718","    30,951","    15,894","    15,057"
  敖阳镇,"    7,857","    33,392","    18,140","    15,252"
  新昌镇,"    4,453","    19,068","    10,150","    8,918"
  分宜镇,"    7,118","    33,853","    18,694","    15,159"
  龙津镇,"    2,748","    13,554","    7,496","    6,058"
  双溪镇,"    5,755","    24,540","    12,925","    11,615"
  永宁镇,"    3,024","    11,655","    6,173","    5,482"
  永丰镇,"    3,731","    1 7,257","    9,190","    8,067"
  洋口镇,"    1,051","    4,689","    2,424","    2,265"
  五都镇,"    1,149","    5,11 7","    2,711","    2,406"
  玉山县城关镇,"    6,677","    30,110","    16,1 74","    13,936"
  河口镇,"    5,385","    24,087","    12,213","    11,874"
  永平镇,"    5,275","    26,892","    14,985","    11,907"
  岑阳镇,"    3,168","    14,639","    8,107",6532
  弋江镇,"    6,01 5","    27,146","    14,412","    12,734"
  雄石镇,"    6,804","    31,048","    16,145","    14,903"
  上清镇,"    1,230","    5,147","    2,725","    2,422"
  邓埠镇,"    2,544","    12,361","    6,901","    5,460"
  锦江镇,"    2,228","    8,194","    4,31 7","    3,877"
  余干镇,"    5,742","    26,832","    14,084","    12,748"
  黄埠镇,"    1,269","    5,488","    3,018","    2,470"
  瑞洪镇,"    1,379","    6,128","    3,198","    2,930"
  鄱阳镇,11779,"    58,808","    29,355","    29,453"
  陈营镇,"    4,572","    21,950","    12,135","    9,815"
  石镇街镇,"    4,373","    21,323","    11,102","    10,221"
  城厢镇,"    4,099","    18,427","    9,445","    8,982"
  乐平镇,"    10,078","    48,285","    25,276","    23,009"
  银城镇,"    6,306","    27,861","    14,727","    13,134"
  泗洲镇,"    3,804","    22,391","    12,865","    9,526"
  婺源县城关镇,"    4,445","    18,929",10238,"    8,691"
  敦厚镇,"    3,254","    17,762","    9,891","    7,871"
  文峰镇,3452,"    18,795","    10,666","    8,129"
  巴邱镇,"    2,980","    14,055","    7,551","    6,504"
  新干县城镇,"    3,249","    15,908","    8,917","    6,991"
  恩江镇,"    3,171","    15,686","    8,317","    7,369"
  澄江镇,"    5,270","    25,951","    15,113","    10,838"
  泉江镇,"    4,311","    22,409","    12,099","    10,310"
  万安县城关镇,"    2,828","    13,478","    7,416","    6,062"
  平都镇,"    5,614","    28,441","    15,714","    12,727"
  浒坑镇,3528,"    17,649","    9,463","    8,186"
  禾川镇,"    4,599","    24,446","    13,646","    10,800"
  琴水镇,"    2,072","    10,621","    6,066","    4,555"
  砻市镇,"    2,111","    11,486","    6,118","    5,368"
  上顿渡镇,"    4,426","    19,716",10356,"    9,360"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  南城县城关镇,"    6,989","    31,681","    16,384","    15,297"
  黎川县城关镇,"    6,427","    27,350","    13,927","    13,423"
  南丰县城关镇,"    7,021",30356,"    15,398","    14,958"
  巴山镇,"    6,659","    32,406","    17,508","    14,898"
  敖溪镇,"    3,473","    1 5,981","    8,438","    7,543"
  公溪镇,"    8,904","    47,998",26594,"    21,404"
  凤岗镇,"    5,595","    21,655","    11,376","    10,279"
  金溪县城关镇,"    3,919","    1 7,692","    9,330","    8,362"
  泸阳镇,"    3,793","    1 5,033","    7,878","    7,1 55"
  民和镇,"    6,529","    27,322","    1 5,298","    12,024"
  孝岗镇,"    6,164","    33,625","    19,336","    14,289"
  新城镇,"    4,311","    21,535","    11,994","    9,541"
  湓城镇,"    4,451","    20,1 79","    11,107","    9,072"
  新宁镇,"    5,687","    20,338","    10,786","    9,552"
  义宁镇,"    6,705","    30,311","    16,314","    13,997"
  涂埠镇,"    6,668","    28,486","    1 5,342","    13,144"
  吴城镇,"    3,371","    16,428","    8,406","    8,022"
  柘林镇,"    2,597","    11,922","    6,798","    5,124"
  德安县城关镇,"    4,608","    19,258","    10,013","    9,245"
  南康镇,"    3,440","    1 5,778","    8,848","    6,930"
  都昌镇,"    5,967","    26,163","    1 4,902","    11,261"
  双钟镇,"    4,799","    20,416","    11,849","    8,567"
  彭泽县城关镇,"    4,113","    1 7,426","    9,361","    8,065"
山东省,"    1,262,013","    5,500,351","    2,875,900","    2,624,451"
  长清县城关镇,"    14,509","    65,094","    32,712","    32,382"
  即墨县城关镇,"    15,480","    68,443","    35,049","    33,394"
  胶县城关镇,"    13,083","    55,639","    29,859","    25,780"
  滕县城关镇,"    14,025","    61,404","    33,342","    28,062"
  福山城关镇,"    11,747","    43,685","    21,919","    21,766"
  蓬莱县城关镇,"    11,535","    46,826","    24,021","    22,805"
  黄县城关镇,"    11,689","    44,918","    22,889","    22,029"
  龙口镇,"    6,600","    31,640","    18,511","    13,129"
  招远县城关镇,"    14,143","    56,889","    29,331","    27,558"
  掖县城关镇,"    11,934","    54,086","    29,604","    24,482"
  水集镇,"    9,315","    41,117","    22,763","    18,354"
  莱阳县城关镇,"    11,078","    52,387","    30,130","    22,257"
  栖霞县城关镇,"    13,276","    54,158",28288,"    25,870"
  东村镇,"    19,586","    77,098","    39,607","    37,491"
  夏村镇,"    16,485","    65,903","    33,816","    32,087"
  牟平县城关镇,"    13,262","    50,126","    25,778","    24,348"
  文登县城关镇,"    15,854","    57,189","    30,026","    27,163"
  崖头镇,"    15,141","    52,878","    28,011","    24,867"
  石岛镇,"    9,533","    30,882","    16,018","    14,864"
  长岛镇,"    2,710","    10,514","    5,442","    5,072"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  益都城关镇,"    18,987","    78,040","    40,562","    37,478"
  安丘县城关镇,    13，047,"    59,374","    30,977","    28,397"
  寿光县城关镇,"    17,266","    83,400","    42,914","    40,486"
  羊角沟镇,"    2,940","    14,387","    8,631","    5,756"
  临朐县城关镇,"    20,110","    84,196","    42,725","    41,471"
  昌乐县城关镇,"    9,476","    43,092","    23,109","    19,983"
  昌邑县城关镇,"    1 5,626","    64,513","    32,961","    31,552"
  高密县城关镇,"    19,994","    86,21 7","    44,193","    42,024"
  诸城县城关镇,"    22,420","    103,869","    53,519","    50,350"
  洪凝镇,"    12,933","    51,718","    27,281","    24,437"
  平度县城关镇,10243,"    46,308","    24,736","    21,572"
  寒亭镇,"    10,889","    50,180","    27,165","    23,015"
  惠民县城关镇,"    9,958","    45,183","    23,423","    21,760"
  北镇,"    27,353","    127,326","    68,534","    58,792"
  滨县城关镇,"    9,027","    37,514","    19,336","    18,178"
  阳信县城关镇,"    8,511","    38,628","    20,143","    18,485"
  无棣县城关镇,"    8,207","    36,306","    19,067","    17,239"
  富国镇,"    11,430","    48,193","    25,087","    23,106"
  利津县城关镇,"    5,696","    24,645","    12,793","    11,852"
  广饶县城关镇,"    8,122","    37,635","    19,859","    17,776"
  博兴县城关镇,"    12,862","    57,554","    30,076","    27,478"
  索镇,"    10,239","    44,903","    23,301","    21,602"
  邹平县城关镇,"    10,083","    49,274","    25,713","    23,561"
  田镇,"    15,856","    70,411","    36,204","    34,207"
  双河镇,"    5,066","    23,133","    12,138","    10,995"
  陵县城关镇,"    8,847","    40,617","    21,503","    19,114"
  平原县城关镇,"    6,799","    30,267","    16,492","    13,775"
  夏津县城关镇,"    7,580","    31,496","    16,738","    14,758"
  晏城镇,"    9,392",43556,"    23,004","    20,552"
  乐陵县城关镇,"    8,248","    36,157","    19,392","    16,765"
  临邑县城关镇,"    9,029","    42,760",22416,"    20,344"
  济阳县城关镇,"    7,251","    34,244","    18,114","    16,130"
  宁津县城关镇,"    8,520","    38,450","    20,016","    18,434"
  聊城镇,"    30,438","    129,422","    68,593","    60,829"
  阳谷县城关镇,"    9,796","    45,839","    24,070","    21,769"
  寿张镇,"    5,461",25378,"    12,929","    12,449"
  莘县城关镇,"    10,961","    50,210","    26,174","    24,036"
  茌平县城关镇,"    9,931","    44,036","    23,002","    21,034"
  铜城镇,"    8,524","    39,408","    21,047","    18,361"
  冠县城关镇,"    11,196","    49,779","    25,664","    24,115"
  高唐县城关镇,"    9,264","    38,837","    20,339","    18,498"
  临清县城关镇,"    19,391","    70,656","    36,350","    34,306"
  莱芜县城关镇,"    32,603","    145,206","    78,797","    66,409"
  新泰县城关镇,"    23,856","    104,249","    52,932","    51,31 7"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    镇名,    户数,,,
,,    合计,    男,    女
(续),,,,
  宁阳县城关镇,"    11,692","    55,424","    29,310","    26,114"
  刘家庄镇,"    7,748","    37,295","    19,694","    17,601"
  平阴县城关镇,"    13,889","    62,827","    31,413","    31,414"
  兖州县城关镇,"    14,405","    55,919","    29,345","    26,574"
  曲阜县城关镇,"    7,960","    38,480","    21,172","    17,308"
  泗水县城关镇,"    19,359","    82,990","    42,995","    39,995"
  邹县城关镇,"    20,043","    90,333","    46,420","    43,913"
  夏镇,"    12,097","    57,932","    30,960","    26,972"
  谷亭镇,"    9,481","    44,991","    23,304","    21,687"
  金乡县城关镇,"    4,334","    19,780","    10,857","    8,923"
  汶上县城关镇,"    8,112","    39,359","    20,313","    19,046"
  郯城县城关镇,"    13,178","    61,857","    31,867","    29,990"
  卞庄镇,"    17,714",79334,"    40,834","    38,500"
  十字路镇,"    21,972","    90,222","    46,823","    43,399"
  日照县城关镇,"    18,106",78489,"    40,096","    38,393"
  石臼镇,"    10,253","    43,976","    22,014","    21,962"
  莒县城关镇,"    12,021","    51,666","    26,815","    24,851"
  沂水县城关镇,"    21,069","    88,149","    45,771","    42,378"
  南麻镇,"    12,997","    53,800","    27,996","    25,804"
  蒙阴县城关镇,"    16,297","    70,602","    36,897","    33,705"
  平邑县城关镇,"    21,164","    89,373","    46,247","    43,126"
  费县城关镇,"    15,852","    73,246","    38,592","    34,654"
  界湖镇,"    16,152","    67,803","    35,060","    32,743"
  夏庄镇,"    8,028","    35,323","    18,462","    16,861"
  菏泽县城关镇,"    31,960","    141,174","    74,298","    66,876"
  曹县城关镇,"    16,009","    71,058","    36,527","    34,531"
  定陶县城关镇,"    9,837","    44,955","    22,996","    21,959"
  成武县城关镇,"    10,152","    43,244","    22,249","    20,995"
  单县城关镇,"    16,411","    74,821","    37,429","    37,392"
  巨野县城关镇,"    7,250","    35,404","    19,122","    16,282"
  郓城县城关镇,"    11,667","    54,262","    28,851","    25,411"
  鄄城县城关镇,"    11,379","    54,161","    28,357","    25,804"
  东明县城关镇,"    9,012","    44,660","    23,679","    20,981"
河南省,"    720,713","    3,585,766","    1,934,313","    1,651,453"
  荥阳县城关镇,"    3,612","    20,975","    13,054","    7,921"
  汤阴县城关镇,"    8,527",39016,"    20,337","    18,679"
  淇县城关镇,"    5,544","    24,705","    12,602","    12,103"
  浚县城关镇,"    5,057","    24,704","    12,814","    11,890"
  濮阳县城关镇,"    8,695","    42,062","     22,809","    19,253"
  道口镇,"    8,026","    38,663",20988,"    17,675"
  清丰县城关镇,"    6,578","    32,150","    17,088","    15,062"
  南乐县城关镇,"    5,413","    26,706","    14,265","    12,441"
  内黄县城关镇,"    11,525","    56,035","    29,202","    26,833"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  长垣县城关镇,"    6,605","    32,646","    1 7,266","    15,380"
  台前县城关镇,"    5,797","    26,571","    13,713","    12,858"
  沁阳县城关镇,5952,"    27,867","    14,876","    12,991"
  清化镇,"    9,099","    46,143","    25,264","    20,879"
  济源县城关镇,"    5,476","    28,923","    1 7,134","    11,789"
  孟县城关镇,"    9,201",45599,"    24,068","    21,531"
  温县城关镇,"    8,915","    44,781","    23,284","    21,497"
  木城镇,"    3,658",    19，228,"    11,160","    8,068"
  修武县城关镇,"    6,71 5","    38,168","    22,024","    16,144"
  获嘉县城关镇,"    4,406","    23,030","    12,666","    10,364"
  辉县城关镇,"    9,542","    45,965","    25,581","    20,384"
  汲县城关镇,"    13,344","    59,389","    32,097","    27,292"
  原阳县城关镇,"    5,580","    28,441",15810,"    12,631"
  延津县城关镇,"    3,594","    19,020","    10,710","    8,310"
  虞城县城关镇,"    4,197","    21,352","    11,991","    9,361"
  利民镇,"    2,266","    9,890","    4,801","    5,089"
  商丘县城关镇,"    7,748","    33,212","    1 7,216","    15,996"
  民权县城关镇,"    10,485","    52,590","    28,074","    24,516"
  宁陵县城关镇,"    4,146","    20,521","    10,924","    9,597"
  睢县城关镇,"    2,81 5","    13,884","    8,068","    5,816"
  夏邑县城关镇,"    6,184","    29,230","    15,663","    13,567"
  柘城县城关镇,"    5,231","    24,746","    13,486","    11,260"
  永城县城关镇,"    5,777","    29,911","    16,704","    13,207"
  杞县城关镇,"    11,015","    53,042","    27,303","    25,739"
  通许县城关镇,"    7,667","    37,521","    19,578","    17,943"
  尉氏县城关镇,"    3,358",17593,"    10,265","    7,328"
  开封县城关镇,"    2,707",14638,"    8,169","    6,469"
  中牟县城关镇,"    5,642","    30,694","    1 7,491","    13,203"
  新郑县城关镇,"    3,383","    16,935","    9,391","    7,544"
  巩县城关镇,"    10,727","    54,506","    29,905","    24,601"
  登封县城关镇,"    9,613","    49,746","    26,300","    23,446"
  密县城关镇,"    12,601","    64,776","    34,080","    30,696"
  兰考县城关镇,"    4,692","    25,838","    14,765","    11,073"
  偃师县城关镇,"    3,487","    18,538","    10,921","    7,617"
  盂津县城关镇,"    8,307","    41,706","    21,492","    20,214"
  新安县城关镇,"    9,363","    46,822","    24,525","    22,297"
  渑池县城关镇,"    6,01 4","    29,846","    16,106",13740
  原店镇,"    3,994","    20,014","    11,264","    8,750"
  灵宝县城关镇,"    7,593","    37,354","    21,108","    16,246"
  伊川县城关镇,"    11,375","    58,914","    30,685","    28,229"
  汝阳县城关镇,"    7,1 70","    34,352","    18,396","    15,956"
  嵩县城关镇,"    6,798","    33,488","    1 7,486","    16,002"
  洛宁县城关镇,"    4,478","    22,061","    12,018","    10,043"
