,,,,,,,
表4-2全国市(不含市辖县)分年龄、性别的人口数(第一种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
    年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
  22,    7 334 055,    3 833 359,    3 500 696,    2.19,  1.14,    1.04,    109.50
  23,    6 551 133,    3 406 867,    3 144 266,    1.96,  1.02,    0.94,    108.35
  24,    7 478 989,    3 880 245,    3 598 744,    2.23,  1.16,    1.07,    107.82
,,,,,,,
,,,,,,,
,,,,,,,
    单位：人、％。,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
,,,,,,,
25-29岁,    34 543 845,    17 894 970,    16 648 875,    10.31,    5.34,    4.97,    107.48
  25,    7 629 021,    3 967 210,    3 661 811,    2.28,    1.18,    1.09,    108.34
  26,    8 385 698,    4 339 286,    4 046 412,    2.50,    1.30,    1.21,    107.24
  27,    9 056 644,    4 706 642,    4 350 002,    2.70,    1.40,    1.30,    108.20
  28,    5 178 264,    2 677 922,    2 500 342,1.55,    0．80,    0.75,    107.10
  29,    4 294 218,    2 203 910,    2 090 308,    1.28,    0.66,    0.62,    105.43
30-34岁,    29 278 721,  15 211 856,    14 066 865,    8.74,    4.54,    4.20,    108.14
  30,    5 313 449,    2 767 216,    2 546 233,    1.59,    0.83,    0.76,    108.68
  31,    5 124 513,    2 677 188,    2 447 325,    1.53,    0．80,    0.73,    109.39
  32,    6 636 713,    3 465 422,    3 171 291,    1.98,    1.03,    0.95,    109.27
  33,    6 241 865,    3 228 417,    3 013 448,    1.86,    0.96,    0.90,    107.13
  34,    5 962 181,    3 073 613,    2 888 568,    1.78,    0.92,    0.86,    106.41
35-39岁,    27 976 796,    14 402 555,    13 574 241,    8.35,    4.30,    4.05,    106.10
  35,    6 387 372,    3 299 176,    3 088 196,    1.91,    0．98,    0．92,    106.83
  36,    6 006 833,    3 087 428,    2 919 405,    1.79,    0.92,    0.87,    105.76
  37,    5 506 217,    2 827 253,    2 678 964,    1.64,    0．84,    0.80,    105.54
  38,    5 377 964,    2 768 045,    2 609 919,    1.61,    0.83,    0.78,    106.06
  39,    4 698 410,2 420 653,    2 277 757,    1.40,    0．72,    0.68,    106.27
40-岁,    20 076 275,    10 479 104,    9 597 171,    5.99,    3.13,    2.86,    109.19
  40,    4 884 967,  2 555 246,    2 329 721,    1.46,    0．76,    0.70,    109.68
  41,    4 086 249,  2 124 355,    1 961 894,    1.22,    0．63,    0.59,    108.28
  42,    3 896 397,  2 034 748,    1 861 649,    1.16,    0.61,    0.56,    109.30
  43,    3 769 378,  1 975 228,    1 794 150,    1.13,    0.59,    0．54,    110.09
  44,    3 439 284,  1 789 527,    1 649 757,    1.03,    0.53,    0．49,    108.47
45-49岁,    15 258 165,  7 937 555,    7 320 610,    4.55,    2.37,    2.18,    108.43
  45,    3 226 123,  1 678 545,    1 547 578,    0．96,    0．50,    0．46,    108.46
  46,    3 043 212,  1 587 413,    1 455 799,    0.91,    0．47,    0．43,    109.04
  47,    2 925 899,  1 519 643,    1 406 256,    0.87,    0.45,    0.42,    108.06
  48,    3 021 277,  1 565 621,    1 455 656,    0.90,    0．47,    0．43,    107.55
  49,    3 041 654,  1 586 333,    1 455 321,    0.91,    0．47,    0．43,    109.00
