,,,,,,,
表4-4全国县(不含县辖镇)分年龄、性别的人口数(第一种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
  22,    1 1 587 895,    5 923 667,    5 664 228,    2.19,    1.12,    1.07,    104.58
  23,    10 928 728,    5 589 996,    5 338 732,    2.07,    1.06,    1.01,    104.71
  24,    11 763 443,    6 047 621,    5 715 822,    2.22,    1.14,    1.08,    105.80
,,,,,,,
,,,,,,,
,,,,,,,
表4-4全国县(不含县辖镇)分年龄、性别的人口数(第一种口径)(续01),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
25-29岁,  44 903 024,  23 007 882,    21 895 142,    8.49,    4.35,    4.14,    105.08
  25,  11 032 203,    5 653 508,    5 378 695,    2.09,    1.07,    1.02,    105.11
  26,  10 960 918,    5 610 137,    5 350 781,    2.07,    1.06,    1.01,    104.85
  27,  11 554 319,    5 976 451,    5 577 868,    2.18,    1.13,    1.05,    107.15
  28,    6 855 256,    3 490 049,    3 365 207,    1.30,    0.66,    0.64,    103.71
  29,    4 500 328,    2 277 737,    2 222 591,    0.85,    0.43,    0.42,    102.48
30-34岁,    34 693 364,    18 185 646,    16 507 718,    6.56,    3.44,    3.12,    110．16
  30,    5 705 504,  2 982 409,    2 723 095,    1.08,    0．56,    0．51,    109.52
  31,    5 759 410,  3 040 895,    2 718 515,    1.09,    0.57,    0.51,    111.86
  32,    7 868 840,  4 163 569,    3 705 271,    1.49,    0．79,    0.70,    112.37
  33,    7 793 918,  4 073 904,    3 720 014,    1.47,    0．77,    0．70,    109.51
  34,    7 565 692,  3 924 869,    3 640 823,    1.43,    0.74,    0.69,    107.80
35-39岁,    38 240 574,    19 760 753,    18 479 821,    7.23,    3.74,    3.49,    106.93
  35,    8 451 088,    4 402 803,    4 048 285,    1.60,    0.83,    0.77,    108.76
  36,    8 045 090,    4 160 336,    3 884 754,    1.52,    0.79,    0．73,    107.09
  37,    7 712 321,    3 974 655,    3 737 666,    1.46,    0.75,    0.71,    106.34
  38,    7 598 010,    3 914 965,    3 683 045,    1.44,    0.74,    0．70,    106.30
  39,    6 434 065,    3 307 994,    3 126 071,    1.22,    0．63,    0．59,    105.82
40-44岁,    28 866 348,    15 051 601,    13 814 747,    5.46,    2.85,    2.61,    108.95
  40,    6 870 361,    3 593 726,    3 276 635,    1.30,    0.68,    0.62,    109.68
  41,    5 898 469,    3 086 431,    2 812 038,    1.12,    0.58,    0.53,    109.76
  42,    5 640 846,    2 950 586,    2 690 260,    1.07,    0.56,    0．51,    109.68
  43,    5 432 210,    2 830 549,    2 601 661,    1.03,    0．54,    0.49,    108.80
  44,    5 024 462,    2 590 309,    2 434 153,    0．95,    0.49,    0.46,    106.42
45-49岁,    22 561 505,  11 905 370,    10 656 135,    4.27,    2.25,    2.01,    111.72
  45,    4 820 329,    2 514 569,    2 305 760,    0.91,    0.48,    0.44,    109.06
  46,    4 635 478,    2 447 903,    2 187 575,    0．88,    0.46,    0.41,    111.90
  47,    4 351 820,    2 304 215,    2 047 605,    0.82,    0.44,    0.39,    112.53
  48,    4 429 297,    2 343 522,    2 085 775,    0．84,    0．44,    0.39,    112.36
  49,    4 324 581,    2 295 161,    2 029 420,    0.82,    0.43,    0.38,    113.09
50-54岁,    20 399 556,    10 853 658,    9 545 898,    3.86,    2.05,    1.80,    113.70
