,,,,,,,
表4--5全国市(不含市辖县)分年龄、性别的人口数(第二种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
80-84岁,    962 582,    359 017,    603 565,    0.46,    0．17,    0.29,    59.48
  80,    264 028,    104 274,    159 754,    0.12,    0.05,    0．08,    65.27
  81,    222 006,    84 071,    137 935,    0．11,    0．04,    0.07,    60.95
  82,    184 772,    68 644,    116 128,    0.09,    0．03,    0.05,    59.11
  83,    155 055,    55 586,    99 469,    0．07,    0．03,    0.05,    55.88
  84,    136 721,    46 442,    90 279,    0．06,    0.02,    0.04,    51.44
85-89岁,    368 634,    115 305,    253 329,    0．17,    0．05,    0．12,    45.52
  85,    111 192,    36 344,    74 848,    0．05,    0．02,    0．04,    48.56
  86,    88 795,    28 238,    60 557,    0．04,    0.01,    0.03,    46.63
  87,    70 449,    21 664,    48 785,    0．03,    0．01,    0．02,    44.41
  88,    55 967,    16 978,    38 989,    0.03,    0.01,    0.02,    43.55
  89,    42 231,    12 081,    30 150,    0.02,    0．01,    0．01,    40.07
90-94岁,    74 498,    19 401,    55 097,    0．04,    0．01,    0.03,    35.21
  90,    28 010,    7 652,    20 358,    0．01,    0．00,    0．01,    37.59
  91,    17 818,    4 607,    13 211,    0.01,    0．00,    0.01,    34.87
  92,    13 240,    3 404,    9 836,    0．01,    0．00,    0.00,    34.61
  93,    9 184,    2 269,    6 915,    0．00,    0．00,    0．00,    32.81
  94,    6 246,    1 469,    4 777,    0.00,    0．00,    0．00,    30.75
95-99岁,    11 844,    2 637,        9 207,    0.01,    0．00,    0．00,    28.64
  95,    4 403,    992,    3 411,    0．00,    0．00,    0.00,    29.08
  96,    3 023,    676,    2 347,    0．00,    0．00,    0．00,    28.80
  97,    1 976,    414,    1 562,    0．00,    0．00,    0．00,    26.50
  98,    1 417,    309,    1 108,    0．00,    0.00,    0．00,    27.89
  99,    1 025,    246,    779,    0．00,    0．00,    0．00,    31.58
100岁及以上,    1 184,    251,    933,    0．00,    0．00,    0.00,    26.90
