,,,,,,,
表4-7全国县(不含县辖镇)分年龄、性别的人口数(第二种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,  合计,    男,    女,小计,  男,  女,(女=100)
  73,    2 536 970,    1 152 313,    1 384 657,    0.30,    0.14,    0.17,    83.22
  74,    2 335 703,    1 041 150,    1 294 553,    0.28,    0.12,    0.16,    80.43
75-79岁,    8 334 655,    3 569 671,    4 764 984,    1.00,    0.43,    0．57,    74.91
  75,    2 103 738,    926 452,    1 177 286,    0．25,    0．11,    0.14,    78.69
  76,    1 995 034,    869 275,    1 125 759,    0.24,    0.10,    0.13,    77.22
  77,    1 614 529,    688 917,    925 612,    0.19,    0.08,    0.11,    74.43
  78,    1 402 520,    587 762,    814 758,    0.17,    0.07,    0.10,    72.14
  79,    1 218 834,    497 265,    721 569,    0.15,    0.06,    0．09,    68.91
,,,,,,,
,,,,,,,
,,,,,,,
表4-7全国县(不含县辖镇)分年龄、性别的人口数(第二种口径)(续03),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
80-84岁,    4 051 841,  1 515 407,    2 536 434,    0.49,    0．18,    0.30,    59.75
  80,    1 138 813,    447 831,    690 982,    0.14,    0.05,    0.08,    64.81
  81,    938 181,    357 369,    580 812,    0.11,    0.04,    0．07,    61.53
  82,    778 798,    288 951,    489 847,    0.09,    0.03,    0.06,    58.99
  83,    642 109,    229 800,    412 309,    0.08,    0．03,    0.05,    55.73
  84,    553 940,    191 456,    362 484,    0.07,    0．02,    0．04,    52.82
85-89岁,    1 404 658,    450 049,    954 609,    0.17,    0.05,    0．11,    47.14
  85,    442 532,    148 500,    294 032,    0.05,    0.02,    0.04,    50.50
  86,    346 734,    112 633,    234 101,    0．04,    0．01,    0．03,    48.11
  87,    266 339,    84 145,    182 194,    0.03,    0.01,    0.02,    46.18
  88,    201 308,    61 435,    139 873,    0.02,    0.01,    0.02,    43.92
  89,    147 745,    43 336,    104 409,    0.02,    0.01,    0.01,    41.51
90-94岁,    249 096,    67 952,    181 144,    0.03,    0．01,    0.02,      37.51
  90,    100 333,    29 053,    71 280,    0．01,    0.00,    0.01,    40.76
