各省常住人口地区分布（单位万人）,,,,,,,,,
,,,,,,,,,
山东,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市
,55.94,65.75,32.9,70.33,46.24,9.5465,19.51,,
,,,,,,,,,
"注：北京常住人口中，外省市来京人员为704.5万人，占常住人口的35.9%。79.5%的人口集中在城市功能拓展区和城市发展新区
　　分功能区看，城市功能拓展区（朝阳区、丰台区、石景山区、海淀区）常住人口最多，占全市常住人口的48.7%；其次是城市发展新区（房山区、通州区、顺义区、昌平区、大兴区），占30.8%；首都功能核心区（东城区、西城区）、生态涵养发展区（门头沟区、平谷区、怀柔区、密云县、延庆县）常住人口较少，所占比重分别为11%和9.5%。
",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
