表5—8 全国县6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
        单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  3 999 750,  2 921 656,  1 078 094,    32 352 835,  22 644 590,    9 708 245,    173 523 382,    109 651 404,    63 871 978,    341 484 294,    178 994 863,    162 489 431
  23,    60 587,    40 742,    19 845,    1 144,    809,    335,    8 191,    5 567,    2 624,,,  20,    46 189,    26 799,    19 390,    494 613,    339 342,    155 271,    118 289,    75 019,    43 270,    2 292,    1 592,    700
  24,    28 967,    19 209,    9 758,    631,    469,    162,    5 859,    3 993,    1 866,,,  21,    27 357,    16 082,    11 275,    255 358,    178 114,    77 244,    34 200,    21 798,    12 402,    610,    426,    184
25—29岁,    29 754,    19 706,    10 048,    614,    485,    129,    8 311,    6 265,    2 046,,,  22,    16 168,    9 662,    6 506,    107 595,    75 304,    32 291,    11 137,    7 163,    3 974,    290,    195,    95
  25,    13 412,    8 824,    4 588,    287,    221,    66,    3 496,    2 524,    972,,,  23,    9 545,    5 537,    4 008,    38 486,    26 793,    11 693,    3 095,    1 952,    1 143,    126,    84,    42
  26,    7 498,    4 916,    2 582,    135,    108,    27,    2 232,    1 664,    568,,,  24,    6 802,    3 990,    2 812,    14 619,    10 125,    4 494,    985,    593,    392,    71,    39,    32
  27,    5 184,    3 491,    1 693,    109,    81,    28,    1 547,    1 256,    291,,,25—29岁,    13 320,    7 904,    5 416,    6 098,    4 211,    1 887,    1 125,    697,    428,    286,    144,    142
  28,    2 334,    1 577,    757,    53,    48,    5,    684,    541,    143,,,  25,    4 849,    2 821,    2 028,    4 195,    2 913,    1 282,    483,    290,    193,    102,    55,    47
  29,    1 326,    898,    428,    30,    27,    3,    352,    280,    72,,,  26,    3 501,    2 070,    1 431,    1 236,    836,    400,    324,    196,    128,    70,    42,    28
30-34岁,    6 681,    4 494,    2 187,    111,    92,    19,    1 556,    1 242,    314,,,  27,    2 844,    1 708,    1 136,    407,    277,    130,    215,    140,        75,    62,    29,    33
  30,    1 303,    843,    460,    24,    21,    3,    331,    272,    59,,,  28,    1 336,    821,    515,      165,    112,    53,    69,    47,    22,    27,    8,    19
  31,    1 265,    828,    437,    17,    11,    6,    290,    231,    59,,,  29,    790,    484,    306,    95,    73,    22,    34,    24,    10,    25,    10,    15
  32,    1 493,    1 011,    482,    26,    24,    2,    346,    285,    61,,,30—34岁,    4 467,    2 855,    1 612,    130,    83,    47,    199,    126,    73,    218,    96,    122
