表5—5 全国6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,表5—5全国6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(续10),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  45,    8 018 196,    4 841 767,    3 176 429,    123 804,    89 112,    34 692,    116 152,    86 151,    30 001,,,  46,    281 834,  167 568,    114 266,    398 905,    275 453,    123 452,    2 214 946,    1 516 418,    698 528,4 28(?)775,    2 439 733,    1 843 042
  46,    7 398 613,    4 561 674,    2 836 939,    113 267,    82 341,    30 926,    106 886,    80 161,    26 725,,,  47,    318 277,  193 038,    125 239,    415 822,    290 257,    125 565,    1 966 655,    1 340 425,    626 230,    3 909 030,    2 264 382,    1 644 648
  47,    6 830 028,    4 250 044,    2 579 984,    112 943,    81 490,    31 453,    107 301,    80 452,    26 849,,,  48,    332 612,  207 028,    125 584,    409 043,    291 829,    117 214,    1 800 900,    1 231 811,    569 089,    3 963 531,    2 337 529,    1 626 002
  48,    6 740 936,    4 240 089,    2 500 847,    125 314,    89 581,    35 733,    109 536,    82 311,    27 225,,,  49,    329 297,  211 370,    117 927,    372 904,    270 273,    102 631,    1 591 254,    1 103 189,    488 065,    3 925 620,    2 368 500,    1 557 120
  49,    6 474 523,    4 143 401,    2 331 122,    141 845,    103 338,    38 507,    113 603,    86 731,    26 872,,,50—54岁,  1 369 397,  944 596,    424 801,    1 236 923,    929 184,    307 739,    5 499 877,    4 015 100,    1 484 777,    18 001 364,    11 589 468,    6 411 896
50-54岁,    27 360 740,    18 451 016,    8 909 724,    705 616,    542 071,    163 545,    547 563,    430 597,    116 966,,,  50,    310 369,  202 924,    107 445,    318 128,    232 314,    85 814,    1 358 795,    951 256,    407 539,    3 757 953,    2 310 451,    1 447 502
  50,    6 015 055,    3 899 633,    2 115 422,    154 068,    114 285,    39 783,    115 742,    88403,    27 339,,,  51,    290 383,  195 501,    94 882,    264 706,    195 704,    69 002,    1 155 761,    824 633,    331 128,    3 646 163,    2 300 160,    1 346 003
  51,    5 625 766,    3 722 718,    1 903 048,    154 487,    118 248,    36 239,    114 266,    88 472,    25 794,,,  52,    284 518,  199 416,    85 102,    242 349,    182 897,    59 452,    1 082 130,    794 004,    288 126,    3 671 860,    2 373 937,    1 297 923
  52,    5 545 962,    3 758 525,    1 787 437,    151 458,    118 079,    33 379,    113 647,    90 192,    23 455,,,  53,    257 643,  183 551,    74 092,    214 413,    164 818,    49 595,    983 191,    740 259,    242 932,    3 524 625,    2 322 619,    1 202 006
  53,    5 218 669,    3 599 579,    1 619 090,    133 123,    103 852,    29 271,    105 674,    84 480,        21 194,,,  54,    226 484,  163 204,    63 280,    197 327,    153 451,    43 876,    920 000,    704 948,    215 052,    3 400 763,    2 282 301,    1 118 462
  54,    4 955 288,    3 470 561,    1 484 727,    112 480,    87 607,    24 873,    98 234,    79 050,    19 184,,,55—59岁,    640 181,  482 000,    158 181,    831 268,    671 583,    159 685,    3 699 863,    3 033 099,    666 764,    13 707 134,    9 871 443,    3 835 691
55-59岁,    19 555 623,    14 600 212,    4 955 411,    337 340,    263 219,    74 121,    339 837,    278 868,    60 969,,,  55,    186 090,  136 152,    49 938,    181 350,    143 254,    38 096,    841 813,    660 042,    181 771,    3 126 381,    2 141 035,985 346
  55,    4 513 217,    3 220 938,    1 292 279,    90 474,    70 222,    20 252,    87 109,    70 233,    16 876,,,  56,    154 697,  116 226,    38 471,    175 211,    140 614,    34 597,    814 711,    658 321,    156 390,    2 990 551,    2 121 528,    869 023
  56,    4 287 600,    3 158 442,    1 129 158,    75 468,    58 789,    16 679,    76 962,    62 964,    13 998,,,  57,    124 267,    94 510,    29 757,    168 574,    136 351,    32 223,    759 054,    627 001,    132 053,    2 829 858,    2 055 138,    774 720
  57,    4 013 819,    3 018 479,    995 340,    64 961,    50 330,    14 631,    67 105,    55 149,    11 956,,,  58,    95 269,    73 344,    21 925,    154 613,    126 508,    28 105,    660 074,    554 839,    105 235,    2 453 961,    1 815 695,    638 266
  58,    3 477 399,    2 662 121,    815 278,    56 075,    44 102,    11 973,    57 407,    47 633,    9 774,,,  59,    79 858,    61 768,    18 090,    151 520,    124 856,    26 664,    624 211,    532 896,    91 315,    2 306 383,    1 738 047,    568 336
  59,    3 263 588,    2 540 232,    723 356,    50 362,    39 776,        10 586,    51 254,    42 889,    8 365,,,60-64岁,  230 122,    176 370,    53 752,    607 185,    506 485,    100 700,    2 353 753,    2 028 450,    325 303,    9 406 175,    7 281 334,    2 124 841
60-64岁,    12 952 402,    10 286 641,    2 665 761,    182 693,    147 821,    34 872,    172 474,    146 181,    26 293,,,  60,    67 831,    52 189,    15 642,    149 009,    123 307,    25 702,    592 740,    507 566,    85 174,    2 239 612,    1 703 982,    535 630
  60,    3 142 887,    2 463 597,    679 290,    46 843,    37 249,    9 594,    46 852,    39 304,    7 548,,,  61,    50 350,    38 368,    11 982,    127 667,    106 048,    21 619,    496 862,    426 621,    70 241,    1 965 849,    1 512 081,    453 768
  61,    2 718 703,    2 147 220,    571 483,    39 738,    31 801,    7 937,    38 237,    32 301,    5 936,,,  62,    45 776,    35 043,    10 733,126 490,    106 035,    20 455,    484 733,    418 712,    66 021,    1 962 308,    1 523 458,    438 850
  62,    2 691 200,    2 143 027,    548 173,    36 967,    30 093,    6 874,    34 926,    29 686,    5 240,,,  63,    35 639,    27 416,    8 223,    106 639,    89 338,    17 301,    407 531,    352 879,    54 652,    1 677 698,    1 313 406,    364 292
  63,    2 286 717,    1 832 642,    454 075,    31 093,    25 566,    5 527,    28 117,    24 037,    4 080,,,  64,    30 526,    23 354,    7 172,    97 380,    81 757,    15 623,    371 887,    322 672,    49 215,    1 560 708,    1 228 407,    332 301
  64,    2 112 895,    1 700 155,    412 740,    28 052,    23 112,    4 940,    24 342,    20 853,    3 489,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
65岁及以上,    15 704 828,    12 931 994,    2 772 834,    185 164,    153 781,        31 383,    140 871,    121 496,    19 375,,,65岁及以上,    159 850,    115 106,    44 744,    617 959,    514 745,    103 214,    2 394 953,    2 090 426,    304 527,    12 206 031,    9 936 440,    2 269 591
在校,    182 014 379,    99 864 554,    82 149 825,    1 432 110,    964 745,    467 365,    1 367 874,    822 186,    545 688,,,在校,  3 033 963,    1 581 506,  1 452 457,  9 245 500,    5 563 901,    3 681 599,    34 456 945,    19 668 966,    14 787 979,    132 477 987,    71 263 250,    61 214 737
6-9岁,    60 193 407,    31 988 869,    28 204 538,-,-,-,-,-,-,,,6—9岁,    7,    2,    5,-,-,-,-,-,-,    60 193 400,    31 988 867,    28 204 533
  6,    7 866 884,    4 232 697,    3 634 187,-,-,-,-,-,-,,,  6,    3,-,    3,-,-,-,-,-,-,    7 866 881,    4 232 697,    3 634 184
  7,    15 294 930,    8 176 158,    7 118 772,-,-,-,-,-,-,,,  7,    1,-,    1,-,-,-,-,-,-,    15 294 929,    8 176 158,    7 118 771
  8,    20 043 578,    10 612 708,    9 430 870,-,-,-,-,-,-,,,  8,    -,-,    -,-,-,-,-,-,-,    20 043 578,    10 612 708,    9 430 870
  9,    16 988 015,    8 967 306,    8 020 709,-,-,-,-,-,-,,,  9,    3,    2,    1,-,-,-,-,-,-,    16 988 012,    8 967 304,    8 020 708
10-14岁,    82 903 317,    44 840 812,    38 062 505,    7,    4,    3,-,-,-,,,10—14岁,    11 405,    4 749,    6 656,    84 302,    47 587,    36 715,    14 441 326,    7 943 615,    6 497 711,    68 366 277,    36 844 857,    31 521 420
  10,    18 159 834,    9 595 142,    8 564 692,-,-,-,-,-,-,,,  10,    7,    2,    5,-,-,-,    1,    1,       -,    18 159 826,    9 595 139,    8 564 687
  11,17 920 404,    9 496 951,    8 423 453,-,-,-,-,-,-,,,  11,    9,    4,    5,-,-,-,    262 191,    145 192,    116 999,    17 658 204,    9 351 755,    8 306 449
  12,    16 599 263,    8 908 947,    7 690 316,-,-,-,-,-,-,,,  12,    23,    6,    17,-,-,-,    1 451 005,    782 704,    668 301,    15 148 235,    8 126 237,    7 021 998
  13,    15 753 298,    8 658 537,    7 094 761,-,-,-,-,-,-,,,  13,    1 570,    660,    910,    8 196,    4 677,    3 519,    4 710 388,    2 557 033,    2 153 355,    11 033 144,    6 096 167,    4 936 977
  14,    14 470 518,    8 181 235,    6 289 283,    7,    4,    3,-,-,-,,,  14,    9 796,    4 077,    5 719,    76 106,    42 910,    33 196,    8 017 741,    4 458 685,    3 559 056,    6 366 868,    3 675 559,    2 691 309
