,,,,,,,,,,,,,,,,,,,,,,,,
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和地区别,    合计,      男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    3 999 750,    2 921 656,    1 078 094,  32 352 835,  22 644 590,    9 708 245,    173 523 382,    109 651 404,    63 871 978,    341 484 294,    178 994 863,    162 489 431
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径)(续01)‘,,,,,,,,,,,,表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径)(续06),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,      男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
在校,    132 998 143,    73 794 610,    59 203 533,    12 961,    8 711,    4 250,    89 601,        56 585,    33 016,,,,,,,,,,,,,,,
北京市,    450 461,        231 619,    218 842,    2 048,    1 245,    803,    1 616,    789,      827,,,在校,    391 305,    213 127,    178 178,    4 339 752,    2 887 798,    1 451 954,    23 485 066,    13 975 360,    9 509 706,    104 679 458,    56 653 029,    48 026 429
天津市,    444 180,    231 084,    213 096,    1,    1,   -,    40,    20,    20,,,北京市,    5 564,    2 725,    2 839,    28 974,    14 188,    14 786,    106 007,    53 105,    52 902,    306 252,    159 567,    146 685
河北省,    8 340 214,    4 381 732,    3 958 482,    686,    409,    277,    2 029,    1 112,    917,,,天津市,    1 434,    643,    791,    21 159,    11 274,    9 885,    88 167,    45 601,    42 566,    333 379,    173 545,    159 834
山西省,    3 554 300,    1 879 639,    1 674 661,    35,    23,    12,    596,    342,    254,,,河北省,    9 677,    4 966,    4 711,    222 807,    122 508,    100 299,    1 212 490,    647 215,    565 275,    6 892 525,    3 605 522,    3 287 003
内蒙古自治区,    2 365 750,    1 258 127,    1 107 623,    42,    25,    17,    1 680,    940,    740,,,山西省,    4 584,    2 086,    2 498,    139 882,    80 235,    59 647,    763 673,    401 060,    362 613,    2 645 530,    1 395 893,    1 249 637
辽宁省,    3 199 578,    1 671 676,    1 527 902,    67,    39,    28,    1 010,    534,    476,,,内蒙古自治区,    9 698,    5 150,    4 548,    89 802,    50 750,    39 052,    474 849,    255 582,    219 267,    1 789 679,    945 680,    843 999
