,,,,,,,,,,,,,,,,,,,,,,,,
表5-7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  4 429 273,  2 595 346,  1 833 927,  11 725 032,    6 636 441,    5 088 591,    26 419 231,    14 626 755,    11 792 476,    22 747 104,    11 992 380,    10 754 724
  26,    112 644,    58 549,    54 095,    198,    170,    28,    852,    616,    236,,,  26,    569,    354,    215,    14 334,    8 458,    5 876,    47 126,    26 626,    20 500,    49 565,    22 325,    27 240
  27,    116 930,    58 920,    58 010,    171,    150,    21,    757,    573,    184,,,  27,    586,    357,    229,    16 118,    9 387,    6 731,    45 542,    25 749,    19 793,    53 756,    22 704,    31 052
  28,    72 753,    35 601,    37 152,    75,    65,    10,    398,    312,    86,,,  28,    344,    219,    125,    9 851,    5 771,    4 080,    25 081,    14 268,    10 813,    37 004,    14 966,    22 038
  29,    56 148,    27 537,    28 611,    48,    44,    4,    239,    184,    55,,,  29,    216,    136,    80,    7 425,    4 394,    3 031,    17 368,    10 052,    7 316,    30 852,    12 727,    18 125
30-34岁,    496 371,    236 948,    259 423,    218,    173,    45,    1 652,    1 276,    376,,,30—34岁,    1 729,    1 020,    709,    33 970,    20 609,    13 361,    127 547,    75 502,    52 045,    331 255,    138 368,    192 887
  30,        76 245,    37 376,    38 869,    42,    36,    6,    284,    202,    82,,,  30,    328,    200,    128,    8 269,    4 905,    3 364,    21 617,    12 803,    8 814,    45 705,    19 230,    26 475
  31,    82 248,    40 016,    42 232,    47,    37,    10,    267,    219,    48,,,  31,    283,    176,    107,    7 109,    4 342,    2 767,    21 696,    12 919,    8 777,    52 846,    22 323,    30 523
  32,    112 861,    54 142,    58 719,    46,    37,    9,    381,    297,    84,,,  32,    362,    204,    158,    7 609,    4 661,    2 948,    29 084,    17 363,    1 1 721,    75 379,    31 580,    43 799
  33,    110 870,    51 956,    58 914,    41,    31,    10,    366,    278,    88,,,  33,    393,    222,    171,    5 903,    3 634,    2 269,    27 575,    16 270,    11 305,    76 592,    31 521,    45 071
  34,    114 147,    53 458,    60 689,    42,    32,    10,    354,    280,    74,,,  34,    363,    218,    145,    5 080,    3 067,    2 013,    27 575,    16 147,    11 428,    80 733,    33 714,    47 019
35—39岁,    629 770,    302 836,    326 934,    174,    136,    38,    1 734,    1 383,    351,,,35—39岁,    2 076,    1 222,    854,    19 008,    12 457,    6 551,    160 635,    95 550,    65 085,    446 143,    192 088,    254 055
  35,    133 429,    63 530,    69 899,    41,    34,    7,    394,    304,    90,,,  35,    418,    237,    181,    5 028,    3 205,    1 823,    32 950,    19 360,    13 590,    94 598,    40390,    54 208
  36,    132 970,    63 510,    69 460,    28,    20,    8,    350,    281,    69,,,  36,    420,    249,    171,    4 270,    2 713,    1 557,    34 361,    20 146,    14 215,    93 541,    40 101,    53 440
  37,    127 547,    61 801,    65 746,    37,    29,    8,    339,    270,    69,,,  37,    400,    238,    162,    3 566,    2 367,    1 199,    34 021,    20 411,    13 610,    89 184,    38 486,    50 698
  38,    124 922,    60 272,    64 650,    31,    23,    8,    335,    269,    66,,,  38,    425,    249,    176,    3 192,    2 160,    1 032,    32 750,    19 638,    13 112,    88 189,    37 933,    50 256
  39,    110 902,    53 723,    57 179,    37,    30,    7,    316,    259,    57,,,  39,    413,    249,    164,    2 952,    2 012,    940,    26 553,    15 995,    10 558,    80 631,    35 178,    45 453
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
      学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
,,,,,,,,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,      女,,,40-44岁,    3 476,    2 171,    1 305,    15 534,    10 571,    4 963,    121 751,    74 230,    47 521,    367 009,    171 592,    195 417
40-44岁,509 906,    260 318,    249 588,    258,    206,    52,    1 878,    1 548,    330,,,  40,    603,    398,    205,    3 594,    2 477,    1 117,    26 864,    16 398,    10 466,    91 096,    41 546,    49 550
  40,    122 597,    61 174,    61 423,    47,    35,    12,    393,    320,    73,,,  41,    554,    379,    175,3 133,    2 109,    1 024,    22 430,    13 438,    8 992,    79 397,    36 927,    42 470
  41,    105 903,    53 160,    52 743,    33,    21,    12,    356,    286,    70,,,  42,    615,    386,    229,    2 883,    1 964,    919,    23 253,    14 058,    9 195,    73 117,    34 319,    38 798
  42,    100 262,    51 051,    49 211,    45,    36,    9,    349,    288,    61,,,  43,    774,    466,    308,    2 907,    1 960,    947,    25 210,    15 623,    9 587,    66 923,    31 854,    35 069
  43,    96 272,    50 287,    45 985,    55,    44,    11,    403,    340,    63,,,  44,    930,    542,    388,    3 017,    2 061,    956,    23 994,    14 713,    9 281,    56 476,    26 946,    29 530
  44,    84 872,    44 646,    40 226,    78,    70,    8,    377,    314,    63,,,45-49岁,    7 835,    4 543,    3 292,    18 452,    12 590,    5 862,    93 721,    56 521,    37 200,    244 748,    120 488,    124 260
45—49岁,    368 630,    197 266,    171 364,    898,    721,    177,    2 976,    2 403,    573,,,  45,    1 252,    741,    511,    3 338,    2 286,    1 052,    22 142,    13 454,    8 688,    52 957,    25 669,    27 288
  45,    80 119,    42 493,    37 626,    65,    54,    11,    365,    289,    76,,,  46,    1 533,    892,    641,    3 760,    2 623,    1 137,    20 314,    12 235,    8 079,    49 105,    24 548,    24 557
  46,    75 263,    40 741,    34 522,    93,    77,    16,    458,    366,    92,,,  47,    1 711,    994,    717,    3 875,    2 626,    1 249,    17 957,    10 691,    7 266,    45 734,    22 455,    23 279
  47,    70 038,    37 365,    32 673,    186,    134,    52,    575,    465,    110,,,  48,    1 666,    967,    699,    3 740,    2 561,    1 179,    16 693,    9 976,    6 717,    47 339,    23 139,    24 200
  48,    70 364,    37 404,    32 960,    236,    190,    46,    690,    571,    119,,,  49,    1 673,    949,    724,    3 739,    2 494,    1 245,    16 615,    10 165,    6 450,    49 613,    24 677,    24 936
  49,    72 846,    39 263,    33 583,    318,    266,    52,    888,    712,    176,,,50—54岁,    5 077,    3 144,    1 933,    12 719,    9 043,    3 676,    67 185,    44 384,    22 801,    268 452,    138 488,    129 964
50-54岁,    359 534,    200 211,    159 323,    1 907,    1 581,    326,    4 194,    3 571,    623,,,  50,    1 391,    799,    592,    3 031,    2 038,    993,    15 025,    9 315,    5 710,    51 277,    25 661,    25 616
  50,    72 054,    38 923,    33 131,    433,    361,    72,    897,    749,    148,,,  51,    1 150,    690,    460,    2 689,    1 835,    854,    13 363,    8 469,    4 894,    52 340,    26 502,    25 838
  51,    70 929,    38 651,    32 278,    419,    339,    80,    968,    816,    152,,,  52,    975,    608,    367,    2 497,    1 758,    739,    13 137,    8 582,    4 555,    55 357,    28 743,    26 614
  52,    73 229,    40 754,    32 475,    414,    341,    73,    849,    722,    127,,,  53,    858,    578,    280,    2 256,    1 677,    579,    12 737,    8 871,    3 866,    54 870,    28 681,    26 189
  53,    71 889,    40 804,    31 085,    355,    300,    55,    813,    697,    116,,,  54,    703,    469,    234,    2 246,    1 735,    511,    12 923,    9 147,    3 776,    54 608,    28 901,    25 707
  54,    71 433,    41 079,    30 354,    286,    240,    46,    667,    587,    80,,,55—59岁,    2 811,    2 039,    772,    14 161,    11 643,    2 518,    61 696,    48 561,    13 135,    237 279,    139 091,    98 188
55—59岁,    319 296,    204 315,    114 981,    918,    814,    104,    2 431,    2 167,    264,,,  55,    634,    434,    200,    2 407,    1 923,    484,    12 709,    9 326,    3 383,    51 330,    27 704,    23 626
  55,    67 856,    40 064,    27 792,    195,    171,    24,    581,    506,    75,,,  56,    626,    455,    171,    2 788,    2 254,    534,    13 889,    10 608,    3 281,    51 405,    29 508,    21 897
  56,    69 465,    43 502,    25 963,    209,    184,    25,    548,    493,    55,,,  57,    568,    417,    151,    3 048,    2 471,    577,    13 092,    10 500,    2 592,    49 231,    28 935,    20 296
  57,    66 593,    42 912,    23 681,    183,    166,    17,    471,    423,    48,,,  58,    504,    371,    133,    3 031,    2 568,    463,    11 430,    9 389,    2 041,    43 756,    26 690,    17 066
  58,    59 248,    39 489,    19 759,    148,    129,    19,    379,    342,    37,,,  59,    479,    362,    117,    2 887,    2 427,    460,    10 576,    8 738,    1 838,    41 557,    26 254,    15 303
  59,    56 134,    38 348,    17 786,    183,    164,    19,    452,    403,    49,,,60-64岁,    1 537,    1 065,    472,    9 232,    7 800,    1 432,    37 240,    30 916,    6 324,    172 719,    113 444,    59 275
60-64岁,    223 657,    155 854,    67 803,    1 207,    1 070,    137,    1 722,    1 559,    163,,,  60,    451,    322,    129,    2 492,    2 126,    366,    9 469,    7 873,    1 596,    40 146,    25 576,    14 570
  60,    53 160,    36 445,    16 715,    204,    184,    20,    398,    364,    34,,,  61,    344,    235,    109,    2 036,    1 710,    326,    8 041,    6 662,    1 379,    35 582,    23 172,    12 410
  61,    46 640,    32 338,    14 302,    254,    220,    34,    383,    339,    44,,,  62,    296,    205,    91,    1 943,    1 643,    300,    7 777,    6 452,    1 325,    36 295,    23 862,    12 433
  62,    46 960,    32 740,    14 220,    279,    243,    36,    370,    335,    35,,,  63,    251,    177,    74,    1 491,    1 250,    241,    6 362,    5 269,    1 093,    31 656,    21 166,    10 490
  63,    40 286,    28 343,    11943,    228,    207,    21,    298,    274,    24,,,  64,    195,    126,    69,    1 270,    1 071,    199,    5 591,    4 660,    931,    29 040,    19 668,    9 372
  64,    36 611,    25 988,    10 623,    242,    216,    26,    273,    247,    26,,,65岁及以上,    957,    603,    354,    6 628,    5 521,    1 107,    34 023,    28 123,    5 900,    243 478,    170 897,    72 581
65岁及以上,    287 719,    207 521,    80 198,    1 150,    1 025,    125,    1 483,    1 352,    131,,,其它,    38 681,    24 384,    14 297,    25 067,    19 486,    5 581,    87 715,    71 210,    16 505,    464 573,    279 200,    185 373
其它,    688 571,    448 909,    239 662,    5 629,    4 583,    1 046,    66 906,    50 046,    16 860,,,6—9岁,-,-,-,-,-,-,-,-,-,    483,    270,    213
6—9岁,    483,    270,    213,-,-,-,-,-,-,,,  6,-,-,-,-,-,-,-,-,-,    183,    108,    75
  6,    183,    108,    75,-,-,-,-,-,-,,,  7,-,-,-,-,-,-,-,-,-,    137,    66,    71
  7,    137,    66,    71,-,-,-,-,-,-,,,  8,-,-,-,-,-,-,-,-,-,    81,    49,    32
  8,    81,    49,    32,-,-,-,-,-,-,,,  9,-,-,-,-,-,-,-,-,-,    82,    47,    35
  9,    82,    47,    35,-,-,-,-,-,-,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
10-14岁,    1 762,    884,    878,-,-,-,-,-,-,,,10—14岁,    2,    1,    1,    8,    2,    6,    252,    128,    124,    1 500,    753,    747
  10,      141,    78,    63,-,-,-,-,-,-,,,  10,-,-,-,-,-,-,-,    -,    -,    141,    78,    63
  11,    169,    82,    87,-,-,-,-,-,-,,,  11,-,-,-,-,-,-,        6,    4,    2,    163,    78,    85
  12,    282,    154,    128,-,-,-,-,-,-,,,  12,-,-,-,-,-,-,    19,    14,    5,    263,    140,    123
  13,    448,    227,    221,-,-,-,-,-,-,,,  13,-,-,-,    1,-,    1,    61,    32,    29,    386,    195,    191
  14,    722,    343,    379,-,-,-,-,-,-,,,  14,    2,    1,    1,    7,    2,    5,    166,    78,    88,    547,    262,    285
15—19岁,    14 569,    7 381,    7 188,    65,    32,    33,    1 228,    539,    689,,,15—19岁,    2 140,    856,    1 284,    2 070,    1 123,    947,    2 766,    1 758,    1 008,    6 300,    3 073,    3 227
  15,    1 282,    691,    591,    -,    -,    -,      -,     -,    -,,,  15,    32,    15,    17,    58,    44,    14,    377,    225,    152,    815,    407,    408
  16,    1 941,    968,    973,    4,    3,    1,    29,    11,    18,,,  16,    148,    57,    91,    172,    96,    76,    537,    323,    214,    1 051,    478,    573
  17,    2 900,    1 462,    1 438,    12,    8,    4,    125,    62,    63,,,  17,    428,    170,    258,    423,    205,    218,    617,    386,    231,    1 295,    631,    664
  18,    3 616,    1 843,    1 773,    18,    9,        9,    312,    137,    175,,,  18,    669,    264,    405,    566,    300,    266,    602,    407,    195,    1 449,    726,    723
  19,    4 830,    2 417,    2 413,    31,    12,    19,    762,    329,    433,,,  19,    863,    350,    513,    851,    478,    373,    633,    417,    216,    1 690,    831,    859
20—24岁,    35 943,    18 894,    17 049,    923,    629,    294,    11885,    6 843,    5 042,,,20—24岁,    5 557,    2 573,    2 984,    3 113,    1 742,    1 371,    3 488,    2 200,    1 288,    10 977,    4 907,    6 070
  20,    5 908,    2 965,    2 943,    66,    39,    27,1 440,    674,    766,,,  20,    980,    420,    560,    872,    480,    392,    692,    454,    238,    1 858,    898,    960
  21,    7 096,    3 531,    3 565,    108,    72,    36,    2 226,    1 107,    1 119,,,  21,    1 137,    476,    661,    705,    393,    312,    723,    463,    260,    2 197,    1 020,    1 177
  22,    7 069,    3 656,    3 413,    176,    109,    67,    2 321,    1 307,    1 014,,,  22,    1 054,    499,    555,    630,    338,    292,    703,    425,    278,    2 185,    978,    1 207
  23,    7 140,    3 857,    3 283,    240,    172,    68,    2 529,    1 572,    957,,,  23,    1 053,    487,    566,    460,    270,    190,    635,    408,    227,    2 223,    948,    1 275
  24,    8 730,    4 885,    3 845,    333,    237,    96,    3 369,    2 183,    1 186,,,  24,    1 333,    691,    642,    446,    261,    185,    735,    450,    285,    2 514,    1 063,    1 451
25—29岁,    42 840,    24 996,    17 844,    1 753,    1 438,    315,    16 775,    12 188,    4 587,,,25—29岁,    6 848,    3 805,    3 043,    1 850,    1 182,    668,    2 990,    1 909,    1 081,    12 624,    4 474,    8 150
  25,    9 573,    5 640,    3 933,    425,    338,    87,    3 860,    2 680,    1 180,,,  25,    1 469,    815,    654,    477,    302,    175,    758,    476,    282,    2 584,    1 029,    1 555
  26,    10 510,    6 225,    4 285,    470,    372,    98,    4 363,    3 135,    1 228,,,  26,    1 767,    953,    814,    473,    310,    163,    753,    476,    277,    2 684,    979,    1 705
  27,    11 097,    6 578,    4 519,    465,    402,    63,    4 452,    3 299,    1 153,,,  27,    1 804,    1 023,    781,    468,    301,    167,    735,    472,    263,    3 173,    1 081,    2 092
  28,    6 550,    3 777,    2 773,    258,    217,    41,    2 431,    1 836,    595,,,  28,    1 053,    601,    452,    225,    137,    88,    427,    269,        158,    2 156,    717,    1 439
  29,    5 110,    2 776,    2 334,    135,    109,    26,    1 669,    1 238,    431,,,  29,    755,    413,    342,    207,    132,    75,    317,    216,    101,    2 027,    668,    1 359
30—34岁,    44 660,    23 450,    21 210,    782,    651,    131,    10 503,    8 191,    2 312,,,30—34岁,    5 333,    3 224,    2 109,    1 504,    972,    532,    2 869,    1 890,    979,    23 669,    8 522,    15 147
  30,    6 805,    3 657,    3 148,    137,    116,    21,    1 776,    1 370,    406,,,  30,    991,    614,    377,    245,    155,    90,    428,    282,    146,    3 228,    1 120,    2 108
  31,    7 333,    3 928,    3 405,    147,    130,    17,    1 786,    1 414,    372,,,  31,    936,    539,    397,    288,    192,    96,    450,    299,    151,    3 726,    1 354,    2 372
  32,    10 138,    5 295,    4 843,    174,    137,    37,    2 430,    1 892,    538,,,  32,    1 185,    713,    472,    334,    207,    127,    617,    402,    215,    5 398,    1 944,    3 454
  33,    9 884,    5 145,    4 739,    173,    146,    27,    2 280,    1 763,    517,,,  33,    1 083,    675,    408,    316,    201,    115,    658,    434,    224,    5 374,    1 926,    3 448
  34,    10 500,    5 425,    5 075,    151,    122,    29,    2 231,    1 752,    479,,,  34,    1 138,    683,    455,    321,    217,    104,    716,    473,    243,    5 943,    2 178,    3 765
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5—7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径)(续09),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,35—39岁,    6 073,    4 046,    2 027,    1 889,    1 417,    472,    5 132,    3 414,    1 718,    34 150,    13 364,    20 786
35—39岁,    57 431,    30 445,    26 986,    636,    525,    111,    9 551,    7 679,    1 872,,,  35,    1 274,    835,    439,    392,    270,    122,    965,    629,    336,    7 086,    2 614,    4 472
  35,    12 228,    6 338,    5 890,    153,    125,    28,    2 358,    1 865,    493,,,  36,    1 287,    827,    460,    380,    283,    97,    1 115,    698,    417,    6 916,    2 632,    4 284
  36,    11 861,    6 175,    5 686,    130,    107,    23,    2 033,    1 628,    405,,,  37,    1 179,    806,    373,    375,    284,    91,    1 091,    747,    344,    6 837,    2 711,    4 126
  37,    11 413,    6 125,    5 288,    114,    94,    20,    1 817,    1 483,    334,,,  38,    1 185,    802,    383,    393,    303,    90,    1 068,    736,    332,    7 017,    2 820,    4 197
  38,    11 483,    6 114,    5 369,    110,    90,    20,    1 710,    1 363,    347,,,  39,    1 148,    776,    372,    349,    277,    72,    893,    604,    289,    6 294,    2 587,    3 707
  39,    10 446,    5 693,    4 753,    129,    109,    20,    1 633,    1 340,    293,,,40-44岁,    5 330,    4 028,    1 302,    1 848,    1 521,    327,    5 319,    3 821,    1 498,    31 972,    14 703,    17 269
40—44岁,    52 316,    30 663,    21 653,    468,    413,    55,    7 379,    6 177,    1 202,,,  40,    1 296,    919,    377,    405,    313,    92,    1 034,    718,    316,    7 309,    3 230,    4 079
  40,    12 009,    6 805,    5 204,    109,    96,    13,    1 856,    1 529,    327,,,  41,    1 071,    791,    280,    326,    268,    58,    989,    695,    294,    6 499,    2 943,    3 556
  41,    10 489,    6 042,    4 447,    119,    106,    13,    1 485,    1 239,    246,,,  42,    992,    772,    220,    362,    307,    55,    1 097,    814,    283,    6 315,    2 920,    3 395
  42,    10 389,    6 165,    4 224,    105,    93,    12,    1 518,    1 259,    259,,,  43,    1 050,    827,    223,    354,    294,    60,    1 103,    815,    288,    6 248,    2 956,    3 292
  43,    10 198,    6 135,    4 063,    65,    57,    8,    1 378,    1 186,    192,,,  44,    921,    719,    202,    401,    339,    62,    1 096,    779,    317,    5 601,    2 654,    2 947
  44,    9 231,    5 516,    3 715,    70,    61,    9,    1 142,    964,    178,,,45-44岁,    3 092,    2 349,    743,    1 604,    1 338,    266,    6 178,    4 459,    1 719,    31 015,    15 416,    15 599
45—49岁,    46 300,    27 302,    18 998,    314,    266,    48,    4 097,    3 474,    623,,,  45,    802,    613,    189,    300,    257,    43,    1 196,    848,    348,      5 674,    2 735,    2 939
  45,    9 054,    5 373,    3 681,    73,    63,    10,    1 009,    857,    152,,,  46,    717,    558,    159,    329,    282,    47,    1 106,    804,    302,    5 689,    2 773,    2 916
  46,    8 800,    5 226,    3 574,    57,    47,    10,    902,    762,    140,,,  47,    567,    421,    146,    301,    243,    58,    1 080,    764,    316,    5 759,    2 849,    2 910
  47,    8 565,    4 989,    3 576,    70,    58,    12,    788,    654,    134,,,  48,    543,    402,    141,    343,    277,    66,    1 290,    912,    378,    6 410,      3 220,    3 190
  48,    9 389,    5 504,    3 885,    53,    48,    5,    750,    645,    105,,,  49,    463,    355,    108,    331,    279,    52,    1 506,    1 131,    375,    7 483,    3 839,    3 644
  49,    10 492,    6 210,    4 282,    61,    50,    11,    648,        556,    92,,,50-54岁,    1 834,    1 413,    421,    2 011,    1 718,    293,    10 644,    8 452,    2 192,    55 650,    31 048,    24 602
50-54岁,    73 019,    45 120,    27 899,    284,    254,    30,    2 596,    2 235,    361,,,  50,    415,    311,    104,    319,    263,    56,    1 768,    1 326,    442,    9 046,    4 827,    4 219
  50,    12 206,    7 293,    4 913,    57,    51,    6,    601,    515,    86,,,  51,    385,    283,    102,    354,    287,    67,    1 858,    1 441,    417,    9 935,    5 355,      4 580
  51,    13 142,      7 877,    5 265,    61,    50,    11,    549,    461,    88,,,  52,    364,    289,    75,    396,    332,    64,    2 092,    1 640,    452,    11 445,    6 391,    5 054
  52,    14 841,    9 126,    5 715,    54,    47,    7,    490,    427,    63,,,  53,    363,    284,    79,        430,    375,    55,    2 310,    1 891,    419,    12 269,    6 941,    5 328
  53,    15 944,    9 994,    5 950,    61,    58,    3,    511,    445,    66,,,  54,    307,    246,    61,    512,    461,    51,    2 616,    2 154,    462,    12 955,    7 534,    5 421
  54,    16 886,    10 830,    6 056,    51,    48,    3,    445,    387,    58,,,55—59岁,    1 366,    1 167,    199,    3 189,        2 976,    213,    15 883,        13 972,    1 911,    67 115,    43 244,    23 871
55—59岁,    89 365,    63 032,    26 333,    175,    163,    12,    1 637,    1 510,    127,,,  55,    316,    258,    58,    647,    598,    49,    2 983,    2 533,    450,    13 057,    7 792,    5 265
  55,    17 482,    11 611,    5 871,    43,    40,    3,    436,    390,    46,,,  56,    332,    286,    46,    697,    647,    50,    3 368,    2 920,    448,    14 362,    8 930,    5 432
  56,    19 213,    13 200,    6 013,    49,    47,    2,    405,    370,    35,,,  57,    280,    244,    36,    674,    629,    45,    3 346,    2 963,    383,    14 032,    9 084,    4 948
  57,    18 689,    13 247,    5 442,    27,    23,    4,    330,    304,        26,,,  58,    218,    186,    32,    581,    545,    36,    3 085,    2 750,    335,    12 813,    8 597,    4 216
  58,    16 975,    12 344,    4 631,    27,    26,    1,    251,    240,    11,,,  59,    220,    193,    27,    590,    557,    33,    3 101,    2 806,    295,    12 851,    8 841,    4 010
  59,    17 006,    12 630,    4 376,    29,    27,    2,    215,    206,    9,,,60-64岁,    613,    520,    93,    2 612,    2 422,    190,    13 933,    12 673,    1 260,    65 413,    46 700,    18 713
60-64岁,    83 383,    63 093,    20 290,    113,    105,    8,    699,    673,    26,,,  60,    190,    161,    29,    621,    578,    43,    3 355,    3 059,    296,    14 391,    10 099,    4 292
  60,    18 788,    14 119,    4 669,    29,    27,    2,    202,    195,    7,,,  61,    141,    122,    19,    562,    519,    43,    2 879,    2 600,    279,    13 455,    9 477,    3 978
  61,    17 227,    12 897,    4 330,    31,    26,    5,    159,    153,    6,,,  62,    116,    97,    19,    538,    502,    36,    2 946,    2 690,    256,    13 795,    9 882,3 913
  62,    17 566,    13 335,    4 231,    22,    21,    1,    149,    143,    6,,,  63,    81,    72,    9,    455,    421,    34,    2 464,    2 235,    229,    12 177,    8 838,      3 339
  63,    15 289,    11 675,    3 614,    21,    21,    -,    91,    88,    3,,,  64,    85,    68,    17,    436,    402,    34,    2 289,    2 089,    200,    11 595,    8404,    3 191
  64,    14 513,    11 067,    3 446,    10,    10,    -,    98,    94,    4,,,65岁及以上,    493,    402,    91,    3 369,    3 073,    296,    18 261,    16 534,    1 727,    123 705,    92 726,    30 979
65岁及以上,    146 500,    113 379,    33 121,    116,    107,    9,    556,    537,    19,,,,,,,,,,,,,,,
