,,,,,,,,,,,,,,,,,,,,,,,,
表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续05),,,,,,,,,,,,
        单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
      和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
内蒙古自治区,    552 823,    280 173,    272 650,    92,    46,    46,    2 162,    1 064,    1 098,,,内蒙古自治区,    7 539,    3 532,    4 007,    63 119,    29 523,    33 596,    158 813,    77 812,    81 001,    321 098,    168 196,    152 902
辽宁省,    551 150,    282 133,    269 017,    67,    36,    31,    2 381,    1 222,    1 159,,,辽宁省,    11 648,    4 518,    7 130,    44 501,    22 655,    21 846,    135 649,    68 392,    67 257,    356 904,    185 310,    171 594
吉林省,    605 329,    311 133,    294 196,    171,    107,    64,    2 564,    1 306,    1 258,,,吉林省,    16 246,    6 549,    9 697,    75 631,    41 285,    34 346,    159 318,    79 162,    80 156,    351 399,    182 724,    168 675
黑龙江省,    1 063 450,    539 851,    523 599,    2 982,    1 619,    1 363,    10 614,    5 222,    5 392,,,黑龙江省,    26 771,    10 340,    16 431,    107 713,    53 152,    54 561,    294 265,    144 179,    150 086,    621 105,    325 339,    295 766
上海市,    96 368,    49 320,    47 048,    4 956,    3 399,    1 557,    3 386,    1 957,    1 429,,,上海市,    10 108,    3 540,    6 568,    10 135,    5 435,    4 700,    19 221,    10 092,    9 129,    48 562,    24 897,    23 665
江苏省,    634 176,    332 694,    301 482,    378,    268,    110,    6 964,    4 236,    2 728,,,江苏省,    32 189,    15 617,    16 572,    73 473,    41 207,    32 266,    167 652,    86 730,    80 922,    353 520,        184 636,    168 884
浙江省,    805 533,    425 643,    379 890,    812,    639,    173,    5 637,    3 202,    2 435,,,浙江省,    26 223,    12 728,    13 495,    78 926,    43 824,    35 102,    184 290,    98 390,    85 900,    509 645,    266 860,    242 785
安徽省,    513 242,    283 189,    230 053,    468,    388,    80,    3 486,    2 486,    1 000,,,安徽省,    23 446,    14 138,    9 308,    73 095,    47 656,    25 439,    124 373,    65 610,    58 763,    288 374,    152 911,    135 463
福建省,    403 179,    218 023,    185 156,    151,    114,    37,    1 154,    722,    432,,,福建省,    12 740,    6 225,    6 515,    39 782,    23 966,    15 816,    95 168,    51 155,    44 013,    254 184,    135 841,    118 343
江西省,    466 791,    253 452,    213 339,    54,    38,    16,    697,    470,    227,,,江西省,    20 656,    12 989,    7 667,    66 542,    39 780,    26 762,    153 814,    80 712,    73 102,    225 028,    119 463,    105 565
山东省,    1 044 538,    554 973,    489 565,    3 556,    2 278,    1 278,    9 056,    5 599,    3 457,,,山东省,    62 566,    31 504,    31 062,    93 828,    56 209,    37 619,    270 322,    141 189,    129 133,    605 210,    318 194,    287 016
河南省,    710 815,    371 759,    339 056,    1 180,    724,    456,    2 592,    1 601,    991,,,河南省,    32 234,    15 703,    16 531,    54 212,    29 177,    25 035,    179 775,    90 363,    89 412,    440 822,    234 191,    206 631
湖北省,    668 596,    355 224,    313 372,    794,    613,    181,    12 766,    8 554,    4 212,,,湖北省,    42 439,    21 456,    20 983,    56 339,    33 500,    22 839,    151 372,    79 117,    72 255,    404 886,    211 984,    192 902
湖南省,    563 408,    297 553,    265 855,    1 11,    75,    36,    5 129,    3087,    2 042,,,湖南省,    25 809,    13 638,    12 171,    57 898,    33 976,    23 922,    139 397,    71 631,    67 766,    335 064,    175 146,    159 918
广东省,    1 261 496,    694 855,    566 641,    377,    269,    108,    6 401,    4 245,    2 156,,,广东省,    40 898,    20 795,    20 103,    121 059,    72 974,    48 085,    274 033,    151 335,    122 698,    818 728,    445 237,    373 491
广西壮族自治区,    655 509,    362 300,    293 209,    965,    696,    269,    8 319,    5 171,    3 148,,,广西壮族自治区,    38 094,    18 356,    19 738,    85 258,    52 819,    32 439,    170 781,    94 091,    76 690,    352 092,    191 167,    160 925
海南省,    155 740,    87 052,    68 688,    54,    38,    16,    800,    510,    290,,,海南省,    5 071,    2 517,    2 554,    16 288,    10 155,    6 133,    35 431,    19 597,    15 834,    98 096,    54 235,    43 861
四川省,    932 218,    487 879,    444 339,    1 225,    1 002,    223,    14 627,    8 424,    6 203,,,四川省,    75 690,    42 759,    32 931,    1 19 870,    64 645,    55 225,    257 328,    130 623,    126 705,      463 478,    240 426,    223 052
贵州省,    323 343,    173 054,    150 289,    55,    35,    20,    1 997,    1 087,    910,,,贵州省,    22 085,    13 675,    8 410,    31 911,    17 140,    14 771,    75 444,    38 595,    36 849,    191 851,    102 522,    89 329
云南省,    577 035,    302 056,    274 979,    709,    536,    173,    8 969,    5 465,    3 504,,,云南省,    39 668,    21 243,    18 425,    64 759,    33 678,    31 081,    149 092,    75 537,    73 555,    313 838,    165 597,    148 241
西藏自治区,    14 981,    8 039,    6 942,    43,    27,    16,    264,    148,    116,,,西藏自治区,    460,    274,    186,    981,    559,    422,    3 348,    1 864,    1 484,    9 885,    5 167,    4 718
陕西省,    347 964,    182 347,    165 617,    374,    278,    96,    5 790,    3 488,    2 302,,,陕西省,    22 464,    12 045,    10 419,    56 358,    29 296,    27 062,    84 539,    42 742,    41 797,    178 439,    94 498,    83 941
甘肃省,    190 051,    101 742,    88 309,    41,    24,    17,    3 366,    2212,    1 154,,,甘肃省,    15 143,    9 321,    5 822,    27 641,    15 127,    12 514,    52 775,    26 897,    25 878,    91 085,    48 161,    42 924
青海省,    82 247,    43 523,    38 724,    8,    5,    3,    421,    280,    141,,,青海省,    7 125,    4 304,    2 821,    15 050,    7 631,    7 419,    20 340,    10 612,    9 728,    39 303,    20 691,    18 612
宁夏回族自治区,    93 764,    48 778,    44 986,    791,    552,    239,    1 936,    1 245,    691,,,宁夏回族自治区,    4 541,    2 456,    2 085,    13 813,    7 036,    6 777,    25 170,    12 671,    12 499,    47 513,    24 818,    22 695
新疆维吾尔自治区,    243 746,    122 106,    121 640,    199,    119,    80,    3 127,    1 367,    1 760,,,新疆维吾尔自治区,    6 987,    2 849,    4 138,    37 437,    17 439,    19 998,    57 205,    29 028,    28 177,    138 791,    71 304,    67 487
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续02),,,,,,,,,,,,表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续07),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,        大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,
毕业,    47 826 892,    27 089 259,    20 737 633,    642 883,    528 925,    113 958,    1 702 212,    1 302 793,    399 419,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
北京市,    383 617,    222 712,    160 905,    10 348,    7 034,    3 314,    20 073,    12 611,    7 462,,,毕业,    3 664 177,  2 200 505,    1 463 672,    9 824 882,    5 551 486,    4 273 396,    21 220 381,    11 794 134,    9 426 247,    10 772 357,    5 711 416,    5 060 941
天津市,    164 414,    97 906,    66 508,    2 932,    2 107,    825,    8 199,    5 509,    2 690,,,北京市,    37 424,    19 294,    18 130,    77 995,    43 166,    34 829,    178 138,    107 368,    70 770,    59 639,    33 239,    26 400
河北省,    1 908 689,    1 130 055,    778 634,    26 269,    20 158,    6 111,    77 951,    56 892,    21 059,,,天津市,    19 401,    10 172,    9 229,    26 825,    15 716,    11 109,    69 562,    41 976,    27 586,    37 495,    22 426,    15 069
山西省,    1 264 311,    768 886,    495 425,    19 815,        16 042,    3 773,    56 468,    43 249,    13 219,,,河北省,    179 474,    104 612,    74 862,    356 606,    205 598,    151 008,    807 560,    485 314,    322 246,    460 829,    257 481,    203 348
内蒙古自治区,    1 549 914,    850 965,    698 949,    12 635,    10 123,    2 512,    39 661,    29 126,    10 535,,,山西省,    131 285,    79 735,    51 550,    245 718,    139 041,    106 677,    600 860,    369 317,    231 543,    210 165,    121 502,    88 663
